# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-bril pasontwerp
gid://shopify/TaxonomyAttribute/9288  : Compatibel draad-/spoelformaat
gid://shopify/TaxonomyAttribute/8197  : Compatibele bandtoepassing
gid://shopify/TaxonomyAttribute/6290  : Compatibel type tissuedoos
gid://shopify/TaxonomyAttribute/9290  : Compatibele tompadbevestiging
gid://shopify/TaxonomyAttribute/6393  : Compatibele speelgoedvoertuigschaal
gid://shopify/TaxonomyAttribute/5805  : Compatibel tractortype
gid://shopify/TaxonomyAttribute/7290  : Compatibele trainingsapparatuur
gid://shopify/TaxonomyAttribute/7291  : Compatibel loopbandontwerp
gid://shopify/TaxonomyAttribute/7292  : Compatibele band
gid://shopify/TaxonomyAttribute/5806  : Compatibel type parasol
gid://shopify/TaxonomyAttribute/1369  : Compatibel vacuümtype
gid://shopify/TaxonomyAttribute/6394  : Compatibel type ventiel
gid://shopify/TaxonomyAttribute/7706  : Compatibel verdampingsmateriaal
gid://shopify/TaxonomyAttribute/1714  : Compatibel voertuig
gid://shopify/TaxonomyAttribute/8199  : Compatibele ruitensproeiervloeistof voor voertuigen
gid://shopify/TaxonomyAttribute/8200  : Compatibel viziersysteem
gid://shopify/TaxonomyAttribute/5439  : Compatibele spraakassistent
gid://shopify/TaxonomyAttribute/1588  : Compatibele loophulpmiddelen
gid://shopify/TaxonomyAttribute/5807  : Compatibel type wasmachine
gid://shopify/TaxonomyAttribute/5808  : Compatibel type afvalcontainer
gid://shopify/TaxonomyAttribute/8201  : Compatibel type watersportplank
gid://shopify/TaxonomyAttribute/5809  : Compatibel type waterkoeler
gid://shopify/TaxonomyAttribute/6291  : Compatibel type waterkoker
gid://shopify/TaxonomyAttribute/7293  : Compatibel type watersportboard
gid://shopify/TaxonomyAttribute/8202  : Compatibele communicatiestandaard voor vaartuigen
gid://shopify/TaxonomyAttribute/8203  : Compatibel motortype voor vaartuigen
gid://shopify/TaxonomyAttribute/5201  : Compatibele wascontainergrootte
gid://shopify/TaxonomyAttribute/5202  : Compatibele wasvorm
gid://shopify/TaxonomyAttribute/1235  : Compatibel gewichthefaccessoire
gid://shopify/TaxonomyAttribute/7294  : Compatibele diameter gewichtsschijf
gid://shopify/TaxonomyAttribute/8204  : Compatibele wielafwerking
gid://shopify/TaxonomyAttribute/9291  : Compatibel type aandrijfsnaar voor whorl
gid://shopify/TaxonomyAttribute/9292  : Compatibele lontserie
gid://shopify/TaxonomyAttribute/9293  : Compatibele stemknop/-bit
gid://shopify/TaxonomyAttribute/8205  : Compatibele ankerlijn voor ankerlier
gid://shopify/TaxonomyAttribute/8206  : Compatibel type voorruit
gid://shopify/TaxonomyAttribute/9294  : Compatibele houtsoort
gid://shopify/TaxonomyAttribute/5810  : Compatibel verpakkingsmateriaal
gid://shopify/TaxonomyAttribute/9295  : Compatibele schrijfondergrond
gid://shopify/TaxonomyAttribute/9296  : Compatibele ritssluitingmaat
gid://shopify/TaxonomyAttribute/8207  : Nalevingscertificering
gid://shopify/TaxonomyAttribute/2643  : Nalevingscertificeringen
gid://shopify/TaxonomyAttribute/5479  : Component montagestijl
gid://shopify/TaxonomyAttribute/1831  : Component-uitvoertype
gid://shopify/TaxonomyAttribute/1829  : Componentpakkettype
gid://shopify/TaxonomyAttribute/8208  : Componentpositie
gid://shopify/TaxonomyAttribute/5491  : Component maatcode
gid://shopify/TaxonomyAttribute/5488  : Component tolerantie
gid://shopify/TaxonomyAttribute/5670  : Meegeleverde componenten
gid://shopify/TaxonomyAttribute/5811  : Ontwerp van een compostbeluchter
gid://shopify/TaxonomyAttribute/5812  : Compostvorm
gid://shopify/TaxonomyAttribute/5813  : Compost-bronmateriaal
gid://shopify/TaxonomyAttribute/5458  : Compressie circuittype
gid://shopify/TaxonomyAttribute/1966  : Compressieformaat
gid://shopify/TaxonomyAttribute/1595  : Compressieniveau
gid://shopify/TaxonomyAttribute/5814  : Compressiemethode
gid://shopify/TaxonomyAttribute/1897  : Inclusief computeraccessoires
gid://shopify/TaxonomyAttribute/1871  : Computerformulier
gid://shopify/TaxonomyAttribute/3078  : Kenmerken computerserver
gid://shopify/TaxonomyAttribute/3077  : Gespecialiseerde kenmerken van de computer
gid://shopify/TaxonomyAttribute/7707  : Concentratieniveau
gid://shopify/TaxonomyAttribute/8209  : Concentratietype
gid://shopify/TaxonomyAttribute/9297  : Type montagestandaard voor concertbasdrum
gid://shopify/TaxonomyAttribute/9298  : Stemtoon standaard
gid://shopify/TaxonomyAttribute/2463  : Concertina-knopconfiguratie
gid://shopify/TaxonomyAttribute/7708  : Specerij vorm
gid://shopify/TaxonomyAttribute/7709  : Specerij textuur
gid://shopify/TaxonomyAttribute/2360  : Staat
gid://shopify/TaxonomyAttribute/1652  : Conditionereffect
gid://shopify/TaxonomyAttribute/5194  : Condoomcompatibiliteit
gid://shopify/TaxonomyAttribute/5113  : Type condoompasvorm
gid://shopify/TaxonomyAttribute/1557  : Condoomtype
gid://shopify/TaxonomyAttribute/5114  : Toepassing geleidbaarheidsgel
gid://shopify/TaxonomyAttribute/5481  : Geleider kerntype
gid://shopify/TaxonomyAttribute/9299  : Confetti formaat
gid://shopify/TaxonomyAttribute/9300  : Conga velspansysteem
gid://shopify/TaxonomyAttribute/9301  : Congaset meegeleverde drumtypen
gid://shopify/TaxonomyAttribute/2144  : Verbindingsdraad
gid://shopify/TaxonomyAttribute/2028  : Verbindingsmethode
gid://shopify/TaxonomyAttribute/1811  : Verbindingstype
gid://shopify/TaxonomyAttribute/1272  : Connectiviteitstechnologie
gid://shopify/TaxonomyAttribute/5485  : Connectiviteitstype
gid://shopify/TaxonomyAttribute/5561  : Type connector 1
gid://shopify/TaxonomyAttribute/5560  : Type connector 2
gid://shopify/TaxonomyAttribute/8210  : Connector case stijl
gid://shopify/TaxonomyAttribute/5550  : Platering van connectorcontacten
gid://shopify/TaxonomyAttribute/2129  : Ontwerp connector
gid://shopify/TaxonomyAttribute/1830  : Connectorgeslacht
gid://shopify/TaxonomyAttribute/5549  : Montagestijl van connector
gid://shopify/TaxonomyAttribute/5551  : Oriëntatie van connector
gid://shopify/TaxonomyAttribute/5650  : Positie connector
gid://shopify/TaxonomyAttribute/5480  : Connector type
gid://shopify/TaxonomyAttribute/5421  : Console accessoires inbegrepen
gid://shopify/TaxonomyAttribute/8211  : Mntagemethode voor consolehoes
gid://shopify/TaxonomyAttribute/7295  : Consoledisplaytype
gid://shopify/TaxonomyAttribute/1969  : Consolesysteem
gid://shopify/TaxonomyAttribute/5422  : Console type
gid://shopify/TaxonomyAttribute/1629  : Constitutieve ingrediënten
gid://shopify/TaxonomyAttribute/5678  : Bouw
gid://shopify/TaxonomyAttribute/7296  : Constructieontwerp
gid://shopify/TaxonomyAttribute/2770  : Thema bouwset
gid://shopify/TaxonomyAttribute/7297  : Contacthoek
gid://shopify/TaxonomyAttribute/9302  : Contact jongleerbal vultype
gid://shopify/TaxonomyAttribute/9303  : Contactjongleerbal transparantie
gid://shopify/TaxonomyAttribute/5216  : Contactlensdoos accessoires inbegrepen
gid://shopify/TaxonomyAttribute/5217  : Contactlensdoos functies
gid://shopify/TaxonomyAttribute/5221  : Contactlensmateriaal
gid://shopify/TaxonomyAttribute/5578  : Contactmateriaal
gid://shopify/TaxonomyAttribute/9304  : Materiaal contactoppervlak
gid://shopify/TaxonomyAttribute/7710  : Container materiaal
gid://shopify/TaxonomyAttribute/7298  : Verwijdering van verontreinigingen
gid://shopify/TaxonomyAttribute/9305  : Contra-altklarinet bodyconfiguratie
gid://shopify/TaxonomyAttribute/9306  : Contra-altklarinet uitbreiding laagste noot
gid://shopify/TaxonomyAttribute/9307  : Contrabasklarinet bekertype
gid://shopify/TaxonomyAttribute/9308  : Type boring contrabasklarinet
gid://shopify/TaxonomyAttribute/9309  : Laagste genoteerde noot contrabasklarinet
gid://shopify/TaxonomyAttribute/1990  : Contrast
gid://shopify/TaxonomyAttribute/1955  : Contrastverhouding (typisch)
gid://shopify/TaxonomyAttribute/8212  : Regelarmbus materiaal
gid://shopify/TaxonomyAttribute/8213  : Regelarmbussen meegeleverd
gid://shopify/TaxonomyAttribute/8214  : Regelarm afwerking
gid://shopify/TaxonomyAttribute/8215  : Regelarm smeernippeltype
gid://shopify/TaxonomyAttribute/8216  : Regelarm materiaal
gid://shopify/TaxonomyAttribute/8217  : Regelarm positie
gid://shopify/TaxonomyAttribute/8218  : Regelarm stijl
gid://shopify/TaxonomyAttribute/8219  : Bedieningskabel connectortype
gid://shopify/TaxonomyAttribute/2413  : Bedieningsfuncties
gid://shopify/TaxonomyAttribute/5456  : Bedieningsinterface
gid://shopify/TaxonomyAttribute/2558  : Bedieningsmethode
gid://shopify/TaxonomyAttribute/5101  : Niveau controleoplossing
gid://shopify/TaxonomyAttribute/1359  : Bedieningstechnologie
gid://shopify/TaxonomyAttribute/1331  : Bedieningstype
gid://shopify/TaxonomyAttribute/9310  : Stuurspanning of poortconnectiviteit
gid://shopify/TaxonomyAttribute/2556  : Controller-ontwerp
gid://shopify/TaxonomyAttribute/2559  : Controlleraandrijvingstype
gid://shopify/TaxonomyAttribute/7299  : Controllerfunctie
gid://shopify/TaxonomyAttribute/8220  : Controllertype
gid://shopify/TaxonomyAttribute/5539  : Conversierichting
gid://shopify/TaxonomyAttribute/8221  : Koelmethode ombouwset
gid://shopify/TaxonomyAttribute/8222  : Installatiecomplexiteit ombouwset
gid://shopify/TaxonomyAttribute/6894  : Bedmaat na ombouw
gid://shopify/TaxonomyAttribute/1986  : Converter-functionaliteit
gid://shopify/TaxonomyAttribute/6895  : Converteerbare configuratie
gid://shopify/TaxonomyAttribute/6896  : Zitconfiguraties kinderstoel
gid://shopify/TaxonomyAttribute/2584  : Transportbandbediening
gid://shopify/TaxonomyAttribute/7711  : Meegeleverde items in koekjesdecoratieset
gid://shopify/TaxonomyAttribute/7712  : Koekjesvariant
gid://shopify/TaxonomyAttribute/4049  : Kookoppervlakken
gid://shopify/TaxonomyAttribute/5815  : Kookgel als brandstofbasis
gid://shopify/TaxonomyAttribute/1493  : Kookmethode
gid://shopify/TaxonomyAttribute/7713  : Bereidingsstaat
gid://shopify/TaxonomyAttribute/5816  : Textuur van het kookoppervlak
gid://shopify/TaxonomyAttribute/5817  : Ontwerp van kookthermometer
gid://shopify/TaxonomyAttribute/1487  : Kookwijnvariant
gid://shopify/TaxonomyAttribute/5818  : Coatingmateriaal voor kookgerei
gid://shopify/TaxonomyAttribute/5819  : Type coating voor kookgerei
gid://shopify/TaxonomyAttribute/3361  : Kookgerei inbegrepen
gid://shopify/TaxonomyAttribute/5820  : Stijl van deksel voor kookgerei
gid://shopify/TaxonomyAttribute/3147  : Kenmerken kookgerei/bakgerei
gid://shopify/TaxonomyAttribute/2811  : Materiaal kookgerei/bakgerei
gid://shopify/TaxonomyAttribute/8223  : Doel koelvloeistofadditief
gid://shopify/TaxonomyAttribute/8224  : Basisvloeistof koelvloeistof
gid://shopify/TaxonomyAttribute/8225  : Aansluitstijl koelvloeistofuitlaat
gid://shopify/TaxonomyAttribute/8226  : Hoek koelvloeistofuitlaathals
gid://shopify/TaxonomyAttribute/8227  : Koelvloeistoftechnologie
gid://shopify/TaxonomyAttribute/8228  : Poort koelvloeistoftemperatuursensor
gid://shopify/TaxonomyAttribute/8229  : Type afdichting koelvloeistoptemperatuursensor
gid://shopify/TaxonomyAttribute/5821  : Koelerstijl
gid://shopify/TaxonomyAttribute/8230  : Koelsysteem onderdeel inbebrepen
gid://shopify/TaxonomyAttribute/8231  : Koelsysteem spoeling toepassing stap
gid://shopify/TaxonomyAttribute/8232  : Type koelsysteem
gid://shopify/TaxonomyAttribute/1872  : Koeltechnologie
gid://shopify/TaxonomyAttribute/2118  : Koordbevestigingssysteem
gid://shopify/TaxonomyAttribute/9311  : Koordmateriaal
gid://shopify/TaxonomyAttribute/5003  : Frequentieband voor draadloze telefoons
gid://shopify/TaxonomyAttribute/9312  : Kerntype (bassnaren)
gid://shopify/TaxonomyAttribute/9313  : Kurkvet basismateriaal
gid://shopify/TaxonomyAttribute/9314  : Kurkvet vorm
gid://shopify/TaxonomyAttribute/5822  : Inbegrepen kurkentrekkeraccessoires
gid://shopify/TaxonomyAttribute/5823  : Scharniertype van kurkentrekker
gid://shopify/TaxonomyAttribute/5824  : Inbegrepen kurkentrekkeraccessoires
gid://shopify/TaxonomyAttribute/7714  : Mais presentatie
gid://shopify/TaxonomyAttribute/7715  : Glucosestroop soort
gid://shopify/TaxonomyAttribute/7716  : Maïssoort
gid://shopify/TaxonomyAttribute/7300  : Hoekcompatibiliteit
gid://shopify/TaxonomyAttribute/7301  : Hoekvlag kenmerken
gid://shopify/TaxonomyAttribute/9315  : Kornetmondstuk schachttype
gid://shopify/TaxonomyAttribute/7302  : Cornhole-competitiecertificering
gid://shopify/TaxonomyAttribute/3155  : Kenmerken corrector
gid://shopify/TaxonomyAttribute/8233  : Corrosiebestendigheid
gid://shopify/TaxonomyAttribute/8234  : Corrosiebestendigheidsniveau
gid://shopify/TaxonomyAttribute/2494  : Corsage/boutonni√®re-ontwerp
gid://shopify/TaxonomyAttribute/1857  : Cosmetische staat
gid://shopify/TaxonomyAttribute/1614  : Cosmetische afwerking
gid://shopify/TaxonomyAttribute/1630  : Cosmetische functie
gid://shopify/TaxonomyAttribute/5242  : Cosmeticasettype
gid://shopify/TaxonomyAttribute/6663  : Kostuum onderdelen inbegrepen
gid://shopify/TaxonomyAttribute/2564  : Thema kostuum
gid://shopify/TaxonomyAttribute/5303  : Wattenbolgrootte
gid://shopify/TaxonomyAttribute/9316  : Katoen weeftype
gid://shopify/TaxonomyAttribute/2577  : Vorm balie
gid://shopify/TaxonomyAttribute/7303  : Type teller
gid://shopify/TaxonomyAttribute/7304  : Contragewicht vulmateriaal
gid://shopify/TaxonomyAttribute/7305  : Contragewicht type
gid://shopify/TaxonomyAttribute/2364  : Land
gid://shopify/TaxonomyAttribute/9317  : Koppelingssysteem
gid://shopify/TaxonomyAttribute/7306  : Baanoppervlak geschiktheid
gid://shopify/TaxonomyAttribute/1784  : Ontwerp dekselsluiting
gid://shopify/TaxonomyAttribute/3012  : Kenmerken omslag
gid://shopify/TaxonomyAttribute/7307  : Pasvormstijl van hoes
gid://shopify/TaxonomyAttribute/8235  : Hoes pasvormtype
gid://shopify/TaxonomyAttribute/1341  : Omslagmateriaal
gid://shopify/TaxonomyAttribute/2707  : Hoestype
gid://shopify/TaxonomyAttribute/5261  : Dekkingsniveau
gid://shopify/TaxonomyAttribute/2659  : Dekkingsregio
gid://shopify/TaxonomyAttribute/9318  : Koebelklopper type
gid://shopify/TaxonomyAttribute/9319  : Montagemethode koebel
gid://shopify/TaxonomyAttribute/9320  : Geluidstype koebel
gid://shopify/TaxonomyAttribute/6897  : Wieg capaciteit
gid://shopify/TaxonomyAttribute/9321  : Snij-/embossingmachine voor knutselen bediening
gid://shopify/TaxonomyAttribute/3277  : Type ambachtelijke snijder/embosser
gid://shopify/TaxonomyAttribute/9322  : Accessoires inbegrepen voor decoratiemaker voor knutselen
gid://shopify/TaxonomyAttribute/3278  : Type ambachtelijke decoratiemaker
gid://shopify/TaxonomyAttribute/9323  : Knutselfolie applicatiemethode
gid://shopify/TaxonomyAttribute/9324  : Knutselfolie formaat
gid://shopify/TaxonomyAttribute/9325  : Knutsellijm afwerking
gid://shopify/TaxonomyAttribute/2345  : Ontwerp ambachtelijk mes
gid://shopify/TaxonomyAttribute/9326  : Knutselmagneet toepassing
gid://shopify/TaxonomyAttribute/9327  : Knutselmagneet houdkracht
gid://shopify/TaxonomyAttribute/9328  : Knutselorganizer opbergkenmerken
gid://shopify/TaxonomyAttribute/3273  : Ontwerp van ambachtelijke pijpenragers
gid://shopify/TaxonomyAttribute/2321  : Type ambachtelijk project
gid://shopify/TaxonomyAttribute/9329  : Knutselrilbord meegeleverde accessoires
gid://shopify/TaxonomyAttribute/9330  : Knutselrilbord meetsysteem
gid://shopify/TaxonomyAttribute/9331  : Knutseldraad afwerking/coating
gid://shopify/TaxonomyAttribute/9332  : Knutselhout oppervlaktevoorbereiding
gid://shopify/TaxonomyAttribute/2329  : Type ambachtelijk/beeldhouwproject
gid://shopify/TaxonomyAttribute/3015  : Kenmerken knutselframe/stretcher
gid://shopify/TaxonomyAttribute/3013  : Kenmerken knutselmat/-pad
gid://shopify/TaxonomyAttribute/2873  : Type bevestiging stijgijzers
gid://shopify/TaxonomyAttribute/7308  : Crankspil interface
gid://shopify/TaxonomyAttribute/8236  : Krukas balanstype
gid://shopify/TaxonomyAttribute/8237  : Krukas boutpatroon
gid://shopify/TaxonomyAttribute/8238  : Krukas sensor reluctortype
gid://shopify/TaxonomyAttribute/6395  : Inbegrepen craps-accessoires
gid://shopify/TaxonomyAttribute/9333  : Crashbekken profiel
gid://shopify/TaxonomyAttribute/9334  : Geluidskarakter crashbekken
gid://shopify/TaxonomyAttribute/7309  : Crashpad maatklasse
gid://shopify/TaxonomyAttribute/8239  : Crate engine montageniveau
gid://shopify/TaxonomyAttribute/7717  : Room basisingrediënt
gid://shopify/TaxonomyAttribute/7718  : Roomkaas basis
gid://shopify/TaxonomyAttribute/7719  : Roomkaastextuur
gid://shopify/TaxonomyAttribute/7720  : Room soort
gid://shopify/TaxonomyAttribute/5131  : Type creatine
gid://shopify/TaxonomyAttribute/2293  : Type creatief kunstproject
gid://shopify/TaxonomyAttribute/6898  : Kenmerken ledikantaccessoires
gid://shopify/TaxonomyAttribute/6899  : Ledikantbumper kenmerken
gid://shopify/TaxonomyAttribute/6900  : Onderdelen ledikantombouwset
gid://shopify/TaxonomyAttribute/3104  : Kenmerken ledikant/peuterbed
gid://shopify/TaxonomyAttribute/7310  : Cricketbal kwaliteitsklasse
gid://shopify/TaxonomyAttribute/7311  : Cricketbal deelconstructie
gid://shopify/TaxonomyAttribute/7312  : Type cricketbal
gid://shopify/TaxonomyAttribute/7313  : Cricketbat accessoiretype
gid://shopify/TaxonomyAttribute/7314  : Cricketbat maat
gid://shopify/TaxonomyAttribute/7315  : Compatibiliteit van cricketbats met verschillende matenCricketbat maatcompatibiliteit
gid://shopify/TaxonomyAttribute/2849  : Cricketuitrusting inbegrepen
gid://shopify/TaxonomyAttribute/7316  : Crickethelm rol
gid://shopify/TaxonomyAttribute/7317  : Cricket beenbeschermer type
gid://shopify/TaxonomyAttribute/7318  : Cricketspeler rol
gid://shopify/TaxonomyAttribute/7319  : Cricket bescherming kwaliteitsklasse
gid://shopify/TaxonomyAttribute/7320  : Type basis cricketpaaltjes
gid://shopify/TaxonomyAttribute/7321  : Cricketstump doelkenmerken
gid://shopify/TaxonomyAttribute/7322  : Cricketstump type
gid://shopify/TaxonomyAttribute/7323  : Trainingsfocus cricket
gid://shopify/TaxonomyAttribute/7324  : Inbegrepen onderdelen croquetset
gid://shopify/TaxonomyAttribute/9335  : Kruissteekpatroon symbooltype
gid://shopify/TaxonomyAttribute/9336  : Kruissteek afwerkingstype
gid://shopify/TaxonomyAttribute/9340  : Kruissteekpatroon techniek
gid://shopify/TaxonomyAttribute/7325  : Cross-country binding systeem
gid://shopify/TaxonomyAttribute/9337  : Kruissteekframe stofbevestigingsmechanisme
gid://shopify/TaxonomyAttribute/9338  : Kruissteekframe meegeleverde onderdelen
gid://shopify/TaxonomyAttribute/9339  : Kruissteekframe type
gid://shopify/TaxonomyAttribute/8240  : Dwarsstang vorm/profiel
gid://shopify/TaxonomyAttribute/7326  : Dwarsstang stijl
gid://shopify/TaxonomyAttribute/7327  : Kruisboog type
gid://shopify/TaxonomyAttribute/8241  : Crossovercomponent type
gid://shopify/TaxonomyAttribute/8242  : Crossoverconfiguratie
gid://shopify/TaxonomyAttribute/8243  : Crossover type
gid://shopify/TaxonomyAttribute/6664  : Kroon profiel
gid://shopify/TaxonomyAttribute/6665  : Kroon stijl
gid://shopify/TaxonomyAttribute/5825  : Vermalingsmethode
gid://shopify/TaxonomyAttribute/5826  : Bruiningsniveau van de korst
gid://shopify/TaxonomyAttribute/7721  : Korst smaakprofiel
gid://shopify/TaxonomyAttribute/5072  : Type krukvouwing
gid://shopify/TaxonomyAttribute/1589  : Kruktype
gid://shopify/TaxonomyAttribute/9341  : Kristal afwerking
gid://shopify/TaxonomyAttribute/6666  : Horlogeglas materiaal
gid://shopify/TaxonomyAttribute/2375  : Kristalsysteem
gid://shopify/TaxonomyAttribute/9342  : Kristallijne afwerkingsstijl
gid://shopify/TaxonomyAttribute/7722  : Komkommer soort
gid://shopify/TaxonomyAttribute/7328  : Keucompatibiliteit
gid://shopify/TaxonomyAttribute/7329  : Keuconstructie
gid://shopify/TaxonomyAttribute/7330  : Materiaal keukop
gid://shopify/TaxonomyAttribute/7331  : Keusport compatibiliteit
gid://shopify/TaxonomyAttribute/1239  : Keustijl
gid://shopify/TaxonomyAttribute/7332  : Keu schroefdraadmaat
gid://shopify/TaxonomyAttribute/7333  : Keutip hardheid
gid://shopify/TaxonomyAttribute/1240  : Keutype
gid://shopify/TaxonomyAttribute/1241  : Keuwikkel
gid://shopify/TaxonomyAttribute/5105  : Type manchetconnector
gid://shopify/TaxonomyAttribute/7334  : Manchethoogte
gid://shopify/TaxonomyAttribute/7335  : Manchetpositie
gid://shopify/TaxonomyAttribute/5104  : Manchetgroottecategorie
gid://shopify/TaxonomyAttribute/5071  : Manchetstijl
gid://shopify/TaxonomyAttribute/1495  : Keuken
gid://shopify/TaxonomyAttribute/1447  : Culinaire botanische naam
gid://shopify/TaxonomyAttribute/5827  : Cultivartype
gid://shopify/TaxonomyAttribute/7723  : Teeltmethode
gid://shopify/TaxonomyAttribute/5828  : Cultivatortype
gid://shopify/TaxonomyAttribute/17    : Cupmaat
gid://shopify/TaxonomyAttribute/9343  : Cup type
gid://shopify/TaxonomyAttribute/5829  : Kenmerken kopjeswarmer
gid://shopify/TaxonomyAttribute/7724  : Cupcake maat
gid://shopify/TaxonomyAttribute/7725  : Wrongel maat
gid://shopify/TaxonomyAttribute/7336  : Uithardingsmethode
gid://shopify/TaxonomyAttribute/5278  : Uithardingsmethode
gid://shopify/TaxonomyAttribute/7726  : Uithardings- of bereidingsmethode
gid://shopify/TaxonomyAttribute/5246  : Krullerkussenmateriaal
gid://shopify/TaxonomyAttribute/5244  : Kruller grootte compatibiliteit
gid://shopify/TaxonomyAttribute/1650  : Krultangtype
gid://shopify/TaxonomyAttribute/7337  : Curlingbezemkop materiaal
gid://shopify/TaxonomyAttribute/7338  : Curlingbezemkop type
gid://shopify/TaxonomyAttribute/7339  : Curlingschoen slider materiaal
gid://shopify/TaxonomyAttribute/7340  : Curling trainingshulpmiddel type
gid://shopify/TaxonomyAttribute/1791  : Valuta
gid://shopify/TaxonomyAttribute/2610  : Valutatype
gid://shopify/TaxonomyAttribute/7727  : Curryvariëteit
gid://shopify/TaxonomyAttribute/5830  : Gordijnophangstijl
gid://shopify/TaxonomyAttribute/5831  : Type gordijnvoering
gid://shopify/TaxonomyAttribute/5832  : Type gordijnroede
gid://shopify/TaxonomyAttribute/5328  : Kussenontwerp
gid://shopify/TaxonomyAttribute/7341  : Stootrubberprofiel
gid://shopify/TaxonomyAttribute/6667  : Dempingsniveau
gid://shopify/TaxonomyAttribute/9344  : Aangepast label content type
gid://shopify/TaxonomyAttribute/2654  : Kanalen voor klantenondersteuning
gid://shopify/TaxonomyAttribute/9345  : Personalisatietype
gid://shopify/TaxonomyAttribute/7728  : Snij-/bereidingsstijl
gid://shopify/TaxonomyAttribute/7342  : Snijbestendigheid classificatie
gid://shopify/TaxonomyAttribute/9346  : Snijtype
gid://shopify/TaxonomyAttribute/3367  : Opties snijder
gid://shopify/TaxonomyAttribute/9347  : Snijtoepassing
gid://shopify/TaxonomyAttribute/5833  : Functie van doorslijpschijf
gid://shopify/TaxonomyAttribute/5834  : Type snijkop
gid://shopify/TaxonomyAttribute/9348  : Snijmat rasterstijl
gid://shopify/TaxonomyAttribute/9349  : Snijmat beoogd gebruik
gid://shopify/TaxonomyAttribute/5835  : Type snijmechanisme
gid://shopify/TaxonomyAttribute/1422  : Snijmethode
gid://shopify/TaxonomyAttribute/7343  : Fietskleding pasvorm
gid://shopify/TaxonomyAttribute/1278  : Fietsstijl
gid://shopify/TaxonomyAttribute/5836  : Type cilinderaansluiting:
gid://shopify/TaxonomyAttribute/8248  : Cilinderkop montage
gid://shopify/TaxonomyAttribute/8249  : Cilinderkop materiaalklasse
gid://shopify/TaxonomyAttribute/8250  : Cilinderkop positie
gid://shopify/TaxonomyAttribute/5083  : Cilindergrootte-aanduiding
gid://shopify/TaxonomyAttribute/9355  : Bekken- en drumkoffer wielconfiguratie
gid://shopify/TaxonomyAttribute/9350  : Bekken legering
gid://shopify/TaxonomyAttribute/9351  : Bekken toepassing
gid://shopify/TaxonomyAttribute/9352  : Bekkenarm montage-interface
gid://shopify/TaxonomyAttribute/9353  : Bekkenarm rotatie-/positioneringskenmerken
gid://shopify/TaxonomyAttribute/9354  : Bekkenarm stijl
gid://shopify/TaxonomyAttribute/9356  : Bekken hamerstijl
gid://shopify/TaxonomyAttribute/9357  : Inbegrepen onderdelen bekkenset
gid://shopify/TaxonomyAttribute/9358  : Inbegrepen bekkensetitems
gid://shopify/TaxonomyAttribute/9359  : Bekken draaigroeven
gid://shopify/TaxonomyAttribute/9360  : Bekken speelstijl/genre
gid://shopify/TaxonomyAttribute/9361  : Bekken setconfiguratie
gid://shopify/TaxonomyAttribute/9362  : Geluidskarakter bekken
gid://shopify/TaxonomyAttribute/9363  : Bekken sustain
gid://shopify/TaxonomyAttribute/9364  : Bekken type
gid://shopify/TaxonomyAttribute/9365  : Bekken volumeniveau
gid://shopify/TaxonomyAttribute/9366  : Bekken gewichtsklasse
gid://shopify/TaxonomyAttribute/5347  : Din-grootte
gid://shopify/TaxonomyAttribute/3069  : Kenmerken DJ-apparatuur
gid://shopify/TaxonomyAttribute/3310  : Compatibiliteit DJ-software
gid://shopify/TaxonomyAttribute/9392  : DMX uitgang aansluitingstype
gid://shopify/TaxonomyAttribute/5362  : DOCSIS-standaard
gid://shopify/TaxonomyAttribute/5006  : Compatibiliteit met DSL-standaard
gid://shopify/TaxonomyAttribute/5588  : Type DVI-verbinding
gid://shopify/TaxonomyAttribute/7729  : Zuivel hittebehandeling
gid://shopify/TaxonomyAttribute/5517  : Daisy-chain mogelijkheid
gid://shopify/TaxonomyAttribute/8251  : Schadetype
gid://shopify/TaxonomyAttribute/9367  : Demperpedaal stijl
gid://shopify/TaxonomyAttribute/8252  : Demping verstelbaarheid
gid://shopify/TaxonomyAttribute/9368  : Dempingsniveau
gid://shopify/TaxonomyAttribute/6668  : Dansgelegenheid
gid://shopify/TaxonomyAttribute/3418  : Dansstijl
gid://shopify/TaxonomyAttribute/9369  : Inbegrepen Darbuka-accessoires
gid://shopify/TaxonomyAttribute/9370  : Darbuka body afwerkingstype
gid://shopify/TaxonomyAttribute/9371  : Darbuka velmateriaal
gid://shopify/TaxonomyAttribute/7344  : Dartbarrel materiaal
gid://shopify/TaxonomyAttribute/7345  : Dartshaft ontwerp
gid://shopify/TaxonomyAttribute/7346  : Dartshaft schroefdraadtype
gid://shopify/TaxonomyAttribute/7347  : Schroefdraadmaat dartpijl
gid://shopify/TaxonomyAttribute/7348  : Dartpunt compatibiliteit
gid://shopify/TaxonomyAttribute/7349  : Dartpunt verbindingstype
gid://shopify/TaxonomyAttribute/7350  : Goedkeuring dartbordtoernooi
gid://shopify/TaxonomyAttribute/7351  : Dartbordtype
gid://shopify/TaxonomyAttribute/8253  : Constructietype dashboardbekleding
gid://shopify/TaxonomyAttribute/8254  : Dashboardhoes uitsparing configuratie
