# Shopify Product Taxonomy - Categories: 2025-08-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Productos para mascotas y animales
gid://shopify/TaxonomyCategory/ap-2-36-5         : Productos para mascotas y animales > Productos para mascotas > Cuidado dental para mascotas > Aditivos para el agua para el cuidado dental
gid://shopify/TaxonomyCategory/ap-2-36-6         : Productos para mascotas y animales > Productos para mascotas > Cuidado dental para mascotas > Toallitas para el cuidado dental
gid://shopify/TaxonomyCategory/ap-2-36-7         : Productos para mascotas y animales > Productos para mascotas > Cuidado dental para mascotas > Enjuagues bucales
gid://shopify/TaxonomyCategory/ap-2-36-8         : Productos para mascotas y animales > Productos para mascotas > Cuidado dental para mascotas > Cepillos de dientes
gid://shopify/TaxonomyCategory/ap-2-36-9         : Productos para mascotas y animales > Productos para mascotas > Cuidado dental para mascotas > Pasta de dientes
gid://shopify/TaxonomyCategory/ap-2-49           : Productos para mascotas y animales > Productos para mascotas > Escalones y rampas para mascotas
gid://shopify/TaxonomyCategory/ap-2-39           : Productos para mascotas y animales > Productos para mascotas > Cochecitos para mascotas
gid://shopify/TaxonomyCategory/ap-2-39-1         : Productos para mascotas y animales > Productos para mascotas > Cochecitos para mascotas > Cochecitos para mascotas con transporte desmontable
gid://shopify/TaxonomyCategory/ap-2-39-2         : Productos para mascotas y animales > Productos para mascotas > Cochecitos para mascotas > Cochecitos de dos pisos
gid://shopify/TaxonomyCategory/ap-2-39-3         : Productos para mascotas y animales > Productos para mascotas > Cochecitos para mascotas > Cochecitos para correr
gid://shopify/TaxonomyCategory/ap-2-39-4         : Productos para mascotas y animales > Productos para mascotas > Cochecitos para mascotas > Cochecitos múltiples
gid://shopify/TaxonomyCategory/ap-2-39-5         : Productos para mascotas y animales > Productos para mascotas > Cochecitos para mascotas > Cochecitos estándar
gid://shopify/TaxonomyCategory/ap-2-40           : Productos para mascotas y animales > Productos para mascotas > Protector solar para mascotas
gid://shopify/TaxonomyCategory/ap-2-41           : Productos para mascotas y animales > Productos para mascotas > Kits de adiestramiento para mascotas
gid://shopify/TaxonomyCategory/ap-2-41-1         : Productos para mascotas y animales > Productos para mascotas > Kits de adiestramiento para mascotas > Dispensadores de premios y contadores para adiestrar mascotas
gid://shopify/TaxonomyCategory/ap-2-41-2         : Productos para mascotas y animales > Productos para mascotas > Kits de adiestramiento para mascotas > Protectores de empapadores para mascotas
gid://shopify/TaxonomyCategory/ap-2-41-2-1       : Productos para mascotas y animales > Productos para mascotas > Kits de adiestramiento para mascotas > Protectores de empapadores para mascotas > Protectores de empapadores con rejilla superior
gid://shopify/TaxonomyCategory/ap-2-41-2-2       : Productos para mascotas y animales > Productos para mascotas > Kits de adiestramiento para mascotas > Protectores de empapadores para mascotas > Protectores de empapadores regulares
gid://shopify/TaxonomyCategory/ap-2-41-2-3       : Productos para mascotas y animales > Productos para mascotas > Kits de adiestramiento para mascotas > Protectores de empapadores para mascotas > Protectores de empapadores de pared
gid://shopify/TaxonomyCategory/ap-2-41-3         : Productos para mascotas y animales > Productos para mascotas > Kits de adiestramiento para mascotas > Empapadores para mascotas
gid://shopify/TaxonomyCategory/ap-2-41-4         : Productos para mascotas y animales > Productos para mascotas > Kits de adiestramiento para mascotas > Soluciones y espráis de adiestramiento para mascotas
gid://shopify/TaxonomyCategory/ap-2-42           : Productos para mascotas y animales > Productos para mascotas > Suplementos y vitaminas para mascotas
gid://shopify/TaxonomyCategory/ap-2-42-11        : Productos para mascotas y animales > Productos para mascotas > Suplementos y vitaminas para mascotas > Suplementos de CBD
gid://shopify/TaxonomyCategory/ap-2-42-2         : Productos para mascotas y animales > Productos para mascotas > Suplementos y vitaminas para mascotas > Calcio
gid://shopify/TaxonomyCategory/ap-2-42-3         : Productos para mascotas y animales > Productos para mascotas > Suplementos y vitaminas para mascotas > Salud dental
gid://shopify/TaxonomyCategory/ap-2-42-4         : Productos para mascotas y animales > Productos para mascotas > Suplementos y vitaminas para mascotas > Aceite de pescado
gid://shopify/TaxonomyCategory/ap-2-42-5         : Productos para mascotas y animales > Productos para mascotas > Suplementos y vitaminas para mascotas > Ayudas para el sistema inmune
gid://shopify/TaxonomyCategory/ap-2-42-6         : Productos para mascotas y animales > Productos para mascotas > Suplementos y vitaminas para mascotas > Salud de las articulaciones
gid://shopify/TaxonomyCategory/ap-2-42-7         : Productos para mascotas y animales > Productos para mascotas > Suplementos y vitaminas para mascotas > Multivitaminas
gid://shopify/TaxonomyCategory/ap-2-42-8         : Productos para mascotas y animales > Productos para mascotas > Suplementos y vitaminas para mascotas > Probióticos
gid://shopify/TaxonomyCategory/ap-2-42-9         : Productos para mascotas y animales > Productos para mascotas > Suplementos y vitaminas para mascotas > Piel y pelaje
gid://shopify/TaxonomyCategory/ap-2-42-10        : Productos para mascotas y animales > Productos para mascotas > Suplementos y vitaminas para mascotas > Control de peso
gid://shopify/TaxonomyCategory/ap-2-43           : Productos para mascotas y animales > Productos para mascotas > Contenedores y dispensadores de bolsas de excrementos
gid://shopify/TaxonomyCategory/ap-2-43-1         : Productos para mascotas y animales > Productos para mascotas > Contenedores y dispensadores de bolsas de excrementos > Dispensadores con linterna
gid://shopify/TaxonomyCategory/ap-2-43-2         : Productos para mascotas y animales > Productos para mascotas > Contenedores y dispensadores de bolsas de excrementos > Dispensadores y contenedores estándar
gid://shopify/TaxonomyCategory/ap-2-43-3         : Productos para mascotas y animales > Productos para mascotas > Contenedores y dispensadores de bolsas de excrementos > Dispensadores con almacenamiento
gid://shopify/TaxonomyCategory/ap-2-44           : Productos para mascotas y animales > Productos para mascotas > Bolsas de basura para mascotas
gid://shopify/TaxonomyCategory/ap-2-45           : Productos para mascotas y animales > Productos para mascotas > Herramientas y sistemas de desecho de excrementos
gid://shopify/TaxonomyCategory/ap-2-45-1         : Productos para mascotas y animales > Productos para mascotas > Herramientas y sistemas de desecho de excrementos > Bolsas para perros
gid://shopify/TaxonomyCategory/ap-2-45-2         : Productos para mascotas y animales > Productos para mascotas > Herramientas y sistemas de desecho de excrementos > Bandejas de arena
gid://shopify/TaxonomyCategory/ap-2-45-3         : Productos para mascotas y animales > Productos para mascotas > Herramientas y sistemas de desecho de excrementos > Sistemas de eliminación de desechos de mascotas
gid://shopify/TaxonomyCategory/ap-2-45-4         : Productos para mascotas y animales > Productos para mascotas > Herramientas y sistemas de desecho de excrementos > Recogedores de basura
gid://shopify/TaxonomyCategory/ap-2-46           : Productos para mascotas y animales > Productos para mascotas > Productos para reptiles y anfibios
gid://shopify/TaxonomyCategory/ap-2-46-1         : Productos para mascotas y animales > Productos para mascotas > Productos para reptiles y anfibios > Alimento para reptiles y anfibios
gid://shopify/TaxonomyCategory/ap-2-46-2         : Productos para mascotas y animales > Productos para mascotas > Productos para reptiles y anfibios > Accesorios para terrarios de reptiles y anfibios
gid://shopify/TaxonomyCategory/ap-2-46-3         : Productos para mascotas y animales > Productos para mascotas > Productos para reptiles y anfibios > Iluminación y calefacción de terrarios para reptiles y anfibios
gid://shopify/TaxonomyCategory/ap-2-46-4         : Productos para mascotas y animales > Productos para mascotas > Productos para reptiles y anfibios > Terrarios para reptiles y anfibios
gid://shopify/TaxonomyCategory/ap-2-46-4-1       : Productos para mascotas y animales > Productos para mascotas > Productos para reptiles y anfibios > Terrarios para reptiles y anfibios > Acuarios
gid://shopify/TaxonomyCategory/ap-2-46-4-2       : Productos para mascotas y animales > Productos para mascotas > Productos para reptiles y anfibios > Terrarios para reptiles y anfibios > Paludarios
gid://shopify/TaxonomyCategory/ap-2-46-4-3       : Productos para mascotas y animales > Productos para mascotas > Productos para reptiles y anfibios > Terrarios para reptiles y anfibios > Terrarios
gid://shopify/TaxonomyCategory/ap-2-46-4-4       : Productos para mascotas y animales > Productos para mascotas > Productos para reptiles y anfibios > Terrarios para reptiles y anfibios > Vivarios
gid://shopify/TaxonomyCategory/ap-2-46-5         : Productos para mascotas y animales > Productos para mascotas > Productos para reptiles y anfibios > Sustratos para reptiles y anfibios
gid://shopify/TaxonomyCategory/ap-2-47           : Productos para mascotas y animales > Productos para mascotas > Productos para animales pequeños
gid://shopify/TaxonomyCategory/ap-2-47-1         : Productos para mascotas y animales > Productos para mascotas > Productos para animales pequeños > Artículos para camas de animales pequeños
gid://shopify/TaxonomyCategory/ap-2-47-2         : Productos para mascotas y animales > Productos para mascotas > Productos para animales pequeños > Alimento para animales pequeños
gid://shopify/TaxonomyCategory/ap-2-47-3         : Productos para mascotas y animales > Productos para mascotas > Productos para animales pequeños > Accesorios para habitáculos para animales pequeños
gid://shopify/TaxonomyCategory/ap-2-47-4         : Productos para mascotas y animales > Productos para mascotas > Productos para animales pequeños > Jaulas y habitáculos para animales pequeños
gid://shopify/TaxonomyCategory/ap-2-47-5         : Productos para mascotas y animales > Productos para mascotas > Productos para animales pequeños > Golosinas para animales pequeños
gid://shopify/TaxonomyCategory/ap-2-47-5-1       : Productos para mascotas y animales > Productos para mascotas > Productos para animales pequeños > Golosinas para animales pequeños > Galletas y bollería
gid://shopify/TaxonomyCategory/ap-2-47-5-2       : Productos para mascotas y animales > Productos para mascotas > Productos para animales pequeños > Golosinas para animales pequeños > Golosinas para masticar
gid://shopify/TaxonomyCategory/ap-2-47-5-3       : Productos para mascotas y animales > Productos para mascotas > Productos para animales pequeños > Golosinas para animales pequeños > Golosinas crujientes
gid://shopify/TaxonomyCategory/ap-2-47-5-4       : Productos para mascotas y animales > Productos para mascotas > Productos para animales pequeños > Golosinas para animales pequeños > Golosinas suaves
gid://shopify/TaxonomyCategory/ap-2-47-5-5       : Productos para mascotas y animales > Productos para mascotas > Productos para animales pequeños > Golosinas para animales pequeños > Golosinas en palitos
gid://shopify/TaxonomyCategory/ap-2-47-5-6       : Productos para mascotas y animales > Productos para mascotas > Productos para animales pequeños > Golosinas para animales pequeños > Golosinas de entrenamiento
gid://shopify/TaxonomyCategory/ap-2-48           : Productos para mascotas y animales > Productos para mascotas > Barreras para mascotas para vehículos
gid://shopify/TaxonomyCategory/ap-2-48-1         : Productos para mascotas y animales > Productos para mascotas > Barreras para mascotas para vehículos > Barreras del asiento trasero
gid://shopify/TaxonomyCategory/ap-2-48-2         : Productos para mascotas y animales > Productos para mascotas > Barreras para mascotas para vehículos > Barreras del maletero
gid://shopify/TaxonomyCategory/ap-2-48-3         : Productos para mascotas y animales > Productos para mascotas > Barreras para mascotas para vehículos > Barreras de puerta
gid://shopify/TaxonomyCategory/ap-2-48-4         : Productos para mascotas y animales > Productos para mascotas > Barreras para mascotas para vehículos > Particiones
gid://shopify/TaxonomyCategory/ap-2-48-5         : Productos para mascotas y animales > Productos para mascotas > Barreras para mascotas para vehículos > Barreras de ventana
gid://shopify/TaxonomyCategory/aa                : Ropa y accesorios
gid://shopify/TaxonomyCategory/aa-1              : Ropa y accesorios > Prendas de vestir
gid://shopify/TaxonomyCategory/aa-1-1            : Ropa y accesorios > Prendas de vestir > Ropa deportiva
gid://shopify/TaxonomyCategory/aa-1-1-1          : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Pantalones deportivos
gid://shopify/TaxonomyCategory/aa-1-1-1-1        : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Pantalones deportivos > Pantalones para correr
gid://shopify/TaxonomyCategory/aa-1-1-1-2        : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Pantalones deportivos > Leggings
gid://shopify/TaxonomyCategory/aa-1-1-1-3        : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Pantalones deportivos > Pantalones cortos
gid://shopify/TaxonomyCategory/aa-1-1-1-4        : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Pantalones deportivos > Pantalones de franela
gid://shopify/TaxonomyCategory/aa-1-1-1-5        : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Pantalones deportivos > Mallas
gid://shopify/TaxonomyCategory/aa-1-1-1-6        : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Pantalones deportivos > Pantalones de chándal
gid://shopify/TaxonomyCategory/aa-1-1-1-7        : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Pantalones deportivos > Pantalones para entrenamientos
gid://shopify/TaxonomyCategory/aa-1-1-1-8        : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Pantalones deportivos > Pantalones cortavientos
gid://shopify/TaxonomyCategory/aa-1-1-7          : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Sudaderas para deporte y sudaderas con capucha
gid://shopify/TaxonomyCategory/aa-1-1-7-2        : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Sudaderas para deporte y sudaderas con capucha > Sudaderas con capucha
gid://shopify/TaxonomyCategory/aa-1-1-7-4        : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Sudaderas para deporte y sudaderas con capucha > Sudaderas
gid://shopify/TaxonomyCategory/aa-1-1-7-5        : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Sudaderas para deporte y sudaderas con capucha > Chaquetas deportivas
gid://shopify/TaxonomyCategory/aa-1-1-2          : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Tops deportivos
gid://shopify/TaxonomyCategory/aa-1-1-2-1        : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Tops deportivos > Tops cortos
gid://shopify/TaxonomyCategory/aa-1-1-2-2        : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Tops deportivos > Camisetas de manga corta
gid://shopify/TaxonomyCategory/aa-1-1-2-3        : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Tops deportivos > Camisetas sin mangas
gid://shopify/TaxonomyCategory/aa-1-1-8          : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Chalecos y chaquetas deportivas
gid://shopify/TaxonomyCategory/aa-1-1-8-2        : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Chalecos y chaquetas deportivas > Chaquetas
gid://shopify/TaxonomyCategory/aa-1-1-8-1        : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Chalecos y chaquetas deportivas > Chalecos
gid://shopify/TaxonomyCategory/aa-1-1-4          : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Pantalones de boxeo
gid://shopify/TaxonomyCategory/aa-1-1-5          : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Vestidos, faldas y trajes de baile
gid://shopify/TaxonomyCategory/aa-1-1-9          : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Leotardos y unitardos
gid://shopify/TaxonomyCategory/aa-1-1-6          : Ropa y accesorios > Prendas de vestir > Ropa deportiva > Sujetadores deportivos
gid://shopify/TaxonomyCategory/aa-1-2            : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños
gid://shopify/TaxonomyCategory/aa-1-2-1          : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Pantalones para bebés y niños pequeños
gid://shopify/TaxonomyCategory/aa-1-2-1-2        : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Pantalones para bebés y niños pequeños > Cargos
gid://shopify/TaxonomyCategory/aa-1-2-1-3        : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Pantalones para bebés y niños pequeños > Chinos
gid://shopify/TaxonomyCategory/aa-1-2-1-4        : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Pantalones para bebés y niños pequeños > Vaqueros
gid://shopify/TaxonomyCategory/aa-1-2-1-5        : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Pantalones para bebés y niños pequeños > Mallas vaqueras
gid://shopify/TaxonomyCategory/aa-1-2-1-7        : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Pantalones para bebés y niños pequeños > Pantalones para correr
gid://shopify/TaxonomyCategory/aa-1-2-1-8        : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Pantalones para bebés y niños pequeños > Leggings
gid://shopify/TaxonomyCategory/aa-1-2-1-11       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Pantalones para bebés y niños pequeños > Faldas
gid://shopify/TaxonomyCategory/aa-1-2-1-12       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Pantalones para bebés y niños pequeños > Faldas pantalón
gid://shopify/TaxonomyCategory/aa-1-2-1-13       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Pantalones para bebés y niños pequeños > Pantalones de franela
gid://shopify/TaxonomyCategory/aa-1-2-1-14       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Pantalones para bebés y niños pequeños > Pantalones
gid://shopify/TaxonomyCategory/aa-1-2-2          : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Cubrepañales
gid://shopify/TaxonomyCategory/aa-1-2-3          : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Vestidos para bebés y niñas pequeñas
gid://shopify/TaxonomyCategory/aa-1-2-4          : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños
gid://shopify/TaxonomyCategory/aa-1-2-4-17       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños > Abrigos y chaquetas para bebés y niños pequeños
gid://shopify/TaxonomyCategory/aa-1-2-4-17-1     : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños > Abrigos y chaquetas para bebés y niños pequeños > Chaquetas bolero
gid://shopify/TaxonomyCategory/aa-1-2-4-17-2     : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños > Abrigos y chaquetas para bebés y niños pequeños > Chaquetas bomber
gid://shopify/TaxonomyCategory/aa-1-2-4-17-3     : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños > Abrigos y chaquetas para bebés y niños pequeños > Capas
gid://shopify/TaxonomyCategory/aa-1-2-4-17-4     : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños > Abrigos y chaquetas para bebés y niños pequeños > Ropa de motociclista
gid://shopify/TaxonomyCategory/aa-1-2-4-17-5     : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños > Abrigos y chaquetas para bebés y niños pequeños > Sobretodo
gid://shopify/TaxonomyCategory/aa-1-2-4-17-6     : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños > Abrigos y chaquetas para bebés y niños pequeños > Parkas
gid://shopify/TaxonomyCategory/aa-1-2-4-17-7     : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños > Abrigos y chaquetas para bebés y niños pequeños > Abrigos peacoat
gid://shopify/TaxonomyCategory/aa-1-2-4-17-8     : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños > Abrigos y chaquetas para bebés y niños pequeños > Ponchos
gid://shopify/TaxonomyCategory/aa-1-2-4-17-9     : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños > Abrigos y chaquetas para bebés y niños pequeños > Chaquetas acolchadas
gid://shopify/TaxonomyCategory/aa-1-2-4-17-10    : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños > Abrigos y chaquetas para bebés y niños pequeños > Impermeables
gid://shopify/TaxonomyCategory/aa-1-2-4-17-11    : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños > Abrigos y chaquetas para bebés y niños pequeños > Chaquetas deportivas
gid://shopify/TaxonomyCategory/aa-1-2-4-17-12    : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños > Abrigos y chaquetas para bebés y niños pequeños > Chaquetas deportivas
gid://shopify/TaxonomyCategory/aa-1-2-4-17-13    : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños > Abrigos y chaquetas para bebés y niños pequeños > Gabardinas
gid://shopify/TaxonomyCategory/aa-1-2-4-17-14    : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños > Abrigos y chaquetas para bebés y niños pequeños > Cazadoras vaqueras
gid://shopify/TaxonomyCategory/aa-1-2-4-17-15    : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños > Abrigos y chaquetas para bebés y niños pequeños > Chaquetas impermeables
gid://shopify/TaxonomyCategory/aa-1-2-4-17-16    : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños > Abrigos y chaquetas para bebés y niños pequeños > Abrigos envolventes
gid://shopify/TaxonomyCategory/aa-1-2-4-18       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa de abrigo para bebés y niños pequeños > Pantalones y trajes para nieve
gid://shopify/TaxonomyCategory/aa-1-2-5          : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Conjuntos de ropa para bebés y niños pequeños
gid://shopify/TaxonomyCategory/aa-1-2-6          : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Pijamas y saquitos para bebés
gid://shopify/TaxonomyCategory/aa-1-2-7          : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Calcetines para bebés y niños pequeños
gid://shopify/TaxonomyCategory/aa-1-2-8          : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Bañadores para bebés y niños pequeños
gid://shopify/TaxonomyCategory/aa-1-2-8-2        : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Bañadores para bebés y niños pequeños > Burkinis
gid://shopify/TaxonomyCategory/aa-1-2-8-3        : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Bañadores para bebés y niños pequeños > Bikinis clásicos
gid://shopify/TaxonomyCategory/aa-1-2-8-4        : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Bañadores para bebés y niños pequeños > Batas
gid://shopify/TaxonomyCategory/aa-1-2-8-22       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Bañadores para bebés y niños pequeños > Trajes de baño de una pieza
gid://shopify/TaxonomyCategory/aa-1-2-8-9        : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Bañadores para bebés y niños pequeños > Camiseta de buceo
gid://shopify/TaxonomyCategory/aa-1-2-8-10       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Bañadores para bebés y niños pequeños > Skirtinis
gid://shopify/TaxonomyCategory/aa-1-2-8-23       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Bañadores para bebés y niños pequeños > Camisetas de surf
gid://shopify/TaxonomyCategory/aa-1-2-8-13       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Bañadores para bebés y niños pequeños > Bóxers para natación
gid://shopify/TaxonomyCategory/aa-1-2-8-14       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Bañadores para bebés y niños pequeños > Calzoncillos de natación
gid://shopify/TaxonomyCategory/aa-1-2-8-15       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Bañadores para bebés y niños pequeños > Vestidos de baño
gid://shopify/TaxonomyCategory/aa-1-2-8-16       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Bañadores para bebés y niños pequeños > Jammers para natación
gid://shopify/TaxonomyCategory/aa-1-2-8-17       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Bañadores para bebés y niños pequeños > Traje de baño de hombre
gid://shopify/TaxonomyCategory/aa-1-2-8-24       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Bañadores para bebés y niños pequeños > Parte superior de traje de baño
gid://shopify/TaxonomyCategory/aa-1-2-9          : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Camisetas para bebés y niños pequeños
gid://shopify/TaxonomyCategory/aa-1-2-9-2        : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Camisetas para bebés y niños pequeños > Bodis
gid://shopify/TaxonomyCategory/aa-1-2-9-3        : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Camisetas para bebés y niños pequeños > Cárdigan
gid://shopify/TaxonomyCategory/aa-1-2-9-11       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Camisetas para bebés y niños pequeños > Sudaderas con capucha
gid://shopify/TaxonomyCategory/aa-1-2-9-4        : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Camisetas para bebés y niños pequeños > Sobrecamisas
gid://shopify/TaxonomyCategory/aa-1-2-9-5        : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Camisetas para bebés y niños pequeños > Polos
gid://shopify/TaxonomyCategory/aa-1-2-9-6        : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Camisetas para bebés y niños pequeños > Camisas
gid://shopify/TaxonomyCategory/aa-1-2-9-12       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Camisetas para bebés y niños pequeños > Suéteres
gid://shopify/TaxonomyCategory/aa-1-2-9-13       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Camisetas para bebés y niños pequeños > Sudaderas
gid://shopify/TaxonomyCategory/aa-1-2-9-7        : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Camisetas para bebés y niños pequeños > Camisetas de manga corta
gid://shopify/TaxonomyCategory/aa-1-2-9-10       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Camisetas para bebés y niños pequeños > Túnicas
gid://shopify/TaxonomyCategory/aa-1-2-10         : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Bodys para bebés
gid://shopify/TaxonomyCategory/aa-1-2-11         : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa interior para niños pequeños
gid://shopify/TaxonomyCategory/aa-1-2-11-1       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa interior para niños pequeños > Calzoncillos bóxer
gid://shopify/TaxonomyCategory/aa-1-2-11-2       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa interior para niños pequeños > Bóxer
gid://shopify/TaxonomyCategory/aa-1-2-11-3       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa interior para niños pequeños > Calzoncillos
gid://shopify/TaxonomyCategory/aa-1-2-11-4       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa interior para niños pequeños > Panties
gid://shopify/TaxonomyCategory/aa-1-2-11-5       : Ropa y accesorios > Prendas de vestir > Ropa de bebés y niños pequeños > Ropa interior para niños pequeños > Pantalones para entrenamientos
gid://shopify/TaxonomyCategory/aa-1-3            : Ropa y accesorios > Prendas de vestir > Ropa interior para chicos
gid://shopify/TaxonomyCategory/aa-1-3-1          : Ropa y accesorios > Prendas de vestir > Ropa interior para chicos > Ropa interior térmica para niños
gid://shopify/TaxonomyCategory/aa-1-3-2          : Ropa y accesorios > Prendas de vestir > Ropa interior para chicos > Calzoncillos para niños
gid://shopify/TaxonomyCategory/aa-1-3-2-1        : Ropa y accesorios > Prendas de vestir > Ropa interior para chicos > Calzoncillos para niños > Calzoncillos bóxer
