# Shopify Product Taxonomy - Attributes: 2026-05
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : Дизайн 3D-очков
gid://shopify/TaxonomyAttribute/6358  : Комплектация Battle Top
gid://shopify/TaxonomyAttribute/6359  : Тип работы Battle Top
gid://shopify/TaxonomyAttribute/9045  : Аксессуары в комплекте баяна
gid://shopify/TaxonomyAttribute/9046  : Тип системы настройки баяна
gid://shopify/TaxonomyAttribute/6362  : Игрушки для пляжа и песка в комплекте
gid://shopify/TaxonomyAttribute/6360  : Характеристики пляжного мяча
gid://shopify/TaxonomyAttribute/6361  : Характеристики пляжного ведра
gid://shopify/TaxonomyAttribute/8060  : Тип механизма снятия бусин
gid://shopify/TaxonomyAttribute/7072  : Тип отверстия в бисере
gid://shopify/TaxonomyAttribute/2318  : Форма бусин
gid://shopify/TaxonomyAttribute/9047  : Тип бисера
gid://shopify/TaxonomyAttribute/9048  : Тип бисера (украшение в виде нашивки)
gid://shopify/TaxonomyAttribute/9049  : Тип проекта аксессуара из бисера
gid://shopify/TaxonomyAttribute/9050  : Гибкость иглы для бисероплетения
gid://shopify/TaxonomyAttribute/9051  : Размер бисера в схеме бисероплетения
gid://shopify/TaxonomyAttribute/9052  : Формат схемы узора для бисероплетения
gid://shopify/TaxonomyAttribute/9053  : Техника схемы бисероплетения
gid://shopify/TaxonomyAttribute/9054  : Техника бисероплетения
gid://shopify/TaxonomyAttribute/9055  : Тип волокна нити для бисероплетения
gid://shopify/TaxonomyAttribute/9056  : Размер бисерной нити
gid://shopify/TaxonomyAttribute/9057  : Сфера применения нити для бисероплетения
gid://shopify/TaxonomyAttribute/9058  : Материал покрытия проволоки для бисероплетения
gid://shopify/TaxonomyAttribute/9059  : Количество жил в проволоке для бисероплетения
gid://shopify/TaxonomyAttribute/8061  : Тип бедлока
gid://shopify/TaxonomyAttribute/9060  : Материал балки
gid://shopify/TaxonomyAttribute/8062  : Диаграмма направленности луча
gid://shopify/TaxonomyAttribute/7073  : Материал ткани кресла-мешка
gid://shopify/TaxonomyAttribute/7627  : Разновидность фасолевой пасты
gid://shopify/TaxonomyAttribute/7628  : Подготовка фасоли
gid://shopify/TaxonomyAttribute/7629  : Сорт фасоли
gid://shopify/TaxonomyAttribute/6639  : Стиль шапки-бини
gid://shopify/TaxonomyAttribute/5196  : Преимущества для бороды
gid://shopify/TaxonomyAttribute/7074  : Зазор подшипника
gid://shopify/TaxonomyAttribute/7075  : Тип конструкции подшипника
gid://shopify/TaxonomyAttribute/9061  : Тип кромки подшипника
gid://shopify/TaxonomyAttribute/7076  : Смазка подшипника
gid://shopify/TaxonomyAttribute/7077  : Материал подшипника
gid://shopify/TaxonomyAttribute/7078  : Класс подшипника
gid://shopify/TaxonomyAttribute/7079  : Код уплотнения подшипника
gid://shopify/TaxonomyAttribute/7080  : Тип уплотнения подшипника
gid://shopify/TaxonomyAttribute/7081  : Тип защитного кожуха подшипника
gid://shopify/TaxonomyAttribute/7082  : Код размера подшипника
gid://shopify/TaxonomyAttribute/7083  : Тип подшипника
gid://shopify/TaxonomyAttribute/2401  : Ритмическое деление
gid://shopify/TaxonomyAttribute/9062  : Материал головки колотушки
gid://shopify/TaxonomyAttribute/9063  : Наличие колотушек
gid://shopify/TaxonomyAttribute/6871  : Тип основания кровати
gid://shopify/TaxonomyAttribute/5371  : Тип выравнивания платформы
gid://shopify/TaxonomyAttribute/5081  : Характеристики судна
gid://shopify/TaxonomyAttribute/5080  : Стиль ручки судна
gid://shopify/TaxonomyAttribute/1546  : Тип подкладного судна
gid://shopify/TaxonomyAttribute/6872  : Тип хранения в кровати
gid://shopify/TaxonomyAttribute/3108  : Характеристики кровати
gid://shopify/TaxonomyAttribute/1441  : Состав набора постельных принадлежностей
gid://shopify/TaxonomyAttribute/1259  : Размер постельной принадлежности
gid://shopify/TaxonomyAttribute/6873  : Состав мебели для спальни
gid://shopify/TaxonomyAttribute/6874  : Аксессуары для туалетного столика в комплекте
gid://shopify/TaxonomyAttribute/5709  : Тип оформления углов подзора для кровати
gid://shopify/TaxonomyAttribute/5710  : Стиль подзора для кровати
gid://shopify/TaxonomyAttribute/5711  : Тип пивного бокала
gid://shopify/TaxonomyAttribute/1453  : Характеристики пива
gid://shopify/TaxonomyAttribute/1454  : Стиль пива
gid://shopify/TaxonomyAttribute/7630  : Вид коктейля на основе пива
gid://shopify/TaxonomyAttribute/7631  : Сорт свеклы
gid://shopify/TaxonomyAttribute/7084  : Механизм активации звонка
gid://shopify/TaxonomyAttribute/2579  : Конструкция звонка
gid://shopify/TaxonomyAttribute/9064  : Зона охвата защитного кожуха раструба
gid://shopify/TaxonomyAttribute/9065  : Материал раструба
gid://shopify/TaxonomyAttribute/2580  : Звук звонка
gid://shopify/TaxonomyAttribute/8063  : Расположение болтов картера раструба
gid://shopify/TaxonomyAttribute/9066  : Материал сильфона
gid://shopify/TaxonomyAttribute/9067  : Ориентация сильфона
gid://shopify/TaxonomyAttribute/6640  : Тип панели для живота
gid://shopify/TaxonomyAttribute/6641  : Тип пряжки ремня
gid://shopify/TaxonomyAttribute/5712  : Профиль ремня
gid://shopify/TaxonomyAttribute/2721  : Тип ремня
gid://shopify/TaxonomyAttribute/6642  : Тип берета
gid://shopify/TaxonomyAttribute/7632  : Вид ягод
gid://shopify/TaxonomyAttribute/41    : Оптимальное использование
gid://shopify/TaxonomyAttribute/7633  : Вариант бета-казеина
gid://shopify/TaxonomyAttribute/2213  : Возможности наклона
gid://shopify/TaxonomyAttribute/1976  : Форма выпуска напитка
gid://shopify/TaxonomyAttribute/7634  : Уровень сладости напитка
gid://shopify/TaxonomyAttribute/5713  : Характеристики емкости для напитков
gid://shopify/TaxonomyAttribute/7085  : Единицы шкалы вращающегося безеля
gid://shopify/TaxonomyAttribute/1771  : Тип слюнявчика
gid://shopify/TaxonomyAttribute/7086  : Компоненты комплекта велосипедных тормозов
gid://shopify/TaxonomyAttribute/1275  : Тип тормоза у велосипеда
gid://shopify/TaxonomyAttribute/7087  : Положение крепления флягодержателя на велосипеде
gid://shopify/TaxonomyAttribute/7088  : Расположение крепления велокомпьютера
gid://shopify/TaxonomyAttribute/3184  : Характеристики велосипеда
gid://shopify/TaxonomyAttribute/7089  : Механизм складывания велосипеда
gid://shopify/TaxonomyAttribute/7090  : Конструкция велосипедной рамы
gid://shopify/TaxonomyAttribute/7091  : Стиль велосипедной рамы
gid://shopify/TaxonomyAttribute/7092  : Тип велосипедного руля
gid://shopify/TaxonomyAttribute/7093  : Конфигурация рулевой колонки велосипеда
gid://shopify/TaxonomyAttribute/7094  : Тип велосипедной втулки
gid://shopify/TaxonomyAttribute/7095  : Сертификация безопасности велосипедного замка
gid://shopify/TaxonomyAttribute/7096  : Тип велосипедных педалей
gid://shopify/TaxonomyAttribute/7097  : Тип привода велосипеда
gid://shopify/TaxonomyAttribute/7098  : Тип велосипедного насоса
gid://shopify/TaxonomyAttribute/7099  : Тип крепления велосипедного багажника
gid://shopify/TaxonomyAttribute/7100  : Тип велосипедной подвески
gid://shopify/TaxonomyAttribute/7101  : Рисунок протектора велосипедной шины
gid://shopify/TaxonomyAttribute/8064  : Возможность двунаправленной зарядки
gid://shopify/TaxonomyAttribute/8065  : Способ крепления велокрепления
gid://shopify/TaxonomyAttribute/8066  : Функция наклона велосипедного багажника
gid://shopify/TaxonomyAttribute/6643  : Стиль верхней части бикини
gid://shopify/TaxonomyAttribute/7102  : Тип бильярдной щетки
gid://shopify/TaxonomyAttribute/7103  : Покрытие пальцев бильярдной перчатки
gid://shopify/TaxonomyAttribute/7104  : Стиль луз бильярдного стола
gid://shopify/TaxonomyAttribute/7105  : Стиль бильярдного треугольника
gid://shopify/TaxonomyAttribute/7106  : Тип бильярдного стола
gid://shopify/TaxonomyAttribute/7107  : Дисциплина бильярда
gid://shopify/TaxonomyAttribute/2233  : Форма колец для папки-регистратора
gid://shopify/TaxonomyAttribute/7108  : Стандарт совместимости креплений
gid://shopify/TaxonomyAttribute/7109  : Включение креплений
gid://shopify/TaxonomyAttribute/7110  : Интерфейс крепления
gid://shopify/TaxonomyAttribute/7111  : Тип внутреннего вкладыша крепления
gid://shopify/TaxonomyAttribute/1319  : Тип установки креплений
gid://shopify/TaxonomyAttribute/7112  : Система крепления
gid://shopify/TaxonomyAttribute/7113  : Позиция крепления
gid://shopify/TaxonomyAttribute/7114  : Положение ремешка крепления
gid://shopify/TaxonomyAttribute/2237  : Тип переплета
gid://shopify/TaxonomyAttribute/6363  : Состав набора для бинго
gid://shopify/TaxonomyAttribute/6364  : Диапазон номеров для бинго
gid://shopify/TaxonomyAttribute/6365  : Характеристики набора для бинго
gid://shopify/TaxonomyAttribute/2959  : Тип бинокля или монокуляра
gid://shopify/TaxonomyAttribute/4999  : Метод биометрической аутентификации
gid://shopify/TaxonomyAttribute/5638  : Виды биометрической сертификации
gid://shopify/TaxonomyAttribute/3122  : Функции аксессуара для инструментов для измерения биометрических показателей
gid://shopify/TaxonomyAttribute/7115  : Интерфейс крепления сошки
gid://shopify/TaxonomyAttribute/3218  : Конструкция клетки или подставки для птиц
gid://shopify/TaxonomyAttribute/3219  : Форма выпуска корма для птиц
gid://shopify/TaxonomyAttribute/3220  : Ингредиенты в составе корма для птиц
gid://shopify/TaxonomyAttribute/3221  : Тип лакомства для птиц
gid://shopify/TaxonomyAttribute/2508  : Дизайн свечей для тортов
gid://shopify/TaxonomyAttribute/3293  : Тип свечей для тортов
gid://shopify/TaxonomyAttribute/7116  : Тип крепления биты
gid://shopify/TaxonomyAttribute/7117  : Конструкция мундштука удила
gid://shopify/TaxonomyAttribute/7118  : Тип кольца удила
gid://shopify/TaxonomyAttribute/3099  : Тип биттера
gid://shopify/TaxonomyAttribute/7119  : Материал камеры
gid://shopify/TaxonomyAttribute/7120  : Тип крепления лезвия
gid://shopify/TaxonomyAttribute/5205  : Покрытие лезвия
gid://shopify/TaxonomyAttribute/5714  : Способ изготовления лезвия
gid://shopify/TaxonomyAttribute/1220  : Загиб крюка
gid://shopify/TaxonomyAttribute/2189  : Конструкция лезвий
gid://shopify/TaxonomyAttribute/5204  : Конфигурация лезвия
gid://shopify/TaxonomyAttribute/5715  : Отделка лезвия
gid://shopify/TaxonomyAttribute/7121  : Отделка/покрытие лезвия
gid://shopify/TaxonomyAttribute/7122  : Тип шейки лезвия
gid://shopify/TaxonomyAttribute/7123  : Тип длины лезвия
gid://shopify/TaxonomyAttribute/7124  : Угол наклона лезвия
gid://shopify/TaxonomyAttribute/1388  : Материал лезвия
gid://shopify/TaxonomyAttribute/5716  : Форма лезвия
gid://shopify/TaxonomyAttribute/7125  : Острота лезвия
gid://shopify/TaxonomyAttribute/5717  : Зубья по бокам лезвия
gid://shopify/TaxonomyAttribute/7126  : Категория размера лезвия
gid://shopify/TaxonomyAttribute/7127  : Класс размера лезвия
gid://shopify/TaxonomyAttribute/7128  : Номер размера лезвия
gid://shopify/TaxonomyAttribute/1251  : Тип лезвия
gid://shopify/TaxonomyAttribute/7129  : Механизм бластера
gid://shopify/TaxonomyAttribute/5718  : Формула отбеливателя
gid://shopify/TaxonomyAttribute/5719  : Тип отбеливателя
gid://shopify/TaxonomyAttribute/5720  : Материал чаши блендера
gid://shopify/TaxonomyAttribute/2614  : Тип смешивания
gid://shopify/TaxonomyAttribute/2808  : Тип жалюзи или шторы
gid://shopify/TaxonomyAttribute/6366  : Тип обработки краев блоков
gid://shopify/TaxonomyAttribute/5586  : Блокируемые типы сигналов
gid://shopify/TaxonomyAttribute/9068  : Характеристики блокировочного коврика
gid://shopify/TaxonomyAttribute/9069  : Единица сетки блокировочного коврика
gid://shopify/TaxonomyAttribute/9070  : Разметка поверхности блокировочного коврика
gid://shopify/TaxonomyAttribute/9071  : Покрытие блокировочной проволоки
gid://shopify/TaxonomyAttribute/9072  : Тип концевой заглушки блокирующей проволоки
gid://shopify/TaxonomyAttribute/9073  : Комплект поставки блокирующей проволоки
gid://shopify/TaxonomyAttribute/9074  : Использование блокирующей проволоки
gid://shopify/TaxonomyAttribute/5057  : Обнаруживаемые системы групп крови
gid://shopify/TaxonomyAttribute/1578  : Состав набора для анализа крови
gid://shopify/TaxonomyAttribute/9075  : Стадия цветения
gid://shopify/TaxonomyAttribute/5721  : Сезон цветения
gid://shopify/TaxonomyAttribute/8067  : Тип подшипника двигателя вентилятора
gid://shopify/TaxonomyAttribute/8068  : Положение установки двигателя вентилятора
gid://shopify/TaxonomyAttribute/9076  : Тип клапана нагнетательного трубопровода
gid://shopify/TaxonomyAttribute/5442  : Функциональность Bluetooth
gid://shopify/TaxonomyAttribute/7130  : Тип бо
gid://shopify/TaxonomyAttribute/1255  : Конкейв доски
gid://shopify/TaxonomyAttribute/3191  : Характеристики настольной игры
gid://shopify/TaxonomyAttribute/2759  : Механика настольной игры
gid://shopify/TaxonomyAttribute/6367  : Тема настольной игры
gid://shopify/TaxonomyAttribute/2092  : Материал доски
gid://shopify/TaxonomyAttribute/2264  : Способ установки доски
gid://shopify/TaxonomyAttribute/1256  : Профиль доски
gid://shopify/TaxonomyAttribute/7131  : Форма кантов доски
gid://shopify/TaxonomyAttribute/7132  : Классификация размеров досок
gid://shopify/TaxonomyAttribute/2267  : Покрытие доски
gid://shopify/TaxonomyAttribute/1312  : Тип деки
gid://shopify/TaxonomyAttribute/7133  : Совместимость типов досок
gid://shopify/TaxonomyAttribute/7134  : Тип конструкции лодки
gid://shopify/TaxonomyAttribute/8069  : Плавучесть багра
gid://shopify/TaxonomyAttribute/8070  : Тип хранения лестницы для лодки
gid://shopify/TaxonomyAttribute/8071  : Тип конструкции прицепа для лодки
gid://shopify/TaxonomyAttribute/2754  : Тип лодки
gid://shopify/TaxonomyAttribute/9077  : Тип выхода уточной нити из ткацкого челнока
gid://shopify/TaxonomyAttribute/9078  : Тип загрузки шпульки
gid://shopify/TaxonomyAttribute/9079  : Система шпульки
gid://shopify/TaxonomyAttribute/9080  : Тип шпульки
gid://shopify/TaxonomyAttribute/9081  : Направление намотки моталки для шпулек
gid://shopify/TaxonomyAttribute/6368  : Механизм качания
gid://shopify/TaxonomyAttribute/9082  : Материал S-образной трубки
gid://shopify/TaxonomyAttribute/9083  : Материал мембраны бойрана
gid://shopify/TaxonomyAttribute/9084  : Тип настройки бойрана
gid://shopify/TaxonomyAttribute/1563  : Область тела
gid://shopify/TaxonomyAttribute/8072  : Зона покрытия брони
gid://shopify/TaxonomyAttribute/8073  : Предполагаемое использование брони
gid://shopify/TaxonomyAttribute/7135  : Тип разъема шнура
gid://shopify/TaxonomyAttribute/3259  : Тип украшения для пирсинга
gid://shopify/TaxonomyAttribute/2190  : Материал корпуса
gid://shopify/TaxonomyAttribute/5262  : База формулы краски для тела
gid://shopify/TaxonomyAttribute/3331  : Тип основы или краски для тела
gid://shopify/TaxonomyAttribute/8074  : Состояние отделки панелей кузова
gid://shopify/TaxonomyAttribute/9085  : Форма корпуса
gid://shopify/TaxonomyAttribute/5089  : Сторона тела
gid://shopify/TaxonomyAttribute/1678  : Тип волос на теле или лице
gid://shopify/TaxonomyAttribute/6644  : Покрытие нижней части боди
gid://shopify/TaxonomyAttribute/1371  : Тип котла
gid://shopify/TaxonomyAttribute/7136  : Форма бойлов
gid://shopify/TaxonomyAttribute/7137  : Плавучесть стопора для бойлов
gid://shopify/TaxonomyAttribute/7635  : Сорт капусты пак-чой
gid://shopify/TaxonomyAttribute/7138  : Тип привода болтов
gid://shopify/TaxonomyAttribute/2123  : Форма болта
gid://shopify/TaxonomyAttribute/7636  : Содержание костей
gid://shopify/TaxonomyAttribute/5048  : Тип костно-анкерного интерфейса
gid://shopify/TaxonomyAttribute/9086  : Материал центрального блока бонго
gid://shopify/TaxonomyAttribute/9087  : Материал барабанов бонго
gid://shopify/TaxonomyAttribute/9088  : Система настройки бонго
gid://shopify/TaxonomyAttribute/6645  : Тип косточек
gid://shopify/TaxonomyAttribute/2538  : Тип обложки книги
gid://shopify/TaxonomyAttribute/2966  : Материал обложки книги или папки
gid://shopify/TaxonomyAttribute/2230  : Тип закладки
gid://shopify/TaxonomyAttribute/2231  : Форма закладки
gid://shopify/TaxonomyAttribute/5461  : Световые эффекты бумбокса
gid://shopify/TaxonomyAttribute/5722  : Необходимость в нагнетательном насосе
gid://shopify/TaxonomyAttribute/7139  : Тип вкладыша ботинка
gid://shopify/TaxonomyAttribute/7140  : Совместимость подошвы ботинок
gid://shopify/TaxonomyAttribute/1204  : Фасон обуви
gid://shopify/TaxonomyAttribute/7141  : Уровень поддержки ботинка
gid://shopify/TaxonomyAttribute/1284  : Тип ботинка
gid://shopify/TaxonomyAttribute/7142  : Код ширины ботинка
gid://shopify/TaxonomyAttribute/6875  : Конфигурация кабинки
gid://shopify/TaxonomyAttribute/7143  : Конструкция носка ботинка
gid://shopify/TaxonomyAttribute/9089  : Тип окантовки
gid://shopify/TaxonomyAttribute/9090  : Формат средства для чистки трубки
gid://shopify/TaxonomyAttribute/9091  : Безопасность средства для чистки трубок для покрытия
gid://shopify/TaxonomyAttribute/5723  : Тип посадочного отверстия
gid://shopify/TaxonomyAttribute/2015  : Конструкция бороскопа
gid://shopify/TaxonomyAttribute/7144  : Направление загрузки флягодержателя
gid://shopify/TaxonomyAttribute/5724  : Материал уплотнительной прокладки крышки бутылки
gid://shopify/TaxonomyAttribute/5725  : Тип вкладыша крышки бутылки
gid://shopify/TaxonomyAttribute/2390  : Способ закупоривания бутылки
gid://shopify/TaxonomyAttribute/1768  : Конструкция бутылочки
gid://shopify/TaxonomyAttribute/5726  : Состояние наполнения бутылки
gid://shopify/TaxonomyAttribute/9092  : Форма горлышка бутылки / размер укупорки
gid://shopify/TaxonomyAttribute/5727  : Механизм пробки бутылки
gid://shopify/TaxonomyAttribute/9093  : Тип бутылки
gid://shopify/TaxonomyAttribute/1691  : Тип бутылки
gid://shopify/TaxonomyAttribute/3044  : Характеристики подогревателя или стерилизатора для бутылочек
gid://shopify/TaxonomyAttribute/2221  : Тип крышки у бутылки или контейнера
gid://shopify/TaxonomyAttribute/7145  : Интерфейс каретки
gid://shopify/TaxonomyAttribute/7146  : Стандарт каретки
gid://shopify/TaxonomyAttribute/8075  : Пригодность к типу дна
gid://shopify/TaxonomyAttribute/7147  : Уровень отскока
gid://shopify/TaxonomyAttribute/6369  : Отделка поверхности попрыгунчика
gid://shopify/TaxonomyAttribute/7148  : Тип маркера ограждения
gid://shopify/TaxonomyAttribute/9094  : Уровень размера букета
gid://shopify/TaxonomyAttribute/9095  : Тип обработки края банта / декоративного элемента йо-йо
gid://shopify/TaxonomyAttribute/9096  : Тип корпуса футляра для лука
gid://shopify/TaxonomyAttribute/7149  : Совместимость лука
gid://shopify/TaxonomyAttribute/9097  : Цвет волоса смычка
gid://shopify/TaxonomyAttribute/2938  : Материал волоса для смычков
gid://shopify/TaxonomyAttribute/2970  : Материал лука для стрельбы
gid://shopify/TaxonomyAttribute/9098  : Материал древка лука
gid://shopify/TaxonomyAttribute/7150  : Тип лука
gid://shopify/TaxonomyAttribute/9099  : Материал обмотки рукояти лука
gid://shopify/TaxonomyAttribute/3187  : Характеристики лука или арбалета
gid://shopify/TaxonomyAttribute/9100  : Стиль декоративного элемента (банта/йо-йо)
gid://shopify/TaxonomyAttribute/5728  : Тип чаши
gid://shopify/TaxonomyAttribute/7151  : Тип ядра шара для боулинга
gid://shopify/TaxonomyAttribute/7152  : Тип покрытия шара для боулинга
gid://shopify/TaxonomyAttribute/7153  : Стиль набора для боулинга
gid://shopify/TaxonomyAttribute/9101  : Тип крышки коробки
gid://shopify/TaxonomyAttribute/6876  : Профиль пружинного блока
gid://shopify/TaxonomyAttribute/6877  : Требования для пружинного блока
gid://shopify/TaxonomyAttribute/2726  : Тип ящика
gid://shopify/TaxonomyAttribute/7154  : Стиль боксерского ринга
gid://shopify/TaxonomyAttribute/1195  : Тип застежки бюстгальтера
gid://shopify/TaxonomyAttribute/1196  : Покрытие груди бюстгальтером
gid://shopify/TaxonomyAttribute/2996  : Характеристики бюстгальтера
gid://shopify/TaxonomyAttribute/6646  : Тип длины бюстгальтера
gid://shopify/TaxonomyAttribute/6647  : Тип наполнителя бюстгальтера
gid://shopify/TaxonomyAttribute/1191  : Тип бретелей бюстгальтера
gid://shopify/TaxonomyAttribute/3250  : Тип бюстгальтера
gid://shopify/TaxonomyAttribute/1192  : Уровень поддержки бюстгальтера
gid://shopify/TaxonomyAttribute/5091  : Уровень поддержки ортеза
gid://shopify/TaxonomyAttribute/3260  : Тип браслета
gid://shopify/TaxonomyAttribute/7155  : Совместимость брекетов
gid://shopify/TaxonomyAttribute/5623  : Профиль кронштейна
gid://shopify/TaxonomyAttribute/2115  : Конструкция кронштейна или планки
gid://shopify/TaxonomyAttribute/9102  : Форма тормозной ленты
gid://shopify/TaxonomyAttribute/9103  : Тип материала тормозной ленты
gid://shopify/TaxonomyAttribute/9104  : Стиль тормозной ленты
gid://shopify/TaxonomyAttribute/8076  : Способ прокачки тормозной системы
gid://shopify/TaxonomyAttribute/8077  : Тип усилителя тормозов
gid://shopify/TaxonomyAttribute/8078  : Конфигурация мембраны усилителя тормозов
gid://shopify/TaxonomyAttribute/8079  : Расположение штуцера прокачки суппорта
gid://shopify/TaxonomyAttribute/8080  : Покрытие тормозного суппорта
gid://shopify/TaxonomyAttribute/8081  : Комплектация тормозного суппорта
gid://shopify/TaxonomyAttribute/8082  : Тип крепления тормозного суппорта
gid://shopify/TaxonomyAttribute/8083  : Химическая основа краски суппорта
gid://shopify/TaxonomyAttribute/8084  : Содержимое набора для покраски суппорта
gid://shopify/TaxonomyAttribute/8085  : Тип тормозного контура
gid://shopify/TaxonomyAttribute/8088  : Отделка/покрытие тормозного барабана
gid://shopify/TaxonomyAttribute/8089  : Тип тормозного барабана
gid://shopify/TaxonomyAttribute/8091  : Спецификация тормозной жидкости по DOT
gid://shopify/TaxonomyAttribute/7156  : Основа тормозной жидкости
gid://shopify/TaxonomyAttribute/8090  : Химическая основа тормозной жидкости
gid://shopify/TaxonomyAttribute/8092  : Соответствие стандартам тормозной жидкости
gid://shopify/TaxonomyAttribute/7157  : Тип тормозной жидкости
gid://shopify/TaxonomyAttribute/8093  : Тип концевого фитинга тормозного шланга
gid://shopify/TaxonomyAttribute/7158  : Тип хода тормозного рычага
gid://shopify/TaxonomyAttribute/8094  : Тип срабатывания выключателя стоп-сигнала
gid://shopify/TaxonomyAttribute/8095  : Тип разъема выключателя стоп-сигнала
gid://shopify/TaxonomyAttribute/8096  : Тип контакта выключателя стоп-сигнала
gid://shopify/TaxonomyAttribute/8097  : Тип крепления выключателя стоп-сигнала
gid://shopify/TaxonomyAttribute/8098  : Тип крепления главного тормозного цилиндра
gid://shopify/TaxonomyAttribute/8099  : Тип бачка главного тормозного цилиндра
gid://shopify/TaxonomyAttribute/7159  : Тип крепления тормоза
gid://shopify/TaxonomyAttribute/8100  : Расположение отверстий для болтов монтажного фланца тормоза
gid://shopify/TaxonomyAttribute/7160  : Материал опорной пластины тормозной колодки
gid://shopify/TaxonomyAttribute/8101  : Тип ротора, совместимый с тормозной колодкой
gid://shopify/TaxonomyAttribute/7161  : Состав тормозной колодки
gid://shopify/TaxonomyAttribute/8102  : Формфактор тормозной колодки
gid://shopify/TaxonomyAttribute/8103  : Материал тормозной колодки
gid://shopify/TaxonomyAttribute/8104  : Прокладка для тормозной колодки в комплекте
gid://shopify/TaxonomyAttribute/8105  : Тип индикатора износа тормозных колодок
gid://shopify/TaxonomyAttribute/8106  : Расположение тормоза
gid://shopify/TaxonomyAttribute/7162  : Тип крепления тормозного ротора
gid://shopify/TaxonomyAttribute/8107  : Компоненты комплекта для обслуживания тормозов
gid://shopify/TaxonomyAttribute/8108  : Фрикционный материал тормозных колодок
gid://shopify/TaxonomyAttribute/8109  : Состав комплекта тормозных колодок
gid://shopify/TaxonomyAttribute/7163  : Тип тормозной системы
gid://shopify/TaxonomyAttribute/7164  : Тип тормоза
gid://shopify/TaxonomyAttribute/8087  : Классификация DOT тормозной/сцепной жидкости
gid://shopify/TaxonomyAttribute/8086  : Химическая основа тормозной/сцепной жидкости
gid://shopify/TaxonomyAttribute/7637  : Классификация выдержки бренди
gid://shopify/TaxonomyAttribute/1462  : Тип бренди
gid://shopify/TaxonomyAttribute/9105  : Тип инструмента для чистки латуни
gid://shopify/TaxonomyAttribute/9106  : Область духового инструмента для применения
gid://shopify/TaxonomyAttribute/9107  : Назначение набора для ухода за духовыми инструментами
gid://shopify/TaxonomyAttribute/9108  : Материал корпуса духового инструмента
gid://shopify/TaxonomyAttribute/9109  : Присадки/функциональные особенности для смазки духовых инструментов
gid://shopify/TaxonomyAttribute/9110  : Базовый состав смазки для духовых инструментов
gid://shopify/TaxonomyAttribute/9111  : Класс вязкости смазки для духовых инструментов
gid://shopify/TaxonomyAttribute/9112  : Тип запасной части духового инструмента
gid://shopify/TaxonomyAttribute/9113  : Конфигурация клапанов духового инструмента
gid://shopify/TaxonomyAttribute/9114  : Область применения смазки
gid://shopify/TaxonomyAttribute/9115  : Профиль задней канавки мундштука духового инструмента
gid://shopify/TaxonomyAttribute/9116  : Глубина чаши мундштука духового инструмента
gid://shopify/TaxonomyAttribute/9117  : Уровень абразивности полировочной ткани для латуни
gid://shopify/TaxonomyAttribute/7638  : Основной ингредиент панировочных сухарей
gid://shopify/TaxonomyAttribute/5729  : Вентиляция контейнера для хлеба
gid://shopify/TaxonomyAttribute/7639  : Сорт хлеба
gid://shopify/TaxonomyAttribute/5486  : Тип макетной платы
gid://shopify/TaxonomyAttribute/7640  : Стиль хлебных палочек
gid://shopify/TaxonomyAttribute/5171  : Польза спрея для дыхания
gid://shopify/TaxonomyAttribute/1663  : Сертификация освежителя для полости рта
gid://shopify/TaxonomyAttribute/5730  : Варианты крепости заваривания
gid://shopify/TaxonomyAttribute/7165  : Материал головки моста
gid://shopify/TaxonomyAttribute/7166  : Тип головки мостика
gid://shopify/TaxonomyAttribute/5731  : Стиль перил моста
gid://shopify/TaxonomyAttribute/3090  : Дополнительные функции моста или маршрутизатора
gid://shopify/TaxonomyAttribute/7167  : Тип детали уздечки
gid://shopify/TaxonomyAttribute/7168  : Стиль уздечки
gid://shopify/TaxonomyAttribute/2228  : Уровень яркости
gid://shopify/TaxonomyAttribute/5732  : Тип розжига брикетов
gid://shopify/TaxonomyAttribute/5198  : Класс щетины
gid://shopify/TaxonomyAttribute/5183  : Жесткость щетины
gid://shopify/TaxonomyAttribute/1408  : Материал ворса
gid://shopify/TaxonomyAttribute/1603  : Форма кисти
gid://shopify/TaxonomyAttribute/5733  : Жесткость щетины
gid://shopify/TaxonomyAttribute/5734  : Тип кончиков щетины
gid://shopify/TaxonomyAttribute/5415  : Стандарт вещания видео
gid://shopify/TaxonomyAttribute/5394  : Поддерживаемый стандарт вещания
gid://shopify/TaxonomyAttribute/4366  : Конструкция спортивных наконечников
gid://shopify/TaxonomyAttribute/7170  : Размер резьбы охотничьего наконечника
gid://shopify/TaxonomyAttribute/7171  : Тип наконечника охотничьего лезвия
gid://shopify/TaxonomyAttribute/2885  : Материал спортивных или охотничьих наконечников для стрел
gid://shopify/TaxonomyAttribute/7169  : Способ крепления охотничьего/полевого наконечника
gid://shopify/TaxonomyAttribute/7641  : Способ нарезки брокколи
gid://shopify/TaxonomyAttribute/7642  : Сорт брокколи
gid://shopify/TaxonomyAttribute/7172  : Материал щетки метлы
gid://shopify/TaxonomyAttribute/3279  : Назначение кисти
gid://shopify/TaxonomyAttribute/5252  : Тип концов кисти
gid://shopify/TaxonomyAttribute/7173  : Формат щетки
gid://shopify/TaxonomyAttribute/5186  : Форма головки щетки
gid://shopify/TaxonomyAttribute/1613  : Назначение насадки для щетки
