# Shopify Product Taxonomy - Attributes: 2026-05
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-Brillen-Passform-Design
gid://shopify/TaxonomyAttribute/5520  : Kompatibilität mit der Anrufer-ID
gid://shopify/TaxonomyAttribute/5536  : Kompatibilität mit dem Rufnummernanzeige-Standard
gid://shopify/TaxonomyAttribute/3390  : Kamerasystem
gid://shopify/TaxonomyAttribute/2018  : HD-Typ-Kamera
gid://shopify/TaxonomyAttribute/2006  : Kamerabefestigung
gid://shopify/TaxonomyAttribute/2002  : Art der Kamerataste/des Kameraknopfs
gid://shopify/TaxonomyAttribute/2000  : Art der Kamerasteuerung
gid://shopify/TaxonomyAttribute/2017  : Bildschirmtechnologie der Kamera
gid://shopify/TaxonomyAttribute/3062  : Kamerafunktionen
gid://shopify/TaxonomyAttribute/1997  : Art der Kameraausrüstung
gid://shopify/TaxonomyAttribute/1979  : Kameraobjektivtyp
gid://shopify/TaxonomyAttribute/8113  : Kameramontageort (Fahrzeugaußenbereich)
gid://shopify/TaxonomyAttribute/1995  : Art der Kameramontage
gid://shopify/TaxonomyAttribute/1998  : Art des Kamerasensors
gid://shopify/TaxonomyAttribute/1330  : Kameraform
gid://shopify/TaxonomyAttribute/7183  : Typ der Tarnumgebung
gid://shopify/TaxonomyAttribute/7184  : Campingölanwendung
gid://shopify/TaxonomyAttribute/8114  : Bauart der Nockenwelle
gid://shopify/TaxonomyAttribute/8115  : Material der Nockenwelle
gid://shopify/TaxonomyAttribute/8116  : Nockenwellenposition
gid://shopify/TaxonomyAttribute/6285  : Material für Kerzenbehälter
gid://shopify/TaxonomyAttribute/9131  : Enthaltener Kerzenbehältertyp
gid://shopify/TaxonomyAttribute/9132  : Form des Kerzenfarbstoffs
gid://shopify/TaxonomyAttribute/9133  : Form des Duftstoffs für Kerzen
gid://shopify/TaxonomyAttribute/2277  : Inbegriffene Kerzenset-Artikel
gid://shopify/TaxonomyAttribute/9134  : Art des Kerzenherstellungswerkzeugs
gid://shopify/TaxonomyAttribute/2836  : Kerzenmaterial
gid://shopify/TaxonomyAttribute/2801  : Kerzenform
gid://shopify/TaxonomyAttribute/2278  : Kerzentyp
gid://shopify/TaxonomyAttribute/7656  : Textur der Süßigkeit
gid://shopify/TaxonomyAttribute/7657  : Kandierungsmethode
gid://shopify/TaxonomyAttribute/5069  : Stockbasisdesign
gid://shopify/TaxonomyAttribute/7658  : Form der Fleischkonserve
gid://shopify/TaxonomyAttribute/1494  : Auswahl an Dosenfleisch
gid://shopify/TaxonomyAttribute/5741  : Typ für Einkochtopf
gid://shopify/TaxonomyAttribute/7185  : Kanukonstruktionstyp
gid://shopify/TaxonomyAttribute/7186  : Form des Kanurumpfs
gid://shopify/TaxonomyAttribute/7187  : Heckform des Kanus
gid://shopify/TaxonomyAttribute/1431  : Überdachungsmaterial
gid://shopify/TaxonomyAttribute/5742  : Pavillonform
gid://shopify/TaxonomyAttribute/6883  : Art des Baldachins
gid://shopify/TaxonomyAttribute/5743  : Pavillonbelüftung
gid://shopify/TaxonomyAttribute/5432  : Nadelträger-Material
gid://shopify/TaxonomyAttribute/9135  : Mit der Leinwand kompatible Medien
gid://shopify/TaxonomyAttribute/2334  : Oberflächenbehandlung der Leiwand
gid://shopify/TaxonomyAttribute/9136  : Leinwandformat
gid://shopify/TaxonomyAttribute/2928  : Canvas-Material
gid://shopify/TaxonomyAttribute/9137  : Leinwandmontage/-format
gid://shopify/TaxonomyAttribute/9138  : Montageart des Leinwandkeilrahmens
gid://shopify/TaxonomyAttribute/9139  : Eckverbindungsart des Leinwandkeilrahmens
gid://shopify/TaxonomyAttribute/9140  : Oberflächenton der Leinwand
gid://shopify/TaxonomyAttribute/2335  : Textur der Leinwand
gid://shopify/TaxonomyAttribute/9141  : Webart der Leinwand
gid://shopify/TaxonomyAttribute/9142  : Kappenbefestigungsart
gid://shopify/TaxonomyAttribute/6650  : Aufbau der Kappe
gid://shopify/TaxonomyAttribute/9143  : Struktur der Kappenkrone
gid://shopify/TaxonomyAttribute/6651  : Kappenpassform
gid://shopify/TaxonomyAttribute/8117  : Art der Verschlussdichtung
gid://shopify/TaxonomyAttribute/6652  : Kappengröße
gid://shopify/TaxonomyAttribute/8118  : Kappenart
gid://shopify/TaxonomyAttribute/5490  : Kapazitätstoleranz
gid://shopify/TaxonomyAttribute/5492  : Kondensatoranwendung
gid://shopify/TaxonomyAttribute/5489  : Kondensatorpolarität
gid://shopify/TaxonomyAttribute/7659  : Größenklasse der Kapern
gid://shopify/TaxonomyAttribute/9144  : Klemmmechanismus des Kapodasters
gid://shopify/TaxonomyAttribute/9145  : Oberfläche des Kapodasters
gid://shopify/TaxonomyAttribute/9146  : Passform des Kapodasters
gid://shopify/TaxonomyAttribute/9147  : Kapodaster-Padmaterial
gid://shopify/TaxonomyAttribute/9148  : Spannmechanismus des Kapodasters
gid://shopify/TaxonomyAttribute/7188  : Fangmethode
gid://shopify/TaxonomyAttribute/8119  : Motortyp des Elektrofahrzeug-Umrüst-Kits für Autos
gid://shopify/TaxonomyAttribute/5744  : Inbegriffene Artikel des Auto-Reinigungssets
gid://shopify/TaxonomyAttribute/2709  : Auto-Erfrischer-Duft
gid://shopify/TaxonomyAttribute/6378  : Enthaltene Auto-Spielset-Artikel
gid://shopify/TaxonomyAttribute/1742  : Montage des Autositzes
gid://shopify/TaxonomyAttribute/1743  : Richtung des Autositzes
gid://shopify/TaxonomyAttribute/8120  : Anwendungsmethode des Autoshampoos
gid://shopify/TaxonomyAttribute/2746  : Autotyp
gid://shopify/TaxonomyAttribute/8121  : Form des Autowaschmittels
gid://shopify/TaxonomyAttribute/8122  : Duft des Autowaschmittels
gid://shopify/TaxonomyAttribute/1266  : Karabinerschlosstyp
gid://shopify/TaxonomyAttribute/2872  : Karabinerform
gid://shopify/TaxonomyAttribute/7660  : Kohlensäurehaltiges Wasser
gid://shopify/TaxonomyAttribute/7661  : Kohlensäure
gid://shopify/TaxonomyAttribute/5745  : Anpassung des Kohlensäuregehalts
gid://shopify/TaxonomyAttribute/8123  : Anzahl der Vergaserzylinder
gid://shopify/TaxonomyAttribute/8124  : Art des Vergaser-Chokes
gid://shopify/TaxonomyAttribute/8125  : Art des Vergaser-Montageflansches
gid://shopify/TaxonomyAttribute/2366  : Kartenattribute
gid://shopify/TaxonomyAttribute/6379  : Art der Sammelordnerseiten
gid://shopify/TaxonomyAttribute/9149  : Art der Kartenbox bzw. des Kartenhalters
gid://shopify/TaxonomyAttribute/2521  : Kartendesign
gid://shopify/TaxonomyAttribute/2517  : Kartenformat
gid://shopify/TaxonomyAttribute/6380  : Merkmale des Kartenspielzubehörs
gid://shopify/TaxonomyAttribute/2520  : Design des Kartenhalters
gid://shopify/TaxonomyAttribute/5637  : Kartenschnittstellentyp
gid://shopify/TaxonomyAttribute/9150  : Art des Kartensets
gid://shopify/TaxonomyAttribute/5000  : Wiederaufladbarkeit der Karte
gid://shopify/TaxonomyAttribute/6381  : Größen-/Formatkompatibilität der Kartenhüllen
gid://shopify/TaxonomyAttribute/5534  : Status der Kartennutzung
gid://shopify/TaxonomyAttribute/3312  : Karten-/Adapterinstallation
gid://shopify/TaxonomyAttribute/9151  : Material der Kardiernadeln
gid://shopify/TaxonomyAttribute/9152  : Pflegebeständigkeit
gid://shopify/TaxonomyAttribute/2336  : Pflegehinweise
gid://shopify/TaxonomyAttribute/9153  : Befestigungsart des Pflegeetiketts
gid://shopify/TaxonomyAttribute/9154  : Format des Pflegeetiketts
gid://shopify/TaxonomyAttribute/9155  : Symbolsystem des Pflegeetiketts
gid://shopify/TaxonomyAttribute/7189  : Konfiguration des Laderaums
gid://shopify/TaxonomyAttribute/8126  : Verstellbarkeit des Laderaumnetzes
gid://shopify/TaxonomyAttribute/8127  : Position des Laderaumnetzes
gid://shopify/TaxonomyAttribute/8128  : Dehnbarkeit des Laderaumnetzes
gid://shopify/TaxonomyAttribute/8129  : Bauart des Laderaumnetzes
gid://shopify/TaxonomyAttribute/8130  : Oberflächenfinish des Gepäckträgers
gid://shopify/TaxonomyAttribute/8131  : Anwendungsmethode des Teppichreinigers
gid://shopify/TaxonomyAttribute/8132  : Trägersystemtyp
gid://shopify/TaxonomyAttribute/7662  : Karottengröße
gid://shopify/TaxonomyAttribute/7663  : Karottensorte
gid://shopify/TaxonomyAttribute/2226  : Trageoptionen
gid://shopify/TaxonomyAttribute/8133  : Tragfähigkeit (Paare/Boards)
gid://shopify/TaxonomyAttribute/1746  : Tragepositionen
gid://shopify/TaxonomyAttribute/1984  : Tragetyp
gid://shopify/TaxonomyAttribute/2597  : Rollwagendesign
gid://shopify/TaxonomyAttribute/2749  : Rollwagentyp
gid://shopify/TaxonomyAttribute/5373  : Kartuschen-Authentizität
gid://shopify/TaxonomyAttribute/5433  : Tonabnehmer-Montagestil
gid://shopify/TaxonomyAttribute/7664  : Kompatibilität des Kartuschengewindes
gid://shopify/TaxonomyAttribute/1825  : Kassettentyp
gid://shopify/TaxonomyAttribute/5376  : Kartuschen-Ertragstyp
gid://shopify/TaxonomyAttribute/7190  : Kofferkapazität (Unterteile × Oberteile)
gid://shopify/TaxonomyAttribute/9156  : Merkmale der Kiste
gid://shopify/TaxonomyAttribute/9157  : Nachfüllart des Kofferbefeuchters
gid://shopify/TaxonomyAttribute/9158  : Kistenfuttermaterial
gid://shopify/TaxonomyAttribute/6653  : Gehäusematerial
gid://shopify/TaxonomyAttribute/9159  : Montageart des Kofferbefeuchters
gid://shopify/TaxonomyAttribute/7191  : Kofferkonstruktion
gid://shopify/TaxonomyAttribute/9160  : Kofferstil (Becken/Schlagzeug)
gid://shopify/TaxonomyAttribute/5001  : Gehäusetransparenzstufe
gid://shopify/TaxonomyAttribute/1798  : Koffertyp
gid://shopify/TaxonomyAttribute/7192  : Karkassenmaterial
gid://shopify/TaxonomyAttribute/6382  : Chipmaterial des Casino-Sets
gid://shopify/TaxonomyAttribute/6383  : Enthaltenes Spielfeldlayout des Casino-Sets
gid://shopify/TaxonomyAttribute/7665  : Fassveredelung
gid://shopify/TaxonomyAttribute/7666  : Manioksorte
gid://shopify/TaxonomyAttribute/2691  : Kassettenadaptertyp
gid://shopify/TaxonomyAttribute/7193  : Freilaufkörpertyp
gid://shopify/TaxonomyAttribute/8134  : Funktionsumfang des Kassettendecks
gid://shopify/TaxonomyAttribute/7194  : Kompatibilität der Kassettengeschwindigkeit
gid://shopify/TaxonomyAttribute/9161  : Größenklasse der Kastagnettenschalen
gid://shopify/TaxonomyAttribute/9162  : Enthaltene Teile der Kastagnetten
gid://shopify/TaxonomyAttribute/9163  : Tonhöhe der Kastagnetten
gid://shopify/TaxonomyAttribute/9164  : Art der Kastagnetten
gid://shopify/TaxonomyAttribute/6884  : Rollentyp
gid://shopify/TaxonomyAttribute/6384  : Im Burg-Spielset enthaltene Artikel
gid://shopify/TaxonomyAttribute/1699  : Katzenaltersgruppe
gid://shopify/TaxonomyAttribute/1702  : Formulierung der Katzenstreu
gid://shopify/TaxonomyAttribute/5746  : Typ der katalytischen Brennkammer
gid://shopify/TaxonomyAttribute/7195  : Catcherausrüstung inklusive
gid://shopify/TaxonomyAttribute/7196  : Bauart des Catcherhelms
gid://shopify/TaxonomyAttribute/7667  : Rinderrasse
gid://shopify/TaxonomyAttribute/7668  : Blumenkohlsorte
gid://shopify/TaxonomyAttribute/5747  : Deckenleuchtenstil
gid://shopify/TaxonomyAttribute/2320  : Art der Feier
gid://shopify/TaxonomyAttribute/7669  : Form des Selleries
gid://shopify/TaxonomyAttribute/7670  : Selleriesorte
gid://shopify/TaxonomyAttribute/5558  : Mobilfunkfähigkeit
gid://shopify/TaxonomyAttribute/5748  : Form der Mittelbohrung
gid://shopify/TaxonomyAttribute/7671  : Textur des Müsliriegels
gid://shopify/TaxonomyAttribute/7672  : Art des Frühstücksgetreides
gid://shopify/TaxonomyAttribute/9165  : Stil des Zertifikatsrahmens
gid://shopify/TaxonomyAttribute/9166  : Personalisierungsart des Zertifikats
gid://shopify/TaxonomyAttribute/9167  : Zertifizierungsdienst
gid://shopify/TaxonomyAttribute/8135  : Zertifizierungsstandard
gid://shopify/TaxonomyAttribute/5320  : Zervixhöhen-Eignung
gid://shopify/TaxonomyAttribute/7197  : Kettenbeschichtung/-oberfläche
gid://shopify/TaxonomyAttribute/7198  : Art der Kettenverbindung
gid://shopify/TaxonomyAttribute/98    : Kettengliedtyp
gid://shopify/TaxonomyAttribute/7199  : Konfiguration der Kettenebenen
gid://shopify/TaxonomyAttribute/7200  : Art des Kettenwerkzeugs
gid://shopify/TaxonomyAttribute/2728  : Kettentyp
gid://shopify/TaxonomyAttribute/7201  : Form des Kettenblatts
gid://shopify/TaxonomyAttribute/5749  : Befestigungstyp für Kettensägenschwert
gid://shopify/TaxonomyAttribute/5750  : Typ für Kettensägen-Schwertspitzen
gid://shopify/TaxonomyAttribute/5751  : Typ für Kettensägenschwerter
gid://shopify/TaxonomyAttribute/5752  : Typ für Kettensägenschneider
gid://shopify/TaxonomyAttribute/6885  : Stuhlzubehör inklusive
gid://shopify/TaxonomyAttribute/9168  : Pflegehinweise für Stuhlschärpen
gid://shopify/TaxonomyAttribute/9169  : Oberfläche der Stuhlschärpe
gid://shopify/TaxonomyAttribute/6886  : Aufbewahrungsart des Stuhls
gid://shopify/TaxonomyAttribute/3049  : Sessel-/Sofaeigenschaften
gid://shopify/TaxonomyAttribute/6887  : Ausrichtung der Chaiselongue bzw. Wohnlandschaft
gid://shopify/TaxonomyAttribute/2265  : Tafeloberfläche
gid://shopify/TaxonomyAttribute/9170  : Kammergröße
gid://shopify/TaxonomyAttribute/5753  : Champagnerglastyp
gid://shopify/TaxonomyAttribute/5754  : Kronleuchterform
gid://shopify/TaxonomyAttribute/3035  : Eigenschaften der Wickelunterlage/des Wickeltabletts
gid://shopify/TaxonomyAttribute/9171  : Fingerabstand der Spielpfeife
gid://shopify/TaxonomyAttribute/9172  : Spielpfeifentyp
gid://shopify/TaxonomyAttribute/5755  : Merkmale eines Anzündkamins
gid://shopify/TaxonomyAttribute/5756  : Holzkohlezündung
gid://shopify/TaxonomyAttribute/5174  : Aktivkohle-Ausgangsmaterial
gid://shopify/TaxonomyAttribute/7673  : Mangoldsorte
gid://shopify/TaxonomyAttribute/5581  : Ladegerätstil
gid://shopify/TaxonomyAttribute/2714  : Ladegerättyp
gid://shopify/TaxonomyAttribute/2682  : Ladekabeltyp
gid://shopify/TaxonomyAttribute/5002  : Ladeschnittstellentyp
gid://shopify/TaxonomyAttribute/2683  : Ladezustand
gid://shopify/TaxonomyAttribute/8136  : Position des Ladeanschlusses
gid://shopify/TaxonomyAttribute/8137  : Chassiskonstruktionstyp
gid://shopify/TaxonomyAttribute/1870  : Gehäusetyp
gid://shopify/TaxonomyAttribute/6654  : Ausrichtung des Scheckbuchformats
gid://shopify/TaxonomyAttribute/7202  : Art des Wangenstücks
gid://shopify/TaxonomyAttribute/7674  : Form der Käsealternative
gid://shopify/TaxonomyAttribute/7675  : Form des Käses
gid://shopify/TaxonomyAttribute/7676  : Textur des Käses
gid://shopify/TaxonomyAttribute/7677  : Käsesorte
gid://shopify/TaxonomyAttribute/2055  : Anwendung
gid://shopify/TaxonomyAttribute/2058  : Behältertyp der Chemikalie
gid://shopify/TaxonomyAttribute/2611  : Chemische Qualität
gid://shopify/TaxonomyAttribute/2057  : Produktform der Chemikalie
gid://shopify/TaxonomyAttribute/2612  : Chemische Reinheit
gid://shopify/TaxonomyAttribute/2056  : Sicherheitsmerkmale der Chemikalie
gid://shopify/TaxonomyAttribute/7678  : Cherimoya-Sorte
gid://shopify/TaxonomyAttribute/7679  : Kirschensorte
gid://shopify/TaxonomyAttribute/6655  : Art der Brusttasche
gid://shopify/TaxonomyAttribute/7680  : Form des Kautabaks
gid://shopify/TaxonomyAttribute/2552  : Alter der zu fütternden Hühner
gid://shopify/TaxonomyAttribute/7681  : Zichoriensorte
gid://shopify/TaxonomyAttribute/9173  : Empfohlene Verwendung von Chiffon
gid://shopify/TaxonomyAttribute/7203  : Art des Kindersitzzubehörs
gid://shopify/TaxonomyAttribute/7204  : Befestigungsart des Kindersitzes
gid://shopify/TaxonomyAttribute/2874  : Platzierung des Kindersitzes
gid://shopify/TaxonomyAttribute/9174  : Klangcharakter des Glockenspiels
gid://shopify/TaxonomyAttribute/7205  : Kinnkappentyp
gid://shopify/TaxonomyAttribute/5208  : Kinnriemenstil
gid://shopify/TaxonomyAttribute/6656  : Kinnriementyp
gid://shopify/TaxonomyAttribute/9175  : Form des China-Beckenrands
gid://shopify/TaxonomyAttribute/9176  : Klangcharakter des China-Beckens
gid://shopify/TaxonomyAttribute/7206  : Kinnriementyp
gid://shopify/TaxonomyAttribute/7682  : Schnittart der Chips
gid://shopify/TaxonomyAttribute/6385  : Chip-Nennwert
gid://shopify/TaxonomyAttribute/2574  : Spanertechnologie
gid://shopify/TaxonomyAttribute/2596  : Design des Chiropraktiktisches
gid://shopify/TaxonomyAttribute/7683  : Schokoladenform
gid://shopify/TaxonomyAttribute/3412  : Schokoladensorte
gid://shopify/TaxonomyAttribute/5110  : Gemessener Cholesterin-Analyt
gid://shopify/TaxonomyAttribute/5757  : Essstäbchenstil
gid://shopify/TaxonomyAttribute/6286  : Design des Essstäbchen-Trainers
gid://shopify/TaxonomyAttribute/7684  : Choy-Sum-Sorte
gid://shopify/TaxonomyAttribute/2192  : Futtertyp
gid://shopify/TaxonomyAttribute/1502  : Zigarrenkörper
gid://shopify/TaxonomyAttribute/5758  : Zigarrenschneidertyp
gid://shopify/TaxonomyAttribute/5759  : Zigarrenlochertyp
gid://shopify/TaxonomyAttribute/7685  : Farbe des Zigarrendeckblatts
gid://shopify/TaxonomyAttribute/7686  : Zigarettenfiltertyp
gid://shopify/TaxonomyAttribute/7687  : Zigarettengröße
gid://shopify/TaxonomyAttribute/7688  : Stärkebezeichnung für Zigaretten
gid://shopify/TaxonomyAttribute/7207  : Material des Cinch-Futters
gid://shopify/TaxonomyAttribute/3070  : Eigenschaften der Leiterplatte
gid://shopify/TaxonomyAttribute/2164  : Design des Sicherungsschalters
gid://shopify/TaxonomyAttribute/2163  : Form des Verteilerkastens
gid://shopify/TaxonomyAttribute/2165  : Leistungsschaltertyp
gid://shopify/TaxonomyAttribute/9177  : Kabeltyp der Rundstricknadel
gid://shopify/TaxonomyAttribute/9178  : Material der Rundstricknadelspitzen
gid://shopify/TaxonomyAttribute/9179  : Umfangverstellmechanismus
gid://shopify/TaxonomyAttribute/7208  : Klemmdesign
gid://shopify/TaxonomyAttribute/9180  : Funktionen der Notenblattklemme
gid://shopify/TaxonomyAttribute/9181  : Klemm-/Verschlussart
gid://shopify/TaxonomyAttribute/9182  : Akustikdesign des Klarinettenschallbechers
gid://shopify/TaxonomyAttribute/9183  : Verstellmechanismus des Klarinettenschallbechers
gid://shopify/TaxonomyAttribute/9184  : Material des Klarinettenschallbecherrings
gid://shopify/TaxonomyAttribute/9185  : Stimmungseffekt des Klarinettenschallbechers
gid://shopify/TaxonomyAttribute/9186  : Art des Klarinettenkorpus
gid://shopify/TaxonomyAttribute/9187  : Bohrungstyp der Klarinette
gid://shopify/TaxonomyAttribute/9188  : Stil der Klarinettenkappe
gid://shopify/TaxonomyAttribute/9189  : Verwendungszweck des Klarinettenpflegesets
gid://shopify/TaxonomyAttribute/9190  : Enthaltenes Klarinettenzubehör
gid://shopify/TaxonomyAttribute/2482  : Klarinettentastensystem
gid://shopify/TaxonomyAttribute/9191  : Material der Klarinettenmechanik
gid://shopify/TaxonomyAttribute/9192  : Klarinettenklappenbeschichtung
gid://shopify/TaxonomyAttribute/9193  : Schallwandprofil des Klarinettenmundstücks
gid://shopify/TaxonomyAttribute/9194  : Form des Klarinettenmundstückschnabels
gid://shopify/TaxonomyAttribute/9195  : Größe der Kammer des Klarinettenmundstücks
gid://shopify/TaxonomyAttribute/9196  : Beabsichtigter Klang des Klarinettenmundstücks
gid://shopify/TaxonomyAttribute/9197  : Spielniveau des Klarinettenmundstücks
gid://shopify/TaxonomyAttribute/9198  : Schnitt des Klarinettenblatts
gid://shopify/TaxonomyAttribute/9199  : Materialart des Klarinettenblatts
gid://shopify/TaxonomyAttribute/9200  : Typ der Daumenstütze der Klarinette
gid://shopify/TaxonomyAttribute/108   : Schließtyp
gid://shopify/TaxonomyAttribute/9201  : Typ der 3. Saite der klassischen Gitarre
gid://shopify/TaxonomyAttribute/9202  : Wickelmaterial der Basssaiten der klassischen Gitarre
gid://shopify/TaxonomyAttribute/9203  : Konfiguration des Saitensatzes der klassischen Gitarre
gid://shopify/TaxonomyAttribute/1655  : Krallendesign
gid://shopify/TaxonomyAttribute/9204  : Basismaterial von Ton und Modelliermasse
gid://shopify/TaxonomyAttribute/9205  : Aushärtungsmethode von Ton und Modelliermasse
gid://shopify/TaxonomyAttribute/9206  : Bemalbarkeit von Ton
gid://shopify/TaxonomyAttribute/5760  : Tontopfmaterial
gid://shopify/TaxonomyAttribute/9207  : Primäre Zusammensetzung des Tons
gid://shopify/TaxonomyAttribute/7209  : Disziplin des Tontaubenschießens
gid://shopify/TaxonomyAttribute/2954  : Ton/Schlicker Textur
gid://shopify/TaxonomyAttribute/5761  : Reinigerkonzentration
gid://shopify/TaxonomyAttribute/9208  : Format des Reinigers
gid://shopify/TaxonomyAttribute/2735  : Zweck des Reinigers
gid://shopify/TaxonomyAttribute/9209  : Vorgesehener Einsatzbereich des Reinigungs- bzw. Desinfektionsmittels
gid://shopify/TaxonomyAttribute/5762  : Putztucheigenschaften
gid://shopify/TaxonomyAttribute/9210  : Reinigungsformel
gid://shopify/TaxonomyAttribute/1779  : Reinigungsanweisungen
gid://shopify/TaxonomyAttribute/5381  : Enthaltene Komponenten des Reinigungssets
gid://shopify/TaxonomyAttribute/5173  : Reinigungsmodus
gid://shopify/TaxonomyAttribute/1387  : Reinigungszweck
gid://shopify/TaxonomyAttribute/5763  : Reinigungslösungskonzentration
gid://shopify/TaxonomyAttribute/1378  : Reinigungsoberflächen
gid://shopify/TaxonomyAttribute/8138  : Schwerpunkt der Reinigungsaufgabe
gid://shopify/TaxonomyAttribute/5185  : Reinigungstechnologie
gid://shopify/TaxonomyAttribute/5140  : Reinigungsfokus
gid://shopify/TaxonomyAttribute/5298  : Reinigertyp
gid://shopify/TaxonomyAttribute/9211  : Reinigungsmethode
gid://shopify/TaxonomyAttribute/9212  : Auftragsmethode für transparenten Klebstoff
gid://shopify/TaxonomyAttribute/9213  : Oberflächenfinish des transparenten Klebstoffs (nach dem Trocknen)
gid://shopify/TaxonomyAttribute/7210  : Lochmuster der Schuhplatte
gid://shopify/TaxonomyAttribute/7211  : Stollenkompatibilität
gid://shopify/TaxonomyAttribute/8139  : Oberflächenfinish der Klampe
gid://shopify/TaxonomyAttribute/7212  : Aufnahmesystem für Schuhplatten
gid://shopify/TaxonomyAttribute/7213  : Freigabemechanismus für Stollen
gid://shopify/TaxonomyAttribute/7214  : Typ der Schuhstollen
gid://shopify/TaxonomyAttribute/2733  : Klampentyp
gid://shopify/TaxonomyAttribute/8140  : Funktion des Klimasteuerungsmoduls
gid://shopify/TaxonomyAttribute/1268  : Kletteraktivität
gid://shopify/TaxonomyAttribute/7215  : Montageart des Klettergriffs
gid://shopify/TaxonomyAttribute/7216  : Klettergrifftyp
gid://shopify/TaxonomyAttribute/7217  : Art der Kletterschutzausrüstung
gid://shopify/TaxonomyAttribute/7218  : Mittelmarkierung des Kletterseils
gid://shopify/TaxonomyAttribute/7219  : Behandlung des Kletterseils
gid://shopify/TaxonomyAttribute/7220  : Typ des Kletterseils
gid://shopify/TaxonomyAttribute/7221  : Sicherheitszertifizierungen fürs Klettern
gid://shopify/TaxonomyAttribute/9214  : Farbe des Clips
gid://shopify/TaxonomyAttribute/6657  : Typ des Clip-Mechanismus
gid://shopify/TaxonomyAttribute/6658  : Clipstil
gid://shopify/TaxonomyAttribute/2248  : Klammertyp
gid://shopify/TaxonomyAttribute/7222  : Motortechnologie des Haarschneiders
gid://shopify/TaxonomyAttribute/5199  : Haarschneider-Motortyp
gid://shopify/TaxonomyAttribute/3388  : Haarschneide-/Trimmertyp
gid://shopify/TaxonomyAttribute/5469  : Uhr- und Weckfunktionen
gid://shopify/TaxonomyAttribute/5764  : Glockenspielmelodie
gid://shopify/TaxonomyAttribute/5765  : Uhranzeigetyp
gid://shopify/TaxonomyAttribute/5766  : Montageart für Uhrzeiger
gid://shopify/TaxonomyAttribute/5767  : Uhrzeigerstil
gid://shopify/TaxonomyAttribute/5768  : Uhrwerkstyp
gid://shopify/TaxonomyAttribute/6888  : Schrankkonstruktion
gid://shopify/TaxonomyAttribute/6889  : Schließmechanismus
gid://shopify/TaxonomyAttribute/1442  : Verschlussstil
gid://shopify/TaxonomyAttribute/80    : Verschlusstyp
gid://shopify/TaxonomyAttribute/7223  : Stoffaufbau
gid://shopify/TaxonomyAttribute/9215  : Stoffdicke
gid://shopify/TaxonomyAttribute/5143  : Tuchbehandlung
gid://shopify/TaxonomyAttribute/5769  : Wäscheklammerntyp
gid://shopify/TaxonomyAttribute/2779  : Material des Bekleidungszubehörs
gid://shopify/TaxonomyAttribute/3001  : Eigenschaften der Kleidung
gid://shopify/TaxonomyAttribute/7224  : Material des Schlägerkopfs
gid://shopify/TaxonomyAttribute/1298  : Schlägeruntergruppe
gid://shopify/TaxonomyAttribute/1299  : Schlägertyp
gid://shopify/TaxonomyAttribute/8141  : Typ des Kupplungshydrauliksystems
gid://shopify/TaxonomyAttribute/8142  : Anschlussart der Kupplungsleitung
gid://shopify/TaxonomyAttribute/8143  : Typ der Kupplungsdruckplattenbetätigung
gid://shopify/TaxonomyAttribute/8144  : Typ des Ausrückmechanismus der Kupplungsdruckplatte
gid://shopify/TaxonomyAttribute/8145  : Oberflächentyp der Kupplungsdruckplatte
gid://shopify/TaxonomyAttribute/8146  : Anschlusstyp des Kupplungsnehmerzylinders
gid://shopify/TaxonomyAttribute/8147  : Montageart des Kupplungsnehmerzylinders
gid://shopify/TaxonomyAttribute/5772  : Untersetzereigenschaften
gid://shopify/TaxonomyAttribute/7689  : Beschichtungsart
gid://shopify/TaxonomyAttribute/2070  : Anwendung der Beschichtung/Versiegelung
gid://shopify/TaxonomyAttribute/5611  : Koaxialkabel-Serie
gid://shopify/TaxonomyAttribute/7225  : Spannmechanismus
gid://shopify/TaxonomyAttribute/4685  : Cockpittyp
gid://shopify/TaxonomyAttribute/2509  : Design der Cocktaildekoration
gid://shopify/TaxonomyAttribute/9216  : Form der Cocktailgarnitur
gid://shopify/TaxonomyAttribute/7690  : Cocktailmix-Sorte
gid://shopify/TaxonomyAttribute/9217  : Eigenschaften von Cocktailservietten
gid://shopify/TaxonomyAttribute/9218  : Stil der Cocktailspießspitze
gid://shopify/TaxonomyAttribute/9219  : Stil von Oberseite bzw. Griff des Cocktailspießes
gid://shopify/TaxonomyAttribute/5773  : Cocktailsiebtyp
gid://shopify/TaxonomyAttribute/7691  : Cocktailtyp
gid://shopify/TaxonomyAttribute/9220  : Material von Griff bzw. Stab des Cocktailschirms
gid://shopify/TaxonomyAttribute/7692  : Kakaoverarbeitungsmethode
gid://shopify/TaxonomyAttribute/7693  : Form des Kakaoprodukts
gid://shopify/TaxonomyAttribute/7694  : Status der Kokosnussschale
gid://shopify/TaxonomyAttribute/7695  : Reifestadium der Kokosnuss
gid://shopify/TaxonomyAttribute/7696  : Raffinationsart von Kokosnussöl
gid://shopify/TaxonomyAttribute/7697  : Zubereitungsform der Kokosnuss
gid://shopify/TaxonomyAttribute/5774  : Codetechnologie
gid://shopify/TaxonomyAttribute/7698  : Kaffeebohnensorte
gid://shopify/TaxonomyAttribute/7699  : Kaffeegetränkesorte
