# Shopify Product Taxonomy - Mappings: 0.17.0
# Format:
# {input_taxonomy_version} -> {output_taxonomy_version} # Mappings A start
# ...
# {input_category_id} -> {output_category_id}
# ...
# {input_taxonomy_version} -> {output_taxonomy_version} # Mappings A end, Mappings B start
# ...
# {input_category_id} -> {output_category_id}
# ...

shopify/2024-04 -> google/2021-09-21
gid://shopify/TaxonomyCategory/ap                => 1                                               
gid://shopify/TaxonomyCategory/ha-10-3-5-2       => 2757                                            
gid://shopify/TaxonomyCategory/ha-10-3-5-2-1     => 2757                                            
gid://shopify/TaxonomyCategory/ha-10-3-5-2-2     => 2757                                            
gid://shopify/TaxonomyCategory/ha-10-3-5-2-3     => 2757                                            
gid://shopify/TaxonomyCategory/ha-10-3-6         => 2062                                            
gid://shopify/TaxonomyCategory/ha-10-3-6-1       => 2376                                            
gid://shopify/TaxonomyCategory/ha-10-3-6-2       => 1921                                            
gid://shopify/TaxonomyCategory/ha-10-3-6-2-1     => 1921                                            
gid://shopify/TaxonomyCategory/ha-10-3-6-2-2     => 1921                                            
gid://shopify/TaxonomyCategory/ha-10-3-6-2-3     => 1921                                            
gid://shopify/TaxonomyCategory/ha-10-3-6-3       => 1746                                            
gid://shopify/TaxonomyCategory/ha-10-4           => 2570                                            
gid://shopify/TaxonomyCategory/ha-10-4-1         => 2570                                            
gid://shopify/TaxonomyCategory/ha-10-4-2         => 2570                                            
gid://shopify/TaxonomyCategory/ha-10-4-3         => 2570                                            
gid://shopify/TaxonomyCategory/ha-10-5           => 2216                                            
gid://shopify/TaxonomyCategory/ha-10-5-1         => 2216                                            
gid://shopify/TaxonomyCategory/ha-10-5-2         => 2216                                            
gid://shopify/TaxonomyCategory/ha-10-5-3         => 2216                                            
gid://shopify/TaxonomyCategory/ha-10-6           => 2203                                            
gid://shopify/TaxonomyCategory/ha-10-6-1         => 2203                                            
gid://shopify/TaxonomyCategory/ha-10-6-2         => 2203                                            
gid://shopify/TaxonomyCategory/ha-10-6-3         => 2203                                            
gid://shopify/TaxonomyCategory/ha-10-7           => 2273                                            
gid://shopify/TaxonomyCategory/ha-10-7-1         => 2055                                            
gid://shopify/TaxonomyCategory/ha-10-7-2         => 2343                                            
gid://shopify/TaxonomyCategory/ha-10-7-2-1       => 1821                                            
gid://shopify/TaxonomyCategory/ha-10-7-2-2       => 1354                                            
gid://shopify/TaxonomyCategory/ha-10-7-3         => 1390                                            
gid://shopify/TaxonomyCategory/ha-10-7-4         => 2171                                            
gid://shopify/TaxonomyCategory/ha-10-7-4-1       => 2063                                            
gid://shopify/TaxonomyCategory/ha-10-7-4-2       => 2406                                            
gid://shopify/TaxonomyCategory/ha-10-7-5         => 5646                                            
gid://shopify/TaxonomyCategory/ha-10-7-6         => 1952                                            
gid://shopify/TaxonomyCategory/ha-10-7-6-1       => 1952                                            
gid://shopify/TaxonomyCategory/ha-10-7-6-2       => 1952                                            
gid://shopify/TaxonomyCategory/ha-10-8           => 2243                                            
gid://shopify/TaxonomyCategory/ha-10-9           => 6832                                            
gid://shopify/TaxonomyCategory/ha-10-10          => 1723                                            
gid://shopify/TaxonomyCategory/ha-11             => 127                                             
gid://shopify/TaxonomyCategory/ha-11-1           => 500049                                          
gid://shopify/TaxonomyCategory/ha-11-1-1         => 500049                                          
gid://shopify/TaxonomyCategory/ha-11-1-2         => 500049                                          
gid://shopify/TaxonomyCategory/ha-11-1-3         => 500049                                          
gid://shopify/TaxonomyCategory/ha-11-2           => 7183                                            
gid://shopify/TaxonomyCategory/ha-11-2-1         => 7183                                            
gid://shopify/TaxonomyCategory/ha-11-2-2         => 7183                                            
gid://shopify/TaxonomyCategory/ha-11-2-3         => 7183                                            
gid://shopify/TaxonomyCategory/ha-11-3           => 499893                                          
gid://shopify/TaxonomyCategory/ha-11-4           => 6807                                            
gid://shopify/TaxonomyCategory/ha-11-4-1         => 6807                                            
gid://shopify/TaxonomyCategory/ha-11-4-2         => 6807                                            
gid://shopify/TaxonomyCategory/ha-11-5           => 127                                             
gid://shopify/TaxonomyCategory/ha-11-6           => 499768                                          
gid://shopify/TaxonomyCategory/ha-11-6-1         => 499770                                          
gid://shopify/TaxonomyCategory/ha-11-6-1-1       => 499770                                          
gid://shopify/TaxonomyCategory/ha-11-6-1-2       => 499770                                          
gid://shopify/TaxonomyCategory/ha-11-6-2         => 3797                                            
gid://shopify/TaxonomyCategory/ha-11-7           => 7275                                            
gid://shopify/TaxonomyCategory/ha-11-7-1         => 7275                                            
gid://shopify/TaxonomyCategory/ha-11-7-2         => 7275                                            
gid://shopify/TaxonomyCategory/ha-11-7-3         => 7275                                            
gid://shopify/TaxonomyCategory/ha-11-8           => 2006                                            
gid://shopify/TaxonomyCategory/ha-11-8-1         => 2006                                            
gid://shopify/TaxonomyCategory/ha-11-8-2         => 2006                                            
gid://shopify/TaxonomyCategory/ha-11-9           => 5627                                            
gid://shopify/TaxonomyCategory/ha-11-10          => 6459                                            
gid://shopify/TaxonomyCategory/ha-11-10-1        => 1935                                            
gid://shopify/TaxonomyCategory/ha-11-10-1-1      => 1935                                            
gid://shopify/TaxonomyCategory/ha-11-10-1-2      => 1935                                            
gid://shopify/TaxonomyCategory/ha-11-10-1-3      => 1935                                            
gid://shopify/TaxonomyCategory/ha-11-10-2        => 499932                                          
gid://shopify/TaxonomyCategory/ha-11-10-2-1      => 499932                                          
gid://shopify/TaxonomyCategory/ha-11-10-2-2      => 499932                                          
gid://shopify/TaxonomyCategory/ha-11-10-2-3      => 499932                                          
gid://shopify/TaxonomyCategory/ha-11-11          => 2345                                            
gid://shopify/TaxonomyCategory/ha-11-12          => 6375                                            
gid://shopify/TaxonomyCategory/ha-11-13          => 4789                                            
gid://shopify/TaxonomyCategory/ha-11-14          => 4709                                            
gid://shopify/TaxonomyCategory/ha-11-15          => 1218                                            
gid://shopify/TaxonomyCategory/ha-11-15-1        => 1218                                            
gid://shopify/TaxonomyCategory/ha-11-15-2        => 1218                                            
gid://shopify/TaxonomyCategory/ha-11-15-3        => 1218                                            
gid://shopify/TaxonomyCategory/ha-11-16          => 2413                                            
gid://shopify/TaxonomyCategory/ha-11-16-1        => 2413                                            
gid://shopify/TaxonomyCategory/ha-11-16-2        => 2413                                            
gid://shopify/TaxonomyCategory/ha-11-16-3        => 2413                                            
gid://shopify/TaxonomyCategory/ha-11-17          => 2028                                            
gid://shopify/TaxonomyCategory/ha-11-17-1        => 2028                                            
gid://shopify/TaxonomyCategory/ha-11-17-2        => 2028                                            
gid://shopify/TaxonomyCategory/ha-11-18          => 5533                                            
gid://shopify/TaxonomyCategory/ha-11-18-1        => 5533                                            
gid://shopify/TaxonomyCategory/ha-11-18-2        => 5533                                            
gid://shopify/TaxonomyCategory/ha-11-19          => 499966                                          
gid://shopify/TaxonomyCategory/ha-11-20          => 5142                                            
gid://shopify/TaxonomyCategory/ha-11-21          => 1869                                            
gid://shopify/TaxonomyCategory/ha-11-21-1        => 1869                                            
gid://shopify/TaxonomyCategory/ha-11-21-2        => 1869                                            
gid://shopify/TaxonomyCategory/ha-11-21-3        => 1869                                            
gid://shopify/TaxonomyCategory/ha-11-22          => 4715                                            
gid://shopify/TaxonomyCategory/ha-11-22-1        => 4715                                            
gid://shopify/TaxonomyCategory/ha-11-22-2        => 4715                                            
gid://shopify/TaxonomyCategory/ha-11-22-3        => 4715                                            
gid://shopify/TaxonomyCategory/ha-11-23          => 4714                                            
gid://shopify/TaxonomyCategory/ha-11-23-1        => 4714                                            
gid://shopify/TaxonomyCategory/ha-11-23-2        => 4714                                            
gid://shopify/TaxonomyCategory/ha-11-23-3        => 4714                                            
gid://shopify/TaxonomyCategory/ha-11-24          => 505318                                          
gid://shopify/TaxonomyCategory/ha-11-24-1        => 505318                                          
gid://shopify/TaxonomyCategory/ha-11-24-2        => 505318                                          
gid://shopify/TaxonomyCategory/ha-11-25          => 2377                                            
gid://shopify/TaxonomyCategory/ha-11-25-1        => 2377                                            
gid://shopify/TaxonomyCategory/ha-11-25-2        => 2377                                            
gid://shopify/TaxonomyCategory/ha-11-25-3        => 2377                                            
gid://shopify/TaxonomyCategory/ha-11-26          => 6833                                            
gid://shopify/TaxonomyCategory/ha-11-26-1        => 6833                                            
gid://shopify/TaxonomyCategory/ha-11-26-2        => 6833                                            
gid://shopify/TaxonomyCategory/ha-11-27          => 2274                                            
gid://shopify/TaxonomyCategory/ha-11-27-1        => 2274                                            
gid://shopify/TaxonomyCategory/ha-11-27-2        => 2274                                            
gid://shopify/TaxonomyCategory/ha-11-28          => 503729                                          
gid://shopify/TaxonomyCategory/ha-11-28-1        => 503729                                          
gid://shopify/TaxonomyCategory/ha-11-28-2        => 503729                                          
gid://shopify/TaxonomyCategory/ha-11-28-3        => 503729                                          
gid://shopify/TaxonomyCategory/ha-12             => 499982                                          
gid://shopify/TaxonomyCategory/ha-13             => 1910                                            
gid://shopify/TaxonomyCategory/ha-14             => 3650                                            
gid://shopify/TaxonomyCategory/ha-14-1           => 6939                                            
gid://shopify/TaxonomyCategory/ha-14-1-1         => 6940                                            
gid://shopify/TaxonomyCategory/ha-14-1-1-1       => 6940                                            
gid://shopify/TaxonomyCategory/ha-14-1-1-2       => 6940                                            
gid://shopify/TaxonomyCategory/ha-14-2           => 7326                                            
gid://shopify/TaxonomyCategory/ha-14-2-1         => 7370                                            
gid://shopify/TaxonomyCategory/ha-14-2-2         => 7369                                            
gid://shopify/TaxonomyCategory/ha-14-3           => 8117                                            
gid://shopify/TaxonomyCategory/ha-14-3-1         => 8118                                            
gid://shopify/TaxonomyCategory/ha-14-4           => 3944                                            
gid://shopify/TaxonomyCategory/ha-14-4-1         => 1540                                            
gid://shopify/TaxonomyCategory/ha-14-4-1-1       => 1540                                            
gid://shopify/TaxonomyCategory/ha-14-4-1-2       => 1540                                            
gid://shopify/TaxonomyCategory/ha-14-4-1-3       => 1540                                            
gid://shopify/TaxonomyCategory/ha-14-4-2         => 7140                                            
gid://shopify/TaxonomyCategory/ha-14-4-3         => 6378                                            
gid://shopify/TaxonomyCategory/ha-14-4-3-2       => 6378                                            
gid://shopify/TaxonomyCategory/ha-14-4-3-1       => 6378                                            
gid://shopify/TaxonomyCategory/ha-14-4-4         => 8276                                            
gid://shopify/TaxonomyCategory/ha-14-4-4-1       => 8276                                            
gid://shopify/TaxonomyCategory/ha-14-4-4-2       => 8276                                            
gid://shopify/TaxonomyCategory/ha-14-4-5         => 8275                                            
gid://shopify/TaxonomyCategory/ha-14-4-5-1       => 8275                                            
gid://shopify/TaxonomyCategory/ha-14-4-5-2       => 8275                                            
gid://shopify/TaxonomyCategory/ha-14-4-6         => 6806                                            
gid://shopify/TaxonomyCategory/ha-14-5           => 6471                                            
gid://shopify/TaxonomyCategory/ha-14-6           => 2447                                            
gid://shopify/TaxonomyCategory/ha-14-7           => 499859                                          
gid://shopify/TaxonomyCategory/ha-14-7-1         => 499860                                          
gid://shopify/TaxonomyCategory/ha-14-8           => 7056                                            
gid://shopify/TaxonomyCategory/ha-14-8-1         => 7087                                            
gid://shopify/TaxonomyCategory/ha-14-8-2         => 7055                                            
gid://shopify/TaxonomyCategory/ha-14-8-3         => 7057                                            
gid://shopify/TaxonomyCategory/ha-14-9           => 2380                                            
gid://shopify/TaxonomyCategory/ha-14-10          => 6907                                            
gid://shopify/TaxonomyCategory/ha-14-10-1        => 6907                                            
gid://shopify/TaxonomyCategory/ha-14-10-2        => 6907                                            
gid://shopify/TaxonomyCategory/ha-14-10-3        => 6907                                            
gid://shopify/TaxonomyCategory/ha-14-11          => 7472                                            
gid://shopify/TaxonomyCategory/ha-14-12          => 505323                                          
gid://shopify/TaxonomyCategory/ha-14-12-1        => 505324                                          
gid://shopify/TaxonomyCategory/ha-14-13          => 5526                                            
gid://shopify/TaxonomyCategory/ha-14-13-1        => 5557                                            
gid://shopify/TaxonomyCategory/ha-14-13-2        => 5556                                            
gid://shopify/TaxonomyCategory/ha-14-13-3        => 503007                                          
gid://shopify/TaxonomyCategory/ha-14-13-4        => 7415                                            
gid://shopify/TaxonomyCategory/ha-14-14          => 499886                                          
gid://shopify/TaxonomyCategory/ha-14-15          => 7019                                            
gid://shopify/TaxonomyCategory/ha-14-15-1        => 6887                                            
gid://shopify/TaxonomyCategory/ha-14-15-2        => 328062                                          
gid://shopify/TaxonomyCategory/ha-14-15-2-1      => 328062                                          
gid://shopify/TaxonomyCategory/ha-14-15-2-2      => 328062                                          
gid://shopify/TaxonomyCategory/ha-14-15-3        => 7020                                            
gid://shopify/TaxonomyCategory/ha-14-16          => 6295                                            
gid://shopify/TaxonomyCategory/ha-14-17          => 6292                                            
gid://shopify/TaxonomyCategory/ha-14-18          => 3744                                            
gid://shopify/TaxonomyCategory/ha-14-18-1        => 3673                                            
gid://shopify/TaxonomyCategory/ha-14-18-1-1      => 3673                                            
gid://shopify/TaxonomyCategory/ha-14-18-1-2      => 3673                                            
gid://shopify/TaxonomyCategory/ha-14-18-1-3      => 3673                                            
gid://shopify/TaxonomyCategory/ha-14-18-2        => 3300                                            
gid://shopify/TaxonomyCategory/ha-14-19          => 4487                                            
gid://shopify/TaxonomyCategory/ha-14-19-1        => 3240                                            
gid://shopify/TaxonomyCategory/ha-14-19-1-1      => 3240                                            
gid://shopify/TaxonomyCategory/ha-14-19-1-2      => 3240                                            
gid://shopify/TaxonomyCategory/ha-14-19-1-3      => 3240                                            
gid://shopify/TaxonomyCategory/ha-14-19-1-4      => 3240                                            
gid://shopify/TaxonomyCategory/ha-14-19-1-5      => 3240                                            
gid://shopify/TaxonomyCategory/ha-14-19-1-6      => 3240                                            
gid://shopify/TaxonomyCategory/ha-14-19-1-7      => 3240                                            
gid://shopify/TaxonomyCategory/ha-14-19-1-8      => 3240                                            
gid://shopify/TaxonomyCategory/ha-14-19-1-9      => 3240                                            
gid://shopify/TaxonomyCategory/ha-14-20          => 6549                                            
gid://shopify/TaxonomyCategory/ha-14-20-1        => 7515                                            
gid://shopify/TaxonomyCategory/ha-14-20-2        => 7345                                            
gid://shopify/TaxonomyCategory/ha-14-20-3        => 7346                                            
gid://shopify/TaxonomyCategory/ha-14-20-4        => 6503                                            
gid://shopify/TaxonomyCategory/ha-14-20-5        => 6501                                            
gid://shopify/TaxonomyCategory/ha-14-21          => 3470                                            
gid://shopify/TaxonomyCategory/ha-14-21-1        => 3210                                            
gid://shopify/TaxonomyCategory/ha-14-21-1-1      => 3210                                            
gid://shopify/TaxonomyCategory/ha-14-21-1-2      => 3210                                            
gid://shopify/TaxonomyCategory/ha-14-21-1-3      => 3210                                            
gid://shopify/TaxonomyCategory/ha-14-22          => 3281                                            
gid://shopify/TaxonomyCategory/ha-14-22-1        => 3629                                            
gid://shopify/TaxonomyCategory/ha-14-22-2        => 3609                                            
gid://shopify/TaxonomyCategory/ha-14-22-2-1      => 3609                                            
gid://shopify/TaxonomyCategory/ha-14-22-2-2      => 3609                                            
gid://shopify/TaxonomyCategory/ha-14-22-2-3      => 3609                                            
gid://shopify/TaxonomyCategory/ha-14-23          => 2174                                            
gid://shopify/TaxonomyCategory/ha-14-23-1        => 505831                                          
gid://shopify/TaxonomyCategory/ha-14-23-1-1      => 505831                                          
gid://shopify/TaxonomyCategory/ha-14-23-1-2      => 505831                                          
gid://shopify/TaxonomyCategory/ha-14-23-2        => 2202                                            
gid://shopify/TaxonomyCategory/ha-14-23-2-1      => 2202                                            
gid://shopify/TaxonomyCategory/ha-14-23-2-2      => 2202                                            
gid://shopify/TaxonomyCategory/ha-14-23-2-3      => 2202                                            
gid://shopify/TaxonomyCategory/ha-14-24          => 505810                                          
gid://shopify/TaxonomyCategory/ha-14-24-1        => 505810                                          
gid://shopify/TaxonomyCategory/ha-14-24-2        => 505810                                          
gid://shopify/TaxonomyCategory/ha-14-25          => 8258                                            
gid://shopify/TaxonomyCategory/ha-14-26          => 5571                                            
gid://shopify/TaxonomyCategory/ha-14-27          => 4658                                            
gid://shopify/TaxonomyCategory/ha-14-27-1        => 4659                                            
gid://shopify/TaxonomyCategory/ha-14-27-1-1      => 4659                                            
gid://shopify/TaxonomyCategory/ha-14-27-1-2      => 4659                                            
gid://shopify/TaxonomyCategory/ha-14-27-1-3      => 4659                                            
gid://shopify/TaxonomyCategory/ha-14-28          => 505812                                          
gid://shopify/TaxonomyCategory/ha-14-28-1        => 505812                                          
gid://shopify/TaxonomyCategory/ha-14-28-2        => 505812                                          
gid://shopify/TaxonomyCategory/ha-14-28-3        => 505812                                          
gid://shopify/TaxonomyCategory/ha-14-29          => 499947                                          
gid://shopify/TaxonomyCategory/ha-15             => 1167                                            
gid://shopify/TaxonomyCategory/ha-15-1           => 6938                                            
gid://shopify/TaxonomyCategory/ha-15-1-1         => 6938                                            
gid://shopify/TaxonomyCategory/ha-15-1-2         => 6938                                            
gid://shopify/TaxonomyCategory/ha-15-1-3         => 6938                                            
gid://shopify/TaxonomyCategory/ha-15-2           => 1169                                            
gid://shopify/TaxonomyCategory/ha-15-3           => 1171                                            
gid://shopify/TaxonomyCategory/ha-15-3-1         => 1171                                            
gid://shopify/TaxonomyCategory/ha-15-3-2         => 1171                                            
gid://shopify/TaxonomyCategory/ha-15-3-3         => 1171                                            
gid://shopify/TaxonomyCategory/ha-15-4           => 7271                                            
gid://shopify/TaxonomyCategory/ha-15-4-1         => 7271                                            
gid://shopify/TaxonomyCategory/ha-15-4-2         => 7271                                            
gid://shopify/TaxonomyCategory/ha-15-5           => 1174                                            
gid://shopify/TaxonomyCategory/ha-15-5-1         => 1174                                            
gid://shopify/TaxonomyCategory/ha-15-5-2         => 1174                                            
gid://shopify/TaxonomyCategory/ha-15-5-3         => 1174                                            
gid://shopify/TaxonomyCategory/ha-15-6           => 1215                                            
gid://shopify/TaxonomyCategory/ha-15-6-1         => 1215                                            
gid://shopify/TaxonomyCategory/ha-15-6-2         => 1215                                            
gid://shopify/TaxonomyCategory/ha-15-6-3         => 1215                                            
gid://shopify/TaxonomyCategory/ha-15-7           => 2792                                            
gid://shopify/TaxonomyCategory/ha-15-8           => 4325                                            
gid://shopify/TaxonomyCategory/ha-15-8-1         => 4325                                            
gid://shopify/TaxonomyCategory/ha-15-8-2         => 4325                                            
gid://shopify/TaxonomyCategory/ha-15-9           => 2015                                            
gid://shopify/TaxonomyCategory/ha-15-10          => 4672                                            
gid://shopify/TaxonomyCategory/ha-15-11          => 1180                                            
gid://shopify/TaxonomyCategory/ha-15-11-1        => 1181                                            
gid://shopify/TaxonomyCategory/ha-15-11-1-2      => 1181                                            
gid://shopify/TaxonomyCategory/ha-15-11-1-3      => 1181                                            
gid://shopify/TaxonomyCategory/ha-15-11-2        => 1182                                            
gid://shopify/TaxonomyCategory/ha-15-11-2-1      => 1182                                            
gid://shopify/TaxonomyCategory/ha-15-11-2-2      => 1182                                            
gid://shopify/TaxonomyCategory/ha-15-11-2-3      => 1182                                            
gid://shopify/TaxonomyCategory/ha-15-11-3        => 1454                                            
gid://shopify/TaxonomyCategory/ha-15-11-4        => 7562                                            
gid://shopify/TaxonomyCategory/ha-15-11-4-1      => 7562                                            
gid://shopify/TaxonomyCategory/ha-15-11-4-2      => 7562                                            
gid://shopify/TaxonomyCategory/ha-15-11-5        => 2080                                            
gid://shopify/TaxonomyCategory/ha-15-11-6        => 1824                                            
gid://shopify/TaxonomyCategory/ha-15-11-6-2      => 1824                                            
gid://shopify/TaxonomyCategory/ha-15-11-6-1      => 1824                                            
gid://shopify/TaxonomyCategory/ha-15-11-7        => 2726                                            
gid://shopify/TaxonomyCategory/ha-15-11-7-1      => 2726                                            
gid://shopify/TaxonomyCategory/ha-15-11-7-2      => 2726                                            
gid://shopify/TaxonomyCategory/ha-15-11-8        => 2411                                            
gid://shopify/TaxonomyCategory/ha-15-11-8-1      => 2411                                            
gid://shopify/TaxonomyCategory/ha-15-11-8-2      => 2411                                            
gid://shopify/TaxonomyCategory/ha-15-12          => 1391                                            
gid://shopify/TaxonomyCategory/ha-15-12-1        => 1391                                            
gid://shopify/TaxonomyCategory/ha-15-12-2        => 1391                                            
gid://shopify/TaxonomyCategory/ha-15-13          => 126                                             
gid://shopify/TaxonomyCategory/ha-15-13-1        => 126                                             
gid://shopify/TaxonomyCategory/ha-15-13-2        => 126                                             
gid://shopify/TaxonomyCategory/ha-15-13-3        => 126                                             
gid://shopify/TaxonomyCategory/ha-15-14          => 1217                                            
gid://shopify/TaxonomyCategory/ha-15-14-1        => 1367                                            
gid://shopify/TaxonomyCategory/ha-15-14-1-1      => 1367                                            
gid://shopify/TaxonomyCategory/ha-15-14-1-2      => 1367                                            
gid://shopify/TaxonomyCategory/ha-15-14-2        => 1216                                            
gid://shopify/TaxonomyCategory/ha-15-14-3        => 2629                                            
gid://shopify/TaxonomyCategory/ha-15-14-3-1      => 2629                                            
gid://shopify/TaxonomyCategory/ha-15-14-3-2      => 2629                                            
gid://shopify/TaxonomyCategory/ha-15-14-3-3      => 2629                                            
gid://shopify/TaxonomyCategory/ha-15-14-4        => 1465                                            
gid://shopify/TaxonomyCategory/ha-15-14-5        => 1994                                            
gid://shopify/TaxonomyCategory/ha-15-14-5-1      => 1994                                            
gid://shopify/TaxonomyCategory/ha-15-14-5-2      => 1994                                            
gid://shopify/TaxonomyCategory/ha-15-15          => 6461                                            
gid://shopify/TaxonomyCategory/ha-15-16          => 338                                             
gid://shopify/TaxonomyCategory/ha-15-16-1        => 543689                                          
gid://shopify/TaxonomyCategory/ha-15-16-1-1      => 543689                                          
gid://shopify/TaxonomyCategory/ha-15-16-1-3      => 543689                                          
gid://shopify/TaxonomyCategory/ha-15-16-2        => 2454                                            
gid://shopify/TaxonomyCategory/ha-15-17          => 7556                                            
gid://shopify/TaxonomyCategory/ha-15-17-2        => 7556                                            
gid://shopify/TaxonomyCategory/ha-15-17-3        => 7556                                            
gid://shopify/TaxonomyCategory/ha-15-18          => 1219                                            
gid://shopify/TaxonomyCategory/ha-15-18-1        => 1219                                            
gid://shopify/TaxonomyCategory/ha-15-18-2        => 1219                                            
gid://shopify/TaxonomyCategory/ha-15-18-3        => 1219                                            
gid://shopify/TaxonomyCategory/ha-15-19          => 1185                                            
gid://shopify/TaxonomyCategory/ha-15-19-1        => 1185                                            
gid://shopify/TaxonomyCategory/ha-15-19-2        => 1185                                            
gid://shopify/TaxonomyCategory/ha-15-19-3        => 1185                                            
gid://shopify/TaxonomyCategory/ha-15-20          => 1186                                            
gid://shopify/TaxonomyCategory/ha-15-20-1        => 2208                                            
gid://shopify/TaxonomyCategory/ha-15-20-1-1      => 2208                                            
gid://shopify/TaxonomyCategory/ha-15-20-1-2      => 2208                                            
gid://shopify/TaxonomyCategory/ha-15-20-1-3      => 2208                                            
gid://shopify/TaxonomyCategory/ha-15-20-2        => 505364                                          
gid://shopify/TaxonomyCategory/ha-15-20-2-1      => 505364                                          
gid://shopify/TaxonomyCategory/ha-15-20-2-2      => 505364                                          
gid://shopify/TaxonomyCategory/ha-15-21          => 499887                                          
gid://shopify/TaxonomyCategory/ha-15-22          => 5927                                            
gid://shopify/TaxonomyCategory/ha-15-23          => 1220                                            
gid://shopify/TaxonomyCategory/ha-15-23-1        => 1220                                            
gid://shopify/TaxonomyCategory/ha-15-23-2        => 1220                                            
gid://shopify/TaxonomyCategory/ha-15-24          => 1221                                            
gid://shopify/TaxonomyCategory/ha-15-24-1        => 1221                                            
gid://shopify/TaxonomyCategory/ha-15-24-2        => 1221                                            
gid://shopify/TaxonomyCategory/ha-15-24-3        => 1221                                            
gid://shopify/TaxonomyCategory/ha-15-25          => 2456                                            
gid://shopify/TaxonomyCategory/ha-15-26          => 7416                                            
gid://shopify/TaxonomyCategory/ha-15-27          => 130                                             
gid://shopify/TaxonomyCategory/ha-15-27-1        => 2416                                            
gid://shopify/TaxonomyCategory/ha-15-27-2        => 6928                                            
gid://shopify/TaxonomyCategory/ha-15-27-2-1      => 6928                                            
gid://shopify/TaxonomyCategory/ha-15-27-2-2      => 6928                                            
gid://shopify/TaxonomyCategory/ha-15-27-2-3      => 6928                                            
gid://shopify/TaxonomyCategory/ha-15-27-3        => 1866                                            
gid://shopify/TaxonomyCategory/ha-15-27-3-3      => 1866                                            
gid://shopify/TaxonomyCategory/ha-15-27-3-4      => 1866                                            
gid://shopify/TaxonomyCategory/ha-15-27-4        => 635                                             
gid://shopify/TaxonomyCategory/ha-15-27-5        => 1809                                            
gid://shopify/TaxonomyCategory/ha-15-28          => 1663                                            
gid://shopify/TaxonomyCategory/ha-15-29          => 1603                                            
gid://shopify/TaxonomyCategory/ha-15-29-1        => 1603                                            
gid://shopify/TaxonomyCategory/ha-15-29-2        => 1603                                            
gid://shopify/TaxonomyCategory/ha-15-30          => 503774                                          
gid://shopify/TaxonomyCategory/ha-15-30-1        => 503774                                          
gid://shopify/TaxonomyCategory/ha-15-30-3        => 503774                                          
gid://shopify/TaxonomyCategory/ha-15-30-2        => 503774                                          
gid://shopify/TaxonomyCategory/ha-15-31          => 7030                                            
gid://shopify/TaxonomyCategory/ha-15-31-1        => 7030                                            
gid://shopify/TaxonomyCategory/ha-15-31-2        => 7030                                            
gid://shopify/TaxonomyCategory/ha-15-32          => 5873                                            
gid://shopify/TaxonomyCategory/ha-15-32-1        => 5873                                            
gid://shopify/TaxonomyCategory/ha-15-32-2        => 5873                                            
gid://shopify/TaxonomyCategory/ha-15-33          => 1832                                            
gid://shopify/TaxonomyCategory/ha-15-34          => 1193                                            
gid://shopify/TaxonomyCategory/ha-15-34-1        => 1668                                            
gid://shopify/TaxonomyCategory/ha-15-34-2        => 2305                                            
gid://shopify/TaxonomyCategory/ha-15-34-2-1      => 2305                                            
gid://shopify/TaxonomyCategory/ha-15-34-2-2      => 2305                                            
gid://shopify/TaxonomyCategory/ha-15-34-3        => 1555                                            
gid://shopify/TaxonomyCategory/ha-15-34-4        => 2337                                            
gid://shopify/TaxonomyCategory/ha-15-34-4-1      => 2337                                            
gid://shopify/TaxonomyCategory/ha-15-34-4-2      => 2337                                            
gid://shopify/TaxonomyCategory/ha-15-34-4-3      => 2337                                            
gid://shopify/TaxonomyCategory/ha-15-34-5        => 7484                                            
gid://shopify/TaxonomyCategory/ha-15-34-6        => 1799                                            
gid://shopify/TaxonomyCategory/ha-15-34-6-1      => 1799                                            
gid://shopify/TaxonomyCategory/ha-15-34-6-2      => 1799                                            
gid://shopify/TaxonomyCategory/ha-15-34-7        => 1450                                            
gid://shopify/TaxonomyCategory/ha-15-34-7-1      => 1450                                            
gid://shopify/TaxonomyCategory/ha-15-34-7-2      => 1450                                            
gid://shopify/TaxonomyCategory/ha-15-34-8        => 2181                                            
gid://shopify/TaxonomyCategory/ha-15-34-8-1      => 2181                                            
gid://shopify/TaxonomyCategory/ha-15-34-8-2      => 2181                                            
gid://shopify/TaxonomyCategory/ha-15-34-8-3      => 2181                                            
gid://shopify/TaxonomyCategory/ha-15-34-9        => 4132                                            
gid://shopify/TaxonomyCategory/ha-15-35          => 3932                                            
gid://shopify/TaxonomyCategory/ha-15-35-1        => 3932                                            
gid://shopify/TaxonomyCategory/ha-15-35-2        => 3932                                            
gid://shopify/TaxonomyCategory/ha-15-36          => 1305                                            
gid://shopify/TaxonomyCategory/ha-15-36-1        => 5515                                            
gid://shopify/TaxonomyCategory/ha-15-36-1-1      => 5515                                            
gid://shopify/TaxonomyCategory/ha-15-36-1-2      => 5515                                            
gid://shopify/TaxonomyCategory/ha-15-36-1-3      => 5515                                            
gid://shopify/TaxonomyCategory/ha-15-36-2        => 4022                                            
gid://shopify/TaxonomyCategory/ha-15-36-3        => 500058                                          
gid://shopify/TaxonomyCategory/ha-15-36-3-1      => 500058                                          
gid://shopify/TaxonomyCategory/ha-15-36-3-2      => 500058                                          
gid://shopify/TaxonomyCategory/ha-15-36-3-3      => 500058                                          
