# Shopify Product Taxonomy - Attributes: 2026-05
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-glasögonpassningsdesign
gid://shopify/TaxonomyAttribute/9168  : Instruktioner för skötsel av stolsrosett
gid://shopify/TaxonomyAttribute/9169  : Stolsrosettens ytfinish
gid://shopify/TaxonomyAttribute/6886  : Design av stolsförvaring
gid://shopify/TaxonomyAttribute/3049  : Detaljer för fåtölj/soffa
gid://shopify/TaxonomyAttribute/6887  : Schäslong- eller sektionsorientering
gid://shopify/TaxonomyAttribute/2265  : Griffeltavelyta
gid://shopify/TaxonomyAttribute/9170  : Kammarens storlek
gid://shopify/TaxonomyAttribute/5753  : Typ av champagneglas
gid://shopify/TaxonomyAttribute/5754  : Ljuskronans form
gid://shopify/TaxonomyAttribute/3035  : Detaljer för skötbädd/-bord
gid://shopify/TaxonomyAttribute/9171  : Avstånd mellan fingrarna på övningssångare
gid://shopify/TaxonomyAttribute/9172  : Typ av chanter
gid://shopify/TaxonomyAttribute/5755  : Specifikationer för kolskorsten
gid://shopify/TaxonomyAttribute/5756  : Tändningstyp för kol
gid://shopify/TaxonomyAttribute/5174  : Kolkällmaterial
gid://shopify/TaxonomyAttribute/7673  : Mangoldsort
gid://shopify/TaxonomyAttribute/5581  : Laddarstil
gid://shopify/TaxonomyAttribute/2714  : Typ av laddare
gid://shopify/TaxonomyAttribute/2682  : Typ av laddningskabel
gid://shopify/TaxonomyAttribute/5002  : Laddningsgränssnittstyp
gid://shopify/TaxonomyAttribute/2683  : Laddningsnivå
gid://shopify/TaxonomyAttribute/8136  : Laddningsportens placering
gid://shopify/TaxonomyAttribute/8137  : Typ av chassikonstruktion
gid://shopify/TaxonomyAttribute/1870  : Chassityp
gid://shopify/TaxonomyAttribute/6654  : Orientering för checkhäftet
gid://shopify/TaxonomyAttribute/7202  : Kindbettsstil
gid://shopify/TaxonomyAttribute/7674  : Alternativ ostform
gid://shopify/TaxonomyAttribute/7675  : Ostform
gid://shopify/TaxonomyAttribute/7676  : Ostkonsistens
gid://shopify/TaxonomyAttribute/7677  : Ostsort
gid://shopify/TaxonomyAttribute/2055  : Kemisk tillämpning
gid://shopify/TaxonomyAttribute/2058  : Typ av kemikaliebehållare
gid://shopify/TaxonomyAttribute/2611  : Kemisk kvalitet
gid://shopify/TaxonomyAttribute/2057  : Kemisk produktform
gid://shopify/TaxonomyAttribute/2612  : Kemisk renhet
gid://shopify/TaxonomyAttribute/2056  : Kemiska säkerhetsfunktioner
gid://shopify/TaxonomyAttribute/7678  : Kirimojasorten
gid://shopify/TaxonomyAttribute/7679  : Körsbärssort
gid://shopify/TaxonomyAttribute/6655  : Bröstficksstil
gid://shopify/TaxonomyAttribute/7680  : Tuggtobaksform
gid://shopify/TaxonomyAttribute/2552  : Kycklingfoderstadium
gid://shopify/TaxonomyAttribute/7681  : Cikoriasort
gid://shopify/TaxonomyAttribute/9173  : Rekommenderad användning av chiffong
gid://shopify/TaxonomyAttribute/7203  : Tillbehörstyp för barnstol
gid://shopify/TaxonomyAttribute/7204  : Monteringstyp för barnstol
gid://shopify/TaxonomyAttribute/2874  : Montering av barnstol
gid://shopify/TaxonomyAttribute/9174  : Klockljudkaraktär
gid://shopify/TaxonomyAttribute/7205  : Hakskyddstyp
gid://shopify/TaxonomyAttribute/5208  : Hakremsstil
gid://shopify/TaxonomyAttribute/6656  : Hakremstyp
gid://shopify/TaxonomyAttribute/9175  : Kantform på kinacymbaler
gid://shopify/TaxonomyAttribute/9176  : Kinacymbalernas ljudkaraktär
gid://shopify/TaxonomyAttribute/7206  : Hakremstyp
gid://shopify/TaxonomyAttribute/7682  : Chipsens form
gid://shopify/TaxonomyAttribute/6385  : Spelmarkörernas värden
gid://shopify/TaxonomyAttribute/2574  : Flisningsteknik
gid://shopify/TaxonomyAttribute/2596  : Utformning av kiropraktikbord
gid://shopify/TaxonomyAttribute/7683  : Chokladform
gid://shopify/TaxonomyAttribute/3412  : Chokladtyp
gid://shopify/TaxonomyAttribute/5110  : Mätt kolesterolanalyt
gid://shopify/TaxonomyAttribute/5757  : Design av ätpinnar
gid://shopify/TaxonomyAttribute/6286  : Design av träningsätpinnar
gid://shopify/TaxonomyAttribute/7684  : Blomsellerikålsort
gid://shopify/TaxonomyAttribute/2192  : Chucktyp
gid://shopify/TaxonomyAttribute/1502  : Cigarrkropp
gid://shopify/TaxonomyAttribute/5758  : Typ av cigarrklippare
gid://shopify/TaxonomyAttribute/5759  : Typ av cigarrstans
gid://shopify/TaxonomyAttribute/7685  : Cigarrhöljets färg
gid://shopify/TaxonomyAttribute/7686  : Cigarettfiltertyp
gid://shopify/TaxonomyAttribute/7687  : Cigarettstorlek
gid://shopify/TaxonomyAttribute/7688  : Cigarettstyrka beskrivning
gid://shopify/TaxonomyAttribute/7207  : Gjordfodrets material
gid://shopify/TaxonomyAttribute/3070  : Detaljer för kretskort
gid://shopify/TaxonomyAttribute/2164  : Utförande av automatsäkring
gid://shopify/TaxonomyAttribute/2163  : Form på automatsäkringspanel
gid://shopify/TaxonomyAttribute/2165  : Strömbrytartyp
gid://shopify/TaxonomyAttribute/9177  : Rundstickor av kabeltyp
gid://shopify/TaxonomyAttribute/9178  : Materialet i spetsen på rundstickor
gid://shopify/TaxonomyAttribute/9179  : Mekanism för justering av omkrets
gid://shopify/TaxonomyAttribute/7208  : Klämkonstruktion
gid://shopify/TaxonomyAttribute/9180  : Funktioner hos notklämma
gid://shopify/TaxonomyAttribute/9181  : Kläm-/stängningstyp
gid://shopify/TaxonomyAttribute/9182  : Akustisk design för klarinettklocka
gid://shopify/TaxonomyAttribute/9183  : Justeringsmekanism för klarinettklocka
gid://shopify/TaxonomyAttribute/9184  : Klarinettklockans material
gid://shopify/TaxonomyAttribute/9185  : Klarinettklockans stämningseffekt
gid://shopify/TaxonomyAttribute/9186  : Typ av klarinettkropp
gid://shopify/TaxonomyAttribute/9187  : Klarinettrörtyp
gid://shopify/TaxonomyAttribute/9188  : Klarinettkapselstil
gid://shopify/TaxonomyAttribute/9189  : Underhållskit för klarinett och avsedd användning
gid://shopify/TaxonomyAttribute/9190  : Klarinettillbehör som ingår
gid://shopify/TaxonomyAttribute/2482  : Nyckelsystem på klarinett
gid://shopify/TaxonomyAttribute/9191  : Klarinettklaffarnas material
gid://shopify/TaxonomyAttribute/9192  : Tangentlackering klarinett
gid://shopify/TaxonomyAttribute/9193  : Klarinettmunstyckets baffelprofil
gid://shopify/TaxonomyAttribute/9194  : Klarinettmunstyckets näbbform
gid://shopify/TaxonomyAttribute/9195  : Storlek på klarniettens munstycke
gid://shopify/TaxonomyAttribute/9196  : Avsedd ton för klarinettmunstycket
gid://shopify/TaxonomyAttribute/9197  : Klarinettmunstyckets spelarnivå
gid://shopify/TaxonomyAttribute/9198  : Klarinettrörsskärning
gid://shopify/TaxonomyAttribute/9199  : Klarinettrörets materialtyp
gid://shopify/TaxonomyAttribute/9200  : Klarinettens tumstödstyp
gid://shopify/TaxonomyAttribute/108   : Typ av spänne
gid://shopify/TaxonomyAttribute/9201  : Klassisk gitarrsträng 3:e strängtyp
gid://shopify/TaxonomyAttribute/9202  : Klassisk bassträng lindningsmaterial
gid://shopify/TaxonomyAttribute/9203  : Klassisk gitarrsträngskonfiguration
gid://shopify/TaxonomyAttribute/1655  : Klodesign
gid://shopify/TaxonomyAttribute/9204  : Basmaterial för lera och modelleringsdeg
gid://shopify/TaxonomyAttribute/9205  : Metod för härdning av lera och modelleringsdeg
gid://shopify/TaxonomyAttribute/9206  : Möjlighet att måla leran
gid://shopify/TaxonomyAttribute/5760  : Material för lerkruka
gid://shopify/TaxonomyAttribute/9207  : Lerans primära sammansättning
gid://shopify/TaxonomyAttribute/7209  : Lerskyttedisciplin
gid://shopify/TaxonomyAttribute/2954  : Textur av lera/slip
gid://shopify/TaxonomyAttribute/5761  : Rengöringsmedelskoncentration
gid://shopify/TaxonomyAttribute/9208  : Rengöringsmedlets format
gid://shopify/TaxonomyAttribute/2735  : Rengöringsmedlets syfte
gid://shopify/TaxonomyAttribute/9209  : Avsett område för rengöring/desinfektion
gid://shopify/TaxonomyAttribute/5762  : Specifikationer för rengöringsduk
gid://shopify/TaxonomyAttribute/9210  : Rengöringsformel
gid://shopify/TaxonomyAttribute/1779  : Rengöringsinstruktioner
gid://shopify/TaxonomyAttribute/5381  : Ingående komponenter i rengöringskit
gid://shopify/TaxonomyAttribute/5173  : Rengöringsläge
gid://shopify/TaxonomyAttribute/1387  : Rengöringssyfte
gid://shopify/TaxonomyAttribute/5763  : Koncentration av rengöringslösning
gid://shopify/TaxonomyAttribute/1378  : Rengöring av ytor
gid://shopify/TaxonomyAttribute/8138  : Städuppgift
gid://shopify/TaxonomyAttribute/5185  : Rengöringsteknik
gid://shopify/TaxonomyAttribute/5140  : Reningsfokus
gid://shopify/TaxonomyAttribute/5298  : Rengöringstyp
gid://shopify/TaxonomyAttribute/9211  : Rengöringsmetod
gid://shopify/TaxonomyAttribute/9212  : Genomskinlig limappliceringsmetod
gid://shopify/TaxonomyAttribute/9213  : Ytfinish på det genomskinliga limmet (efter torkning)
gid://shopify/TaxonomyAttribute/7210  : Broddmönster
gid://shopify/TaxonomyAttribute/7211  : Kompatibel med klossar
gid://shopify/TaxonomyAttribute/8139  : Broddyta
gid://shopify/TaxonomyAttribute/7212  : Klossfästesystem
gid://shopify/TaxonomyAttribute/7213  : Mekanism för att ta av broddarna
gid://shopify/TaxonomyAttribute/7214  : Typ av kloss/dubb
gid://shopify/TaxonomyAttribute/2733  : Klosstyp
gid://shopify/TaxonomyAttribute/8140  : Klimatkontrollmodulernas funktion
gid://shopify/TaxonomyAttribute/1268  : Klättringsaktivitet
gid://shopify/TaxonomyAttribute/7215  : Monteringstyp för klättergrepp
gid://shopify/TaxonomyAttribute/7216  : Typ av klätterfäste
gid://shopify/TaxonomyAttribute/7217  : Typ av enhet för klättringsskydd
gid://shopify/TaxonomyAttribute/7218  : Klätterrepets mittmarkering
gid://shopify/TaxonomyAttribute/7219  : Hantering av klätterrep
gid://shopify/TaxonomyAttribute/7220  : Typ av klätterrep
gid://shopify/TaxonomyAttribute/7221  : Säkerhetscertifieringar för klättring
gid://shopify/TaxonomyAttribute/9214  : Klämmans färg
gid://shopify/TaxonomyAttribute/6657  : Typ av klämmekanism
gid://shopify/TaxonomyAttribute/6658  : Klämmans stil
gid://shopify/TaxonomyAttribute/2248  : Klämtyp
gid://shopify/TaxonomyAttribute/7222  : Klippmaskinenens motorteknik
gid://shopify/TaxonomyAttribute/5199  : Klippmaskinsmotor
gid://shopify/TaxonomyAttribute/3388  : Typ av klippare/trimmer
gid://shopify/TaxonomyAttribute/5469  : Klock- och alarmfunktioner
gid://shopify/TaxonomyAttribute/5764  : Klockspelsmelodi
gid://shopify/TaxonomyAttribute/5765  : Klockvisningstyp
gid://shopify/TaxonomyAttribute/5766  : Monteringstyp för klockans visare
gid://shopify/TaxonomyAttribute/5767  : Design av klockvisare
gid://shopify/TaxonomyAttribute/5768  : Typ av klockverk
gid://shopify/TaxonomyAttribute/6888  : Garderobskonfiguration
gid://shopify/TaxonomyAttribute/6889  : Stängningsmekanism
gid://shopify/TaxonomyAttribute/1442  : Stängningsstil
gid://shopify/TaxonomyAttribute/80    : Stängningstyp
gid://shopify/TaxonomyAttribute/7223  : Textilkonstruktion
gid://shopify/TaxonomyAttribute/9215  : Tygets tjocklek
gid://shopify/TaxonomyAttribute/5143  : Dukbehandling
gid://shopify/TaxonomyAttribute/5769  : Typ av klädnypa
gid://shopify/TaxonomyAttribute/2779  : Kläder tillbehör - material
gid://shopify/TaxonomyAttribute/3001  : Detaljer för kläder
gid://shopify/TaxonomyAttribute/7224  : Klubbhuvudets material
gid://shopify/TaxonomyAttribute/1298  : Underset av golfklubbor
gid://shopify/TaxonomyAttribute/1299  : Klubbtyp
gid://shopify/TaxonomyAttribute/8141  : Kopplingens hydraulsystemtyp
gid://shopify/TaxonomyAttribute/8142  : Kopplingsledningens kopplingstyp
gid://shopify/TaxonomyAttribute/8143  : Typ av tryckplattor för kopplingsaktivering
gid://shopify/TaxonomyAttribute/8144  : Typ av frigöringsmekanism för kopplingstryckplatta
gid://shopify/TaxonomyAttribute/8145  : Kopplingstryckplattans yttyp
gid://shopify/TaxonomyAttribute/8146  : Typ av anslutning koppling med slavcylindrar
gid://shopify/TaxonomyAttribute/8147  : Typ av montering för koppling med slavcylindrar
gid://shopify/TaxonomyAttribute/5772  : Specifikationer för glasunderlägg
gid://shopify/TaxonomyAttribute/7689  : Beläggningstyp
gid://shopify/TaxonomyAttribute/2070  : Applicering av beläggning/fogmassa
gid://shopify/TaxonomyAttribute/5611  : Koaxialkabelserie
gid://shopify/TaxonomyAttribute/7225  : Laddningsmekanism
gid://shopify/TaxonomyAttribute/4685  : Typ av cockpit
gid://shopify/TaxonomyAttribute/2509  : Drinkdekoration
gid://shopify/TaxonomyAttribute/9216  : Cocktailgarneringens form
gid://shopify/TaxonomyAttribute/7690  : Typ av cocktailmix
gid://shopify/TaxonomyAttribute/9217  : Cocktailservetternas funktion
gid://shopify/TaxonomyAttribute/9218  : Cocktailpinne
gid://shopify/TaxonomyAttribute/9219  : Cocktail handtagsstil
gid://shopify/TaxonomyAttribute/5773  : Typ av cocktailsil
gid://shopify/TaxonomyAttribute/7691  : Cocktailtyp
gid://shopify/TaxonomyAttribute/9220  : Pinnens material
gid://shopify/TaxonomyAttribute/7692  : Metod för bearbetning av kakao
gid://shopify/TaxonomyAttribute/7693  : Kakao produktform
gid://shopify/TaxonomyAttribute/7694  : Status för kokosnötskal
gid://shopify/TaxonomyAttribute/7695  : Kokosnötens mognadsstadium
gid://shopify/TaxonomyAttribute/7696  : Typ av förädling av kokosolja
gid://shopify/TaxonomyAttribute/7697  : Kokosnötsberedning
gid://shopify/TaxonomyAttribute/5774  : Kodteknik
gid://shopify/TaxonomyAttribute/7698  : Kaffebönsorter
gid://shopify/TaxonomyAttribute/7699  : Kaffedrycksvariant
gid://shopify/TaxonomyAttribute/1490  : Kaffecreamer sort
gid://shopify/TaxonomyAttribute/5775  : Specifikationer för kaffekanna-värmare
gid://shopify/TaxonomyAttribute/5776  : Storlek på kaffefilterkorg
gid://shopify/TaxonomyAttribute/5777  : Kaffefilterform
gid://shopify/TaxonomyAttribute/5778  : Typ av kaffefilter
gid://shopify/TaxonomyAttribute/5779  : Typ av tillbehör till kaffekvarn
gid://shopify/TaxonomyAttribute/1398  : Kaffeinmatningstyp
gid://shopify/TaxonomyAttribute/7700  : Metod för bearbetning av kaffe
gid://shopify/TaxonomyAttribute/1977  : Kaffeproduktform
gid://shopify/TaxonomyAttribute/1477  : Kafferost
gid://shopify/TaxonomyAttribute/1413  : Kaffe-/teservis ingår
gid://shopify/TaxonomyAttribute/1509  : Spolanslutning
gid://shopify/TaxonomyAttribute/7701  : Rullens material
gid://shopify/TaxonomyAttribute/8148  : Spiralfjäderdesign
gid://shopify/TaxonomyAttribute/8149  : Spiralfjäderyta/beläggning
gid://shopify/TaxonomyAttribute/8150  : Spiralfjädermaterial
gid://shopify/TaxonomyAttribute/6890  : Typ av fjädersystem
gid://shopify/TaxonomyAttribute/7702  : Fjädertyp
gid://shopify/TaxonomyAttribute/9221  : Myntkvalitet (numismatisk)
gid://shopify/TaxonomyAttribute/2931  : Mynt - material
gid://shopify/TaxonomyAttribute/9222  : Myntslag eller yta
gid://shopify/TaxonomyAttribute/9223  : Myntslagstyp
gid://shopify/TaxonomyAttribute/5780  : Durkslagsstil
gid://shopify/TaxonomyAttribute/5129  : Kollagenkälla
gid://shopify/TaxonomyAttribute/5130  : Kollagentyp
gid://shopify/TaxonomyAttribute/2861  : Typ av kraglås
gid://shopify/TaxonomyAttribute/6659  : Kragstil
gid://shopify/TaxonomyAttribute/2011  : Enhet kompatibel med krage/fäste
gid://shopify/TaxonomyAttribute/2012  : Design med krage/fäste
gid://shopify/TaxonomyAttribute/9224  : Tillbehör för samlarvapen som ingår
gid://shopify/TaxonomyAttribute/9225  : Samlarvapnets avfyrningsmekanism
gid://shopify/TaxonomyAttribute/9226  : Samlarbart knivbladsyta
gid://shopify/TaxonomyAttribute/1     : Färg
gid://shopify/TaxonomyAttribute/1962  : Standarder för färgnoggrannhet
gid://shopify/TaxonomyAttribute/9227  : Färgkodssystem
gid://shopify/TaxonomyAttribute/7226  : Färgkodningsstandard
gid://shopify/TaxonomyAttribute/5387  : Färgdjup
gid://shopify/TaxonomyAttribute/6660  : Färgeffekt
gid://shopify/TaxonomyAttribute/9228  : Färgfamilj
gid://shopify/TaxonomyAttribute/8151  : Färgyta
gid://shopify/TaxonomyAttribute/1989  : Färgmättnad
gid://shopify/TaxonomyAttribute/7703  : Färgfinish
gid://shopify/TaxonomyAttribute/5153  : Kamegenskaper
gid://shopify/TaxonomyAttribute/9229  : Kammens material
gid://shopify/TaxonomyAttribute/5152  : Kamtandavstånd
gid://shopify/TaxonomyAttribute/7227  : Typ av kam
gid://shopify/TaxonomyAttribute/5154  : Kam/borstestorlek
gid://shopify/TaxonomyAttribute/6661  : Shorts i stridsstil
gid://shopify/TaxonomyAttribute/9230  : Skaparen
gid://shopify/TaxonomyAttribute/3413  : Serietidningsupplaga
gid://shopify/TaxonomyAttribute/3414  : Serietidningskultur
gid://shopify/TaxonomyAttribute/9231  : Jubileumsmyntyta
gid://shopify/TaxonomyAttribute/9232  : Jubileumsmyntmärke
gid://shopify/TaxonomyAttribute/9233  : Jubileumsämne
gid://shopify/TaxonomyAttribute/8152  : Kommersiell fordonsklass
gid://shopify/TaxonomyAttribute/5067  : Toalettstolsöppningstyp
gid://shopify/TaxonomyAttribute/3072  : Detaljer för kommunikationsenhet
gid://shopify/TaxonomyAttribute/2555  : Kommunikationsprotokoll
gid://shopify/TaxonomyAttribute/7228  : Kompassens dämpningsmedium
gid://shopify/TaxonomyAttribute/7229  : Typ av kompassbelysning
gid://shopify/TaxonomyAttribute/7230  : Kompassens monteringsstil
gid://shopify/TaxonomyAttribute/7231  : Kompassens skalenheter
gid://shopify/TaxonomyAttribute/2871  : Stil på Compass
gid://shopify/TaxonomyAttribute/8153  : Kompatibelt ABS-system
gid://shopify/TaxonomyAttribute/7238  : Kompatibel BB-storlek
gid://shopify/TaxonomyAttribute/8165  : Kompatibelt EVAP-system
gid://shopify/TaxonomyAttribute/1888  : Kompatibel Hdcp
gid://shopify/TaxonomyAttribute/6392  : Kompatibel RC-skala
gid://shopify/TaxonomyAttribute/7286  : Kompatibel SHIS
gid://shopify/TaxonomyAttribute/8198  : Kompatibel TPMS-sensortyp
gid://shopify/TaxonomyAttribute/5065  : Kompatibel tillgänglighetsutrustningstyp
gid://shopify/TaxonomyAttribute/7232  : Kompatibla adaptermärken
gid://shopify/TaxonomyAttribute/5781  : Kompatibel luftkonditioneringstyp
gid://shopify/TaxonomyAttribute/8154  : Kompatibelt krockkuddesystem
gid://shopify/TaxonomyAttribute/2679  : Kompatibel flygplanstyp
gid://shopify/TaxonomyAttribute/2412  : Kompatibel förstärkare
gid://shopify/TaxonomyAttribute/9234  : Kompatibel passformsmetod för förstärkare
gid://shopify/TaxonomyAttribute/7233  : Kompatibel apparat
gid://shopify/TaxonomyAttribute/1705  : Kompatibelt akvarium
gid://shopify/TaxonomyAttribute/7234  : Kompatibelt bågskytteverktyg
gid://shopify/TaxonomyAttribute/5782  : Typ av kompatibel markisskena
gid://shopify/TaxonomyAttribute/7235  : Kompatibel axelstorlek
gid://shopify/TaxonomyAttribute/7236  : Kompatibel axeltyp
gid://shopify/TaxonomyAttribute/8155  : Kompatibel axelviktklassificering
gid://shopify/TaxonomyAttribute/1764  : Kompatibel nappflasksdesign
gid://shopify/TaxonomyAttribute/1749  : Kompatibel typ av bärsele
gid://shopify/TaxonomyAttribute/1752  : Kompatibel barnstolstyp
gid://shopify/TaxonomyAttribute/1751  : Kompatibel babytransporttyp
gid://shopify/TaxonomyAttribute/7237  : Kompatibel betestyp
gid://shopify/TaxonomyAttribute/1212  : Kompatibel bolltyp
gid://shopify/TaxonomyAttribute/9235  : Kompatibel basskalelängd
gid://shopify/TaxonomyAttribute/1924  : Kompatibel batteriteknik
gid://shopify/TaxonomyAttribute/6386  : Kompatibelt stridstoppssystem
gid://shopify/TaxonomyAttribute/6891  : Kompatibel sängramsstil
gid://shopify/TaxonomyAttribute/1231  : Kompatibla bänkpositioner
gid://shopify/TaxonomyAttribute/5783  : Kompatibel dryckestyp
gid://shopify/TaxonomyAttribute/7239  : Kompatibel cykeldäckstyp
gid://shopify/TaxonomyAttribute/7240  : Kompatibel cykelkomponent
gid://shopify/TaxonomyAttribute/1270  : Kompatibel cykeltyp
gid://shopify/TaxonomyAttribute/7241  : Kompatibelt biljardspel
gid://shopify/TaxonomyAttribute/7242  : Kompatibel biljardbordsstorlek
gid://shopify/TaxonomyAttribute/7243  : Kompatibel bittyp
gid://shopify/TaxonomyAttribute/7244  : Kompatibel bladhosel
gid://shopify/TaxonomyAttribute/9236  : Kompatibelt bladsystem
gid://shopify/TaxonomyAttribute/9237  : Kompatibel vävstol
gid://shopify/TaxonomyAttribute/9238  : Kompatibel bobintyp
gid://shopify/TaxonomyAttribute/7245  : Kompatibel flasköppning
gid://shopify/TaxonomyAttribute/7246  : Kompatibelt system för bågfäste
gid://shopify/TaxonomyAttribute/7247  : Kompatibel båge/armborsttyp
gid://shopify/TaxonomyAttribute/8156  : Kompatibel bromsvätska
gid://shopify/TaxonomyAttribute/7248  : Kompatibla bromsbelägg
gid://shopify/TaxonomyAttribute/8157  : Kompatibelt bromsservicesystem
gid://shopify/TaxonomyAttribute/8158  : Kompatibelt bromssystem
gid://shopify/TaxonomyAttribute/7249  : Kompatibel bromstyp
gid://shopify/TaxonomyAttribute/2396  : Kompatibelt mässingsinstrument
gid://shopify/TaxonomyAttribute/9239  : Kompatibel bleckblåsinstrumentyta
gid://shopify/TaxonomyAttribute/6387  : Kompatibelt byggleksakssystem
gid://shopify/TaxonomyAttribute/5596  : Kompatibelt kabelbandsmaterial
gid://shopify/TaxonomyAttribute/5784  : Kompatibel burkstorlek
gid://shopify/TaxonomyAttribute/9240  : Kompatibel radie för capogreppbräda
gid://shopify/TaxonomyAttribute/9241  : Kompatibelt antal strängar för en capo
gid://shopify/TaxonomyAttribute/7250  : Kompatibel träningsmaskinstyp
gid://shopify/TaxonomyAttribute/7251  : Kompatibel kedjelänktyp
gid://shopify/TaxonomyAttribute/7252  : Kompatibel kedjestorlek
gid://shopify/TaxonomyAttribute/7253  : Kompatibel kedjebredd
gid://shopify/TaxonomyAttribute/5167  : Kompatibel styrkenivå för kemisk behandling
gid://shopify/TaxonomyAttribute/6388  : Kompatibel valör för spelmarkörerna
gid://shopify/TaxonomyAttribute/5785  : Kompatibel cigarettstorlek
gid://shopify/TaxonomyAttribute/9242  : Kompatibel ligatur för klarinettmunstycke
gid://shopify/TaxonomyAttribute/2452  : Kompatibel klarinettyp
gid://shopify/TaxonomyAttribute/9243  : Kompatibel skallängd för klassisk gitarrsträng
gid://shopify/TaxonomyAttribute/7254  : Kompatibel lermålstorlek
gid://shopify/TaxonomyAttribute/7255  : Kompatibelt klossystem
gid://shopify/TaxonomyAttribute/7256  : Kompatibelt klickfritt pedalsystem
gid://shopify/TaxonomyAttribute/8159  : Kompatibel kopplingstyp
gid://shopify/TaxonomyAttribute/5786  : Kompatibelt system för kaffekapslar
gid://shopify/TaxonomyAttribute/5787  : Kompatibel kaffebryggartyp
gid://shopify/TaxonomyAttribute/7704  : Kompatibelt kaffekapselsystem
gid://shopify/TaxonomyAttribute/6389  : Kompatibelt byggsatssystem
gid://shopify/TaxonomyAttribute/5218  : Kompatibel kontaktlinstyp
gid://shopify/TaxonomyAttribute/5220  : Kompatibel kontaktlinstyp
gid://shopify/TaxonomyAttribute/9244  : Kompatibelt stativ/fäste för kontrabasklarinett
gid://shopify/TaxonomyAttribute/5788  : Typ av kompatibel matlagningstermometer
gid://shopify/TaxonomyAttribute/8160  : Kompatibel kylvätskekemi
gid://shopify/TaxonomyAttribute/8161  : Kompatibelt kylsystemmaterial
gid://shopify/TaxonomyAttribute/1600  : Kompatibla kosmetikverktyg
gid://shopify/TaxonomyAttribute/6287  : Kompatibel kopplingsstorlek
gid://shopify/TaxonomyAttribute/6892  : Kompatibelt spjälsängsformat
gid://shopify/TaxonomyAttribute/9245  : Kompatibelt trådtäthet för korsstygn
gid://shopify/TaxonomyAttribute/9246  : Kompatibel korsstygnsram
gid://shopify/TaxonomyAttribute/8162  : Kompatibel tvärstång
gid://shopify/TaxonomyAttribute/7257  : Kompatibla cykelbroddar
gid://shopify/TaxonomyAttribute/9247  : Kompatibel cymbalstorlek
gid://shopify/TaxonomyAttribute/5789  : Kompatibel avfuktningsteknik
gid://shopify/TaxonomyAttribute/1930  : Kompatibel enhet
gid://shopify/TaxonomyAttribute/8163  : Kompatibel enhetstyp
gid://shopify/TaxonomyAttribute/8164  : Kompatibel strukturtyp
gid://shopify/TaxonomyAttribute/6390  : Kompatibel degtyp
gid://shopify/TaxonomyAttribute/9248  : Kompatibel ritbläckyta
gid://shopify/TaxonomyAttribute/7258  : Kompatibelt cykelkedjemärke
gid://shopify/TaxonomyAttribute/7259  : Kompatibla drivlinehastigheter
gid://shopify/TaxonomyAttribute/2426  : Trumkonfiguration
gid://shopify/TaxonomyAttribute/2416  : Kompatibelt elektriskt/akustiskt instrument
gid://shopify/TaxonomyAttribute/1905  : Kompatibel elektronisk korttyp
gid://shopify/TaxonomyAttribute/7260  : Kompatibel utrustning
gid://shopify/TaxonomyAttribute/5502  : Kompatibel utrustningstyp
gid://shopify/TaxonomyAttribute/7261  : Kompatibel motionscykelstil
gid://shopify/TaxonomyAttribute/5499  : Kompatibel träningsmaskintyp
gid://shopify/TaxonomyAttribute/1232  : Kompatibla övningar
gid://shopify/TaxonomyAttribute/5229  : Kompatibel glasögontyp
gid://shopify/TaxonomyAttribute/5790  : Kompatibel matartyp
gid://shopify/TaxonomyAttribute/7262  : Kompatibelt fäktningsvapen
gid://shopify/TaxonomyAttribute/9249  : Kompatibel fibertyp
gid://shopify/TaxonomyAttribute/1944  : Kompatibelt filament
gid://shopify/TaxonomyAttribute/2042  : Kompatibel filmtyp
gid://shopify/TaxonomyAttribute/7263  : Kompatibelt fenlådesystem
gid://shopify/TaxonomyAttribute/9250  : Kompatibel fingerboard-radie
gid://shopify/TaxonomyAttribute/9251  : Kompatibel yttyp
gid://shopify/TaxonomyAttribute/7264  : Kompatibel fiskerulletyp
gid://shopify/TaxonomyAttribute/2456  : Kompatibel flöjttyp
gid://shopify/TaxonomyAttribute/7265  : Kompatibel fluglinevikt
gid://shopify/TaxonomyAttribute/8166  : Kompatibel svänghjulstyp
gid://shopify/TaxonomyAttribute/7266  : Kompatibla fotbollssparkar
gid://shopify/TaxonomyAttribute/5791  : Kompatibelt skomaterial
gid://shopify/TaxonomyAttribute/8167  : Kompatibel bränslesystemtyp
gid://shopify/TaxonomyAttribute/6288  : Kompatibel bränsletyp
gid://shopify/TaxonomyAttribute/1967  : Kompatibelt spelformat
gid://shopify/TaxonomyAttribute/1420  : Kompatibelt trädgårdsredskap
gid://shopify/TaxonomyAttribute/5792  : Kompatibel design för ångkokare för kläder
gid://shopify/TaxonomyAttribute/7267  : Kompatibel gastyp
gid://shopify/TaxonomyAttribute/9252  : Kompatibla gelvaxtillsatser
gid://shopify/TaxonomyAttribute/9253  : Kompatibel glasyrlager
gid://shopify/TaxonomyAttribute/7268  : Kompatibel golfväsketyp
gid://shopify/TaxonomyAttribute/5793  : Kompatibel grilltyp
gid://shopify/TaxonomyAttribute/8168  : Kompatibel jordpolaritet
