# Shopify Product Taxonomy - Categories: 2025-03
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Eläinten ja lemmikkieläinten tarvikkeet
gid://shopify/TaxonomyCategory/ae-2-1-4-6-9      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Mittaus- ja merkintävälineet askarteluun > Tekstiilitaiteen mittatyökalut ja viivaimet
gid://shopify/TaxonomyCategory/ae-2-1-4-6-9-1    : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Mittaus- ja merkintävälineet askarteluun > Tekstiilitaiteen mittatyökalut ja viivaimet > Mittausviivaimet
gid://shopify/TaxonomyCategory/ae-2-1-4-6-9-2    : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Mittaus- ja merkintävälineet askarteluun > Tekstiilitaiteen mittatyökalut ja viivaimet > Tikkausviivaimet
gid://shopify/TaxonomyCategory/ae-2-1-4-6-9-3    : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Mittaus- ja merkintävälineet askarteluun > Tekstiilitaiteen mittatyökalut ja viivaimet > Saumamittarit
gid://shopify/TaxonomyCategory/ae-2-1-4-6-10     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Mittaus- ja merkintävälineet askarteluun > Polttokaiverrusvälineet
gid://shopify/TaxonomyCategory/ae-2-1-4-7        : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Leikkausalustat
gid://shopify/TaxonomyCategory/ae-2-1-4-8        : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Sovitusnuket
gid://shopify/TaxonomyCategory/ae-2-1-4-9        : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Huovutusalustat ja -matot
gid://shopify/TaxonomyCategory/ae-2-1-4-10       : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Ompelukehykset, -renkaat ja kiilapuut
gid://shopify/TaxonomyCategory/ae-2-1-4-10-1     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Ompelukehykset, -renkaat ja kiilapuut > Maalauskankaan kiilapuut
gid://shopify/TaxonomyCategory/ae-2-1-4-10-2     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Ompelukehykset, -renkaat ja kiilapuut > Ristipistokehykset
gid://shopify/TaxonomyCategory/ae-2-1-4-10-3     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Ompelukehykset, -renkaat ja kiilapuut > Kirjontarenkaat
gid://shopify/TaxonomyCategory/ae-2-1-4-10-4     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Ompelukehykset, -renkaat ja kiilapuut > Pistokirjontakehykset
gid://shopify/TaxonomyCategory/ae-2-1-4-10-5     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Ompelukehykset, -renkaat ja kiilapuut > Tikkauskehykset
gid://shopify/TaxonomyCategory/ae-2-1-4-11       : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Liimapistoolit
gid://shopify/TaxonomyCategory/ae-2-1-4-12       : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Valotaulut
gid://shopify/TaxonomyCategory/ae-2-1-4-13       : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Neulat ja koukut
gid://shopify/TaxonomyCategory/ae-2-1-4-13-1     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Neulat ja koukut > Virkkuukoukut
gid://shopify/TaxonomyCategory/ae-2-1-4-13-2     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Neulat ja koukut > Käsinompeluneulat
gid://shopify/TaxonomyCategory/ae-2-1-4-13-2-1   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Neulat ja koukut > Käsinompeluneulat > Helmipuikot
gid://shopify/TaxonomyCategory/ae-2-1-4-13-2-2   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Neulat ja koukut > Käsinompeluneulat > Parsineulat
gid://shopify/TaxonomyCategory/ae-2-1-4-13-2-3   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Neulat ja koukut > Käsinompeluneulat > Kirjontaneulat
gid://shopify/TaxonomyCategory/ae-2-1-4-13-2-4   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Neulat ja koukut > Käsinompeluneulat > Tikkausneulat
gid://shopify/TaxonomyCategory/ae-2-1-4-13-2-5   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Neulat ja koukut > Käsinompeluneulat > Terävät
gid://shopify/TaxonomyCategory/ae-2-1-4-13-2-6   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Neulat ja koukut > Käsinompeluneulat > Tylppäpäiset neulat
gid://shopify/TaxonomyCategory/ae-2-1-4-13-3     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Neulat ja koukut > Neulepuikot
gid://shopify/TaxonomyCategory/ae-2-1-4-13-3-1   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Neulat ja koukut > Neulepuikot > Pyöreät neulepuikot
gid://shopify/TaxonomyCategory/ae-2-1-4-13-3-2   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Neulat ja koukut > Neulepuikot > Kaksipäiset neulepuikot
gid://shopify/TaxonomyCategory/ae-2-1-4-13-3-3   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Neulat ja koukut > Neulepuikot > Yksipäiset neulepuikot
gid://shopify/TaxonomyCategory/ae-2-1-4-13-4     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Neulat ja koukut > Ryijy- ja virkkuukoukut
gid://shopify/TaxonomyCategory/ae-2-1-4-13-5     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Neulat ja koukut > Ompelukoneneulat
gid://shopify/TaxonomyCategory/ae-2-1-4-19       : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Hajuaistia hyödyntävän taiteen välineet
gid://shopify/TaxonomyCategory/ae-2-1-4-19-1     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Hajuaistia hyödyntävän taiteen välineet > Kynttiläntekovälineet
gid://shopify/TaxonomyCategory/ae-2-1-4-19-2     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Hajuaistia hyödyntävän taiteen välineet > Suitsukkeenvalmistusvälineet
gid://shopify/TaxonomyCategory/ae-2-1-4-19-3     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Hajuaistia hyödyntävän taiteen välineet > Parfyymien valmistusvälineet
gid://shopify/TaxonomyCategory/ae-2-1-4-14       : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Hakaneulat
gid://shopify/TaxonomyCategory/ae-2-1-4-15       : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Nuppineulat
gid://shopify/TaxonomyCategory/ae-2-1-4-16       : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet
gid://shopify/TaxonomyCategory/ae-2-1-4-16-1     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Huovutusneulat ja -koneet
gid://shopify/TaxonomyCategory/ae-2-1-4-16-2     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Kangaspuut
gid://shopify/TaxonomyCategory/ae-2-1-4-16-2-1   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Kangaspuut > Kehyskangaspuut
gid://shopify/TaxonomyCategory/ae-2-1-4-16-2-2   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Kangaspuut > Pingotettavat kangaspuut
gid://shopify/TaxonomyCategory/ae-2-1-4-16-2-3   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Kangaspuut > Kiinteäniisiset kangaspuut
gid://shopify/TaxonomyCategory/ae-2-1-4-16-2-4   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Kangaspuut > Ryijykangaspuut
gid://shopify/TaxonomyCategory/ae-2-1-4-16-3     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Kutomakoneet
gid://shopify/TaxonomyCategory/ae-2-1-4-16-3-1   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Kutomakoneet > Mekaaniset vipukangaspuut
gid://shopify/TaxonomyCategory/ae-2-1-4-16-3-2   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Kutomakoneet > Mekaaniset lattialla olevat kangaspuut
gid://shopify/TaxonomyCategory/ae-2-1-4-16-3-3   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Kutomakoneet > Mekaaniset monivipukangaspuut
gid://shopify/TaxonomyCategory/ae-2-1-4-16-3-4   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Kutomakoneet > Mekaaniset pöytäkangaspuut
gid://shopify/TaxonomyCategory/ae-2-1-4-16-4     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Ompelukoneet
gid://shopify/TaxonomyCategory/ae-2-1-4-16-4-1   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Ompelukoneet > Tietokoneella varustetut ompelukoneet
gid://shopify/TaxonomyCategory/ae-2-1-4-16-4-2   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Ompelukoneet > Kirjontaompelukoneet
gid://shopify/TaxonomyCategory/ae-2-1-4-16-4-3   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Ompelukoneet > Mekaaniset ompelukoneet
gid://shopify/TaxonomyCategory/ae-2-1-4-16-4-4   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Ompelukoneet > Saumurit
gid://shopify/TaxonomyCategory/ae-2-1-4-16-5     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Rukit
gid://shopify/TaxonomyCategory/ae-2-1-4-16-5-1   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Rukit > Kaksivetoiset rukit
gid://shopify/TaxonomyCategory/ae-2-1-4-16-5-2   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Rukit > Sähköiset rukit
gid://shopify/TaxonomyCategory/ae-2-1-4-16-5-3   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Rukit > Yksivetoiset rukit
gid://shopify/TaxonomyCategory/ae-2-1-4-16-5-4   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Tekstiilityölaitteet > Rukit > Pöytärukit
gid://shopify/TaxonomyCategory/ae-2-1-4-17       : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Sormustimet ja kämmensuojat
gid://shopify/TaxonomyCategory/ae-2-1-4-17-1     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Sormustimet ja kämmensuojat > Kämmensuojat
gid://shopify/TaxonomyCategory/ae-2-1-4-17-2     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Sormustimet ja kämmensuojat > Sormustimet
gid://shopify/TaxonomyCategory/ae-2-1-4-18       : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet
gid://shopify/TaxonomyCategory/ae-2-1-4-18-1     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Karstat
gid://shopify/TaxonomyCategory/ae-2-1-4-18-1-1   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Karstat > Karstausharjat
gid://shopify/TaxonomyCategory/ae-2-1-4-18-1-2   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Karstat > Rumpukarstat
gid://shopify/TaxonomyCategory/ae-2-1-4-18-1-3   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Karstat > Pinoiskäsikarstat
gid://shopify/TaxonomyCategory/ae-2-1-4-18-1-4   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Karstat > Käsikarstat
gid://shopify/TaxonomyCategory/ae-2-1-4-18-1-5   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Karstat > Villakammat
gid://shopify/TaxonomyCategory/ae-2-1-4-18-2     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Värttinät
gid://shopify/TaxonomyCategory/ae-2-1-4-18-2-1   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Värttinät > Alapainotteinen värttinä
gid://shopify/TaxonomyCategory/ae-2-1-4-18-2-2   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Värttinät > Tuellinen värttinä
gid://shopify/TaxonomyCategory/ae-2-1-4-18-2-3   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Värttinät > Turkkilainen värttinä
gid://shopify/TaxonomyCategory/ae-2-1-4-18-3     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Langanpujottimet
gid://shopify/TaxonomyCategory/ae-2-1-4-18-3-1   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Langanpujottimet > Automaattiset langanpujottimet
gid://shopify/TaxonomyCategory/ae-2-1-4-18-3-2   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Langanpujottimet > Käsikäyttöiset langanpujottimet
gid://shopify/TaxonomyCategory/ae-2-1-4-18-4     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Langanohjaimet
gid://shopify/TaxonomyCategory/ae-2-1-4-18-4-1   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Langanohjaimet > Sormiohjaimet
gid://shopify/TaxonomyCategory/ae-2-1-4-18-4-2   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Langanohjaimet > Sormustinohjaimet
gid://shopify/TaxonomyCategory/ae-2-1-4-18-4-3   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Langanohjaimet > Lankaohjaimet
gid://shopify/TaxonomyCategory/ae-2-1-4-18-4-4   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Langanohjaimet > Langanohjaimet
gid://shopify/TaxonomyCategory/ae-2-1-4-18-5     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Lankakerät
gid://shopify/TaxonomyCategory/ae-2-1-4-18-6     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Langan, narun ja puolan kehruuvälineet
gid://shopify/TaxonomyCategory/ae-2-1-4-18-6-1   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Langan, narun ja puolan kehruuvälineet > Sähköiset puolauskoneet
gid://shopify/TaxonomyCategory/ae-2-1-4-18-6-2   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Langan, narun ja puolan kehruuvälineet > Käsikäyttöiset puolauskoneet
gid://shopify/TaxonomyCategory/ae-2-1-4-18-7     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Kudekammat
gid://shopify/TaxonomyCategory/ae-2-1-4-18-7-1   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Kudekammat > Litteät kudekammat
gid://shopify/TaxonomyCategory/ae-2-1-4-18-7-2   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Kudekammat > Joustavat kudekammat
gid://shopify/TaxonomyCategory/ae-2-1-4-18-7-3   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Kudekammat > Pirtakudekammat
gid://shopify/TaxonomyCategory/ae-2-1-4-18-7-4   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Kudekammat > Jäykät kudekammat
gid://shopify/TaxonomyCategory/ae-2-1-4-18-8     : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Sukkulat
gid://shopify/TaxonomyCategory/ae-2-1-4-18-8-1   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Sukkulat > Venesukkulat
gid://shopify/TaxonomyCategory/ae-2-1-4-18-8-2   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Sukkulat > Loppupäästä syöttävät sukkulat
gid://shopify/TaxonomyCategory/ae-2-1-4-18-8-3   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Sukkulat > Mattosukkulat
gid://shopify/TaxonomyCategory/ae-2-1-4-18-8-4   : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Taide- ja askarteluvälineet > Langat ja ompelutarvikkeet > Sukkulat > Lastasukkulat
gid://shopify/TaxonomyCategory/ae-2-1-7          : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Vaatteiden ompelumateriaalit
gid://shopify/TaxonomyCategory/ae-2-1-5          : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Käsityötarvikkeiden säilytys
gid://shopify/TaxonomyCategory/ae-2-1-5-1        : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Käsityötarvikkeiden säilytys > Neulojen, nuppineulojen ja koukkujen säilytys
gid://shopify/TaxonomyCategory/ae-2-1-5-1-1      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Käsityötarvikkeiden säilytys > Neulojen, nuppineulojen ja koukkujen säilytys > Koukkujen säilytys
gid://shopify/TaxonomyCategory/ae-2-1-5-1-2      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Käsityötarvikkeiden säilytys > Neulojen, nuppineulojen ja koukkujen säilytys > Neulakotelot
gid://shopify/TaxonomyCategory/ae-2-1-5-1-3      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Käsityötarvikkeiden säilytys > Neulojen, nuppineulojen ja koukkujen säilytys > Neulapidikkeet
gid://shopify/TaxonomyCategory/ae-2-1-5-1-4      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Käsityötarvikkeiden säilytys > Neulojen, nuppineulojen ja koukkujen säilytys > Neulatyynyt
gid://shopify/TaxonomyCategory/ae-2-1-5-2        : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Käsityötarvikkeiden säilytys > Ompelukorit ja -setit
gid://shopify/TaxonomyCategory/ae-2-1-5-2-1      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Käsityötarvikkeiden säilytys > Ompelukorit ja -setit > Ompelukorit
gid://shopify/TaxonomyCategory/ae-2-1-5-2-2      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Käsityötarvikkeiden säilytys > Ompelukorit ja -setit > Ompelulaatikot
gid://shopify/TaxonomyCategory/ae-2-1-5-2-3      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Käsityötarvikkeiden säilytys > Ompelukorit ja -setit > Ompelusetit
gid://shopify/TaxonomyCategory/ae-2-1-5-3        : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Käsityötarvikkeiden säilytys > Lankojen ja narujen säilytys
gid://shopify/TaxonomyCategory/ae-2-1-5-3-1      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Käsityötarvikkeiden säilytys > Lankojen ja narujen säilytys > Lankalaatikot
gid://shopify/TaxonomyCategory/ae-2-1-5-3-2      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Käsityötarvikkeiden säilytys > Lankojen ja narujen säilytys > Lankatelineet
gid://shopify/TaxonomyCategory/ae-2-1-5-3-3      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Käsityötarvikkeiden säilytys > Lankojen ja narujen säilytys > Lankapussit
gid://shopify/TaxonomyCategory/ae-2-1-5-3-4      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Käsityötarvikkeiden säilytys > Lankojen ja narujen säilytys > Lankakulhot
gid://shopify/TaxonomyCategory/ae-2-1-5-3-5      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Käsityötarvikkeiden säilytys > Lankojen ja narujen säilytys > Lankojen säilytys
gid://shopify/TaxonomyCategory/ae-2-1-6          : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Askartelukaavat ja -muotit
gid://shopify/TaxonomyCategory/ae-2-1-6-1        : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Askartelukaavat ja -muotit > Helmikirjontakaavat
gid://shopify/TaxonomyCategory/ae-2-1-6-1-1      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Askartelukaavat ja -muotit > Helmikirjontakaavat > Helmikoristekaavat
gid://shopify/TaxonomyCategory/ae-2-1-6-1-2      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Askartelukaavat ja -muotit > Helmikirjontakaavat > Korukuviokaavat
gid://shopify/TaxonomyCategory/ae-2-1-6-2        : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Askartelukaavat ja -muotit > Askartelumuotit
gid://shopify/TaxonomyCategory/ae-2-1-6-3        : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Askartelukaavat ja -muotit > Huovutusmuotit
gid://shopify/TaxonomyCategory/ae-2-1-6-3-1      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Askartelukaavat ja -muotit > Huovutusmuotit > Neulahuovutusmuotit
gid://shopify/TaxonomyCategory/ae-2-1-6-3-2      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Askartelukaavat ja -muotit > Huovutusmuotit > Märkähuovutusmuotit
gid://shopify/TaxonomyCategory/ae-2-1-6-4        : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Askartelukaavat ja -muotit > Kirjontamallit
gid://shopify/TaxonomyCategory/ae-2-1-6-4-1      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Askartelukaavat ja -muotit > Kirjontamallit > Ristipistomallit
gid://shopify/TaxonomyCategory/ae-2-1-6-4-2      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Askartelukaavat ja -muotit > Kirjontamallit > Kirjontamallit
gid://shopify/TaxonomyCategory/ae-2-1-6-4-3      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Askartelukaavat ja -muotit > Kirjontamallit > Pistokirjontamallit
gid://shopify/TaxonomyCategory/ae-2-1-6-5        : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Askartelukaavat ja -muotit > Ompelukaavat
gid://shopify/TaxonomyCategory/ae-2-1-6-5-1      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Askartelukaavat ja -muotit > Ompelukaavat > Tarvikkeiden ompelukaavat
gid://shopify/TaxonomyCategory/ae-2-1-6-5-2      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Askartelukaavat ja -muotit > Ompelukaavat > Vaatteiden ompelukaavat
gid://shopify/TaxonomyCategory/ae-2-1-6-5-3      : Taide ja viihde > Harrastukset ja taiteet > Taide ja askartelu > Askartelukaavat ja -muotit > Ompelukaavat > Kodin sisustusesineiden ompelukaavat
gid://shopify/TaxonomyCategory/ae-2-2            : Taide ja viihde > Harrastukset ja taiteet > Keräilykohteet
gid://shopify/TaxonomyCategory/ae-2-2-1          : Taide ja viihde > Harrastukset ja taiteet > Keräilykohteet > Nimikirjoitukset
gid://shopify/TaxonomyCategory/ae-2-2-2          : Taide ja viihde > Harrastukset ja taiteet > Keräilykohteet > Keräilykolikot ja -valuutta
gid://shopify/TaxonomyCategory/ae-2-2-2-1        : Taide ja viihde > Harrastukset ja taiteet > Keräilykohteet > Keräilykolikot ja -valuutta > Keräilysetelit
