# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-lasien istuvuuden muotoilu
gid://shopify/TaxonomyAttribute/2482  : Klarinetin sävellajijärjestelmä
gid://shopify/TaxonomyAttribute/9191  : Klarinetin koneiston materiaali
gid://shopify/TaxonomyAttribute/9192  : Klarinetin koskettimien pinnoitus
gid://shopify/TaxonomyAttribute/9193  : Klarinetin suukappaleen välilevyn profiili
gid://shopify/TaxonomyAttribute/9194  : Klarinetin suukappaleen nokan muoto
gid://shopify/TaxonomyAttribute/9195  : Klarinetin suukappaleen kammiokoko
gid://shopify/TaxonomyAttribute/9196  : Klarinetin suukappaleen tarkoitettu sävy
gid://shopify/TaxonomyAttribute/9197  : Klarinetin suukappaleen soittajan taso
gid://shopify/TaxonomyAttribute/9198  : Klarinetin lehden leikkaustyyli
gid://shopify/TaxonomyAttribute/9199  : Klarinetin lehden materiaalin tyyppi
gid://shopify/TaxonomyAttribute/9200  : Klarinetin peukalotuen tyyppi
gid://shopify/TaxonomyAttribute/108   : Solkityyppi
gid://shopify/TaxonomyAttribute/9201  : Klassinen kitaran kieli, kolmannen kielen tyyppi
gid://shopify/TaxonomyAttribute/9202  : Klassisen kitaran bassokielten punosmateriaali
gid://shopify/TaxonomyAttribute/9203  : Klassisen kitaran kielisetti
gid://shopify/TaxonomyAttribute/1655  : Istukan muotoilu
gid://shopify/TaxonomyAttribute/9204  : Saven ja muovailumassan perusmateriaali
gid://shopify/TaxonomyAttribute/9205  : Saven ja muovailumassan kovettumistapa
gid://shopify/TaxonomyAttribute/9206  : Saven maalattavuus
gid://shopify/TaxonomyAttribute/5760  : Saviruukun materiaali
gid://shopify/TaxonomyAttribute/9207  : Saven ensisijainen koostumus
gid://shopify/TaxonomyAttribute/7209  : Savikiekkojen ammuntalaji
gid://shopify/TaxonomyAttribute/2954  : Saven/savilietteen koostumus
gid://shopify/TaxonomyAttribute/5761  : Puhdistusainepitoisuus
gid://shopify/TaxonomyAttribute/9208  : Puhdistusaineen muoto
gid://shopify/TaxonomyAttribute/2735  : Puhdistimeni tarkoitus
gid://shopify/TaxonomyAttribute/9209  : Puhdistusaineelle/desinfiointiaineelle tarkoitettu alue
gid://shopify/TaxonomyAttribute/5762  : Puhdistusliinan ominaisuudet
gid://shopify/TaxonomyAttribute/9210  : Puhdistuskaava
gid://shopify/TaxonomyAttribute/1779  : Puhdistusohjeet
gid://shopify/TaxonomyAttribute/5381  : Puhdistussarjan sisältämät komponentit
gid://shopify/TaxonomyAttribute/5173  : Puhdistustila
gid://shopify/TaxonomyAttribute/1387  : Puhdistuksen tarkoitus
gid://shopify/TaxonomyAttribute/5763  : Puhdistusliuoksen pitoisuus
gid://shopify/TaxonomyAttribute/1378  : Pintojen puhdistus
gid://shopify/TaxonomyAttribute/8138  : Siivoustehtävän painopiste
gid://shopify/TaxonomyAttribute/5185  : Puhdistusteknologia
gid://shopify/TaxonomyAttribute/5140  : Puhdistuksen painopiste
gid://shopify/TaxonomyAttribute/5298  : Puhdistusaineen tyyppi
gid://shopify/TaxonomyAttribute/9211  : Puhdistusmenetelmä
gid://shopify/TaxonomyAttribute/9212  : Läpinäkyvän liiman levitystapa
gid://shopify/TaxonomyAttribute/9213  : Läpinäkyvä liimapinta (kuivumisen jälkeen)
gid://shopify/TaxonomyAttribute/7210  : Klossin pulttikuvio
gid://shopify/TaxonomyAttribute/7211  : Klossin yhteensopivuus
gid://shopify/TaxonomyAttribute/8139  : Klossien viimeistely
gid://shopify/TaxonomyAttribute/7212  : Klossikiinnitysjärjestelmä
gid://shopify/TaxonomyAttribute/7213  : Klossin vapautusmekanismi
gid://shopify/TaxonomyAttribute/7214  : Klossin nappulatyyppi
gid://shopify/TaxonomyAttribute/2733  : Nastatyyppi
gid://shopify/TaxonomyAttribute/8140  : Ilmastointimoduulin hallinta
gid://shopify/TaxonomyAttribute/1268  : Kiipeilytoiminta
gid://shopify/TaxonomyAttribute/7215  : Kiipeilyotteen kiinnitystapa
gid://shopify/TaxonomyAttribute/7216  : Kiipeilyotteen tyyppi
gid://shopify/TaxonomyAttribute/7217  : Kiipeilyn turvavälinetyyppi
gid://shopify/TaxonomyAttribute/7218  : Kiipeilyköyden keskimerkintä
gid://shopify/TaxonomyAttribute/7219  : Kiipeilyköyden käsittely
gid://shopify/TaxonomyAttribute/7220  : Kiipeilyköyden tyyppi
gid://shopify/TaxonomyAttribute/7221  : Kiipeilyturvallisuussertifioinnit
gid://shopify/TaxonomyAttribute/9214  : Klipsin väri
gid://shopify/TaxonomyAttribute/6657  : Klipsimekanismin tyyppi
gid://shopify/TaxonomyAttribute/6658  : Klipsimalli
gid://shopify/TaxonomyAttribute/2248  : Nipistintyyppi
gid://shopify/TaxonomyAttribute/7222  : Leikkuukoneen moottoritekniikka
gid://shopify/TaxonomyAttribute/5199  : Trimmerimoottorin tyyppi
gid://shopify/TaxonomyAttribute/3388  : Leikkuri-/trimmerityyppi
gid://shopify/TaxonomyAttribute/5469  : Kello- ja hälytysominaisuudet
gid://shopify/TaxonomyAttribute/5764  : Kellon soittoäänen melodia
gid://shopify/TaxonomyAttribute/5765  : Kellon näyttötyyppi
gid://shopify/TaxonomyAttribute/5766  : Kellon viisarien kiinnitystyyppi
gid://shopify/TaxonomyAttribute/5767  : Kellon viisarin tyyli
gid://shopify/TaxonomyAttribute/5768  : Kellon koneiston tyyppi
gid://shopify/TaxonomyAttribute/6888  : Vaatehuoneen konfiguraatio
gid://shopify/TaxonomyAttribute/6889  : Sulkemismekanismi
gid://shopify/TaxonomyAttribute/1442  : Sulkemistyyli
gid://shopify/TaxonomyAttribute/80    : Sulkemistyyppi
gid://shopify/TaxonomyAttribute/7223  : Kankaan rakenne
gid://shopify/TaxonomyAttribute/9215  : Kankaan paksuus
gid://shopify/TaxonomyAttribute/5143  : Liinan käsittely
gid://shopify/TaxonomyAttribute/5769  : Pyykkipojan tyyppi
gid://shopify/TaxonomyAttribute/2779  : Vaatetarvikkeiden materiaali
gid://shopify/TaxonomyAttribute/3001  : Vaatteiden ominaisuudet
gid://shopify/TaxonomyAttribute/7224  : Mailan pään materiaali
gid://shopify/TaxonomyAttribute/1298  : Kerhon alaryhmä
gid://shopify/TaxonomyAttribute/1299  : Kerhotyyppi
gid://shopify/TaxonomyAttribute/8141  : Kytkimen hydrauliikkajärjestelmän tyyppi
gid://shopify/TaxonomyAttribute/8142  : Kytkimen johdon liitintyyppi
gid://shopify/TaxonomyAttribute/8143  : Kytkimen painelevyn käyttötyyppi
gid://shopify/TaxonomyAttribute/8144  : Kytkimen painelevyn vapautusmekanismin tyyppi
gid://shopify/TaxonomyAttribute/8145  : Kytkimen painelevyn pinnan tyyppi
gid://shopify/TaxonomyAttribute/8146  : Kytkimen työsylinterin liitäntätyyppi
gid://shopify/TaxonomyAttribute/8147  : Kytkimen työsylinterin kiinnitystyyppi
gid://shopify/TaxonomyAttribute/5772  : Lasinalusen ominaisuudet
gid://shopify/TaxonomyAttribute/7689  : Pinnoitteen tyyppi
gid://shopify/TaxonomyAttribute/2070  : Pinnoitteen/tiivisteen levittäminen
gid://shopify/TaxonomyAttribute/5611  : Koaksiaalikaapelisarja
gid://shopify/TaxonomyAttribute/7225  : Viritysmekanismi
gid://shopify/TaxonomyAttribute/4685  : Ohjaamon tyyppi
gid://shopify/TaxonomyAttribute/2509  : Cocktailkoristeiden muotoilu
gid://shopify/TaxonomyAttribute/9216  : Cocktail-koristeen muoto
gid://shopify/TaxonomyAttribute/7690  : Cocktailsekoitusten valikoima
gid://shopify/TaxonomyAttribute/9217  : Cocktail-lautasliinan ominaisuudet
gid://shopify/TaxonomyAttribute/9218  : Cocktail-tikun kärjen malli
gid://shopify/TaxonomyAttribute/9219  : Cocktail-tikun pään/kahvan tyyppi
gid://shopify/TaxonomyAttribute/5773  : Cocktail-siivilätyyppi
gid://shopify/TaxonomyAttribute/7691  : Cocktailin tyyppi
gid://shopify/TaxonomyAttribute/9220  : Cocktail-sateenvarjon kahvan/tikun materiaali
gid://shopify/TaxonomyAttribute/7692  : Kaakaon käsittelymenetelmä
gid://shopify/TaxonomyAttribute/7693  : Kaakaotuotemuoto
gid://shopify/TaxonomyAttribute/7694  : Kookoksen kuorinta
gid://shopify/TaxonomyAttribute/7695  : Kookospähkinän kypsyysvaihe
gid://shopify/TaxonomyAttribute/7696  : Kookosöljyn jalostustyyppi
gid://shopify/TaxonomyAttribute/7697  : Kookoksen valmistusmuoto
gid://shopify/TaxonomyAttribute/5774  : Kooditeknologia
gid://shopify/TaxonomyAttribute/7698  : Kahvipapulajit
gid://shopify/TaxonomyAttribute/7699  : Kahvijuomien valikoima
gid://shopify/TaxonomyAttribute/1490  : Kahvikermavalikoima
gid://shopify/TaxonomyAttribute/5775  : Kahvikannun lämpölevyn ominaisuudet
gid://shopify/TaxonomyAttribute/5776  : Kahvinsuodatinkorin koko
gid://shopify/TaxonomyAttribute/5777  : Kahvisuodattimen muoto
gid://shopify/TaxonomyAttribute/5778  : Kahvinsuodattimen tyyppi
gid://shopify/TaxonomyAttribute/5779  : Kahvimyllyn lisävarusteen tyyppi
gid://shopify/TaxonomyAttribute/1398  : Kahvin syöttötyyppi
gid://shopify/TaxonomyAttribute/7700  : Kahvin käsittelymenetelmä
gid://shopify/TaxonomyAttribute/1977  : Kahvituotemuoto
gid://shopify/TaxonomyAttribute/1477  : Kahvin paahto
gid://shopify/TaxonomyAttribute/1413  : Mukana kahvi-/teesetin tuotteet
gid://shopify/TaxonomyAttribute/1509  : Käämin liitäntä
gid://shopify/TaxonomyAttribute/7701  : Vastuksen materiaali
gid://shopify/TaxonomyAttribute/8148  : Lämmitysvastuksen rakenne
gid://shopify/TaxonomyAttribute/8149  : Kierrejousen viimeistely/pinnoite
gid://shopify/TaxonomyAttribute/8150  : Kierrejousen materiaali
gid://shopify/TaxonomyAttribute/6890  : Lämmitysvastusjärjestelmän tyyppi
gid://shopify/TaxonomyAttribute/7702  : Lämmitysvastuksen tyyppi
gid://shopify/TaxonomyAttribute/9221  : Kolikon laatu (numismaattinen)
gid://shopify/TaxonomyAttribute/2931  : Kolikon materiaali
gid://shopify/TaxonomyAttribute/9222  : Kolikon lyönti tai viimeistely
gid://shopify/TaxonomyAttribute/9223  : Kolikon lyöntitapa
gid://shopify/TaxonomyAttribute/5780  : Siivilätyyli
gid://shopify/TaxonomyAttribute/5129  : Kollageenin lähde
gid://shopify/TaxonomyAttribute/5130  : Kollageenityyppi
gid://shopify/TaxonomyAttribute/2861  : Kauluslukon tyyppi
gid://shopify/TaxonomyAttribute/6659  : Kaulustyyli
gid://shopify/TaxonomyAttribute/2011  : Kauluskappale-/kiinnikeyhteensopiva laite
gid://shopify/TaxonomyAttribute/2012  : Kauluskappaleen/kiinnikkeen muotoilu
gid://shopify/TaxonomyAttribute/9224  : Mukana tulevat keräilyaseiden lisävarusteet
gid://shopify/TaxonomyAttribute/9225  : Keräilyaseen laukaisumekanismi
gid://shopify/TaxonomyAttribute/9226  : Keräilyveitsen terän viimeistely
gid://shopify/TaxonomyAttribute/1     : Väri
gid://shopify/TaxonomyAttribute/1962  : Värien tarkkuusstandardit
gid://shopify/TaxonomyAttribute/9227  : Värikoodijärjestelmä
gid://shopify/TaxonomyAttribute/7226  : Värikoodausstandardi
gid://shopify/TaxonomyAttribute/5387  : Värisyvyys
gid://shopify/TaxonomyAttribute/6660  : Väritehoste
gid://shopify/TaxonomyAttribute/9228  : Väriperhe
gid://shopify/TaxonomyAttribute/8151  : Väriviimeistely
gid://shopify/TaxonomyAttribute/1989  : Värikylläisyys
gid://shopify/TaxonomyAttribute/7703  : Väritysviimeistely
gid://shopify/TaxonomyAttribute/5153  : Kamman ominaisuudet
gid://shopify/TaxonomyAttribute/9229  : Kamman materiaali
gid://shopify/TaxonomyAttribute/5152  : Kamman hampaiden väli
gid://shopify/TaxonomyAttribute/7227  : Kamman tyyppi
gid://shopify/TaxonomyAttribute/5154  : Kamman/harjan koko
gid://shopify/TaxonomyAttribute/6661  : Kamppailulajishortsit
gid://shopify/TaxonomyAttribute/9230  : Sarjakuvan luojan rooli
gid://shopify/TaxonomyAttribute/3413  : Sarjakuvapainos
gid://shopify/TaxonomyAttribute/3414  : Sarjakuvaperinne
gid://shopify/TaxonomyAttribute/9231  : Juhlarahan viimeistely
gid://shopify/TaxonomyAttribute/9232  : Rahapajan tunnus juhlarahassa
gid://shopify/TaxonomyAttribute/9233  : Juhlarahan aihe
gid://shopify/TaxonomyAttribute/8152  : Hyötyajoneuvon luokitus
gid://shopify/TaxonomyAttribute/5067  : WC-tuolin aukon tyyppi
gid://shopify/TaxonomyAttribute/3072  : Viestintälaitteen ominaisuudet
gid://shopify/TaxonomyAttribute/2555  : Tiedonsiirtoprotokollat
gid://shopify/TaxonomyAttribute/7228  : Kompassin vaimennusneste
gid://shopify/TaxonomyAttribute/7229  : Kompassin valaistuksen tyyppi
gid://shopify/TaxonomyAttribute/7230  : Kompassin kiinnitystyyli
gid://shopify/TaxonomyAttribute/7231  : Kompassin asteikon yksiköt
gid://shopify/TaxonomyAttribute/2871  : Kompassin tyyli
gid://shopify/TaxonomyAttribute/8153  : Yhteensopiva ABS-järjestelmä
gid://shopify/TaxonomyAttribute/7238  : Yhteensopiva airsoft-kuulan koko
gid://shopify/TaxonomyAttribute/8165  : Yhteensopiva EVAP-järjestelmä
gid://shopify/TaxonomyAttribute/1888  : Yhteensopiva suuren kaistanleveyden digitaalisen sisällön suojaus (hdcp)
gid://shopify/TaxonomyAttribute/6392  : Yhteensopiva radio-ohjattavien mittakaava
gid://shopify/TaxonomyAttribute/7286  : Yhteensopiva SHIS
gid://shopify/TaxonomyAttribute/8198  : Yhteensopiva TPMS-anturityyppi
gid://shopify/TaxonomyAttribute/5065  : Yhteensopivan esteettömyysvälineen tyyppi
gid://shopify/TaxonomyAttribute/7232  : Yhteensopiva brändi
gid://shopify/TaxonomyAttribute/5781  : Yhteensopiva ilmastointilaitetyyppi
gid://shopify/TaxonomyAttribute/8154  : Yhteensopiva turvatyynyjärjestelmän tyyppi
gid://shopify/TaxonomyAttribute/2679  : Yhteensopiva lentokonetyyppi
gid://shopify/TaxonomyAttribute/2412  : Yhteensopiva vahvistin
gid://shopify/TaxonomyAttribute/9234  : Yhteensopiva vahvistimen sovitusmenetelmä
gid://shopify/TaxonomyAttribute/7233  : Yhteensopiva laite
gid://shopify/TaxonomyAttribute/1705  : Yhteensopiva akvaario
gid://shopify/TaxonomyAttribute/7234  : Yhteensopiva jousiammuntatyökalu
gid://shopify/TaxonomyAttribute/5782  : Yhteensopiva markiisin kiskotyyppi
gid://shopify/TaxonomyAttribute/7235  : Yhteensopiva akselikoko
gid://shopify/TaxonomyAttribute/7236  : Yhteensopiva akselityyppi
gid://shopify/TaxonomyAttribute/8155  : Yhteensopiva akselipainoluokitus
gid://shopify/TaxonomyAttribute/1764  : Yhteensopivan tuttipullon muotoilu
gid://shopify/TaxonomyAttribute/1749  : Yhteensopiva vauvan kantorepputyyppi
gid://shopify/TaxonomyAttribute/1752  : Yhteensopiva vauvan tuolityyppi
gid://shopify/TaxonomyAttribute/1751  : Yhteensopiva vauvan kuljetustapa
gid://shopify/TaxonomyAttribute/7237  : Yhteensopiva syöttityyppi
gid://shopify/TaxonomyAttribute/1212  : Yhteensopiva pallotyyppi
gid://shopify/TaxonomyAttribute/9235  : Yhteensopiva basson mensuuripituus
gid://shopify/TaxonomyAttribute/1924  : Yhteensopiva akkuteknologia
gid://shopify/TaxonomyAttribute/6386  : Yhteensopiva taisteluhyrräjärjestelmä
gid://shopify/TaxonomyAttribute/6891  : Yhteensopiva vuoderunkotyyli
gid://shopify/TaxonomyAttribute/1231  : Yhteensopivat penkkiasennot
gid://shopify/TaxonomyAttribute/5783  : Yhteensopiva juomatyyppi
gid://shopify/TaxonomyAttribute/7239  : Yhteensopiva polkupyörän rengastyyppi
gid://shopify/TaxonomyAttribute/7240  : Yhteensopiva pyörän komponentti
gid://shopify/TaxonomyAttribute/1270  : Yhteensopiva pyörätyyppi
gid://shopify/TaxonomyAttribute/7241  : Yhteensopiva biljardipeli
gid://shopify/TaxonomyAttribute/7242  : Yhteensopivan biljardipöydän koko
gid://shopify/TaxonomyAttribute/7243  : Yhteensopiva terätyyppi
gid://shopify/TaxonomyAttribute/7244  : Yhteensopiva lavan liitoskohta
gid://shopify/TaxonomyAttribute/9236  : Yhteensopiva teräjärjestelmä
gid://shopify/TaxonomyAttribute/9237  : Yhteensopiva venesukkula
gid://shopify/TaxonomyAttribute/9238  : Yhteensopiva puolan tyyppi
gid://shopify/TaxonomyAttribute/7245  : Yhteensopiva pullon suuaukko
gid://shopify/TaxonomyAttribute/7246  : Yhteensopiva jousen kiinnitysjärjestelmä
gid://shopify/TaxonomyAttribute/7247  : Yhteensopiva jousi-/varsijousityyppi
gid://shopify/TaxonomyAttribute/8156  : Yhteensopiva jarruneste
gid://shopify/TaxonomyAttribute/7248  : Yhteensopiva jarrupala
gid://shopify/TaxonomyAttribute/8157  : Yhteensopiva jarrunhuoltojärjestelmä
gid://shopify/TaxonomyAttribute/8158  : Yhteensopiva jarrujärjestelmä
gid://shopify/TaxonomyAttribute/7249  : Yhteensopiva jarrutyyppi
gid://shopify/TaxonomyAttribute/2396  : Yhteensopiva vaskipuhallin
gid://shopify/TaxonomyAttribute/9239  : Yhteensopiva vaskipuhaltimen pinta
gid://shopify/TaxonomyAttribute/6387  : Yhteensopiva rakennuslelujärjestelmä
gid://shopify/TaxonomyAttribute/5596  : Yhteensopiva nippusiteen materiaali
gid://shopify/TaxonomyAttribute/5784  : Yhteensopiva tölkkikoko
gid://shopify/TaxonomyAttribute/9240  : Yhteensopiva capon otelaudan säde
gid://shopify/TaxonomyAttribute/9241  : Capon yhteensopiva kielimäärä
gid://shopify/TaxonomyAttribute/7250  : Yhteensopiva kuntolaitteen tyyppi
gid://shopify/TaxonomyAttribute/7251  : Yhteensopiva ketjulenkkityyppi
gid://shopify/TaxonomyAttribute/7252  : Yhteensopiva ketjukoko
gid://shopify/TaxonomyAttribute/7253  : Yhteensopiva ketjun leveys
gid://shopify/TaxonomyAttribute/5167  : Yhteensopivan kemiallisen käsittelyn vahvuustaso
gid://shopify/TaxonomyAttribute/6388  : Yhteensopiva pelimerkin nimellisarvo
gid://shopify/TaxonomyAttribute/5785  : Yhteensopiva savukkeen koko
gid://shopify/TaxonomyAttribute/9242  : Yhteensopiva klarinetin suukappaleen ligatuuri
gid://shopify/TaxonomyAttribute/2452  : Yhteensopiva klarinettityyppi
gid://shopify/TaxonomyAttribute/9243  : Yhteensopiva klassinen kitaran mensuuripituus
gid://shopify/TaxonomyAttribute/7254  : Yhteensopiva savikiekon koko
gid://shopify/TaxonomyAttribute/7255  : Yhteensopiva klossijärjestelmä
gid://shopify/TaxonomyAttribute/7256  : Yhteensopiva lukoton poljinjärjestelmä
gid://shopify/TaxonomyAttribute/8159  : Yhteensopiva kytkintyyppi
gid://shopify/TaxonomyAttribute/5786  : Yhteensopiva kahvikapselijärjestelmä
gid://shopify/TaxonomyAttribute/5787  : Yhteensopiva kahvinkeittimen tyyppi
gid://shopify/TaxonomyAttribute/7704  : Yhteensopiva kahvikapselijärjestelmä
gid://shopify/TaxonomyAttribute/6389  : Yhteensopiva rakennussarjajärjestelmä
gid://shopify/TaxonomyAttribute/5218  : Yhteensopiva piilolinssityyppi
gid://shopify/TaxonomyAttribute/5220  : Yhteensopivat piilolinssit
gid://shopify/TaxonomyAttribute/9244  : Yhteensopiva kontrabassoklarinetin tappi/teline
gid://shopify/TaxonomyAttribute/5788  : Yhteensopiva ruoanlaittolämpömittarin tyyppi
gid://shopify/TaxonomyAttribute/8160  : Yhteensopiva jäähdytysnesteen kemia
gid://shopify/TaxonomyAttribute/8161  : Yhteensopiva jäähdytysjärjestelmän materiaali
gid://shopify/TaxonomyAttribute/1600  : Yhteensopivat kosmeettiset välineet
gid://shopify/TaxonomyAttribute/6287  : Yhteensopiva kytkinkoko
gid://shopify/TaxonomyAttribute/6892  : Yhteensopiva kehdon muoto
gid://shopify/TaxonomyAttribute/9245  : Yhteensopiva ristipistokankaan tiheys
gid://shopify/TaxonomyAttribute/9246  : Yhteensopiva ristipistokehys
gid://shopify/TaxonomyAttribute/8162  : Yhteensopiva poikittaispalkki
gid://shopify/TaxonomyAttribute/7257  : Yhteensopiva pyöräilyklossi
gid://shopify/TaxonomyAttribute/9247  : Yhteensopiva symbaalin koko
gid://shopify/TaxonomyAttribute/5789  : Yhteensopiva ilmankuivaustekniikka
gid://shopify/TaxonomyAttribute/1930  : Yhteensopiva laite
gid://shopify/TaxonomyAttribute/8163  : Yhteensopiva laitetyyppi
gid://shopify/TaxonomyAttribute/8164  : Yhteensopiva laiturin rakennetyyppi
gid://shopify/TaxonomyAttribute/6390  : Yhteensopiva massan tyyppi
gid://shopify/TaxonomyAttribute/9248  : Yhteensopiva piirustusmustepinta
gid://shopify/TaxonomyAttribute/7258  : Yhteensopiva voimansiirron merkki
gid://shopify/TaxonomyAttribute/7259  : Yhteensopivat vaihteiston nopeudet
gid://shopify/TaxonomyAttribute/2426  : Yhteensopiva rumpukokoonpano
gid://shopify/TaxonomyAttribute/2416  : Yhteensopiva sähköinen/akustinen soitin
gid://shopify/TaxonomyAttribute/1905  : Yhteensopiva elektroninen korttityyppi
gid://shopify/TaxonomyAttribute/7260  : Yhteensopivat laitteet
gid://shopify/TaxonomyAttribute/5502  : Yhteensopiva laitetyyppi
gid://shopify/TaxonomyAttribute/7261  : Yhteensopiva kuntopyörätyyppi
gid://shopify/TaxonomyAttribute/5499  : Yhteensopiva kuntoilulaitteen tyyppi
gid://shopify/TaxonomyAttribute/1232  : Yhteensopivat harjoitukset
gid://shopify/TaxonomyAttribute/5229  : Yhteensopiva silmälasityyppi
gid://shopify/TaxonomyAttribute/5790  : Yhteensopiva syöttölaitetyyppi
gid://shopify/TaxonomyAttribute/7262  : Yhteensopiva miekkailuase
gid://shopify/TaxonomyAttribute/9249  : Yhteensopiva kuitutyyppi
gid://shopify/TaxonomyAttribute/1944  : Yhteensopiva säie
gid://shopify/TaxonomyAttribute/2042  : Yhteensopiva filmityyppi
gid://shopify/TaxonomyAttribute/7263  : Yhteensopiva eväkiinnikejärjestelmä
gid://shopify/TaxonomyAttribute/9250  : Yhteensopivan otelaudan säde
gid://shopify/TaxonomyAttribute/9251  : Yhteensopiva viimeistelytyyppi
gid://shopify/TaxonomyAttribute/7264  : Yhteensopiva kalastuskelatyyppi
gid://shopify/TaxonomyAttribute/2456  : Yhteensopiva huilutyyppi
gid://shopify/TaxonomyAttribute/7265  : Yhteensopiva perhosiiman paino
gid://shopify/TaxonomyAttribute/8166  : Yhteensopiva vauhtipyörän tyyppi
gid://shopify/TaxonomyAttribute/7266  : Yhteensopiva amerikkalaisen jalkapallon potkutyyppi
gid://shopify/TaxonomyAttribute/5791  : Yhteensopiva jalkineiden materiaali
gid://shopify/TaxonomyAttribute/8167  : Yhteensopiva polttoainejärjestelmätyyppi
gid://shopify/TaxonomyAttribute/6288  : Yhteensopiva polttoainetyyppi
gid://shopify/TaxonomyAttribute/1967  : Yhteensopiva peliformaatti
gid://shopify/TaxonomyAttribute/1420  : Yhteensopiva puutarhatyökalu
gid://shopify/TaxonomyAttribute/5792  : Yhteensopiva vaatehöyrystimen muotoilu
gid://shopify/TaxonomyAttribute/7267  : Yhteensopiva kaasun tyyppi
gid://shopify/TaxonomyAttribute/9252  : Yhteensopivat geelivahan lisäaineet
gid://shopify/TaxonomyAttribute/9253  : Yhteensopiva lasitteen kerrostus
gid://shopify/TaxonomyAttribute/7268  : Yhteensopiva golfbägin tyyppi
gid://shopify/TaxonomyAttribute/5793  : Yhteensopiva grillityyppi
gid://shopify/TaxonomyAttribute/8168  : Yhteensopiva maadoitusnapaisuus
gid://shopify/TaxonomyAttribute/9254  : Yhteensopiva kitaran rungon muoto
gid://shopify/TaxonomyAttribute/9255  : Yhteensopiva kitarakotelo
gid://shopify/TaxonomyAttribute/9256  : Yhteensopiva kitaran mensuuripituus
gid://shopify/TaxonomyAttribute/7269  : Yhteensopiva asealusta
gid://shopify/TaxonomyAttribute/6662  : Yhteensopiva hiusten pituus
gid://shopify/TaxonomyAttribute/1430  : Yhteensopiva riippumaton rakenne
gid://shopify/TaxonomyAttribute/2457  : Yhteensopiva huuliharpputyyppi
gid://shopify/TaxonomyAttribute/5794  : Yhteensopiva vaarallisen jätteen tyyppi
gid://shopify/TaxonomyAttribute/8169  : Yhteensopiva pään ja niskan tukijärjestelmä
gid://shopify/TaxonomyAttribute/8170  : Yhteensopivan kypärän sertifiointistandardi
gid://shopify/TaxonomyAttribute/8171  : Yhteensopiva kypäränkuoren koko
gid://shopify/TaxonomyAttribute/7270  : Yhteensopiva kypäräkoko
gid://shopify/TaxonomyAttribute/8172  : Yhteensopiva kypärän tyyppi
gid://shopify/TaxonomyAttribute/8173  : Yhteensopiva vetokoukun vastaanottimen koko
gid://shopify/TaxonomyAttribute/9257  : Yhteensopiva koukun koko
gid://shopify/TaxonomyAttribute/7271  : Yhteensopiva hevosen karvan tyyppi
gid://shopify/TaxonomyAttribute/9258  : Yhteensopiva alusta
gid://shopify/TaxonomyAttribute/9259  : Yhteensopiva täyttökaasu
gid://shopify/TaxonomyAttribute/8174  : Yhteensopiva ruiskutustyyppi
gid://shopify/TaxonomyAttribute/2409  : Yhteensopiva soitin
gid://shopify/TaxonomyAttribute/9260  : Yhteensopiva instrumentin pinta/materiaali
gid://shopify/TaxonomyAttribute/8175  : Yhteensopiva sisäpuhelinjärjestelmä
gid://shopify/TaxonomyAttribute/8176  : Yhteensopiva sisämateriaali
gid://shopify/TaxonomyAttribute/5795  : Yhteensopiva silityslautatyyppi
gid://shopify/TaxonomyAttribute/7272  : Yhteensopiva kajakkityyppi
gid://shopify/TaxonomyAttribute/2421  : Yhteensopiva näppäimistökonfiguraatio
gid://shopify/TaxonomyAttribute/5796  : Yhteensopiva ruohonleikkurin tyyppi
gid://shopify/TaxonomyAttribute/5797  : Yhteensopiva lehtipuhallintyyppi
gid://shopify/TaxonomyAttribute/8177  : Yhteensopiva rekisterikilven reikäkuvio
gid://shopify/TaxonomyAttribute/8178  : Yhteensopiva rekisterikilven koko
gid://shopify/TaxonomyAttribute/9261  : Yhteensopivat kangaspuut
gid://shopify/TaxonomyAttribute/9262  : Yhteensopiva kangaspuiden tyyppi
gid://shopify/TaxonomyAttribute/9263  : Yhteensopiva konetyyppi
gid://shopify/TaxonomyAttribute/5798  : Yhteensopiva postilaatikon koko
gid://shopify/TaxonomyAttribute/5799  : Yhteensopiva postilaatikon tyyppi
gid://shopify/TaxonomyAttribute/1605  : Yhteensopiva meikki
gid://shopify/TaxonomyAttribute/7273  : Yhteensopiva mastotyyppi
gid://shopify/TaxonomyAttribute/2019  : Yhteensopivat muistikortit
gid://shopify/TaxonomyAttribute/1794  : Yhteensopiva mikrofonikierre
gid://shopify/TaxonomyAttribute/9264  : Yhteensopiva pienoismallijärjestelmä (junan mittakaava)
gid://shopify/TaxonomyAttribute/1898  : Yhteensopivan emolevyn muotokerroin
gid://shopify/TaxonomyAttribute/9265  : Yhteensopiva kiinnityspinta
gid://shopify/TaxonomyAttribute/9266  : Yhteensopiva suukappaleen paikka
gid://shopify/TaxonomyAttribute/9267  : Yhteensopiva suukappaleen tyyppi
gid://shopify/TaxonomyAttribute/5800  : Yhteensopiva lautasliinan koko
gid://shopify/TaxonomyAttribute/9268  : Yhteensopiva kaulan profiili/leveys
gid://shopify/TaxonomyAttribute/9269  : Yhteensopiva neulakoko
