# Shopify Product Taxonomy - Categories: 2099-01
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : 动物/宠物用品
gid://shopify/TaxonomyCategory/aa-1-7-5          : 服饰与配饰 > 服装 > 孕妇装 > 孕妇裙
gid://shopify/TaxonomyCategory/aa-1-7-6          : 服饰与配饰 > 服装 > 孕妇装 > 孕妇睡衣
gid://shopify/TaxonomyCategory/aa-1-7-7          : 服饰与配饰 > 服装 > 孕妇装 > 孕妇泳衣
gid://shopify/TaxonomyCategory/aa-1-7-7-4        : 服饰与配饰 > 服装 > 孕妇装 > 孕妇泳衣 > 布基尼
gid://shopify/TaxonomyCategory/aa-1-7-7-5        : 服饰与配饰 > 服装 > 孕妇装 > 孕妇泳衣 > 经典比基尼
gid://shopify/TaxonomyCategory/aa-1-7-7-6        : 服饰与配饰 > 服装 > 孕妇装 > 孕妇泳衣 > 罩衫
gid://shopify/TaxonomyCategory/aa-1-7-7-20       : 服饰与配饰 > 服装 > 孕妇装 > 孕妇泳衣 > 连体泳衣
gid://shopify/TaxonomyCategory/aa-1-7-7-2        : 服饰与配饰 > 服装 > 孕妇装 > 孕妇泳衣 > 平角泳裤
gid://shopify/TaxonomyCategory/aa-1-7-7-14       : 服饰与配饰 > 服装 > 孕妇装 > 孕妇泳衣 > 泳裙
gid://shopify/TaxonomyCategory/aa-1-7-7-21       : 服饰与配饰 > 服装 > 孕妇装 > 孕妇泳衣 > 泳装上衣
gid://shopify/TaxonomyCategory/aa-1-7-8          : 服饰与配饰 > 服装 > 孕妇装 > 孕妇上衣
gid://shopify/TaxonomyCategory/aa-1-7-8-1        : 服饰与配饰 > 服装 > 孕妇装 > 孕妇上衣 > 女式衬衫
gid://shopify/TaxonomyCategory/aa-1-7-8-2        : 服饰与配饰 > 服装 > 孕妇装 > 孕妇上衣 > 连体衣
gid://shopify/TaxonomyCategory/aa-1-7-8-3        : 服饰与配饰 > 服装 > 孕妇装 > 孕妇上衣 > 开衫
gid://shopify/TaxonomyCategory/aa-1-7-8-4        : 服饰与配饰 > 服装 > 孕妇装 > 孕妇上衣 > 哺乳衬衫
gid://shopify/TaxonomyCategory/aa-1-7-8-5        : 服饰与配饰 > 服装 > 孕妇装 > 孕妇上衣 > 外套式衬衫
gid://shopify/TaxonomyCategory/aa-1-7-8-7        : 服饰与配饰 > 服装 > 孕妇装 > 孕妇上衣 > 衬衫
gid://shopify/TaxonomyCategory/aa-1-7-8-8        : 服饰与配饰 > 服装 > 孕妇装 > 孕妇上衣 > T 恤
gid://shopify/TaxonomyCategory/aa-1-7-8-11       : 服饰与配饰 > 服装 > 孕妇装 > 孕妇上衣 > 束腰外衣
gid://shopify/TaxonomyCategory/aa-1-7-1          : 服饰与配饰 > 服装 > 孕妇装 > 哺乳文胸
gid://shopify/TaxonomyCategory/aa-1-8            : 服饰与配饰 > 服装 > 男士内衣裤
gid://shopify/TaxonomyCategory/aa-1-8-1          : 服饰与配饰 > 服装 > 男士内衣裤 > 男士秋裤
gid://shopify/TaxonomyCategory/aa-1-8-2          : 服饰与配饰 > 服装 > 男士内衣裤 > 男士汗衫
gid://shopify/TaxonomyCategory/aa-1-8-3          : 服饰与配饰 > 服装 > 男士内衣裤 > 男士内衣
gid://shopify/TaxonomyCategory/aa-1-8-3-2        : 服饰与配饰 > 服装 > 男士内衣裤 > 男士内衣 > 平角内裤
gid://shopify/TaxonomyCategory/aa-1-8-3-3        : 服饰与配饰 > 服装 > 男士内衣裤 > 男士内衣 > 平角短内裤
gid://shopify/TaxonomyCategory/aa-1-8-3-4        : 服饰与配饰 > 服装 > 男士内衣裤 > 男士内衣 > 三角裤
gid://shopify/TaxonomyCategory/aa-1-8-3-5        : 服饰与配饰 > 服装 > 男士内衣裤 > 男士内衣 > 护裆
gid://shopify/TaxonomyCategory/aa-1-8-3-6        : 服饰与配饰 > 服装 > 男士内衣裤 > 男士内衣 > 长腿四角裤
gid://shopify/TaxonomyCategory/aa-1-8-3-7        : 服饰与配饰 > 服装 > 男士内衣裤 > 男士内衣 > 丁字裤
gid://shopify/TaxonomyCategory/aa-1-8-3-8        : 服饰与配饰 > 服装 > 男士内衣裤 > 男士内衣 > 大衣箱/储物箱
gid://shopify/TaxonomyCategory/aa-1-8-3-9        : 服饰与配饰 > 服装 > 男士内衣裤 > 男士内衣 > 男用短衬裤
gid://shopify/TaxonomyCategory/aa-1-9            : 服饰与配饰 > 服装 > 连衣裙与连体衣
gid://shopify/TaxonomyCategory/aa-1-10           : 服饰与配饰 > 服装 > 外衣
gid://shopify/TaxonomyCategory/aa-1-10-1         : 服饰与配饰 > 服装 > 外衣 > 护腿套裤/皮套裤
gid://shopify/TaxonomyCategory/aa-1-10-2         : 服饰与配饰 > 服装 > 外衣 > 外套与夹克
gid://shopify/TaxonomyCategory/aa-1-10-2-1       : 服饰与配饰 > 服装 > 外衣 > 外套与夹克 > 博莱罗夹克
gid://shopify/TaxonomyCategory/aa-1-10-2-2       : 服饰与配饰 > 服装 > 外衣 > 外套与夹克 > 飞行员夹克
gid://shopify/TaxonomyCategory/aa-1-10-2-3       : 服饰与配饰 > 服装 > 外衣 > 外套与夹克 > 斗篷
gid://shopify/TaxonomyCategory/aa-1-10-2-5       : 服饰与配饰 > 服装 > 外衣 > 外套与夹克 > 大衣
gid://shopify/TaxonomyCategory/aa-1-10-2-6       : 服饰与配饰 > 服装 > 外衣 > 外套与夹克 > 派克大衣
gid://shopify/TaxonomyCategory/aa-1-10-2-7       : 服饰与配饰 > 服装 > 外衣 > 外套与夹克 > 海军大衣
gid://shopify/TaxonomyCategory/aa-1-10-2-8       : 服饰与配饰 > 服装 > 外衣 > 外套与夹克 > 披风
gid://shopify/TaxonomyCategory/aa-1-10-2-9       : 服饰与配饰 > 服装 > 外衣 > 外套与夹克 > 羽绒服
gid://shopify/TaxonomyCategory/aa-1-10-2-10      : 服饰与配饰 > 服装 > 外衣 > 外套与夹克 > 雨衣
gid://shopify/TaxonomyCategory/aa-1-10-2-11      : 服饰与配饰 > 服装 > 外衣 > 外套与夹克 > 便服外套
gid://shopify/TaxonomyCategory/aa-1-10-2-12      : 服饰与配饰 > 服装 > 外衣 > 外套与夹克 > 运动夹克
gid://shopify/TaxonomyCategory/aa-1-10-2-13      : 服饰与配饰 > 服装 > 外衣 > 外套与夹克 > 风衣
gid://shopify/TaxonomyCategory/aa-1-10-2-14      : 服饰与配饰 > 服装 > 外衣 > 外套与夹克 > 卡车司机夹克
gid://shopify/TaxonomyCategory/aa-1-10-2-15      : 服饰与配饰 > 服装 > 外衣 > 外套与夹克 > 校队夹克
gid://shopify/TaxonomyCategory/aa-1-10-2-16      : 服饰与配饰 > 服装 > 外衣 > 外套与夹克 > 防风夹克
gid://shopify/TaxonomyCategory/aa-1-10-2-17      : 服饰与配饰 > 服装 > 外衣 > 外套与夹克 > 束带大衣
gid://shopify/TaxonomyCategory/aa-1-10-7         : 服饰与配饰 > 服装 > 外衣 > 摩托车外套
gid://shopify/TaxonomyCategory/aa-1-10-3         : 服饰与配饰 > 服装 > 外衣 > 雨裤
gid://shopify/TaxonomyCategory/aa-1-10-4         : 服饰与配饰 > 服装 > 外衣 > 雨衣套装
gid://shopify/TaxonomyCategory/aa-1-10-5         : 服饰与配饰 > 服装 > 外衣 > 滑雪裤/连体装
gid://shopify/TaxonomyCategory/aa-1-10-6         : 服饰与配饰 > 服装 > 外衣 > 背心
gid://shopify/TaxonomyCategory/aa-1-11           : 服饰与配饰 > 服装 > 整套服装
gid://shopify/TaxonomyCategory/aa-1-12           : 服饰与配饰 > 服装 > 裤装
gid://shopify/TaxonomyCategory/aa-1-12-2         : 服饰与配饰 > 服装 > 裤装 > 货物裤
gid://shopify/TaxonomyCategory/aa-1-12-3         : 服饰与配饰 > 服装 > 裤装 > 斜纹布裤
gid://shopify/TaxonomyCategory/aa-1-12-4         : 服饰与配饰 > 服装 > 裤装 > 牛仔裤
gid://shopify/TaxonomyCategory/aa-1-12-5         : 服饰与配饰 > 服装 > 裤装 > 打底裤
gid://shopify/TaxonomyCategory/aa-1-12-7         : 服饰与配饰 > 服装 > 裤装 > 慢跑运动裤
gid://shopify/TaxonomyCategory/aa-1-12-8         : 服饰与配饰 > 服装 > 裤装 > 紧身裤
gid://shopify/TaxonomyCategory/aa-1-12-11        : 服饰与配饰 > 服装 > 裤装 > 裤子
gid://shopify/TaxonomyCategory/aa-1-14           : 服饰与配饰 > 服装 > 短裤
gid://shopify/TaxonomyCategory/aa-1-14-1         : 服饰与配饰 > 服装 > 短裤 > 百慕大短裤
gid://shopify/TaxonomyCategory/aa-1-14-2         : 服饰与配饰 > 服装 > 短裤 > 货物短裤
gid://shopify/TaxonomyCategory/aa-1-14-3         : 服饰与配饰 > 服装 > 短裤 > 斜纹棉布短裤
gid://shopify/TaxonomyCategory/aa-1-14-5         : 服饰与配饰 > 服装 > 短裤 > 牛仔短裤
gid://shopify/TaxonomyCategory/aa-1-14-6         : 服饰与配饰 > 服装 > 短裤 > 牛仔打底短裤
gid://shopify/TaxonomyCategory/aa-1-14-7         : 服饰与配饰 > 服装 > 短裤 > 慢跑短裤
gid://shopify/TaxonomyCategory/aa-1-14-8         : 服饰与配饰 > 服装 > 短裤 > 紧身短裤
gid://shopify/TaxonomyCategory/aa-1-14-4         : 服饰与配饰 > 服装 > 短裤 > 短裤
gid://shopify/TaxonomyCategory/aa-1-15           : 服饰与配饰 > 服装 > 裙子
gid://shopify/TaxonomyCategory/aa-1-16           : 服饰与配饰 > 服装 > 裙裤
gid://shopify/TaxonomyCategory/aa-1-17           : 服饰与配饰 > 服装 > 睡衣/家居服
gid://shopify/TaxonomyCategory/aa-1-17-1         : 服饰与配饰 > 服装 > 睡衣/家居服 > 秋衣秋裤
gid://shopify/TaxonomyCategory/aa-1-17-2         : 服饰与配饰 > 服装 > 睡衣/家居服 > 家居服
gid://shopify/TaxonomyCategory/aa-1-17-2-1       : 服饰与配饰 > 服装 > 睡衣/家居服 > 家居服 > 家居服下装
gid://shopify/TaxonomyCategory/aa-1-17-2-1-1     : 服饰与配饰 > 服装 > 睡衣/家居服 > 家居服 > 家居服下装 > 四角裤
gid://shopify/TaxonomyCategory/aa-1-17-2-1-2     : 服饰与配饰 > 服装 > 睡衣/家居服 > 家居服 > 家居服下装 > 慢跑运动裤
gid://shopify/TaxonomyCategory/aa-1-17-2-1-3     : 服饰与配饰 > 服装 > 睡衣/家居服 > 家居服 > 家居服下装 > 紧身裤
gid://shopify/TaxonomyCategory/aa-1-17-2-1-4     : 服饰与配饰 > 服装 > 睡衣/家居服 > 家居服 > 家居服下装 > 短裤
gid://shopify/TaxonomyCategory/aa-1-17-2-1-5     : 服饰与配饰 > 服装 > 睡衣/家居服 > 家居服 > 家居服下装 > 裙子
gid://shopify/TaxonomyCategory/aa-1-17-2-2       : 服饰与配饰 > 服装 > 睡衣/家居服 > 家居服 > 家居服上衣
gid://shopify/TaxonomyCategory/aa-1-17-3         : 服饰与配饰 > 服装 > 睡衣/家居服 > 连体睡裙
gid://shopify/TaxonomyCategory/aa-1-17-6         : 服饰与配饰 > 服装 > 睡衣/家居服 > 连体服
gid://shopify/TaxonomyCategory/aa-1-17-4         : 服饰与配饰 > 服装 > 睡衣/家居服 > 睡衣裤
gid://shopify/TaxonomyCategory/aa-1-17-5         : 服饰与配饰 > 服装 > 睡衣/家居服 > 浴袍
gid://shopify/TaxonomyCategory/aa-1-18           : 服饰与配饰 > 服装 > 袜子
gid://shopify/TaxonomyCategory/aa-1-18-1         : 服饰与配饰 > 服装 > 袜子 > 踝袜
gid://shopify/TaxonomyCategory/aa-1-18-2         : 服饰与配饰 > 服装 > 袜子 > 运动袜
gid://shopify/TaxonomyCategory/aa-1-18-3         : 服饰与配饰 > 服装 > 袜子 > 水手袜
gid://shopify/TaxonomyCategory/aa-1-18-4         : 服饰与配饰 > 服装 > 袜子 > 舞蹈袜
gid://shopify/TaxonomyCategory/aa-1-18-5         : 服饰与配饰 > 服装 > 袜子 > 足球袜
gid://shopify/TaxonomyCategory/aa-1-18-6         : 服饰与配饰 > 服装 > 袜子 > 后跟袜
gid://shopify/TaxonomyCategory/aa-1-18-7         : 服饰与配饰 > 服装 > 袜子 > 大腿高袜
gid://shopify/TaxonomyCategory/aa-1-18-8         : 服饰与配饰 > 服装 > 袜子 > 及膝袜
gid://shopify/TaxonomyCategory/aa-1-18-9         : 服饰与配饰 > 服装 > 袜子 > 连裤袜
gid://shopify/TaxonomyCategory/aa-1-18-10        : 服饰与配饰 > 服装 > 袜子 > 运动鞋袜
gid://shopify/TaxonomyCategory/aa-1-19           : 服饰与配饰 > 服装 > 套装
gid://shopify/TaxonomyCategory/aa-1-19-1         : 服饰与配饰 > 服装 > 套装 > 长裤套装
gid://shopify/TaxonomyCategory/aa-1-19-2         : 服饰与配饰 > 服装 > 套装 > 套装裙
gid://shopify/TaxonomyCategory/aa-1-19-3         : 服饰与配饰 > 服装 > 套装 > 无尾晚礼服
gid://shopify/TaxonomyCategory/aa-1-20           : 服饰与配饰 > 服装 > 泳装
gid://shopify/TaxonomyCategory/aa-1-20-2         : 服饰与配饰 > 服装 > 泳装 > 沙滩裤
gid://shopify/TaxonomyCategory/aa-1-20-5         : 服饰与配饰 > 服装 > 泳装 > 布基尼
gid://shopify/TaxonomyCategory/aa-1-20-6         : 服饰与配饰 > 服装 > 泳装 > 经典比基尼
gid://shopify/TaxonomyCategory/aa-1-20-7         : 服饰与配饰 > 服装 > 泳装 > 罩衫
gid://shopify/TaxonomyCategory/aa-1-20-22        : 服饰与配饰 > 服装 > 泳装 > 连体泳衣
gid://shopify/TaxonomyCategory/aa-1-20-12        : 服饰与配饰 > 服装 > 泳装 > 防晒衣
gid://shopify/TaxonomyCategory/aa-1-20-23        : 服饰与配饰 > 服装 > 泳装 > 冲浪上衣
gid://shopify/TaxonomyCategory/aa-1-20-3         : 服饰与配饰 > 服装 > 泳装 > 平角泳裤
gid://shopify/TaxonomyCategory/aa-1-20-4         : 服饰与配饰 > 服装 > 泳装 > 游泳短裤
gid://shopify/TaxonomyCategory/aa-1-20-17        : 服饰与配饰 > 服装 > 泳装 > 泳裙
gid://shopify/TaxonomyCategory/aa-1-20-24        : 服饰与配饰 > 服装 > 泳装 > 泳装上衣
gid://shopify/TaxonomyCategory/aa-1-23           : 服饰与配饰 > 服装 > 传统服装与礼服
gid://shopify/TaxonomyCategory/aa-1-23-1         : 服饰与配饰 > 服装 > 传统服装与礼服 > 和服
gid://shopify/TaxonomyCategory/aa-1-23-2         : 服饰与配饰 > 服装 > 传统服装与礼服 > 莎丽服/楞哈
gid://shopify/TaxonomyCategory/aa-1-24           : 服饰与配饰 > 服装 > 制服和工作服
gid://shopify/TaxonomyCategory/aa-1-24-1         : 服饰与配饰 > 服装 > 制服和工作服 > 工作裤/连体工作服
gid://shopify/TaxonomyCategory/aa-1-24-2         : 服饰与配饰 > 服装 > 制服和工作服 > 飞行服
gid://shopify/TaxonomyCategory/aa-1-24-3         : 服饰与配饰 > 服装 > 制服和工作服 > 餐饮服务业制服
gid://shopify/TaxonomyCategory/aa-1-24-4         : 服饰与配饰 > 服装 > 制服和工作服 > 军装
gid://shopify/TaxonomyCategory/aa-1-24-5         : 服饰与配饰 > 服装 > 制服和工作服 > 校服
gid://shopify/TaxonomyCategory/aa-1-24-9         : 服饰与配饰 > 服装 > 制服和工作服 > 鸡心领手术服
gid://shopify/TaxonomyCategory/aa-1-24-6         : 服饰与配饰 > 服装 > 制服和工作服 > 保安制服
gid://shopify/TaxonomyCategory/aa-1-24-7         : 服饰与配饰 > 服装 > 制服和工作服 > 运动服
gid://shopify/TaxonomyCategory/aa-1-24-8         : 服饰与配饰 > 服装 > 制服和工作服 > 白色大衣
gid://shopify/TaxonomyCategory/aa-1-22           : 服饰与配饰 > 服装 > 新娘/婚礼服饰
gid://shopify/TaxonomyCategory/aa-1-22-1         : 服饰与配饰 > 服装 > 新娘/婚礼服饰 > 伴娘/花童/新人母亲礼服
gid://shopify/TaxonomyCategory/aa-1-22-2         : 服饰与配饰 > 服装 > 新娘/婚礼服饰 > 婚纱
gid://shopify/TaxonomyCategory/aa-2              : 服饰与配饰 > 服装配饰
gid://shopify/TaxonomyCategory/aa-2-1            : 服饰与配饰 > 服装配饰 > 手臂套
gid://shopify/TaxonomyCategory/aa-2-2            : 服饰与配饰 > 服装配饰 > 婴幼儿服装配饰
gid://shopify/TaxonomyCategory/aa-2-2-1          : 服饰与配饰 > 服装配饰 > 婴幼儿服装配饰 > 婴幼儿腰带
gid://shopify/TaxonomyCategory/aa-2-2-2          : 服饰与配饰 > 服装配饰 > 婴幼儿服装配饰 > 婴幼儿手套/连指手套
gid://shopify/TaxonomyCategory/aa-2-2-3          : 服饰与配饰 > 服装配饰 > 婴幼儿服装配饰 > 婴幼儿帽子
gid://shopify/TaxonomyCategory/aa-2-2-4          : 服饰与配饰 > 服装配饰 > 婴幼儿服装配饰 > 婴儿防护类服饰
gid://shopify/TaxonomyCategory/aa-2-3            : 服饰与配饰 > 服装配饰 > 巴拉克拉瓦盔式帽
gid://shopify/TaxonomyCategory/aa-2-4            : 服饰与配饰 > 服装配饰 > 头巾/头带
gid://shopify/TaxonomyCategory/aa-2-5            : 服饰与配饰 > 服装配饰 > 腰带扣
gid://shopify/TaxonomyCategory/aa-2-6            : 服饰与配饰 > 服装配饰 > 腰带
gid://shopify/TaxonomyCategory/aa-2-7            : 服饰与配饰 > 服装配饰 > 新娘饰品
gid://shopify/TaxonomyCategory/aa-2-8            : 服饰与配饰 > 服装配饰 > 钮钉
gid://shopify/TaxonomyCategory/aa-2-9            : 服饰与配饰 > 服装配饰 > 领插片
gid://shopify/TaxonomyCategory/aa-2-10           : 服饰与配饰 > 服装配饰 > 袖扣
gid://shopify/TaxonomyCategory/aa-2-11           : 服饰与配饰 > 服装配饰 > 装饰扇
gid://shopify/TaxonomyCategory/aa-2-12           : 服饰与配饰 > 服装配饰 > 耳罩/耳包
gid://shopify/TaxonomyCategory/aa-2-32           : 服饰与配饰 > 服装配饰 > 时尚口罩
gid://shopify/TaxonomyCategory/aa-2-13           : 服饰与配饰 > 服装配饰 > 手套/连指手套
gid://shopify/TaxonomyCategory/aa-2-14           : 服饰与配饰 > 服装配饰 > 发饰
gid://shopify/TaxonomyCategory/aa-2-14-13        : 服饰与配饰 > 服装配饰 > 发饰 > 发带
gid://shopify/TaxonomyCategory/aa-2-14-1         : 服饰与配饰 > 服装配饰 > 发饰 > 盘发器
gid://shopify/TaxonomyCategory/aa-2-14-2         : 服饰与配饰 > 服装配饰 > 发饰 > 插梳/发插
gid://shopify/TaxonomyCategory/aa-2-14-3         : 服饰与配饰 > 服装配饰 > 发饰 > 接发
gid://shopify/TaxonomyCategory/aa-2-14-4         : 服饰与配饰 > 服装配饰 > 发饰 > 发簪
gid://shopify/TaxonomyCategory/aa-2-14-5         : 服饰与配饰 > 服装配饰 > 发饰 > 发网
gid://shopify/TaxonomyCategory/aa-2-14-6         : 服饰与配饰 > 服装配饰 > 发饰 > 发夹/抓夹
gid://shopify/TaxonomyCategory/aa-2-14-7         : 服饰与配饰 > 服装配饰 > 发饰 > 花环头饰
gid://shopify/TaxonomyCategory/aa-2-14-8         : 服饰与配饰 > 服装配饰 > 发饰 > 头饰带
gid://shopify/TaxonomyCategory/aa-2-14-9         : 服饰与配饰 > 服装配饰 > 发饰 > 发绳
gid://shopify/TaxonomyCategory/aa-2-14-10        : 服饰与配饰 > 服装配饰 > 发饰 > 女式王冠头饰
gid://shopify/TaxonomyCategory/aa-2-14-11        : 服饰与配饰 > 服装配饰 > 发饰 > 假发配件
gid://shopify/TaxonomyCategory/aa-2-14-12        : 服饰与配饰 > 服装配饰 > 发饰 > 假发
gid://shopify/TaxonomyCategory/aa-2-15           : 服饰与配饰 > 服装配饰 > 暖手筒
gid://shopify/TaxonomyCategory/aa-2-16           : 服饰与配饰 > 服装配饰 > 手帕
gid://shopify/TaxonomyCategory/aa-2-17           : 服饰与配饰 > 服装配饰 > 帽子
gid://shopify/TaxonomyCategory/aa-2-17-1         : 服饰与配饰 > 服装配饰 > 帽子 > 棒球帽
gid://shopify/TaxonomyCategory/aa-2-17-2         : 服饰与配饰 > 服装配饰 > 帽子 > 贝尼帽
gid://shopify/TaxonomyCategory/aa-2-17-3         : 服饰与配饰 > 服装配饰 > 帽子 > 贝雷帽
gid://shopify/TaxonomyCategory/aa-2-17-4         : 服饰与配饰 > 服装配饰 > 帽子 > 圆顶礼帽
gid://shopify/TaxonomyCategory/aa-2-17-5         : 服饰与配饰 > 服装配饰 > 帽子 > 渔夫帽
gid://shopify/TaxonomyCategory/aa-2-17-6         : 服饰与配饰 > 服装配饰 > 帽子 > 牛仔帽
gid://shopify/TaxonomyCategory/aa-2-17-7         : 服饰与配饰 > 服装配饰 > 帽子 > 软呢帽
gid://shopify/TaxonomyCategory/aa-2-17-8         : 服饰与配饰 > 服装配饰 > 帽子 > 平顶帽
gid://shopify/TaxonomyCategory/aa-2-17-9         : 服饰与配饰 > 服装配饰 > 帽子 > 巴拿马草帽
gid://shopify/TaxonomyCategory/aa-2-17-10        : 服饰与配饰 > 服装配饰 > 帽子 > 后扣帽
gid://shopify/TaxonomyCategory/aa-2-17-11        : 服饰与配饰 > 服装配饰 > 帽子 > 遮阳帽
gid://shopify/TaxonomyCategory/aa-2-17-12        : 服饰与配饰 > 服装配饰 > 帽子 > 高顶礼帽
gid://shopify/TaxonomyCategory/aa-2-17-13        : 服饰与配饰 > 服装配饰 > 帽子 > 软毡帽
gid://shopify/TaxonomyCategory/aa-2-17-14        : 服饰与配饰 > 服装配饰 > 帽子 > 卡车司机帽
gid://shopify/TaxonomyCategory/aa-2-17-15        : 服饰与配饰 > 服装配饰 > 帽子 > 空顶帽
gid://shopify/TaxonomyCategory/aa-2-17-16        : 服饰与配饰 > 服装配饰 > 帽子 > 冬帽
gid://shopify/TaxonomyCategory/aa-2-18           : 服饰与配饰 > 服装配饰 > 头饰/帽类
gid://shopify/TaxonomyCategory/aa-2-18-1         : 服饰与配饰 > 服装配饰 > 头饰/帽类 > 女士装饰性小礼帽
gid://shopify/TaxonomyCategory/aa-2-18-2         : 服饰与配饰 > 服装配饰 > 头饰/帽类 > 头饰
gid://shopify/TaxonomyCategory/aa-2-18-3         : 服饰与配饰 > 服装配饰 > 头饰/帽类 > 缠头巾
gid://shopify/TaxonomyCategory/aa-2-19           : 服饰与配饰 > 服装配饰 > 腿套
gid://shopify/TaxonomyCategory/aa-2-20           : 服饰与配饰 > 服装配饰 > 花环颈饰
gid://shopify/TaxonomyCategory/aa-2-21           : 服饰与配饰 > 服装配饰 > 孕妇托腹带/支撑带
gid://shopify/TaxonomyCategory/aa-2-22           : 服饰与配饰 > 服装配饰 > 脖套
gid://shopify/TaxonomyCategory/aa-2-23           : 服饰与配饰 > 服装配饰 > 领带
gid://shopify/TaxonomyCategory/aa-2-24           : 服饰与配饰 > 服装配饰 > 钮扣徽章
gid://shopify/TaxonomyCategory/aa-2-25           : 服饰与配饰 > 服装配饰 > 绶带
gid://shopify/TaxonomyCategory/aa-2-26           : 服饰与配饰 > 服装配饰 > 围巾与披巾
gid://shopify/TaxonomyCategory/aa-2-27           : 服饰与配饰 > 服装配饰 > 太阳镜
gid://shopify/TaxonomyCategory/aa-2-28           : 服饰与配饰 > 服装配饰 > 背带
gid://shopify/TaxonomyCategory/aa-2-29           : 服饰与配饰 > 服装配饰 > 领带夹
gid://shopify/TaxonomyCategory/aa-2-31           : 服饰与配饰 > 服装配饰 > 传统服装配饰
gid://shopify/TaxonomyCategory/aa-2-30           : 服饰与配饰 > 服装配饰 > 腕套
gid://shopify/TaxonomyCategory/aa-3              : 服饰与配饰 > 演出服与配饰
gid://shopify/TaxonomyCategory/aa-3-1            : 服饰与配饰 > 演出服与配饰 > 演出服配饰
gid://shopify/TaxonomyCategory/aa-3-2            : 服饰与配饰 > 演出服与配饰 > 演出鞋
gid://shopify/TaxonomyCategory/aa-3-3            : 服饰与配饰 > 演出服与配饰 > 戏服/演出服
gid://shopify/TaxonomyCategory/aa-3-3-1          : 服饰与配饰 > 演出服与配饰 > 戏服/演出服 > 演出服裙装
gid://shopify/TaxonomyCategory/aa-3-3-2          : 服饰与配饰 > 演出服与配饰 > 戏服/演出服 > 演出服套装
gid://shopify/TaxonomyCategory/aa-3-4            : 服饰与配饰 > 演出服与配饰 > 面具
gid://shopify/TaxonomyCategory/aa-4              : 服饰与配饰 > 手提包/钱包配件
gid://shopify/TaxonomyCategory/aa-4-1            : 服饰与配饰 > 手提包/钱包配件 > 钥匙链
gid://shopify/TaxonomyCategory/aa-4-2            : 服饰与配饰 > 手提包/钱包配件 > 挂绳
gid://shopify/TaxonomyCategory/aa-4-3            : 服饰与配饰 > 手提包/钱包配件 > 钱包链
gid://shopify/TaxonomyCategory/aa-5              : 服饰与配饰 > 手提包、钱包与箱包
gid://shopify/TaxonomyCategory/aa-5-1            : 服饰与配饰 > 手提包、钱包与箱包 > 员工卡/门禁卡卡套
gid://shopify/TaxonomyCategory/aa-5-2            : 服饰与配饰 > 手提包、钱包与箱包 > 名片盒
gid://shopify/TaxonomyCategory/aa-5-3            : 服饰与配饰 > 手提包、钱包与箱包 > 支票夹/票据夹
gid://shopify/TaxonomyCategory/aa-5-4            : 服饰与配饰 > 手提包、钱包与箱包 > 手提包
gid://shopify/TaxonomyCategory/aa-5-4-1          : 服饰与配饰 > 手提包、钱包与箱包 > 手提包 > 法棍包
gid://shopify/TaxonomyCategory/aa-5-4-2          : 服饰与配饰 > 手提包、钱包与箱包 > 手提包 > 桶包
gid://shopify/TaxonomyCategory/aa-5-4-3          : 服饰与配饰 > 手提包、钱包与箱包 > 手提包 > 沙滩包
gid://shopify/TaxonomyCategory/aa-5-4-4          : 服饰与配饰 > 手提包、钱包与箱包 > 手提包 > 水桶包
gid://shopify/TaxonomyCategory/aa-5-4-5          : 服饰与配饰 > 手提包、钱包与箱包 > 手提包 > 手拿包
gid://shopify/TaxonomyCategory/aa-5-4-6          : 服饰与配饰 > 手提包、钱包与箱包 > 手提包 > 多功能包
gid://shopify/TaxonomyCategory/aa-5-4-7          : 服饰与配饰 > 手提包、钱包与箱包 > 手提包 > 斜挎包
gid://shopify/TaxonomyCategory/aa-5-4-8          : 服饰与配饰 > 手提包、钱包与箱包 > 手提包 > 医生包
gid://shopify/TaxonomyCategory/aa-5-4-9          : 服饰与配饰 > 手提包、钱包与箱包 > 手提包 > 信封包
gid://shopify/TaxonomyCategory/aa-5-4-10         : 服饰与配饰 > 手提包、钱包与箱包 > 手提包 > 折叠式手拿包
gid://shopify/TaxonomyCategory/aa-5-4-11         : 服饰与配饰 > 手提包、钱包与箱包 > 手提包 > 半月包
gid://shopify/TaxonomyCategory/aa-5-4-12         : 服饰与配饰 > 手提包、钱包与箱包 > 手提包 > 流浪包
gid://shopify/TaxonomyCategory/aa-5-4-13         : 服饰与配饰 > 手提包、钱包与箱包 > 手提包 > 晚宴包
gid://shopify/TaxonomyCategory/aa-5-4-14         : 服饰与配饰 > 手提包、钱包与箱包 > 手提包 > 皮手筒手拿包和手袋
gid://shopify/TaxonomyCategory/aa-5-4-15         : 服饰与配饰 > 手提包、钱包与箱包 > 手提包 > 马鞍包
gid://shopify/TaxonomyCategory/aa-5-4-16         : 服饰与配饰 > 手提包、钱包与箱包 > 手提包 > 长形侧背包
gid://shopify/TaxonomyCategory/aa-5-4-17         : 服饰与配饰 > 手提包、钱包与箱包 > 手提包 > 书包
gid://shopify/TaxonomyCategory/aa-5-4-18         : 服饰与配饰 > 手提包、钱包与箱包 > 手提包 > 购物包
