# Shopify Product Taxonomy - Categories: 2025-03-rc1
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : 動物/寵物補給品
gid://shopify/TaxonomyCategory/ae-2-1-6-5-2      : 藝術/娛樂 > 嗜好和創作藝術 > 藝術品和手工藝品 > 手作圖案/模具 > 縫紉樣板 > 服裝縫紉樣板
gid://shopify/TaxonomyCategory/ae-2-1-6-5-3      : 藝術/娛樂 > 嗜好和創作藝術 > 藝術品和手工藝品 > 手作圖案/模具 > 縫紉樣板 > 家飾縫紉樣板
gid://shopify/TaxonomyCategory/ae-2-2            : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品
gid://shopify/TaxonomyCategory/ae-2-2-1          : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 名人簽名
gid://shopify/TaxonomyCategory/ae-2-2-2          : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 硬幣/鈔票收藏品
gid://shopify/TaxonomyCategory/ae-2-2-2-1        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 硬幣/鈔票收藏品 > 收藏用紙幣
gid://shopify/TaxonomyCategory/ae-2-2-2-2        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 硬幣/鈔票收藏品 > 收藏用硬幣
gid://shopify/TaxonomyCategory/ae-2-2-2-2-1      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 硬幣/鈔票收藏品 > 收藏用硬幣 > 投資型硬幣
gid://shopify/TaxonomyCategory/ae-2-2-2-2-2      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 硬幣/鈔票收藏品 > 收藏用硬幣 > 紀念幣
gid://shopify/TaxonomyCategory/ae-2-2-2-2-3      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 硬幣/鈔票收藏品 > 收藏用硬幣 > 稀有硬幣
gid://shopify/TaxonomyCategory/ae-2-2-3          : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 集換式卡片
gid://shopify/TaxonomyCategory/ae-2-2-3-1        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 集換式卡片 > 娛樂用卡片
gid://shopify/TaxonomyCategory/ae-2-2-3-2        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 集換式卡片 > 遊戲卡片
gid://shopify/TaxonomyCategory/ae-2-2-3-3        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 集換式卡片 > 非運動類集換式卡片
gid://shopify/TaxonomyCategory/ae-2-2-3-4        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 集換式卡片 > 運動類集換式卡片
gid://shopify/TaxonomyCategory/ae-2-2-4          : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品
gid://shopify/TaxonomyCategory/ae-2-2-4-1        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 收藏用槍
gid://shopify/TaxonomyCategory/ae-2-2-4-1-1      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 收藏用槍 > 古董槍
gid://shopify/TaxonomyCategory/ae-2-2-4-1-2      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 收藏用槍 > 手槍
gid://shopify/TaxonomyCategory/ae-2-2-4-1-3      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 收藏用槍 > 仿製槍
gid://shopify/TaxonomyCategory/ae-2-2-4-1-4      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 收藏用槍 > 來福槍
gid://shopify/TaxonomyCategory/ae-2-2-4-1-5      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 收藏用槍 > 散彈槍
gid://shopify/TaxonomyCategory/ae-2-2-4-2        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 收藏用刀具
gid://shopify/TaxonomyCategory/ae-2-2-4-2-1      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 收藏用刀具 > 客製化收藏用刀具
gid://shopify/TaxonomyCategory/ae-2-2-4-2-2      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 收藏用刀具 > 收藏用直刀
gid://shopify/TaxonomyCategory/ae-2-2-4-2-3      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 收藏用刀具 > 收藏用折疊刀
gid://shopify/TaxonomyCategory/ae-2-2-4-2-4      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 收藏用刀具 > 收藏用獵刀
gid://shopify/TaxonomyCategory/ae-2-2-4-2-5      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 收藏用刀具 > 收藏用口袋小刀
gid://shopify/TaxonomyCategory/ae-2-2-4-2-6      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 收藏用刀具 > 收藏用戰術刀
gid://shopify/TaxonomyCategory/ae-2-2-4-3        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 劍類收藏品
gid://shopify/TaxonomyCategory/ae-2-2-4-3-1      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 劍類收藏品 > 收藏用歐洲刀劍
gid://shopify/TaxonomyCategory/ae-2-2-4-3-2      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 劍類收藏品 > 收藏用奇幻刀劍
gid://shopify/TaxonomyCategory/ae-2-2-4-3-3      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 劍類收藏品 > 收藏用歷史刀劍
gid://shopify/TaxonomyCategory/ae-2-2-4-3-4      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 劍類收藏品 > 收藏用電影刀劍複製品
gid://shopify/TaxonomyCategory/ae-2-2-4-3-5      : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 劍類收藏品 > 收藏用武士刀
gid://shopify/TaxonomyCategory/ae-2-2-4-4        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 武器收藏品 > 刀劍展示架
gid://shopify/TaxonomyCategory/ae-2-2-12         : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 漫畫書
gid://shopify/TaxonomyCategory/ae-2-2-5          : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 郵票
gid://shopify/TaxonomyCategory/ae-2-2-5-1        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 郵票 > 紀念郵票
gid://shopify/TaxonomyCategory/ae-2-2-5-2        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 郵票 > 通用郵票
gid://shopify/TaxonomyCategory/ae-2-2-5-3        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 郵票 > 首日封
gid://shopify/TaxonomyCategory/ae-2-2-5-4        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 郵票 > 單張郵票
gid://shopify/TaxonomyCategory/ae-2-2-5-6        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 郵票 > 全張郵票
gid://shopify/TaxonomyCategory/ae-2-2-6          : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 石頭/化石
gid://shopify/TaxonomyCategory/ae-2-2-6-1        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 石頭/化石 > 化石
gid://shopify/TaxonomyCategory/ae-2-2-6-2        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 石頭/化石 > 寶石
gid://shopify/TaxonomyCategory/ae-2-2-6-3        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 石頭/化石 > 礦物
gid://shopify/TaxonomyCategory/ae-2-2-6-4        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 石頭/化石 > 石頭
gid://shopify/TaxonomyCategory/ae-2-2-7          : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 等比例模型配件
gid://shopify/TaxonomyCategory/ae-2-2-8          : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 等比例模型
gid://shopify/TaxonomyCategory/ae-2-2-8-1        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 等比例模型 > 飛行器
gid://shopify/TaxonomyCategory/ae-2-2-8-2        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 等比例模型 > 巴士
gid://shopify/TaxonomyCategory/ae-2-2-8-3        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 等比例模型 > 車子
gid://shopify/TaxonomyCategory/ae-2-2-8-4        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 等比例模型 > 恐龍
gid://shopify/TaxonomyCategory/ae-2-2-8-5        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 等比例模型 > 特快機車
gid://shopify/TaxonomyCategory/ae-2-2-8-6        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 等比例模型 > 直升機
gid://shopify/TaxonomyCategory/ae-2-2-8-7        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 等比例模型 > 馬
gid://shopify/TaxonomyCategory/ae-2-2-8-8        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 等比例模型 > 機車
gid://shopify/TaxonomyCategory/ae-2-2-8-9        : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 等比例模型 > 貨運列車
gid://shopify/TaxonomyCategory/ae-2-2-8-10       : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 等比例模型 > 船
gid://shopify/TaxonomyCategory/ae-2-2-8-11       : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 等比例模型 > 太空船
gid://shopify/TaxonomyCategory/ae-2-2-8-12       : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 等比例模型 > 坦克車
gid://shopify/TaxonomyCategory/ae-2-2-8-13       : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 等比例模型 > 火車
gid://shopify/TaxonomyCategory/ae-2-2-8-14       : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 等比例模型 > 卡車
gid://shopify/TaxonomyCategory/ae-2-2-9          : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 封蠟章
gid://shopify/TaxonomyCategory/ae-2-2-10         : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 運動收藏品
gid://shopify/TaxonomyCategory/ae-2-2-10-1       : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 運動收藏品 > 運動加油道具
gid://shopify/TaxonomyCategory/ae-2-2-10-1-1     : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 運動收藏品 > 運動加油道具 > 橫幅
gid://shopify/TaxonomyCategory/ae-2-2-10-1-2     : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 運動收藏品 > 運動加油道具 > 便帽
gid://shopify/TaxonomyCategory/ae-2-2-10-1-3     : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 運動收藏品 > 運動加油道具 > 小雕像
gid://shopify/TaxonomyCategory/ae-2-2-10-1-4     : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 運動收藏品 > 運動加油道具 > 旗子
gid://shopify/TaxonomyCategory/ae-2-2-10-1-5     : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 運動收藏品 > 運動加油道具 > 一般手套
gid://shopify/TaxonomyCategory/ae-2-2-10-1-6     : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 運動收藏品 > 運動加油道具 > 帽子
gid://shopify/TaxonomyCategory/ae-2-2-10-1-7     : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 運動收藏品 > 運動加油道具 > 連帽上衣
gid://shopify/TaxonomyCategory/ae-2-2-10-1-8     : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 運動收藏品 > 運動加油道具 > 球衣
gid://shopify/TaxonomyCategory/ae-2-2-10-1-9     : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 運動收藏品 > 運動加油道具 > 鑰匙圈
gid://shopify/TaxonomyCategory/ae-2-2-10-1-10    : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 運動收藏品 > 運動加油道具 > 別針
gid://shopify/TaxonomyCategory/ae-2-2-10-1-11    : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 運動收藏品 > 運動加油道具 > 海報
gid://shopify/TaxonomyCategory/ae-2-2-10-1-12    : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 運動收藏品 > 運動加油道具 > 圍巾
gid://shopify/TaxonomyCategory/ae-2-2-10-1-14    : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 運動收藏品 > 運動加油道具 > 襪子
gid://shopify/TaxonomyCategory/ae-2-2-10-1-15    : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 運動收藏品 > 運動加油道具 > T 恤
gid://shopify/TaxonomyCategory/ae-2-2-10-1-16    : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 運動收藏品 > 運動加油道具 > 壁貼
gid://shopify/TaxonomyCategory/ae-2-2-11         : 藝術/娛樂 > 嗜好和創作藝術 > 收藏品 > 復古廣告
gid://shopify/TaxonomyCategory/ae-2-3            : 藝術/娛樂 > 嗜好和創作藝術 > 釀酒用品
gid://shopify/TaxonomyCategory/ae-2-3-1          : 藝術/娛樂 > 嗜好和創作藝術 > 釀酒用品 > 啤酒麥芽
gid://shopify/TaxonomyCategory/ae-2-3-1-1        : 藝術/娛樂 > 嗜好和創作藝術 > 釀酒用品 > 啤酒麥芽 > 輔料穀物
gid://shopify/TaxonomyCategory/ae-2-3-1-2        : 藝術/娛樂 > 嗜好和創作藝術 > 釀酒用品 > 啤酒麥芽 > 基礎麥芽
gid://shopify/TaxonomyCategory/ae-2-3-1-3        : 藝術/娛樂 > 嗜好和創作藝術 > 釀酒用品 > 啤酒麥芽 > 深色麥芽
gid://shopify/TaxonomyCategory/ae-2-3-1-4        : 藝術/娛樂 > 嗜好和創作藝術 > 釀酒用品 > 啤酒麥芽 > 特殊麥芽
gid://shopify/TaxonomyCategory/ae-2-3-2          : 藝術/娛樂 > 嗜好和創作藝術 > 釀酒用品 > 空瓶罐
gid://shopify/TaxonomyCategory/ae-2-3-3          : 藝術/娛樂 > 嗜好和創作藝術 > 釀酒用品 > 釀酒製程用具組
gid://shopify/TaxonomyCategory/ae-2-3-3-1        : 藝術/娛樂 > 嗜好和創作藝術 > 釀酒用品 > 釀酒製程用具組 > 啤酒釀造工具包
gid://shopify/TaxonomyCategory/ae-2-3-3-2        : 藝術/娛樂 > 嗜好和創作藝術 > 釀酒用品 > 釀酒製程用具組 > 蜂蜜酒製作工具包
gid://shopify/TaxonomyCategory/ae-2-3-3-3        : 藝術/娛樂 > 嗜好和創作藝術 > 釀酒用品 > 釀酒製程用具組 > 葡萄酒製作工具包
gid://shopify/TaxonomyCategory/ae-2-3-4          : 藝術/娛樂 > 嗜好和創作藝術 > 釀酒用品 > 釀酒機
gid://shopify/TaxonomyCategory/ae-2-3-4-1        : 藝術/娛樂 > 嗜好和創作藝術 > 釀酒用品 > 釀酒機 > 水果酒製作用品
gid://shopify/TaxonomyCategory/ae-2-3-4-2        : 藝術/娛樂 > 嗜好和創作藝術 > 釀酒用品 > 釀酒機 > 紅酒製作用品
gid://shopify/TaxonomyCategory/ae-2-3-4-3        : 藝術/娛樂 > 嗜好和創作藝術 > 釀酒用品 > 釀酒機 > 粉紅酒製作用品
gid://shopify/TaxonomyCategory/ae-2-3-4-4        : 藝術/娛樂 > 嗜好和創作藝術 > 釀酒用品 > 釀酒機 > 白酒製作用品
gid://shopify/TaxonomyCategory/ae-2-4            : 藝術/娛樂 > 嗜好和創作藝術 > 雜技用品
gid://shopify/TaxonomyCategory/ae-2-4-1          : 藝術/娛樂 > 嗜好和創作藝術 > 雜技用品 > 雜技水晶球
gid://shopify/TaxonomyCategory/ae-2-4-2          : 藝術/娛樂 > 嗜好和創作藝術 > 雜技用品 > 惡魔棍
gid://shopify/TaxonomyCategory/ae-2-4-3          : 藝術/娛樂 > 嗜好和創作藝術 > 雜技用品 > 扯鈴
gid://shopify/TaxonomyCategory/ae-2-4-4          : 藝術/娛樂 > 嗜好和創作藝術 > 雜技用品 > 雜技拋球
gid://shopify/TaxonomyCategory/ae-2-4-5          : 藝術/娛樂 > 嗜好和創作藝術 > 雜技用品 > 雜技拋棒
gid://shopify/TaxonomyCategory/ae-2-4-6          : 藝術/娛樂 > 嗜好和創作藝術 > 雜技用品 > 雜技拋環
gid://shopify/TaxonomyCategory/ae-2-4-7          : 藝術/娛樂 > 嗜好和創作藝術 > 雜技用品 > 流星球
gid://shopify/TaxonomyCategory/ae-2-5            : 藝術/娛樂 > 嗜好和創作藝術 > 魔術道具
gid://shopify/TaxonomyCategory/ae-2-6            : 藝術/娛樂 > 嗜好和創作藝術 > 模型製作
gid://shopify/TaxonomyCategory/ae-2-6-1          : 藝術/娛樂 > 嗜好和創作藝術 > 模型製作 > 模型火箭
gid://shopify/TaxonomyCategory/ae-2-6-1-1        : 藝術/娛樂 > 嗜好和創作藝術 > 模型製作 > 模型火箭 > 高功率火箭
gid://shopify/TaxonomyCategory/ae-2-6-1-2        : 藝術/娛樂 > 嗜好和創作藝術 > 模型製作 > 模型火箭 > 多節火箭
gid://shopify/TaxonomyCategory/ae-2-6-1-3        : 藝術/娛樂 > 嗜好和創作藝術 > 模型製作 > 模型火箭 > 單節火箭
gid://shopify/TaxonomyCategory/ae-2-6-1-4        : 藝術/娛樂 > 嗜好和創作藝術 > 模型製作 > 模型火箭 > 水火箭
gid://shopify/TaxonomyCategory/ae-2-6-2          : 藝術/娛樂 > 嗜好和創作藝術 > 模型製作 > 鐵道模型場景組配件
gid://shopify/TaxonomyCategory/ae-2-6-3          : 藝術/娛樂 > 嗜好和創作藝術 > 模型製作 > 鐵道模型場景組
gid://shopify/TaxonomyCategory/ae-2-6-3-1        : 藝術/娛樂 > 嗜好和創作藝術 > 模型製作 > 鐵道模型場景組 > 柴油機車
gid://shopify/TaxonomyCategory/ae-2-6-3-2        : 藝術/娛樂 > 嗜好和創作藝術 > 模型製作 > 鐵道模型場景組 > 電力機車
gid://shopify/TaxonomyCategory/ae-2-6-3-3        : 藝術/娛樂 > 嗜好和創作藝術 > 模型製作 > 鐵道模型場景組 > 貨運火車
gid://shopify/TaxonomyCategory/ae-2-6-3-4        : 藝術/娛樂 > 嗜好和創作藝術 > 模型製作 > 鐵道模型場景組 > 載客列車
gid://shopify/TaxonomyCategory/ae-2-6-3-5        : 藝術/娛樂 > 嗜好和創作藝術 > 模型製作 > 鐵道模型場景組 > 蒸汽機車
gid://shopify/TaxonomyCategory/ae-2-6-4          : 藝術/娛樂 > 嗜好和創作藝術 > 模型製作 > 等比例模型製作工具組
gid://shopify/TaxonomyCategory/ae-2-7            : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件
gid://shopify/TaxonomyCategory/ae-2-7-1          : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件
gid://shopify/TaxonomyCategory/ae-2-7-1-1        : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器清潔保養品
gid://shopify/TaxonomyCategory/ae-2-7-1-1-1      : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器清潔保養品 > 銅管樂器保養組
gid://shopify/TaxonomyCategory/ae-2-7-1-1-2      : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器清潔保養品 > 銅管樂器清潔消毒劑
gid://shopify/TaxonomyCategory/ae-2-7-1-1-2-1    : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器清潔保養品 > 銅管樂器清潔消毒劑 > 內管清潔劑
gid://shopify/TaxonomyCategory/ae-2-7-1-1-2-2    : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器清潔保養品 > 銅管樂器清潔消毒劑 > 消毒噴霧劑
gid://shopify/TaxonomyCategory/ae-2-7-1-1-2-3    : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器清潔保養品 > 銅管樂器清潔消毒劑 > 滑音管清潔劑
gid://shopify/TaxonomyCategory/ae-2-7-1-1-2-4    : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器清潔保養品 > 銅管樂器清潔消毒劑 > 活塞清潔劑
gid://shopify/TaxonomyCategory/ae-2-7-1-1-3      : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器清潔保養品 > 銅管樂器清潔工具
gid://shopify/TaxonomyCategory/ae-2-7-1-1-4      : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器清潔保養品 > 銅管樂器握把
gid://shopify/TaxonomyCategory/ae-2-7-1-1-4-1    : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器清潔保養品 > 銅管樂器握把 > 號嘴護套
gid://shopify/TaxonomyCategory/ae-2-7-1-1-4-2    : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器清潔保養品 > 銅管樂器握把 > 按鍵護套
gid://shopify/TaxonomyCategory/ae-2-7-1-1-4-3    : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器清潔保養品 > 銅管樂器握把 > 滑音管護套
gid://shopify/TaxonomyCategory/ae-2-7-1-1-4-4    : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器清潔保養品 > 銅管樂器握把 > 活塞護套
gid://shopify/TaxonomyCategory/ae-2-7-1-1-5      : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器清潔保養品 > 銅管樂器潤滑油
gid://shopify/TaxonomyCategory/ae-2-7-1-1-6      : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器清潔保養品 > 銅管樂器擦拭布
gid://shopify/TaxonomyCategory/ae-2-7-1-2        : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器盒/袋
gid://shopify/TaxonomyCategory/ae-2-7-1-3        : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器吹嘴
gid://shopify/TaxonomyCategory/ae-2-7-1-4        : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器弱音器
gid://shopify/TaxonomyCategory/ae-2-7-1-4-1      : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器弱音器 > 杯式弱音器
gid://shopify/TaxonomyCategory/ae-2-7-1-4-2      : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器弱音器 > 哈蒙弱音器
gid://shopify/TaxonomyCategory/ae-2-7-1-4-3      : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器弱音器 > 橡膠弱音器
gid://shopify/TaxonomyCategory/ae-2-7-1-4-4      : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器弱音器 > 練習用弱音器
gid://shopify/TaxonomyCategory/ae-2-7-1-4-5      : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器弱音器 > 直式弱音器
gid://shopify/TaxonomyCategory/ae-2-7-1-5        : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器替換零件
gid://shopify/TaxonomyCategory/ae-2-7-1-6        : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 銅管樂器配件 > 銅管樂器繫帶/腳架
gid://shopify/TaxonomyCategory/ae-2-7-2          : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 指揮棒
gid://shopify/TaxonomyCategory/ae-2-7-3          : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 電子調音器
gid://shopify/TaxonomyCategory/ae-2-7-4          : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 節拍器
gid://shopify/TaxonomyCategory/ae-2-7-5          : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 演奏用長椅/座椅
gid://shopify/TaxonomyCategory/ae-2-7-6          : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 豎琴型譜夾/平板樂譜夾
gid://shopify/TaxonomyCategory/ae-2-7-7          : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 樂譜架配件
gid://shopify/TaxonomyCategory/ae-2-7-7-1        : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 樂譜架配件 > 樂譜架收納袋
gid://shopify/TaxonomyCategory/ae-2-7-7-2        : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 樂譜架配件 > 樂譜架用燈
gid://shopify/TaxonomyCategory/ae-2-7-7-3        : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 樂譜架配件 > 樂譜夾
gid://shopify/TaxonomyCategory/ae-2-7-7-3-1      : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 樂譜架配件 > 樂譜夾 > 夾式樂譜夾
gid://shopify/TaxonomyCategory/ae-2-7-7-3-2      : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 樂譜架配件 > 樂譜夾 > 彈性樂譜夾
gid://shopify/TaxonomyCategory/ae-2-7-7-3-3      : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 樂譜架配件 > 樂譜夾 > 磁鐵樂譜夾
gid://shopify/TaxonomyCategory/ae-2-7-7-3-4      : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 樂譜架配件 > 樂譜夾 > 彈簧樂譜夾
gid://shopify/TaxonomyCategory/ae-2-7-8          : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 樂譜架
gid://shopify/TaxonomyCategory/ae-2-7-9          : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 樂器音箱配件
gid://shopify/TaxonomyCategory/ae-2-7-9-1        : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 樂器音箱配件 > 樂器擴大音箱
gid://shopify/TaxonomyCategory/ae-2-7-9-2        : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 樂器音箱配件 > 樂器音箱保護套/盒
gid://shopify/TaxonomyCategory/ae-2-7-9-3        : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 樂器音箱配件 > 樂器音箱踏板
gid://shopify/TaxonomyCategory/ae-2-7-9-4        : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 樂器音箱配件 > 樂器擴大機轉扭
gid://shopify/TaxonomyCategory/ae-2-7-9-5        : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 樂器音箱配件 > 樂器擴大機立架
gid://shopify/TaxonomyCategory/ae-2-7-9-6        : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 樂器音箱配件 > 樂器擴大機真空管
gid://shopify/TaxonomyCategory/ae-2-7-10         : 藝術/娛樂 > 嗜好和創作藝術 > 樂器配件 > 樂器音頻放大器
