# Shopify Product Taxonomy - Attributes: 2026-05
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D 眼鏡配戴設計
gid://shopify/TaxonomyAttribute/1435  : 燈泡規格
gid://shopify/TaxonomyAttribute/2573  : 推土機鏟刀類型
gid://shopify/TaxonomyAttribute/2632  : 防彈等級
gid://shopify/TaxonomyAttribute/3068  : 擴音器特點
gid://shopify/TaxonomyAttribute/2566  : 金銀形式
gid://shopify/TaxonomyAttribute/8110  : 保險桿表面處理
gid://shopify/TaxonomyAttribute/8111  : 保險桿感測器開孔
gid://shopify/TaxonomyAttribute/5632  : 彈簧臂機制
gid://shopify/TaxonomyAttribute/6879  : 雙層床配置
gid://shopify/TaxonomyAttribute/7175  : 浮力
gid://shopify/TaxonomyAttribute/6648  : 包含布基尼件數
gid://shopify/TaxonomyAttribute/7647  : 燃燒速率
gid://shopify/TaxonomyAttribute/5737  : 燃燒器形狀
gid://shopify/TaxonomyAttribute/5738  : 刀盤形狀
gid://shopify/TaxonomyAttribute/9118  : 公車模型類型
gid://shopify/TaxonomyAttribute/6649  : 胸部設計
gid://shopify/TaxonomyAttribute/1292  : 托套材質
gid://shopify/TaxonomyAttribute/7648  : 奶油品種
gid://shopify/TaxonomyAttribute/5739  : 蝴蝶餵食器食物類型
gid://shopify/TaxonomyAttribute/7649  : 酪乳種類
gid://shopify/TaxonomyAttribute/9119  : 按鈕應用
gid://shopify/TaxonomyAttribute/9120  : 鈕扣固定類型
gid://shopify/TaxonomyAttribute/9121  : 鈕扣表面處理
gid://shopify/TaxonomyAttribute/5342  : 按鈕表面輪廓
gid://shopify/TaxonomyAttribute/2295  : 按鈕/箱扣閉合類型
gid://shopify/TaxonomyAttribute/9122  : 扣眼鬆緊帶應用
gid://shopify/TaxonomyAttribute/3123  : 大麻二酚 (CBD) 成分
gid://shopify/TaxonomyAttribute/5770  : CO2 鋼瓶相容性
gid://shopify/TaxonomyAttribute/5771  : CO2 補充需求
gid://shopify/TaxonomyAttribute/8244  : CV 防塵套夾箍類型
gid://shopify/TaxonomyAttribute/8245  : CV 防塵套套件內容
gid://shopify/TaxonomyAttribute/8246  : CV 防塵套材質
gid://shopify/TaxonomyAttribute/8247  : CV 防塵套位置
gid://shopify/TaxonomyAttribute/8112  : 駕駛艙類型
gid://shopify/TaxonomyAttribute/9123  : 鐵沙鈴結構類型
gid://shopify/TaxonomyAttribute/7650  : 高麗菜品種
gid://shopify/TaxonomyAttribute/6880  : 櫥櫃門樣式
gid://shopify/TaxonomyAttribute/5740  : 櫥櫃燈具風格
gid://shopify/TaxonomyAttribute/6881  : 櫥櫃覆蓋類型
gid://shopify/TaxonomyAttribute/1790  : 櫃型
gid://shopify/TaxonomyAttribute/7176  : 纜線端頭類型
gid://shopify/TaxonomyAttribute/5606  : 纜線外型規格
gid://shopify/TaxonomyAttribute/7177  : 內線及外殼線組結構
gid://shopify/TaxonomyAttribute/7178  : 內線及外殼線組內襯類型
gid://shopify/TaxonomyAttribute/2908  : 內線及外殼線組材料
gid://shopify/TaxonomyAttribute/5610  : 纜線外皮等級
gid://shopify/TaxonomyAttribute/6882  : 纜線管理類型
gid://shopify/TaxonomyAttribute/1892  : 電纜屏蔽層
gid://shopify/TaxonomyAttribute/5613  : 纜線樣式
gid://shopify/TaxonomyAttribute/7179  : 線材表面處理
gid://shopify/TaxonomyAttribute/5603  : 束線帶類型
gid://shopify/TaxonomyAttribute/5597  : 電纜槽樣式
gid://shopify/TaxonomyAttribute/1276  : 電纜類型
gid://shopify/TaxonomyAttribute/9124  : 磨圓寶石背面類型
gid://shopify/TaxonomyAttribute/7651  : 可可豆品種
gid://shopify/TaxonomyAttribute/7652  : 可可烘焙程度
gid://shopify/TaxonomyAttribute/5568  : 快取層級
gid://shopify/TaxonomyAttribute/3415  : 咖啡因含量
gid://shopify/TaxonomyAttribute/7180  : 籠套組類型
gid://shopify/TaxonomyAttribute/2720  : 籠型
gid://shopify/TaxonomyAttribute/9125  : 木箱鼓鼓身/鼓肚材質
gid://shopify/TaxonomyAttribute/9126  : 木箱鼓角落控制系統
gid://shopify/TaxonomyAttribute/9127  : 木箱鼓角落/邊緣設計
gid://shopify/TaxonomyAttribute/9128  : 木箱鼓腳座類型
gid://shopify/TaxonomyAttribute/9129  : 木箱鼓響線可調節性
gid://shopify/TaxonomyAttribute/9130  : 木箱鼓響線系統類型
gid://shopify/TaxonomyAttribute/7653  : 蛋糕形狀
gid://shopify/TaxonomyAttribute/7654  : 蛋糕配料
gid://shopify/TaxonomyAttribute/7655  : 蛋糕種類
gid://shopify/TaxonomyAttribute/3368  : 計算機配件類型
gid://shopify/TaxonomyAttribute/3159  : 計算機功能
gid://shopify/TaxonomyAttribute/2238  : 日曆格式
gid://shopify/TaxonomyAttribute/3153  : 行事曆/收納盒功能
gid://shopify/TaxonomyAttribute/5400  : 校準感測器類型
gid://shopify/TaxonomyAttribute/7181  : 卡鉗安裝類型
gid://shopify/TaxonomyAttribute/7182  : 卡鉗安裝標準
gid://shopify/TaxonomyAttribute/5535  : 通話封鎖方式
gid://shopify/TaxonomyAttribute/5520  : 來電顯示相容性
gid://shopify/TaxonomyAttribute/5536  : 來電顯示標準相容性
gid://shopify/TaxonomyAttribute/3390  : 攝影機系統
gid://shopify/TaxonomyAttribute/2018  : 相機高清類型
gid://shopify/TaxonomyAttribute/2006  : 相機配件
gid://shopify/TaxonomyAttribute/2002  : 相機按鈕/旋鈕類型
gid://shopify/TaxonomyAttribute/2000  : 相機控制類型
gid://shopify/TaxonomyAttribute/2017  : 相機顯示技術
gid://shopify/TaxonomyAttribute/3062  : 相機功能
gid://shopify/TaxonomyAttribute/1997  : 相機裝備類型
gid://shopify/TaxonomyAttribute/1979  : 相機鏡頭類型
gid://shopify/TaxonomyAttribute/8113  : 攝影機安裝位置 (車輛外部)
gid://shopify/TaxonomyAttribute/1995  : 相機安裝類型
gid://shopify/TaxonomyAttribute/1998  : 相機感應器類型
gid://shopify/TaxonomyAttribute/1330  : 相機形狀
gid://shopify/TaxonomyAttribute/7183  : 迷彩環境類型
gid://shopify/TaxonomyAttribute/7184  : 露營油品應用
gid://shopify/TaxonomyAttribute/8114  : 凸輪軸結構
gid://shopify/TaxonomyAttribute/8115  : 凸輪軸材質
gid://shopify/TaxonomyAttribute/8116  : 凸輪軸位置
gid://shopify/TaxonomyAttribute/6285  : 蠟燭容器材質
gid://shopify/TaxonomyAttribute/9131  : 包含蠟燭容器類型
gid://shopify/TaxonomyAttribute/9132  : 蠟燭染料形式
gid://shopify/TaxonomyAttribute/9133  : 蠟燭香氛形式
gid://shopify/TaxonomyAttribute/2277  : 蠟燭工具包含有品項
gid://shopify/TaxonomyAttribute/9134  : 蠟燭製作工具類型
gid://shopify/TaxonomyAttribute/2836  : 蠟燭材質
gid://shopify/TaxonomyAttribute/2801  : 蠟燭形狀
gid://shopify/TaxonomyAttribute/2278  : 蠟燭類型
gid://shopify/TaxonomyAttribute/7656  : 糖果質地
gid://shopify/TaxonomyAttribute/7657  : 糖漬方法
gid://shopify/TaxonomyAttribute/5069  : 手杖底座設計
gid://shopify/TaxonomyAttribute/7658  : 肉類罐頭形式
gid://shopify/TaxonomyAttribute/1494  : 肉類罐頭種類
gid://shopify/TaxonomyAttribute/5741  : 罐頭機類型
gid://shopify/TaxonomyAttribute/7185  : 獨木舟結構類型
gid://shopify/TaxonomyAttribute/7186  : 獨木舟船體形狀
gid://shopify/TaxonomyAttribute/7187  : 獨木舟船尾設計
gid://shopify/TaxonomyAttribute/1431  : 頂篷材質
gid://shopify/TaxonomyAttribute/5742  : 遮陽篷形狀
gid://shopify/TaxonomyAttribute/6883  : 遮篷類型
gid://shopify/TaxonomyAttribute/5743  : 遮陽篷通風設計
gid://shopify/TaxonomyAttribute/5432  : 懸臂材料
gid://shopify/TaxonomyAttribute/9135  : 畫布相容媒材
gid://shopify/TaxonomyAttribute/2334  : 帆布飾面
gid://shopify/TaxonomyAttribute/9136  : 畫布格式
gid://shopify/TaxonomyAttribute/2928  : 帆布材質
gid://shopify/TaxonomyAttribute/9137  : 畫布安裝/格式
gid://shopify/TaxonomyAttribute/9138  : 畫布延展框組件類型
gid://shopify/TaxonomyAttribute/9139  : 畫布延展框角落接合類型
gid://shopify/TaxonomyAttribute/9140  : 畫布表面色調
gid://shopify/TaxonomyAttribute/2335  : 帆布紋理
gid://shopify/TaxonomyAttribute/9141  : 畫布編織類型
gid://shopify/TaxonomyAttribute/9142  : 帽子固定樣式
gid://shopify/TaxonomyAttribute/6650  : 帽子結構
gid://shopify/TaxonomyAttribute/9143  : 皇冠帽結構
gid://shopify/TaxonomyAttribute/6651  : 帽子貼合類型
gid://shopify/TaxonomyAttribute/8117  : 蓋子密封類型
gid://shopify/TaxonomyAttribute/6652  : 帽子尺寸
gid://shopify/TaxonomyAttribute/8118  : 帽子類型
gid://shopify/TaxonomyAttribute/5490  : 電容公差
gid://shopify/TaxonomyAttribute/5492  : 電容器應用
gid://shopify/TaxonomyAttribute/5489  : 電容器極性
gid://shopify/TaxonomyAttribute/7659  : 續隨子尺寸等級
gid://shopify/TaxonomyAttribute/9144  : 移調夾夾緊機制
gid://shopify/TaxonomyAttribute/9145  : 移調夾表面處理
gid://shopify/TaxonomyAttribute/9146  : 移調夾貼合類型
gid://shopify/TaxonomyAttribute/9147  : 移調夾墊材質
gid://shopify/TaxonomyAttribute/9148  : 移調夾張力機制
gid://shopify/TaxonomyAttribute/7188  : 捕捉方式
gid://shopify/TaxonomyAttribute/8119  : 電動車轉換工具包馬達類型
gid://shopify/TaxonomyAttribute/5744  : 汽車清潔套裝包含項目
gid://shopify/TaxonomyAttribute/2709  : 汽車清新劑香氣
gid://shopify/TaxonomyAttribute/6378  : 包含汽車遊戲組品項
gid://shopify/TaxonomyAttribute/1742  : 汽車座椅安裝
gid://shopify/TaxonomyAttribute/1743  : 汽車座椅方向
gid://shopify/TaxonomyAttribute/8120  : 洗車精使用方式
gid://shopify/TaxonomyAttribute/2746  : 車型
gid://shopify/TaxonomyAttribute/8121  : 洗車精劑型
gid://shopify/TaxonomyAttribute/8122  : 洗車液香味
gid://shopify/TaxonomyAttribute/1266  : 登山扣閘門類型
gid://shopify/TaxonomyAttribute/2872  : 登山扣形狀
gid://shopify/TaxonomyAttribute/7660  : 氣泡水種類
gid://shopify/TaxonomyAttribute/7661  : 碳酸化程度
gid://shopify/TaxonomyAttribute/5745  : 碳酸化程度調整
gid://shopify/TaxonomyAttribute/8123  : 化油器缸數
gid://shopify/TaxonomyAttribute/8124  : 化油器阻風門類型
gid://shopify/TaxonomyAttribute/8125  : 化油器安裝法蘭類型
gid://shopify/TaxonomyAttribute/2366  : 卡片屬性
gid://shopify/TaxonomyAttribute/6379  : 卡片活頁夾頁面類型
gid://shopify/TaxonomyAttribute/9149  : 卡片盒/卡座類型
gid://shopify/TaxonomyAttribute/2521  : 卡片設計
gid://shopify/TaxonomyAttribute/2517  : 卡片格式
gid://shopify/TaxonomyAttribute/6380  : 卡牌遊戲配件功能
gid://shopify/TaxonomyAttribute/2520  : 卡夾設計
gid://shopify/TaxonomyAttribute/5637  : 卡片介面類型
gid://shopify/TaxonomyAttribute/9150  : 卡片套組類型
gid://shopify/TaxonomyAttribute/5000  : 卡片可否儲值
gid://shopify/TaxonomyAttribute/6381  : 卡套尺寸 / 格式相容性
gid://shopify/TaxonomyAttribute/5534  : 卡片使用狀態
gid://shopify/TaxonomyAttribute/3312  : 卡片/轉接器安裝
gid://shopify/TaxonomyAttribute/9151  : 梳理表面針材質
gid://shopify/TaxonomyAttribute/9152  : 保養耐用度
gid://shopify/TaxonomyAttribute/2336  : 保養說明
gid://shopify/TaxonomyAttribute/9153  : 保養標籤固定類型
gid://shopify/TaxonomyAttribute/9154  : 保養標籤格式
gid://shopify/TaxonomyAttribute/9155  : 保養標籤符號系統
gid://shopify/TaxonomyAttribute/7189  : 載貨區域配置
gid://shopify/TaxonomyAttribute/8126  : 捆貨網可調節性
gid://shopify/TaxonomyAttribute/8127  : 捆貨網位置
gid://shopify/TaxonomyAttribute/8128  : 捆貨網彈性類型
gid://shopify/TaxonomyAttribute/8129  : 捆貨網樣式
gid://shopify/TaxonomyAttribute/8130  : 貨架表面處理
gid://shopify/TaxonomyAttribute/8131  : 地毯清潔劑使用方式
gid://shopify/TaxonomyAttribute/8132  : 載具樣式
gid://shopify/TaxonomyAttribute/7662  : 胡蘿蔔尺寸
gid://shopify/TaxonomyAttribute/7663  : 胡蘿蔔品種
gid://shopify/TaxonomyAttribute/2226  : 攜帶選項
gid://shopify/TaxonomyAttribute/8133  : 承載容量 (對/塊)
gid://shopify/TaxonomyAttribute/1746  : 支撐位置
gid://shopify/TaxonomyAttribute/1984  : 攜帶類型
gid://shopify/TaxonomyAttribute/2597  : 推車設計
gid://shopify/TaxonomyAttribute/2749  : 車型
gid://shopify/TaxonomyAttribute/5373  : 墨匣真偽性
gid://shopify/TaxonomyAttribute/5433  : 唱頭安裝形式
gid://shopify/TaxonomyAttribute/7664  : 卡匣螺紋相容性
gid://shopify/TaxonomyAttribute/1825  : 針匣類型
gid://shopify/TaxonomyAttribute/5376  : 墨匣容量類型
gid://shopify/TaxonomyAttribute/7190  : 盒子容量（槍托×軸) 球桿盒容量 (後節 × 前節)
gid://shopify/TaxonomyAttribute/9156  : 外殼功能
gid://shopify/TaxonomyAttribute/9157  : 盒式加濕器補充包類型
gid://shopify/TaxonomyAttribute/9158  : 外殼內襯材質
gid://shopify/TaxonomyAttribute/6653  : 外殼材質
gid://shopify/TaxonomyAttribute/9159  : 盒內安裝方式
gid://shopify/TaxonomyAttribute/7191  : 盒子結構
gid://shopify/TaxonomyAttribute/9160  : 盒子樣式 (鈸/鼓)
gid://shopify/TaxonomyAttribute/5001  : 保護殼透明度
gid://shopify/TaxonomyAttribute/1798  : 保護殼類型
gid://shopify/TaxonomyAttribute/7192  : 胎體材質
gid://shopify/TaxonomyAttribute/6382  : 賭場套組籌碼材質
gid://shopify/TaxonomyAttribute/6383  : 包含賭場套組佈局
gid://shopify/TaxonomyAttribute/7665  : 桶陳表面處理
gid://shopify/TaxonomyAttribute/7666  : 木薯品種
gid://shopify/TaxonomyAttribute/2691  : 卡式磁帶轉接器類型
gid://shopify/TaxonomyAttribute/7193  : 飛輪座類型
gid://shopify/TaxonomyAttribute/8134  : 卡式錄音座功能組
gid://shopify/TaxonomyAttribute/7194  : 磁帶速度相容性
gid://shopify/TaxonomyAttribute/9161  : 響板外殼尺寸等級
gid://shopify/TaxonomyAttribute/9162  : 包含響板件數
gid://shopify/TaxonomyAttribute/9163  : 響板音高
gid://shopify/TaxonomyAttribute/9164  : 響板類型
gid://shopify/TaxonomyAttribute/6884  : 腳輪類型
gid://shopify/TaxonomyAttribute/6384  : 包含城堡玩具組品項
gid://shopify/TaxonomyAttribute/1699  : 貓咪年齡層
gid://shopify/TaxonomyAttribute/1702  : 貓砂配方
gid://shopify/TaxonomyAttribute/5746  : 催化燃燒器類型
gid://shopify/TaxonomyAttribute/7195  : 包含捕手裝備
gid://shopify/TaxonomyAttribute/7196  : 捕手頭盔樣式
gid://shopify/TaxonomyAttribute/7667  : 牛隻品種
gid://shopify/TaxonomyAttribute/7668  : 花椰菜品種
gid://shopify/TaxonomyAttribute/5747  : 吸頂燈具風格
gid://shopify/TaxonomyAttribute/2320  : 慶祝活動類型
gid://shopify/TaxonomyAttribute/7669  : 芹菜形態
gid://shopify/TaxonomyAttribute/7670  : 芹菜品種
gid://shopify/TaxonomyAttribute/5558  : 行動網路能力
gid://shopify/TaxonomyAttribute/5748  : 中心孔形狀
gid://shopify/TaxonomyAttribute/7671  : 穀物棒質地
gid://shopify/TaxonomyAttribute/7672  : 穀物類型
gid://shopify/TaxonomyAttribute/9165  : 證書邊框樣式
gid://shopify/TaxonomyAttribute/9166  : 證書個人化類型
gid://shopify/TaxonomyAttribute/9167  : 認證服務
gid://shopify/TaxonomyAttribute/8135  : 認證標準
gid://shopify/TaxonomyAttribute/5320  : 子宮頸高度適用性
gid://shopify/TaxonomyAttribute/7197  : 鏈條塗層/表面處理
gid://shopify/TaxonomyAttribute/7198  : 鏈條連接類型
gid://shopify/TaxonomyAttribute/98    : 鏈環類型
gid://shopify/TaxonomyAttribute/7199  : 鏈條層數配置
gid://shopify/TaxonomyAttribute/7200  : 鏈條工具類型
gid://shopify/TaxonomyAttribute/2728  : 鏈條類型
gid://shopify/TaxonomyAttribute/7201  : 齒盤形狀
gid://shopify/TaxonomyAttribute/5749  : 鏈鋸導板安裝類型
gid://shopify/TaxonomyAttribute/5750  : 鏈鋸導板前端類型
gid://shopify/TaxonomyAttribute/5751  : 鏈鋸導板類型
gid://shopify/TaxonomyAttribute/5752  : 鏈鋸刀頭類型
gid://shopify/TaxonomyAttribute/6885  : 包含椅子配件
gid://shopify/TaxonomyAttribute/9168  : 椅背飾帶保養說明
gid://shopify/TaxonomyAttribute/9169  : 椅背飾帶表面處理
gid://shopify/TaxonomyAttribute/6886  : 椅子收納設計
gid://shopify/TaxonomyAttribute/3049  : 椅子/沙發特點
gid://shopify/TaxonomyAttribute/6887  : 躺椅或 L 型沙發方向
gid://shopify/TaxonomyAttribute/2265  : 黑板表面
gid://shopify/TaxonomyAttribute/9170  : 內膛尺寸
gid://shopify/TaxonomyAttribute/5753  : 香檳杯類型
gid://shopify/TaxonomyAttribute/5754  : 吊燈形狀
gid://shopify/TaxonomyAttribute/3035  : 尿布墊/尿布台特點
gid://shopify/TaxonomyAttribute/9171  : 風管指孔間距
gid://shopify/TaxonomyAttribute/9172  : 旋律管類型
gid://shopify/TaxonomyAttribute/5755  : 木炭起火桶功能
gid://shopify/TaxonomyAttribute/5756  : 木炭點火類型
gid://shopify/TaxonomyAttribute/5174  : 活性炭原料
gid://shopify/TaxonomyAttribute/7673  : 牛皮菜品種
gid://shopify/TaxonomyAttribute/5581  : 充電器樣式
gid://shopify/TaxonomyAttribute/2714  : 充電器類型
gid://shopify/TaxonomyAttribute/2682  : 充電線類型
gid://shopify/TaxonomyAttribute/5002  : 充電介面類型
gid://shopify/TaxonomyAttribute/2683  : 充電等級
gid://shopify/TaxonomyAttribute/8136  : 充電埠位置
gid://shopify/TaxonomyAttribute/8137  : 底盤結構類型
gid://shopify/TaxonomyAttribute/1870  : 機箱類型
gid://shopify/TaxonomyAttribute/6654  : 支票簿裝載方向
gid://shopify/TaxonomyAttribute/7202  : 銜鐵頰環樣式
gid://shopify/TaxonomyAttribute/7674  : 仿真乾酪形式
gid://shopify/TaxonomyAttribute/7675  : 起司形式
gid://shopify/TaxonomyAttribute/7676  : 乳酪質地
gid://shopify/TaxonomyAttribute/7677  : 起司種類
gid://shopify/TaxonomyAttribute/2055  : 化學應用
gid://shopify/TaxonomyAttribute/2058  : 化學品容器類型
gid://shopify/TaxonomyAttribute/2611  : 化學等級
gid://shopify/TaxonomyAttribute/2057  : 化學商品形式
gid://shopify/TaxonomyAttribute/2612  : 化學純度
gid://shopify/TaxonomyAttribute/2056  : 化學安全特性
gid://shopify/TaxonomyAttribute/7678  : 祕魯番荔枝品種
gid://shopify/TaxonomyAttribute/7679  : 櫻桃品種
gid://shopify/TaxonomyAttribute/6655  : 胸袋樣式
gid://shopify/TaxonomyAttribute/7680  : 口嚼菸草形式
gid://shopify/TaxonomyAttribute/2552  : 雞飼料發展時期
gid://shopify/TaxonomyAttribute/7681  : 菊苣品種
gid://shopify/TaxonomyAttribute/9173  : 雪紡紗建議用途
gid://shopify/TaxonomyAttribute/7203  : 兒童座椅配件類型
gid://shopify/TaxonomyAttribute/7204  : 兒童座椅安裝類型
gid://shopify/TaxonomyAttribute/2874  : 兒童座椅放置
gid://shopify/TaxonomyAttribute/9174  : 風鈴聲音特性
gid://shopify/TaxonomyAttribute/7205  : 下巴托類型
gid://shopify/TaxonomyAttribute/5208  : 下巴帶樣式
gid://shopify/TaxonomyAttribute/6656  : 下巴帶類型
gid://shopify/TaxonomyAttribute/9175  : 中國鈸邊緣形狀
gid://shopify/TaxonomyAttribute/9176  : 中國鈸聲音特徵
gid://shopify/TaxonomyAttribute/7206  : 下巴帶類型
gid://shopify/TaxonomyAttribute/7682  : 脆片切割樣式
gid://shopify/TaxonomyAttribute/6385  : 籌碼面額
gid://shopify/TaxonomyAttribute/2574  : 粉碎機技術
gid://shopify/TaxonomyAttribute/2596  : 整脊治療床設計
gid://shopify/TaxonomyAttribute/7683  : 巧克力形態
gid://shopify/TaxonomyAttribute/3412  : 巧克力類型
gid://shopify/TaxonomyAttribute/5110  : 測量的膽固醇分析物
gid://shopify/TaxonomyAttribute/5757  : 筷子風格
gid://shopify/TaxonomyAttribute/6286  : 學習筷設計
gid://shopify/TaxonomyAttribute/7684  : 菜心品種
gid://shopify/TaxonomyAttribute/2192  : 卡盤類型
gid://shopify/TaxonomyAttribute/1502  : 雪茄醇度
gid://shopify/TaxonomyAttribute/5758  : 雪茄剪類型
gid://shopify/TaxonomyAttribute/5759  : 雪茄打孔器類型
gid://shopify/TaxonomyAttribute/7685  : 雪茄茄衣顏色
gid://shopify/TaxonomyAttribute/7686  : 香菸濾嘴類型
gid://shopify/TaxonomyAttribute/7687  : 香菸尺寸
gid://shopify/TaxonomyAttribute/7688  : 香菸強度描述
gid://shopify/TaxonomyAttribute/7207  : 馬肚帶襯墊材質
gid://shopify/TaxonomyAttribute/3070  : 電路板特點
gid://shopify/TaxonomyAttribute/2164  : 斷路器設計
gid://shopify/TaxonomyAttribute/2163  : 斷路器面板形式
gid://shopify/TaxonomyAttribute/2165  : 斷路器類型
gid://shopify/TaxonomyAttribute/9177  : 輪針連接線類型
gid://shopify/TaxonomyAttribute/9178  : 輪針針尖材質
gid://shopify/TaxonomyAttribute/9179  : 周長調整機制
gid://shopify/TaxonomyAttribute/7208  : 夾具設計
gid://shopify/TaxonomyAttribute/9180  : 夾式樂譜夾功能
gid://shopify/TaxonomyAttribute/9181  : 夾緊/閉合類型
gid://shopify/TaxonomyAttribute/9182  : 單簧管喇叭口聲學設計
gid://shopify/TaxonomyAttribute/9183  : 單簧管喇叭口調整機制
gid://shopify/TaxonomyAttribute/9184  : 單簧管喇叭口護環材質
gid://shopify/TaxonomyAttribute/9185  : 單簧管喇叭口調音效果
gid://shopify/TaxonomyAttribute/9186  : 單簧管管身類型
gid://shopify/TaxonomyAttribute/9187  : 單簧管管膛類型
gid://shopify/TaxonomyAttribute/9188  : 單簧管吹嘴蓋樣式
gid://shopify/TaxonomyAttribute/9189  : 單簧管保養工具組用途
gid://shopify/TaxonomyAttribute/9190  : 單簧管包含配件
gid://shopify/TaxonomyAttribute/2482  : 單簧管調性系統
gid://shopify/TaxonomyAttribute/9191  : 單簧管按鍵機構材質
gid://shopify/TaxonomyAttribute/9192  : 單簧管按鍵鍍層
gid://shopify/TaxonomyAttribute/9193  : 單簧管吹嘴擋板輪廓
gid://shopify/TaxonomyAttribute/9194  : 單簧管吹嘴喙部形狀
gid://shopify/TaxonomyAttribute/9195  : 單簧管吹嘴內膛尺寸
gid://shopify/TaxonomyAttribute/9196  : 單簧管吹嘴預期音色
gid://shopify/TaxonomyAttribute/9197  : 單簧管吹嘴演奏者程度
gid://shopify/TaxonomyAttribute/9198  : 單簧管簧片裁切方式
gid://shopify/TaxonomyAttribute/9199  : 單簧管簧片材質類型
gid://shopify/TaxonomyAttribute/9200  : 單簧管拇指托類型
gid://shopify/TaxonomyAttribute/108   : 扣環類型
gid://shopify/TaxonomyAttribute/9201  : 古典吉他第 3 弦類型
gid://shopify/TaxonomyAttribute/9202  : 古典吉他低音弦纏繞材質
gid://shopify/TaxonomyAttribute/9203  : 古典吉他弦組配置
gid://shopify/TaxonomyAttribute/1655  : 爪型設計
gid://shopify/TaxonomyAttribute/9204  : 黏土與塑型黏土基材
gid://shopify/TaxonomyAttribute/9205  : 黏土與塑型黏土固化方式
gid://shopify/TaxonomyAttribute/9206  : 黏土可上色性
gid://shopify/TaxonomyAttribute/5760  : 陶鍋材質
gid://shopify/TaxonomyAttribute/9207  : 黏土主要成分
gid://shopify/TaxonomyAttribute/7209  : 飛靶射擊項目
gid://shopify/TaxonomyAttribute/2954  : 黏土/泥漿質地
gid://shopify/TaxonomyAttribute/5761  : 清潔劑濃度
gid://shopify/TaxonomyAttribute/9208  : 清潔劑形式
gid://shopify/TaxonomyAttribute/2735  : 清潔用途
gid://shopify/TaxonomyAttribute/9209  : 清潔劑/消毒劑適用部位
gid://shopify/TaxonomyAttribute/5762  : 清潔布功能
gid://shopify/TaxonomyAttribute/9210  : 清潔配方
gid://shopify/TaxonomyAttribute/1779  : 清潔說明
gid://shopify/TaxonomyAttribute/5381  : 包含的清潔套件組件
gid://shopify/TaxonomyAttribute/5173  : 清潔模式
gid://shopify/TaxonomyAttribute/1387  : 清潔目的
gid://shopify/TaxonomyAttribute/5763  : 清潔液濃度
gid://shopify/TaxonomyAttribute/1378  : 清潔表面
gid://shopify/TaxonomyAttribute/8138  : 清潔重點
gid://shopify/TaxonomyAttribute/5185  : 清潔技術
gid://shopify/TaxonomyAttribute/5140  : 淨化重點
gid://shopify/TaxonomyAttribute/5298  : 清潔劑類型
gid://shopify/TaxonomyAttribute/9211  : 清理方式
gid://shopify/TaxonomyAttribute/9212  : 透明膠水塗抹方式
gid://shopify/TaxonomyAttribute/9213  : 透明膠水乾燥後效果
gid://shopify/TaxonomyAttribute/7210  : 鎖片螺栓孔位
gid://shopify/TaxonomyAttribute/7211  : 卡踏扣片相容性
gid://shopify/TaxonomyAttribute/8139  : 繫纜樁表面處理
gid://shopify/TaxonomyAttribute/7212  : 鞋釘座系統
gid://shopify/TaxonomyAttribute/7213  : 卡踏扣片釋放機制
gid://shopify/TaxonomyAttribute/7214  : 鞋釘柱類型
gid://shopify/TaxonomyAttribute/2733  : 樁型
gid://shopify/TaxonomyAttribute/8140  : 空調控制模組功能
gid://shopify/TaxonomyAttribute/1268  : 攀岩活動
gid://shopify/TaxonomyAttribute/7215  : 攀岩支點安裝類型
gid://shopify/TaxonomyAttribute/7216  : 攀岩點類型
gid://shopify/TaxonomyAttribute/7217  : 攀岩保護裝置類型
gid://shopify/TaxonomyAttribute/7218  : 攀岩繩中點標記
gid://shopify/TaxonomyAttribute/7219  : 攀岩繩處理方式
gid://shopify/TaxonomyAttribute/7220  : 攀岩繩類型
gid://shopify/TaxonomyAttribute/7221  : 攀岩安全認證
gid://shopify/TaxonomyAttribute/9214  : 夾子顏色
gid://shopify/TaxonomyAttribute/6657  : 夾扣機制類型
gid://shopify/TaxonomyAttribute/6658  : 夾扣樣式
gid://shopify/TaxonomyAttribute/2248  : 夾型
gid://shopify/TaxonomyAttribute/7222  : 理髮器馬達技術
gid://shopify/TaxonomyAttribute/5199  : 剪髮器馬達類型
gid://shopify/TaxonomyAttribute/3388  : 剪刀/修剪器類型
gid://shopify/TaxonomyAttribute/5469  : 時鐘和鬧鐘功能
gid://shopify/TaxonomyAttribute/5764  : 時鐘報時旋律
gid://shopify/TaxonomyAttribute/5765  : 時鐘顯示類型
gid://shopify/TaxonomyAttribute/5766  : 鐘針安裝類型
gid://shopify/TaxonomyAttribute/5767  : 鐘針樣式
gid://shopify/TaxonomyAttribute/5768  : 時鐘機芯類型
gid://shopify/TaxonomyAttribute/6888  : 衣櫥配置
gid://shopify/TaxonomyAttribute/6889  : 關閉機制
gid://shopify/TaxonomyAttribute/1442  : 閉合樣式
gid://shopify/TaxonomyAttribute/80    : 閉合類型
gid://shopify/TaxonomyAttribute/7223  : 布料結構
gid://shopify/TaxonomyAttribute/9215  : 布料厚度
gid://shopify/TaxonomyAttribute/5143  : 布料處理
gid://shopify/TaxonomyAttribute/5769  : 衣夾類型
