# Shopify Product Taxonomy - Categories: 9999-13-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Ζώα και προμήθειες για κατοικίδια ζώα
gid://shopify/TaxonomyCategory/aa-1-5-3-2        : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα για κορίτσια > Παιδικά εσώρουχα (μπλουζάκια για κορίτσια) > Εφηβικά σουτιέν
gid://shopify/TaxonomyCategory/aa-1-6            : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα
gid://shopify/TaxonomyCategory/aa-1-6-1          : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Κορμάκια
gid://shopify/TaxonomyCategory/aa-1-6-2          : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Αξεσουάρ για σουτιέν
gid://shopify/TaxonomyCategory/aa-1-6-2-1        : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Αξεσουάρ για σουτιέν > Μαξιλαράκια για σουτιέν
gid://shopify/TaxonomyCategory/aa-1-6-2-2        : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Αξεσουάρ για σουτιέν > Τιράντες & προεκτάσεις σουτιέν
gid://shopify/TaxonomyCategory/aa-1-6-2-3        : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Αξεσουάρ για σουτιέν > Ενισχυτικά μαξιλαράκια στήθους
gid://shopify/TaxonomyCategory/aa-1-6-2-4        : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Αξεσουάρ για σουτιέν > Επιθέματα Στήθους & Καλυπτικά Θηλών
gid://shopify/TaxonomyCategory/aa-1-6-3          : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Σουτιέν
gid://shopify/TaxonomyCategory/aa-1-6-4          : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Μπλουζάκια καμισόλ
gid://shopify/TaxonomyCategory/aa-1-6-6          : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Κάλτσες (Hosiery)
gid://shopify/TaxonomyCategory/aa-1-6-7          : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Jock Straps
gid://shopify/TaxonomyCategory/aa-1-6-8          : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Αξεσουάρ εσωρούχων
gid://shopify/TaxonomyCategory/aa-1-6-8-1        : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Αξεσουάρ εσωρούχων > Ζώνες με ζαρτιέρες
gid://shopify/TaxonomyCategory/aa-1-6-8-2        : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Αξεσουάρ εσωρούχων > Ζαρτιέρες
gid://shopify/TaxonomyCategory/aa-1-6-8-3        : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Αξεσουάρ εσωρούχων > Καλσόν
gid://shopify/TaxonomyCategory/aa-1-6-9          : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Petticoats & Pettipants (Μεσοφόρια)
gid://shopify/TaxonomyCategory/aa-1-6-10         : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Shapewear
gid://shopify/TaxonomyCategory/aa-1-6-10-1       : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Shapewear > Κορμάκια
gid://shopify/TaxonomyCategory/aa-1-6-10-2       : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Shapewear > Ολόσωμα ρούχα
gid://shopify/TaxonomyCategory/aa-1-6-10-3       : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Shapewear > Σλιπ με ψηλή μέση
gid://shopify/TaxonomyCategory/aa-1-6-10-4       : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Shapewear > Κορσέδες μηρών
gid://shopify/TaxonomyCategory/aa-1-6-10-5       : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Shapewear > Ζώνες σύσφιξης μέσης
gid://shopify/TaxonomyCategory/aa-1-6-11         : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Γυναικεία σλιπ
gid://shopify/TaxonomyCategory/aa-1-6-11-1       : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Γυναικεία σλιπ > Μπικίνι
gid://shopify/TaxonomyCategory/aa-1-6-11-2       : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Γυναικεία σλιπ > Αγορίστικα σορτσάκια
gid://shopify/TaxonomyCategory/aa-1-6-11-3       : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Γυναικεία σλιπ > Γυναικεία Briefs
gid://shopify/TaxonomyCategory/aa-1-6-11-4       : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Γυναικεία σλιπ > G-Strings
gid://shopify/TaxonomyCategory/aa-1-6-11-5       : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Γυναικεία σλιπ > Εσώρουχα περιόδου
gid://shopify/TaxonomyCategory/aa-1-6-11-6       : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Γυναικεία σλιπ > Στρινγκ
gid://shopify/TaxonomyCategory/aa-1-6-12         : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Γυναικεία εσώρουχα
gid://shopify/TaxonomyCategory/aa-1-6-13         : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα > Γυναικεία εσώρουχα Σλιπ
gid://shopify/TaxonomyCategory/aa-1-7            : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης
gid://shopify/TaxonomyCategory/aa-1-7-2          : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Φορέματα εγκυμοσύνης
gid://shopify/TaxonomyCategory/aa-1-7-3          : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Ολόσωμες φόρμες εγκυμοσύνης
gid://shopify/TaxonomyCategory/aa-1-7-4          : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Παντελόνια εγκυμοσύνης
gid://shopify/TaxonomyCategory/aa-1-7-4-2        : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Παντελόνια εγκυμοσύνης > Παντελόνια Cargo
gid://shopify/TaxonomyCategory/aa-1-7-4-3        : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Παντελόνια εγκυμοσύνης > Παντελόνια Chinos
gid://shopify/TaxonomyCategory/aa-1-7-4-4        : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Παντελόνια εγκυμοσύνης > Τζιν παντελόνια
gid://shopify/TaxonomyCategory/aa-1-7-4-5        : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Παντελόνια εγκυμοσύνης > Παντελόνια Jeggings
gid://shopify/TaxonomyCategory/aa-1-7-4-7        : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Παντελόνια εγκυμοσύνης > Φόρμες Joggers
gid://shopify/TaxonomyCategory/aa-1-7-4-8        : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Παντελόνια εγκυμοσύνης > Κολάν
gid://shopify/TaxonomyCategory/aa-1-7-4-11       : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Παντελόνια εγκυμοσύνης > Σκορτς
gid://shopify/TaxonomyCategory/aa-1-7-4-12       : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Παντελόνια εγκυμοσύνης > Παντελόνια (Trousers)
gid://shopify/TaxonomyCategory/aa-1-7-5          : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Φούστες εγκυμοσύνης
gid://shopify/TaxonomyCategory/aa-1-7-6          : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Ρούχα ύπνου εγκυμοσύνης
gid://shopify/TaxonomyCategory/aa-1-7-7          : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Μαγιό εγκυμοσύνης
gid://shopify/TaxonomyCategory/aa-1-7-7-4        : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Μαγιό εγκυμοσύνης > Μπουρκίνι
gid://shopify/TaxonomyCategory/aa-1-7-7-5        : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Μαγιό εγκυμοσύνης > Κλασικά μπικίνι
gid://shopify/TaxonomyCategory/aa-1-7-7-6        : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Μαγιό εγκυμοσύνης > Ρούχα παραλίας
gid://shopify/TaxonomyCategory/aa-1-7-7-20       : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Μαγιό εγκυμοσύνης > Ολόσωμα μαγιό
gid://shopify/TaxonomyCategory/aa-1-7-7-2        : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Μαγιό εγκυμοσύνης > Αθλητικά μαγιό Swim Boxers
gid://shopify/TaxonomyCategory/aa-1-7-7-14       : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Μαγιό εγκυμοσύνης > Φορέματα μαγιό
gid://shopify/TaxonomyCategory/aa-1-7-7-21       : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Μαγιό εγκυμοσύνης > Τοπ για κολύμβηση
gid://shopify/TaxonomyCategory/aa-1-7-8          : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Μπλουζάκια εγκυμοσύνης
gid://shopify/TaxonomyCategory/aa-1-7-8-1        : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Μπλουζάκια εγκυμοσύνης > Μπλούζες
gid://shopify/TaxonomyCategory/aa-1-7-8-2        : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Μπλουζάκια εγκυμοσύνης > Κορμάκια
gid://shopify/TaxonomyCategory/aa-1-7-8-3        : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Μπλουζάκια εγκυμοσύνης > Ζακέτες
gid://shopify/TaxonomyCategory/aa-1-7-8-4        : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Μπλουζάκια εγκυμοσύνης > Μπλούζες θηλασμού
gid://shopify/TaxonomyCategory/aa-1-7-8-5        : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Μπλουζάκια εγκυμοσύνης > Εξωτερικά πουκάμισα
gid://shopify/TaxonomyCategory/aa-1-7-8-7        : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Μπλουζάκια εγκυμοσύνης > Πουκάμισα
gid://shopify/TaxonomyCategory/aa-1-7-8-8        : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Μπλουζάκια εγκυμοσύνης > Κοντομάνικα μπλουζάκια
gid://shopify/TaxonomyCategory/aa-1-7-8-11       : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Μπλουζάκια εγκυμοσύνης > Τούνικ
gid://shopify/TaxonomyCategory/aa-1-7-1          : Ένδυση & αξεσουάρ > Ενδύματα > Ρούχα εγκυμοσύνης > Σουτιέν θηλασμού
gid://shopify/TaxonomyCategory/aa-1-8            : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα για άνδρες
gid://shopify/TaxonomyCategory/aa-1-8-1          : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα για άνδρες > Ανδρικά μακριά εσώρουχα
gid://shopify/TaxonomyCategory/aa-1-8-2          : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα για άνδρες > Ανδρικά εσώρουχα μπλουζάκια
gid://shopify/TaxonomyCategory/aa-1-8-3          : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα για άνδρες > Ανδρικά εσώρουχα
gid://shopify/TaxonomyCategory/aa-1-8-3-2        : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα για άνδρες > Ανδρικά εσώρουχα > Μπόξερ Briefs (σλιπ)
gid://shopify/TaxonomyCategory/aa-1-8-3-3        : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα για άνδρες > Ανδρικά εσώρουχα > Σλιπ τύπου μποξέρ
gid://shopify/TaxonomyCategory/aa-1-8-3-4        : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα για άνδρες > Ανδρικά εσώρουχα > Ανδρικά Briefs
gid://shopify/TaxonomyCategory/aa-1-8-3-5        : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα για άνδρες > Ανδρικά εσώρουχα > Ανδρικά Jockstraps
gid://shopify/TaxonomyCategory/aa-1-8-3-6        : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα για άνδρες > Ανδρικά εσώρουχα > Εσώρουχα Midway Briefs
gid://shopify/TaxonomyCategory/aa-1-8-3-7        : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα για άνδρες > Ανδρικά εσώρουχα > Στρινγκ
gid://shopify/TaxonomyCategory/aa-1-8-3-8        : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα για άνδρες > Ανδρικά εσώρουχα > Κοντά μποξεράκια (Trunks)
gid://shopify/TaxonomyCategory/aa-1-8-3-9        : Ένδυση & αξεσουάρ > Ενδύματα > Εσώρουχα για άνδρες > Ανδρικά εσώρουχα > Εσώρουχα σορτς
gid://shopify/TaxonomyCategory/aa-1-9            : Ένδυση & αξεσουάρ > Ενδύματα > Ολόσωμα εσώρουχα
gid://shopify/TaxonomyCategory/aa-1-10           : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια
gid://shopify/TaxonomyCategory/aa-1-10-1         : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Τσαπς
gid://shopify/TaxonomyCategory/aa-1-10-2         : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παλτό & μπουφάν
gid://shopify/TaxonomyCategory/aa-1-10-2-1       : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παλτό & μπουφάν > Μπολερό
gid://shopify/TaxonomyCategory/aa-1-10-2-2       : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παλτό & μπουφάν > Bomber Jackets
gid://shopify/TaxonomyCategory/aa-1-10-2-3       : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παλτό & μπουφάν > Κάπες
gid://shopify/TaxonomyCategory/aa-1-10-2-5       : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παλτό & μπουφάν > Πανωφόρια
gid://shopify/TaxonomyCategory/aa-1-10-2-6       : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παλτό & μπουφάν > Μπουφάν παρκά
gid://shopify/TaxonomyCategory/aa-1-10-2-7       : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παλτό & μπουφάν > Παλτό Peacoat
gid://shopify/TaxonomyCategory/aa-1-10-2-8       : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παλτό & μπουφάν > Πόντσο
gid://shopify/TaxonomyCategory/aa-1-10-2-9       : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παλτό & μπουφάν > Μπουφάν Puffer
gid://shopify/TaxonomyCategory/aa-1-10-2-10      : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παλτό & μπουφάν > Παλτό βροχής
gid://shopify/TaxonomyCategory/aa-1-10-2-11      : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παλτό & μπουφάν > Αθλητικά μπουφάν
gid://shopify/TaxonomyCategory/aa-1-10-2-12      : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παλτό & μπουφάν > Αθλητικές ζακέτες
gid://shopify/TaxonomyCategory/aa-1-10-2-13      : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παλτό & μπουφάν > Καμπαρντίνες
gid://shopify/TaxonomyCategory/aa-1-10-2-14      : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παλτό & μπουφάν > Μπουφάν Trucker
gid://shopify/TaxonomyCategory/aa-1-10-2-15      : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παλτό & μπουφάν > Μπουφάν Varsity
gid://shopify/TaxonomyCategory/aa-1-10-2-16      : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παλτό & μπουφάν > Αντιανεμικά
gid://shopify/TaxonomyCategory/aa-1-10-2-17      : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παλτό & μπουφάν > Παλτό Wrap Coats
gid://shopify/TaxonomyCategory/aa-1-10-7         : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Ενδύματα προστασίας για αναβάτες μοτοσικλέτας
gid://shopify/TaxonomyCategory/aa-1-10-3         : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παντελόνια βροχής
gid://shopify/TaxonomyCategory/aa-1-10-4         : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Κοστούμια βροχής
gid://shopify/TaxonomyCategory/aa-1-10-5         : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Παντελόνια & κοστούμια χιονιού
gid://shopify/TaxonomyCategory/aa-1-10-6         : Ένδυση & αξεσουάρ > Ενδύματα > Εξωτερικά ενδύματα/Πανωφόρια > Γιλέκα
gid://shopify/TaxonomyCategory/aa-1-11           : Ένδυση & αξεσουάρ > Ενδύματα > Σετ ενδυμάτων
gid://shopify/TaxonomyCategory/aa-1-12           : Ένδυση & αξεσουάρ > Ενδύματα > Παντελόνια Pants
gid://shopify/TaxonomyCategory/aa-1-12-2         : Ένδυση & αξεσουάρ > Ενδύματα > Παντελόνια Pants > Παντελόνια Cargo (Cargo Pants)
gid://shopify/TaxonomyCategory/aa-1-12-3         : Ένδυση & αξεσουάρ > Ενδύματα > Παντελόνια Pants > Παντελόνια Chinos
gid://shopify/TaxonomyCategory/aa-1-12-4         : Ένδυση & αξεσουάρ > Ενδύματα > Παντελόνια Pants > Τζιν παντελόνια
gid://shopify/TaxonomyCategory/aa-1-12-5         : Ένδυση & αξεσουάρ > Ενδύματα > Παντελόνια Pants > Παντελόνια Jeggings
gid://shopify/TaxonomyCategory/aa-1-12-7         : Ένδυση & αξεσουάρ > Ενδύματα > Παντελόνια Pants > Φόρμες Joggers
gid://shopify/TaxonomyCategory/aa-1-12-8         : Ένδυση & αξεσουάρ > Ενδύματα > Παντελόνια Pants > Κολάν
gid://shopify/TaxonomyCategory/aa-1-12-11        : Ένδυση & αξεσουάρ > Ενδύματα > Παντελόνια Pants > Παντελόνια (Trousers)
gid://shopify/TaxonomyCategory/aa-1-14           : Ένδυση & αξεσουάρ > Ενδύματα > Σορτς
gid://shopify/TaxonomyCategory/aa-1-14-1         : Ένδυση & αξεσουάρ > Ενδύματα > Σορτς > Βερμούδες
gid://shopify/TaxonomyCategory/aa-1-14-2         : Ένδυση & αξεσουάρ > Ενδύματα > Σορτς > Βερμούδες με τσέπες
gid://shopify/TaxonomyCategory/aa-1-14-3         : Ένδυση & αξεσουάρ > Ενδύματα > Σορτς > Βερμούδες Chino
gid://shopify/TaxonomyCategory/aa-1-14-5         : Ένδυση & αξεσουάρ > Ενδύματα > Σορτς > Τζιν βερμούδες
gid://shopify/TaxonomyCategory/aa-1-14-6         : Ένδυση & αξεσουάρ > Ενδύματα > Σορτς > Ελαστικά σορτς τζιν
gid://shopify/TaxonomyCategory/aa-1-14-7         : Ένδυση & αξεσουάρ > Ενδύματα > Σορτς > Σορτς Jogger
gid://shopify/TaxonomyCategory/aa-1-14-8         : Ένδυση & αξεσουάρ > Ενδύματα > Σορτς > Κοντά κολάν
gid://shopify/TaxonomyCategory/aa-1-14-4         : Ένδυση & αξεσουάρ > Ενδύματα > Σορτς > Κοντά παντελόνια
gid://shopify/TaxonomyCategory/aa-1-15           : Ένδυση & αξεσουάρ > Ενδύματα > Φούστες
gid://shopify/TaxonomyCategory/aa-1-16           : Ένδυση & αξεσουάρ > Ενδύματα > Σκορτς
gid://shopify/TaxonomyCategory/aa-1-17           : Ένδυση & αξεσουάρ > Ενδύματα > Ενδύματα ύπνου & άνετα ρούχα για το σπίτι
gid://shopify/TaxonomyCategory/aa-1-17-1         : Ένδυση & αξεσουάρ > Ενδύματα > Ενδύματα ύπνου & άνετα ρούχα για το σπίτι > Μακριά εσώρουχα
gid://shopify/TaxonomyCategory/aa-1-17-2         : Ένδυση & αξεσουάρ > Ενδύματα > Ενδύματα ύπνου & άνετα ρούχα για το σπίτι > Άνετα ρούχα για το σπίτι
gid://shopify/TaxonomyCategory/aa-1-17-2-1       : Ένδυση & αξεσουάρ > Ενδύματα > Ενδύματα ύπνου & άνετα ρούχα για το σπίτι > Άνετα ρούχα για το σπίτι > Άνετα παντελόνια για το σπίτι
gid://shopify/TaxonomyCategory/aa-1-17-2-1-1     : Ένδυση & αξεσουάρ > Ενδύματα > Ενδύματα ύπνου & άνετα ρούχα για το σπίτι > Άνετα ρούχα για το σπίτι > Άνετα παντελόνια για το σπίτι > Μπόξεράκια
gid://shopify/TaxonomyCategory/aa-1-17-2-1-2     : Ένδυση & αξεσουάρ > Ενδύματα > Ενδύματα ύπνου & άνετα ρούχα για το σπίτι > Άνετα ρούχα για το σπίτι > Άνετα παντελόνια για το σπίτι > Φόρμες Joggers
gid://shopify/TaxonomyCategory/aa-1-17-2-1-3     : Ένδυση & αξεσουάρ > Ενδύματα > Ενδύματα ύπνου & άνετα ρούχα για το σπίτι > Άνετα ρούχα για το σπίτι > Άνετα παντελόνια για το σπίτι > Κολάν
gid://shopify/TaxonomyCategory/aa-1-17-2-1-4     : Ένδυση & αξεσουάρ > Ενδύματα > Ενδύματα ύπνου & άνετα ρούχα για το σπίτι > Άνετα ρούχα για το σπίτι > Άνετα παντελόνια για το σπίτι > Σορτς
gid://shopify/TaxonomyCategory/aa-1-17-2-1-5     : Ένδυση & αξεσουάρ > Ενδύματα > Ενδύματα ύπνου & άνετα ρούχα για το σπίτι > Άνετα ρούχα για το σπίτι > Άνετα παντελόνια για το σπίτι > Φούστες
gid://shopify/TaxonomyCategory/aa-1-17-2-2       : Ένδυση & αξεσουάρ > Ενδύματα > Ενδύματα ύπνου & άνετα ρούχα για το σπίτι > Άνετα ρούχα για το σπίτι > Άνετα μπλουζάκια για το σπίτι
gid://shopify/TaxonomyCategory/aa-1-17-3         : Ένδυση & αξεσουάρ > Ενδύματα > Ενδύματα ύπνου & άνετα ρούχα για το σπίτι > Νυχτικά
gid://shopify/TaxonomyCategory/aa-1-17-6         : Ένδυση & αξεσουάρ > Ενδύματα > Ενδύματα ύπνου & άνετα ρούχα για το σπίτι > Ολόσωμες πιτζάμες
gid://shopify/TaxonomyCategory/aa-1-17-4         : Ένδυση & αξεσουάρ > Ενδύματα > Ενδύματα ύπνου & άνετα ρούχα για το σπίτι > Πιτζάμες
gid://shopify/TaxonomyCategory/aa-1-17-5         : Ένδυση & αξεσουάρ > Ενδύματα > Ενδύματα ύπνου & άνετα ρούχα για το σπίτι > Ρόμπες
gid://shopify/TaxonomyCategory/aa-1-18           : Ένδυση & αξεσουάρ > Ενδύματα > Κάλτσες
gid://shopify/TaxonomyCategory/aa-1-18-1         : Ένδυση & αξεσουάρ > Ενδύματα > Κάλτσες > Κοντές κάλτσες σοσόνια
gid://shopify/TaxonomyCategory/aa-1-18-2         : Ένδυση & αξεσουάρ > Ενδύματα > Κάλτσες > Αθλητικές κάλτσες
gid://shopify/TaxonomyCategory/aa-1-18-3         : Ένδυση & αξεσουάρ > Ενδύματα > Κάλτσες > Κάλτσες Crew
gid://shopify/TaxonomyCategory/aa-1-18-4         : Ένδυση & αξεσουάρ > Ενδύματα > Κάλτσες > Κάλτσες χορού
gid://shopify/TaxonomyCategory/aa-1-18-5         : Ένδυση & αξεσουάρ > Ενδύματα > Κάλτσες > Αόρατες κάλτσες
gid://shopify/TaxonomyCategory/aa-1-18-6         : Ένδυση & αξεσουάρ > Ενδύματα > Κάλτσες > Καλύμματα πτέρνας
gid://shopify/TaxonomyCategory/aa-1-18-7         : Ένδυση & αξεσουάρ > Ενδύματα > Κάλτσες > Κάλτσες Hold Up
gid://shopify/TaxonomyCategory/aa-1-18-8         : Ένδυση & αξεσουάρ > Ενδύματα > Κάλτσες > Κάλτσες μέχρι το γόνατο
gid://shopify/TaxonomyCategory/aa-1-18-9         : Ένδυση & αξεσουάρ > Ενδύματα > Κάλτσες > Είδη καλτσών ή καλσόν
gid://shopify/TaxonomyCategory/aa-1-18-10        : Ένδυση & αξεσουάρ > Ενδύματα > Κάλτσες > Κάλτσες Sneaker για αθλητικά παπούτσια
gid://shopify/TaxonomyCategory/aa-1-19           : Ένδυση & αξεσουάρ > Ενδύματα > Κοστούμια (Suits)
gid://shopify/TaxonomyCategory/aa-1-19-1         : Ένδυση & αξεσουάρ > Ενδύματα > Κοστούμια (Suits) > Κοστούμια με παντελόνι
gid://shopify/TaxonomyCategory/aa-1-19-2         : Ένδυση & αξεσουάρ > Ενδύματα > Κοστούμια (Suits) > Ταγιέρ
gid://shopify/TaxonomyCategory/aa-1-19-3         : Ένδυση & αξεσουάρ > Ενδύματα > Κοστούμια (Suits) > Σμόκιν
gid://shopify/TaxonomyCategory/aa-1-20           : Ένδυση & αξεσουάρ > Ενδύματα > Μαγιό
gid://shopify/TaxonomyCategory/aa-1-20-2         : Ένδυση & αξεσουάρ > Ενδύματα > Μαγιό > Μαγιό σορτς
gid://shopify/TaxonomyCategory/aa-1-20-5         : Ένδυση & αξεσουάρ > Ενδύματα > Μαγιό > Μπουρκίνι
gid://shopify/TaxonomyCategory/aa-1-20-6         : Ένδυση & αξεσουάρ > Ενδύματα > Μαγιό > Κλασικά μπικίνι
gid://shopify/TaxonomyCategory/aa-1-20-7         : Ένδυση & αξεσουάρ > Ενδύματα > Μαγιό > Ρούχα παραλίας
gid://shopify/TaxonomyCategory/aa-1-20-22        : Ένδυση & αξεσουάρ > Ενδύματα > Μαγιό > Ολόσωμα μαγιό
gid://shopify/TaxonomyCategory/aa-1-20-12        : Ένδυση & αξεσουάρ > Ενδύματα > Μαγιό > Ρούχα Rash Guards
gid://shopify/TaxonomyCategory/aa-1-20-23        : Ένδυση & αξεσουάρ > Ενδύματα > Μαγιό > Μπλούζες για σέρφινγκ
gid://shopify/TaxonomyCategory/aa-1-20-3         : Ένδυση & αξεσουάρ > Ενδύματα > Μαγιό > Αθλητικά μαγιό Swim Boxers
gid://shopify/TaxonomyCategory/aa-1-20-4         : Ένδυση & αξεσουάρ > Ενδύματα > Μαγιό > Μαγιό σλιπ
