# Shopify Product Taxonomy - Categories: 2099-01
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Artigos para animais e animais estimação
gid://shopify/TaxonomyCategory/ae-2-6-3-2        : Artes e lazer > Passatempos e artes criativas > Modelismo > Conjunto de comboio e modelos de comboio > Locomotivas elétricas
gid://shopify/TaxonomyCategory/ae-2-6-3-3        : Artes e lazer > Passatempos e artes criativas > Modelismo > Conjunto de comboio e modelos de comboio > Comboios de carga
gid://shopify/TaxonomyCategory/ae-2-6-3-4        : Artes e lazer > Passatempos e artes criativas > Modelismo > Conjunto de comboio e modelos de comboio > Comboios de passageiros
gid://shopify/TaxonomyCategory/ae-2-6-3-5        : Artes e lazer > Passatempos e artes criativas > Modelismo > Conjunto de comboio e modelos de comboio > Locomotivas a vapor
gid://shopify/TaxonomyCategory/ae-2-6-4          : Artes e lazer > Passatempos e artes criativas > Modelismo > Kits de modelo à escala
gid://shopify/TaxonomyCategory/ae-2-7            : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra
gid://shopify/TaxonomyCategory/ae-2-7-1          : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro
gid://shopify/TaxonomyCategory/ae-2-7-1-1        : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Limpeza e cuidado de instrumentos de sopro
gid://shopify/TaxonomyCategory/ae-2-7-1-1-1      : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Limpeza e cuidado de instrumentos de sopro > Kits de cuidado de instrumentos de sopro
gid://shopify/TaxonomyCategory/ae-2-7-1-1-2      : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Limpeza e cuidado de instrumentos de sopro > Produtos de higiene e limpeza de instrumentos de sopro
gid://shopify/TaxonomyCategory/ae-2-7-1-1-2-1    : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Limpeza e cuidado de instrumentos de sopro > Produtos de higiene e limpeza de instrumentos de sopro > Produtos de limpeza para tubos de instrumentos
gid://shopify/TaxonomyCategory/ae-2-7-1-1-2-2    : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Limpeza e cuidado de instrumentos de sopro > Produtos de higiene e limpeza de instrumentos de sopro > Sprays desinfetantes
gid://shopify/TaxonomyCategory/ae-2-7-1-1-2-3    : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Limpeza e cuidado de instrumentos de sopro > Produtos de higiene e limpeza de instrumentos de sopro > Produtos de limpeza para braço da vara
gid://shopify/TaxonomyCategory/ae-2-7-1-1-2-4    : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Limpeza e cuidado de instrumentos de sopro > Produtos de higiene e limpeza de instrumentos de sopro > Produtos de limpeza para válvulas
gid://shopify/TaxonomyCategory/ae-2-7-1-1-3      : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Limpeza e cuidado de instrumentos de sopro > Ferramentas de limpeza de instrumentos de sopro
gid://shopify/TaxonomyCategory/ae-2-7-1-1-4      : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Limpeza e cuidado de instrumentos de sopro > Proteções de instrumentos de sopro
gid://shopify/TaxonomyCategory/ae-2-7-1-1-4-1    : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Limpeza e cuidado de instrumentos de sopro > Proteções de instrumentos de sopro > Proteções de campana
gid://shopify/TaxonomyCategory/ae-2-7-1-1-4-2    : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Limpeza e cuidado de instrumentos de sopro > Proteções de instrumentos de sopro > Proteções de botões
gid://shopify/TaxonomyCategory/ae-2-7-1-1-4-3    : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Limpeza e cuidado de instrumentos de sopro > Proteções de instrumentos de sopro > Proteções de braço de vara
gid://shopify/TaxonomyCategory/ae-2-7-1-1-4-4    : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Limpeza e cuidado de instrumentos de sopro > Proteções de instrumentos de sopro > Proteções de válvula
gid://shopify/TaxonomyCategory/ae-2-7-1-1-5      : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Limpeza e cuidado de instrumentos de sopro > Lubrificantes de instrumentos de sopro
gid://shopify/TaxonomyCategory/ae-2-7-1-1-6      : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Limpeza e cuidado de instrumentos de sopro > Panos de polimento de instrumentos de sopro
gid://shopify/TaxonomyCategory/ae-2-7-1-2        : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Sacos e estojos para instrumentos de sopro
gid://shopify/TaxonomyCategory/ae-2-7-1-3        : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Boquilhas de instrumentos de sopro
gid://shopify/TaxonomyCategory/ae-2-7-1-4        : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Surdinas de instrumentos de sopro
gid://shopify/TaxonomyCategory/ae-2-7-1-4-1      : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Surdinas de instrumentos de sopro > Surdinas cup
gid://shopify/TaxonomyCategory/ae-2-7-1-4-2      : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Surdinas de instrumentos de sopro > Surdinas harmon
gid://shopify/TaxonomyCategory/ae-2-7-1-4-3      : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Surdinas de instrumentos de sopro > Surdinas plunger
gid://shopify/TaxonomyCategory/ae-2-7-1-4-4      : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Surdinas de instrumentos de sopro > Surdinas de ensaio
gid://shopify/TaxonomyCategory/ae-2-7-1-4-5      : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Surdinas de instrumentos de sopro > Surdinas retas
gid://shopify/TaxonomyCategory/ae-2-7-1-5        : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Peças de substituição de instrumentos de sopro
gid://shopify/TaxonomyCategory/ae-2-7-1-6        : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de sopro > Alças e suportes de instrumentos de sopro
gid://shopify/TaxonomyCategory/ae-2-7-2          : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Batutas
gid://shopify/TaxonomyCategory/ae-2-7-3          : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Sintonizadores eletrónicos
gid://shopify/TaxonomyCategory/ae-2-7-4          : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Metrónomos
gid://shopify/TaxonomyCategory/ae-2-7-5          : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Bancos e cadeiras de música
gid://shopify/TaxonomyCategory/ae-2-7-6          : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Pastas de partituras e letras de músicas
gid://shopify/TaxonomyCategory/ae-2-7-7          : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios para suportes de música
gid://shopify/TaxonomyCategory/ae-2-7-7-1        : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios para suportes de música > Sacos para suportes de música
gid://shopify/TaxonomyCategory/ae-2-7-7-2        : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios para suportes de música > Luzes para suportes de música
gid://shopify/TaxonomyCategory/ae-2-7-7-3        : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios para suportes de música > Clipes para partituras musicais
gid://shopify/TaxonomyCategory/ae-2-7-7-3-1      : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios para suportes de música > Clipes para partituras musicais > Clipes com grampos para partituras musicais
gid://shopify/TaxonomyCategory/ae-2-7-7-3-2      : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios para suportes de música > Clipes para partituras musicais > Clipes com elásticos para partituras musicais
gid://shopify/TaxonomyCategory/ae-2-7-7-3-3      : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios para suportes de música > Clipes para partituras musicais > Clipes magnéticos para partituras musicais
gid://shopify/TaxonomyCategory/ae-2-7-7-3-4      : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios para suportes de música > Clipes para partituras musicais > Clipes com molas para partituras musicais
gid://shopify/TaxonomyCategory/ae-2-7-8          : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Suportes de música
gid://shopify/TaxonomyCategory/ae-2-7-9          : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de amplificador de instrumento musical
gid://shopify/TaxonomyCategory/ae-2-7-9-1        : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de amplificador de instrumento musical > Cabines de amplificador de instrumento musical
gid://shopify/TaxonomyCategory/ae-2-7-9-2        : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de amplificador de instrumento musical > Estojos e proteções de amplificador de instrumento musical
gid://shopify/TaxonomyCategory/ae-2-7-9-3        : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de amplificador de instrumento musical > Interruptores de pé de amplificador de instrumento musical
gid://shopify/TaxonomyCategory/ae-2-7-9-4        : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de amplificador de instrumento musical > Botões de amplificador de instrumento musical
gid://shopify/TaxonomyCategory/ae-2-7-9-5        : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de amplificador de instrumento musical > Suportes de amplificador de instrumento musical
gid://shopify/TaxonomyCategory/ae-2-7-9-6        : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de amplificador de instrumento musical > Tubos de amplificador de instrumento musical
gid://shopify/TaxonomyCategory/ae-2-7-10         : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Amplificadores de instrumento musical
gid://shopify/TaxonomyCategory/ae-2-7-10-1       : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Amplificadores de instrumento musical > Amplificadores acústicos
gid://shopify/TaxonomyCategory/ae-2-7-10-2       : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Amplificadores de instrumento musical > Amplificadores de baixo
gid://shopify/TaxonomyCategory/ae-2-7-10-3       : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Amplificadores de instrumento musical > Amplificadores de guitarra
gid://shopify/TaxonomyCategory/ae-2-7-10-4       : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Amplificadores de instrumento musical > Amplificadores de teclado
gid://shopify/TaxonomyCategory/ae-2-7-11         : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de teclado musical
gid://shopify/TaxonomyCategory/ae-2-7-11-1       : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de teclado musical > Sacos e estojos de teclado musical
gid://shopify/TaxonomyCategory/ae-2-7-11-1-1     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de teclado musical > Sacos e estojos de teclado musical > Gigbags de teclado musical
gid://shopify/TaxonomyCategory/ae-2-7-11-1-2     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de teclado musical > Sacos e estojos de teclado musical > Estojos rígidos de teclado musical
gid://shopify/TaxonomyCategory/ae-2-7-11-1-3     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de teclado musical > Sacos e estojos de teclado musical > Estojos de enrolar para teclado musical
gid://shopify/TaxonomyCategory/ae-2-7-11-1-4     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de teclado musical > Sacos e estojos de teclado musical > Estojos macios de teclado musical
gid://shopify/TaxonomyCategory/ae-2-7-11-2       : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de teclado musical > Suportes de teclado musical
gid://shopify/TaxonomyCategory/ae-2-7-11-2-1     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de teclado musical > Suportes de teclado musical > Suportes de colunas
gid://shopify/TaxonomyCategory/ae-2-7-11-2-2     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de teclado musical > Suportes de teclado musical > Suportes duplos
gid://shopify/TaxonomyCategory/ae-2-7-11-2-3     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de teclado musical > Suportes de teclado musical > Suportes individuais
gid://shopify/TaxonomyCategory/ae-2-7-11-2-4     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de teclado musical > Suportes de teclado musical > Suportes em X
gid://shopify/TaxonomyCategory/ae-2-7-11-2-5     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de teclado musical > Suportes de teclado musical > Suportes em Z
gid://shopify/TaxonomyCategory/ae-2-7-11-3       : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de teclado musical > Pedais de sustentação
gid://shopify/TaxonomyCategory/ae-2-7-11-3-1     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de teclado musical > Pedais de sustentação > Amortecedor
gid://shopify/TaxonomyCategory/ae-2-7-11-3-2     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de teclado musical > Pedais de sustentação > De sustentação
gid://shopify/TaxonomyCategory/ae-2-7-12         : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão
gid://shopify/TaxonomyCategory/ae-2-7-12-1       : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Estojos de bateria e címbalo
gid://shopify/TaxonomyCategory/ae-2-7-12-1-1     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Estojos de bateria e címbalo > Estojos de címbalo e bateria
gid://shopify/TaxonomyCategory/ae-2-7-12-1-2     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Estojos de bateria e címbalo > Estojos de tambor e címbalo para avião
gid://shopify/TaxonomyCategory/ae-2-7-12-1-3     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Estojos de bateria e címbalo > Estojos de tambor e címbalo individuais
gid://shopify/TaxonomyCategory/ae-2-7-12-2       : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Surdinas de bateria e címbalo
gid://shopify/TaxonomyCategory/ae-2-7-12-2-1     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Surdinas de bateria e címbalo > Surdinas de címbalo
gid://shopify/TaxonomyCategory/ae-2-7-12-2-2     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Surdinas de bateria e címbalo > Surdinas de tambor
gid://shopify/TaxonomyCategory/ae-2-7-12-3       : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Peles de bateria
gid://shopify/TaxonomyCategory/ae-2-7-12-3-1     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Peles de bateria > Peles de tambor baixo
gid://shopify/TaxonomyCategory/ae-2-7-12-3-2     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Peles de bateria > Peles de tambor Snare
gid://shopify/TaxonomyCategory/ae-2-7-12-3-3     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Peles de bateria > Peles de tambor Tom
gid://shopify/TaxonomyCategory/ae-2-7-12-4       : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Chaves de bateria
gid://shopify/TaxonomyCategory/ae-2-7-12-4-1     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Chaves de bateria > Chaves de tensão de bateria
gid://shopify/TaxonomyCategory/ae-2-7-12-5       : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Equipamento de kit de bateria
gid://shopify/TaxonomyCategory/ae-2-7-12-5-1     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Equipamento de kit de bateria > Macetas de bombo
gid://shopify/TaxonomyCategory/ae-2-7-12-5-2     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Equipamento de kit de bateria > Equipamento de montagem de kit de bateria
gid://shopify/TaxonomyCategory/ae-2-7-12-5-2-1   : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Equipamento de kit de bateria > Equipamento de montagem de kit de bateria > Grampos para bateria
gid://shopify/TaxonomyCategory/ae-2-7-12-5-2-2   : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Equipamento de kit de bateria > Equipamento de montagem de kit de bateria > Braços de címbalo
gid://shopify/TaxonomyCategory/ae-2-7-12-5-2-3   : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Equipamento de kit de bateria > Equipamento de montagem de kit de bateria > Multigrampos
gid://shopify/TaxonomyCategory/ae-2-7-12-5-2-4   : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Equipamento de kit de bateria > Equipamento de montagem de kit de bateria > Sistemas de suporte
gid://shopify/TaxonomyCategory/ae-2-7-12-5-2-5   : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Equipamento de kit de bateria > Equipamento de montagem de kit de bateria > Suportes Tom
gid://shopify/TaxonomyCategory/ae-2-7-12-5-3     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Equipamento de kit de bateria > Pedais de bateria
gid://shopify/TaxonomyCategory/ae-2-7-12-5-3-1   : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Equipamento de kit de bateria > Pedais de bateria > Acionadores de correia
gid://shopify/TaxonomyCategory/ae-2-7-12-5-3-2   : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Equipamento de kit de bateria > Pedais de bateria > Acionadores de corrente
gid://shopify/TaxonomyCategory/ae-2-7-12-5-3-3   : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Equipamento de kit de bateria > Pedais de bateria > Acionadores diretos
gid://shopify/TaxonomyCategory/ae-2-7-12-5-3-4   : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Equipamento de kit de bateria > Pedais de bateria > Pedais de bateria duplos
gid://shopify/TaxonomyCategory/ae-2-7-12-5-3-5   : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Equipamento de kit de bateria > Pedais de bateria > Pedais de bateria individuais
gid://shopify/TaxonomyCategory/ae-2-7-12-6       : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Acessórios de baqueta e vassoura para bateria
gid://shopify/TaxonomyCategory/ae-2-7-12-6-1     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Acessórios de baqueta e vassoura para bateria > Sacos e suportes de baqueta e vassoura para bateria
gid://shopify/TaxonomyCategory/ae-2-7-12-7       : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Baquetas e vassouras para bateria
gid://shopify/TaxonomyCategory/ae-2-7-12-7-1     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Baquetas e vassouras para bateria > Vassouras para bateria
gid://shopify/TaxonomyCategory/ae-2-7-12-7-2     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Baquetas e vassouras para bateria > Baquetas
gid://shopify/TaxonomyCategory/ae-2-7-12-8       : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Módulos de bateria eletrónica
gid://shopify/TaxonomyCategory/ae-2-7-12-8-1     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Módulos de bateria eletrónica > Módulos de controlo
gid://shopify/TaxonomyCategory/ae-2-7-12-8-2     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Módulos de bateria eletrónica > Módulos de som
gid://shopify/TaxonomyCategory/ae-2-7-12-8-3     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Módulos de bateria eletrónica > Módulos de gatilho
gid://shopify/TaxonomyCategory/ae-2-7-12-9       : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Acessórios de percussão manual
gid://shopify/TaxonomyCategory/ae-2-7-12-9-1     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Acessórios de percussão manual > Sacos e estojos de percussão manual
gid://shopify/TaxonomyCategory/ae-2-7-12-9-2     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Acessórios de percussão manual > Suportes e apoios de percussão manual
gid://shopify/TaxonomyCategory/ae-2-7-12-9-2-1   : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Acessórios de percussão manual > Suportes e apoios de percussão manual > Suportes de percussão manual
gid://shopify/TaxonomyCategory/ae-2-7-12-9-2-2   : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Acessórios de percussão manual > Suportes e apoios de percussão manual > Cavaletes de percussão manual
gid://shopify/TaxonomyCategory/ae-2-7-12-9-2-3   : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Acessórios de percussão manual > Suportes e apoios de percussão manual > Suportes de conjuntos de percussão manual
gid://shopify/TaxonomyCategory/ae-2-7-12-9-2-4   : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Acessórios de percussão manual > Suportes e apoios de percussão manual > Suportes para percussão manual
gid://shopify/TaxonomyCategory/ae-2-7-12-10      : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Maletas de percussão
gid://shopify/TaxonomyCategory/ae-2-7-12-11      : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Suportes de percussão
gid://shopify/TaxonomyCategory/ae-2-7-12-11-1    : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de percussão > Suportes de percussão > Suportes de conjuntos de percussão
gid://shopify/TaxonomyCategory/ae-2-7-13         : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de cordas
gid://shopify/TaxonomyCategory/ae-2-7-13-1       : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de cordas > Acessórios de guitarra
gid://shopify/TaxonomyCategory/ae-2-7-13-1-1     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de cordas > Acessórios de guitarra > Captadores pickups de guitarra acústica
gid://shopify/TaxonomyCategory/ae-2-7-13-1-2     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de cordas > Acessórios de guitarra > Transpositores
gid://shopify/TaxonomyCategory/ae-2-7-13-1-2-1   : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de cordas > Acessórios de guitarra > Transpositores > Capos grampo
gid://shopify/TaxonomyCategory/ae-2-7-13-1-2-2   : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de cordas > Acessórios de guitarra > Transpositores > Capos parciais
gid://shopify/TaxonomyCategory/ae-2-7-13-1-2-3   : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de cordas > Acessórios de guitarra > Transpositores > Capos deslizantes
gid://shopify/TaxonomyCategory/ae-2-7-13-1-2-4   : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de cordas > Acessórios de guitarra > Transpositores > Capos de gatilho
gid://shopify/TaxonomyCategory/ae-2-7-13-1-3     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de cordas > Acessórios de guitarra > Captadores pickups de guitarra elétrica
gid://shopify/TaxonomyCategory/ae-2-7-13-1-4     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de cordas > Acessórios de guitarra > Gigbags e estojos para guitarra
gid://shopify/TaxonomyCategory/ae-2-7-13-1-5     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de cordas > Acessórios de guitarra > Encaixes e peças de guitarra
gid://shopify/TaxonomyCategory/ae-2-7-13-1-6     : Artes e lazer > Passatempos e artes criativas > Acessórios de instrumentos musicais e orquestra > Acessórios de instrumentos de cordas > Acessórios de guitarra > Humidificadores de guitarra
