# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-briller passformdesign
gid://shopify/TaxonomyAttribute/5812  : Kompostform
gid://shopify/TaxonomyAttribute/5813  : Kompostkildemateriale
gid://shopify/TaxonomyAttribute/5458  : Kompresjonskrets type
gid://shopify/TaxonomyAttribute/1966  : Kompresjonsformat
gid://shopify/TaxonomyAttribute/1595  : Kompresjonsnivå
gid://shopify/TaxonomyAttribute/5814  : Komprimeringsmetode
gid://shopify/TaxonomyAttribute/1897  : Inkludert datamaskintilbehør
gid://shopify/TaxonomyAttribute/1871  : Datamaskinskjema
gid://shopify/TaxonomyAttribute/3078  : Dataserverfunksjoner
gid://shopify/TaxonomyAttribute/3077  : Dataspesialiserte funksjoner
gid://shopify/TaxonomyAttribute/7707  : Konsentrasjonsnivå
gid://shopify/TaxonomyAttribute/8209  : Konsentrasjonstype
gid://shopify/TaxonomyAttribute/9297  : Stativ for montering av konsertbasstromme
gid://shopify/TaxonomyAttribute/9298  : Standard for konserttone
gid://shopify/TaxonomyAttribute/2463  : Konfigurasjon av konsertinaknapp
gid://shopify/TaxonomyAttribute/7708  : Krydderform
gid://shopify/TaxonomyAttribute/7709  : Kryddertekstur
gid://shopify/TaxonomyAttribute/2360  : Betingelse
gid://shopify/TaxonomyAttribute/1652  : Balsameffekt
gid://shopify/TaxonomyAttribute/5194  : Kondomkompatibilitet
gid://shopify/TaxonomyAttribute/5113  : Kondompassform
gid://shopify/TaxonomyAttribute/1557  : Type kondom
gid://shopify/TaxonomyAttribute/5114  : Ledningsevne gel anvendelse
gid://shopify/TaxonomyAttribute/5481  : Leder kjernetype
gid://shopify/TaxonomyAttribute/9299  : Konfettiformat
gid://shopify/TaxonomyAttribute/9300  : Conga-hodestrammingssystem
gid://shopify/TaxonomyAttribute/9301  : Conga-sett inkludert trommetyper
gid://shopify/TaxonomyAttribute/2144  : Koblingstråd
gid://shopify/TaxonomyAttribute/2028  : Tilkoblingsmetode
gid://shopify/TaxonomyAttribute/1811  : Tilkoblingstype
gid://shopify/TaxonomyAttribute/1272  : Tilkoblingsteknologi
gid://shopify/TaxonomyAttribute/5485  : Tilkoblingstype
gid://shopify/TaxonomyAttribute/5561  : Kontakttype 1
gid://shopify/TaxonomyAttribute/5560  : Kontakttype 2
gid://shopify/TaxonomyAttribute/8210  : Kobling i eske-stil
gid://shopify/TaxonomyAttribute/5550  : Kontaktbelegg på kontakt
gid://shopify/TaxonomyAttribute/2129  : Koblingsdesign
gid://shopify/TaxonomyAttribute/1830  : Koblingskjønn
gid://shopify/TaxonomyAttribute/5549  : Kontaktmonteringsstil
gid://shopify/TaxonomyAttribute/5551  : Kontaktorientering
gid://shopify/TaxonomyAttribute/5650  : Kontaktposisjon
gid://shopify/TaxonomyAttribute/5480  : Kontakt type
gid://shopify/TaxonomyAttribute/5421  : Konsolltilbehør inkludert
gid://shopify/TaxonomyAttribute/8211  : Monteringsmetode for konsolldeksel
gid://shopify/TaxonomyAttribute/7295  : Konsollskjermtype
gid://shopify/TaxonomyAttribute/1969  : Konsollsystem
gid://shopify/TaxonomyAttribute/5422  : Konsolltype
gid://shopify/TaxonomyAttribute/1629  : Konstitutive ingredienser
gid://shopify/TaxonomyAttribute/5678  : Byggevarer
gid://shopify/TaxonomyAttribute/7296  : Konstruksjonsdesign
gid://shopify/TaxonomyAttribute/2770  : Byggesett-tema
gid://shopify/TaxonomyAttribute/7297  : Kontaktvinkel
gid://shopify/TaxonomyAttribute/9302  : Kontakt sjongleringsball fylltype
gid://shopify/TaxonomyAttribute/9303  : Gjennomsiktighet av kontaktjongleringsball
gid://shopify/TaxonomyAttribute/5216  : Inkludert tilbehør til kontaktlinseetui
gid://shopify/TaxonomyAttribute/5217  : Kontaktlinseetuifunksjoner
gid://shopify/TaxonomyAttribute/5221  : Kontaktlinsemateriale
gid://shopify/TaxonomyAttribute/5578  : Kontaktmateriale
gid://shopify/TaxonomyAttribute/9304  : Materiale på kontaktoverflate
gid://shopify/TaxonomyAttribute/7710  : Beholdermateriale
gid://shopify/TaxonomyAttribute/7298  : Fjerning av forurensninger
gid://shopify/TaxonomyAttribute/9305  : Kontra-alt klarinett kroppskonfigurasjon
gid://shopify/TaxonomyAttribute/9306  : Kontra-alt klarinett laveste noteutvidelse
gid://shopify/TaxonomyAttribute/9307  : Kontrabassklarinettklokketype
gid://shopify/TaxonomyAttribute/9308  : Hullype for kontrabass-klarinett
gid://shopify/TaxonomyAttribute/9309  : Laveste nominelle note for kontrabass-klarinett
gid://shopify/TaxonomyAttribute/1990  : Kontrast
gid://shopify/TaxonomyAttribute/1955  : Kontrastforhold (typisk)
gid://shopify/TaxonomyAttribute/8212  : Materiale for kontrollarmforing
gid://shopify/TaxonomyAttribute/8213  : Kontrollarmforinger inkludert
gid://shopify/TaxonomyAttribute/8214  : Kontrollarmfinish
gid://shopify/TaxonomyAttribute/8215  : Smørenippeltype for kontrollarm
gid://shopify/TaxonomyAttribute/8216  : Materiale for kontrollarm
gid://shopify/TaxonomyAttribute/8217  : Kontrollarmposisjon
gid://shopify/TaxonomyAttribute/8218  : Kontrollarmstil
gid://shopify/TaxonomyAttribute/8219  : Kontrollkabelkoblingstype
gid://shopify/TaxonomyAttribute/2413  : Kontrollfunksjoner
gid://shopify/TaxonomyAttribute/5456  : Kontrollgrensesnitt
gid://shopify/TaxonomyAttribute/2558  : Kontrollmetode
gid://shopify/TaxonomyAttribute/5101  : Kontrollløsningsnivå
gid://shopify/TaxonomyAttribute/1359  : Kontrollteknologi
gid://shopify/TaxonomyAttribute/1331  : Kontrolltype
gid://shopify/TaxonomyAttribute/9310  : Kontrollspenning eller gate-tilkobling
gid://shopify/TaxonomyAttribute/2556  : Kontrollerdesign
gid://shopify/TaxonomyAttribute/2559  : Drivtype for kontroller
gid://shopify/TaxonomyAttribute/7299  : Kontrollerfunksjon
gid://shopify/TaxonomyAttribute/8220  : Kontrollertype
gid://shopify/TaxonomyAttribute/5539  : Konverteringsretning
gid://shopify/TaxonomyAttribute/8221  : Konvertering/veksling innstilling kjølemetode
gid://shopify/TaxonomyAttribute/8222  : Installasjonskompleksitet for konvertering/veksling
gid://shopify/TaxonomyAttribute/6894  : Størrelse på ombygd seng
gid://shopify/TaxonomyAttribute/1986  : Konverterfunksjonalitet
gid://shopify/TaxonomyAttribute/6895  : Konvertibel konfigurasjon
gid://shopify/TaxonomyAttribute/6896  : Konvertible moduser for barnestol
gid://shopify/TaxonomyAttribute/2584  : Transportørdrift
gid://shopify/TaxonomyAttribute/7711  : Inkludert settgjenstander for kjeksdekorasjon
gid://shopify/TaxonomyAttribute/7712  : Kjeksvariasjon
gid://shopify/TaxonomyAttribute/4049  : Kokeområder
gid://shopify/TaxonomyAttribute/5815  : Base for drivstoffgel til matlaging
gid://shopify/TaxonomyAttribute/1493  : Matlagingsmetode
gid://shopify/TaxonomyAttribute/7713  : Koketilstand
gid://shopify/TaxonomyAttribute/5816  : Tekstur på matlagingsoverflaten
gid://shopify/TaxonomyAttribute/5817  : Design av matlagingstermometer
gid://shopify/TaxonomyAttribute/1487  : Matvin-variant
gid://shopify/TaxonomyAttribute/5818  : Beleggmateriale for kokekar
gid://shopify/TaxonomyAttribute/5819  : Type belegg for kokekar
gid://shopify/TaxonomyAttribute/3361  : Stekeartikler medfølger
gid://shopify/TaxonomyAttribute/5820  : Stil på lokk for kokekar
gid://shopify/TaxonomyAttribute/3147  : Steke-/bakeutstyrsfunksjoner
gid://shopify/TaxonomyAttribute/2811  : Steke-/bakeutstyrsmateriale
gid://shopify/TaxonomyAttribute/8223  : Formål med kjølevæsketilsetning
gid://shopify/TaxonomyAttribute/8224  : Kjølevæske-basevæske
gid://shopify/TaxonomyAttribute/8225  : Kjølevæskeutløp forbindelsesstil
gid://shopify/TaxonomyAttribute/8226  : Kjølevæskeutløpshalsvinkel
gid://shopify/TaxonomyAttribute/8227  : Kjølevæsketeknologi
gid://shopify/TaxonomyAttribute/8228  : Sensorport for kjølevæsketemperatur
gid://shopify/TaxonomyAttribute/8229  : Forseglingstype for kjølevæsketemperatursensor
gid://shopify/TaxonomyAttribute/5821  : Kjøleboks-stil
gid://shopify/TaxonomyAttribute/8230  : Kjølesystemkomponent inkludert
gid://shopify/TaxonomyAttribute/8231  : Trinn for spyling av kjølesystemapp
gid://shopify/TaxonomyAttribute/8232  : Type kjølesystem
gid://shopify/TaxonomyAttribute/1872  : Kjøleteknologi
gid://shopify/TaxonomyAttribute/2118  : Kabelfestesystem
gid://shopify/TaxonomyAttribute/9311  : Materiale i snor
gid://shopify/TaxonomyAttribute/5003  : Frekvensbånd for trådløs telefon
gid://shopify/TaxonomyAttribute/9312  : Kjernetype (bassstyrke)
gid://shopify/TaxonomyAttribute/9313  : Korkfettbasert materiale
gid://shopify/TaxonomyAttribute/9314  : Korkfettform
gid://shopify/TaxonomyAttribute/5822  : Korketrekkertilbehør inkludert
gid://shopify/TaxonomyAttribute/5823  : Korketrekker-hengseltype
gid://shopify/TaxonomyAttribute/5824  : Inkluderte korketrekkerverktøy
gid://shopify/TaxonomyAttribute/7714  : Maispresentasjon
gid://shopify/TaxonomyAttribute/7715  : Maissirup-variant
gid://shopify/TaxonomyAttribute/7716  : Maisvariant
gid://shopify/TaxonomyAttribute/7300  : Hjørnekompatibilitet
gid://shopify/TaxonomyAttribute/7301  : Funksjoner på hjørneflagg
gid://shopify/TaxonomyAttribute/9315  : Kornettmunnstykkes skafttype
gid://shopify/TaxonomyAttribute/7302  : Cornhole-ligasertifisering
gid://shopify/TaxonomyAttribute/3155  : Korrigeringsfunksjoner
gid://shopify/TaxonomyAttribute/8233  : Korrosjonsmotstand
gid://shopify/TaxonomyAttribute/8234  : Korrosjonsmotstandsnivå
gid://shopify/TaxonomyAttribute/2494  : Corsage/Boutonni√®re-design
gid://shopify/TaxonomyAttribute/1857  : Kosmetisk tilstand
gid://shopify/TaxonomyAttribute/1614  : Kosmetisk finish
gid://shopify/TaxonomyAttribute/1630  : Kosmetisk funksjon
gid://shopify/TaxonomyAttribute/5242  : Kosmetikksettype
gid://shopify/TaxonomyAttribute/6663  : Kostymekomponenter inkludert
gid://shopify/TaxonomyAttribute/2564  : Kostymetema
gid://shopify/TaxonomyAttribute/5303  : Bomullsballstørrelse
gid://shopify/TaxonomyAttribute/9316  : Bomullsvevtype
gid://shopify/TaxonomyAttribute/2577  : Benkeutforming
gid://shopify/TaxonomyAttribute/7303  : Benketype
gid://shopify/TaxonomyAttribute/7304  : Motvektsfyllmateriale
gid://shopify/TaxonomyAttribute/7305  : Motvektstype
gid://shopify/TaxonomyAttribute/2364  : Country
gid://shopify/TaxonomyAttribute/9317  : Koblingssystem
gid://shopify/TaxonomyAttribute/7306  : Egnethet for baneoverflaten
gid://shopify/TaxonomyAttribute/1784  : Utforming på teppelukking
gid://shopify/TaxonomyAttribute/3012  : Dekselfunksjoner
gid://shopify/TaxonomyAttribute/7307  : Passform-stil for deksel
gid://shopify/TaxonomyAttribute/8235  : Dekseltilpasningstype
gid://shopify/TaxonomyAttribute/1341  : Dekkmateriale
gid://shopify/TaxonomyAttribute/2707  : Bokomslagstype
gid://shopify/TaxonomyAttribute/5261  : Dekkenivå
gid://shopify/TaxonomyAttribute/2659  : Dekningsområde
gid://shopify/TaxonomyAttribute/9318  : Kuklokkeslagertype
gid://shopify/TaxonomyAttribute/9319  : Monteringsmetode for kubjelle
gid://shopify/TaxonomyAttribute/9320  : Lydkarakter for kubjelle
gid://shopify/TaxonomyAttribute/6897  : Vuggekapasitet
gid://shopify/TaxonomyAttribute/9321  : Bruk av håndverk/pregemaskin
gid://shopify/TaxonomyAttribute/3277  : Hobbykutter/pregetype
gid://shopify/TaxonomyAttribute/9322  : Håndarbeidslagertilbehør inkludert
gid://shopify/TaxonomyAttribute/3278  : Hobbydekorasjonsmakertype
gid://shopify/TaxonomyAttribute/9323  : Bruksmetode for produkt
gid://shopify/TaxonomyAttribute/9324  : Håndverk
gid://shopify/TaxonomyAttribute/9325  : Hobbylim-finish
gid://shopify/TaxonomyAttribute/2345  : Hobbyknivblad
gid://shopify/TaxonomyAttribute/9326  : Bruk av håndverksmagneter
gid://shopify/TaxonomyAttribute/9327  : Holdestyrkenivå produkt
gid://shopify/TaxonomyAttribute/9328  : Oppbevaringsfunksjoner for produkt
gid://shopify/TaxonomyAttribute/3273  : Piperenserdesign
gid://shopify/TaxonomyAttribute/2321  : Kunstprosjekttype
gid://shopify/TaxonomyAttribute/9329  : Håndverkspoengbrett inkludert tilbehør
gid://shopify/TaxonomyAttribute/9330  : Målesystem for poengtavler
gid://shopify/TaxonomyAttribute/9331  : Finish/belegg av produkt
gid://shopify/TaxonomyAttribute/9332  : Forberedelse av overflaten på produkt
gid://shopify/TaxonomyAttribute/2329  : Prosjekttype for håndverk/skulptering
gid://shopify/TaxonomyAttribute/3015  : Håndverksramme/bårefunksjoner
gid://shopify/TaxonomyAttribute/3013  : Håndverksmatte-/putefunksjoner
gid://shopify/TaxonomyAttribute/2873  : Broddfestetype
gid://shopify/TaxonomyAttribute/7308  : Veivspindelgrensesnitt
gid://shopify/TaxonomyAttribute/8236  : Veivaksel balansetype
gid://shopify/TaxonomyAttribute/8237  : Veivakselboltmønster
gid://shopify/TaxonomyAttribute/8238  : Veivakselsensor reluktortype
gid://shopify/TaxonomyAttribute/6395  : Inkludert terningtilbehør
gid://shopify/TaxonomyAttribute/9333  : Profil for krasjcymbal
gid://shopify/TaxonomyAttribute/9334  : Lydkarakter for crash-symbal
gid://shopify/TaxonomyAttribute/7309  : Størrelsesklasse for krasjputer
gid://shopify/TaxonomyAttribute/8239  : Kassemotor monteringsnivå
gid://shopify/TaxonomyAttribute/7717  : Ingrediens i krembasen
gid://shopify/TaxonomyAttribute/7718  : Kremostbase
gid://shopify/TaxonomyAttribute/7719  : Format for kremost
gid://shopify/TaxonomyAttribute/7720  : Kremvariant
gid://shopify/TaxonomyAttribute/5131  : Kreatintype
gid://shopify/TaxonomyAttribute/2293  : Kreativ kunstprosjekttype
gid://shopify/TaxonomyAttribute/6898  : Funksjoner for barneseng-tilbehør
gid://shopify/TaxonomyAttribute/6899  : Funksjoner på sprinkelsengens støtfanger
gid://shopify/TaxonomyAttribute/6900  : Komponenter i konverteringssett for barneseng
gid://shopify/TaxonomyAttribute/3104  : Funksjoner for vugger og barnesenger
gid://shopify/TaxonomyAttribute/7310  : Cricketballkvalitet
gid://shopify/TaxonomyAttribute/7311  : Konstruksjon av cricketballstykke
gid://shopify/TaxonomyAttribute/7312  : Type cricketball
gid://shopify/TaxonomyAttribute/7313  : Type cricketkølletilbehør
gid://shopify/TaxonomyAttribute/7314  : Størrelse på cricketkølle
gid://shopify/TaxonomyAttribute/7315  : Kompatibilitet for cricketkøllestørrelse
gid://shopify/TaxonomyAttribute/2849  : Cricketutstyr inkludert
gid://shopify/TaxonomyAttribute/7316  : Rulle til crickethjelm
gid://shopify/TaxonomyAttribute/7317  : Type benbeskytter for cricket
gid://shopify/TaxonomyAttribute/7318  : Cricketspillerrolle
gid://shopify/TaxonomyAttribute/7319  : Cricketbeskyttelsesgrad
gid://shopify/TaxonomyAttribute/7320  : Sokkeltype for cricketstolpe
gid://shopify/TaxonomyAttribute/7321  : Funksjoner for cricketstubbemål
gid://shopify/TaxonomyAttribute/7322  : Cricketstubbetype
gid://shopify/TaxonomyAttribute/7323  : Fokus for crickettrening
gid://shopify/TaxonomyAttribute/7324  : Inkluderte komponenter i krokketsett
gid://shopify/TaxonomyAttribute/9335  : Symboltype for korsstingdiagram
gid://shopify/TaxonomyAttribute/9336  : Type korsstingsbehandling
gid://shopify/TaxonomyAttribute/9340  : Teknikk for korsstingmønster
gid://shopify/TaxonomyAttribute/7325  : Kryssende bindingssystem
gid://shopify/TaxonomyAttribute/9337  : Stoffholdermekanismens ramme
gid://shopify/TaxonomyAttribute/9338  : Inkluderte komponenter i rammen
gid://shopify/TaxonomyAttribute/9339  : Ramme for korssting
gid://shopify/TaxonomyAttribute/8240  : Former/profil
gid://shopify/TaxonomyAttribute/7326  : Tverrstangstil
gid://shopify/TaxonomyAttribute/7327  : Armbrøsttype
gid://shopify/TaxonomyAttribute/8241  : Delefeltkomponenttype
gid://shopify/TaxonomyAttribute/8242  : Overgangskonfigurasjon–
gid://shopify/TaxonomyAttribute/8243  : Delefiltertype
gid://shopify/TaxonomyAttribute/6664  : Kroneprofil
gid://shopify/TaxonomyAttribute/6665  : Kronestil
gid://shopify/TaxonomyAttribute/5825  : Knusemetode
gid://shopify/TaxonomyAttribute/5826  : Bruningsnivå for skorpe
gid://shopify/TaxonomyAttribute/7721  : Skorpens smak
gid://shopify/TaxonomyAttribute/5072  : Krykkesammenbrettingstype
gid://shopify/TaxonomyAttribute/1589  : Krykketype
gid://shopify/TaxonomyAttribute/9341  : Krystallfinish
gid://shopify/TaxonomyAttribute/6666  : Krystallmateriale
gid://shopify/TaxonomyAttribute/2375  : Krystallsystem
gid://shopify/TaxonomyAttribute/9342  : Krystallinsk finishstil
gid://shopify/TaxonomyAttribute/7722  : Agurkvariant
gid://shopify/TaxonomyAttribute/7328  : Kompatibilitet for biljardkø
gid://shopify/TaxonomyAttribute/7329  : Konstruksjon i biljardkø
gid://shopify/TaxonomyAttribute/7330  : Materiale i biljardkø-hode
gid://shopify/TaxonomyAttribute/7331  : Kompatibilitet med køsport
gid://shopify/TaxonomyAttribute/1239  : Køstil
gid://shopify/TaxonomyAttribute/7332  : Størrelse på tråden
gid://shopify/TaxonomyAttribute/7333  : Hardhet på køspissen
gid://shopify/TaxonomyAttribute/1240  : Køtype
gid://shopify/TaxonomyAttribute/1241  : Køtrekk
gid://shopify/TaxonomyAttribute/5105  : Mansjettilkoblingstype
gid://shopify/TaxonomyAttribute/7334  : Mansjetthøyde
gid://shopify/TaxonomyAttribute/7335  : Mansjettposisjon
gid://shopify/TaxonomyAttribute/5104  : Mansjettsstørrelseskategori
gid://shopify/TaxonomyAttribute/5071  : Manchettstil
gid://shopify/TaxonomyAttribute/1495  : Mat
gid://shopify/TaxonomyAttribute/1447  : Kulinarisk botanisk navn
gid://shopify/TaxonomyAttribute/5827  : Kultivartype
gid://shopify/TaxonomyAttribute/7723  : Dyrkingsmetode
gid://shopify/TaxonomyAttribute/5828  : Kultivatortype
gid://shopify/TaxonomyAttribute/17    : Koppstørrelse
gid://shopify/TaxonomyAttribute/9343  : Kopptype
gid://shopify/TaxonomyAttribute/5829  : Koppvarmerfunksjoner
gid://shopify/TaxonomyAttribute/7724  : Cupcake-størrelse
gid://shopify/TaxonomyAttribute/7725  : Ostemassestørrelse
gid://shopify/TaxonomyAttribute/7336  : Tørkemetode
gid://shopify/TaxonomyAttribute/5278  : Herdemetode
gid://shopify/TaxonomyAttribute/7726  : Herdings- eller tilberedningsmetode
gid://shopify/TaxonomyAttribute/5246  : Krølletangputemateriale
gid://shopify/TaxonomyAttribute/5244  : Krølletangstørrelseskompatibilitet
gid://shopify/TaxonomyAttribute/1650  : Krølltangtype
gid://shopify/TaxonomyAttribute/7337  : Materiale til krøllkosthode
gid://shopify/TaxonomyAttribute/7338  : Krøllekosthodetype
gid://shopify/TaxonomyAttribute/7339  : Materiale for curlingsko
gid://shopify/TaxonomyAttribute/7340  : Type hjelpemiddel for curlingtrening
gid://shopify/TaxonomyAttribute/1791  : Valuta
gid://shopify/TaxonomyAttribute/2610  : Valutatype
gid://shopify/TaxonomyAttribute/7727  : Karrivariant
gid://shopify/TaxonomyAttribute/5830  : Gardintopp-stil
gid://shopify/TaxonomyAttribute/5831  : Type gardinfôr
gid://shopify/TaxonomyAttribute/5832  : Gardinstangtype
gid://shopify/TaxonomyAttribute/5328  : Putedesign
gid://shopify/TaxonomyAttribute/7341  : Pute gummiprofil
gid://shopify/TaxonomyAttribute/6667  : Dempingsnivå
gid://shopify/TaxonomyAttribute/9344  : Tilpasset etikett innholdstype
gid://shopify/TaxonomyAttribute/2654  : Kundestøttekanaler
gid://shopify/TaxonomyAttribute/9345  : Tilpasningstype
gid://shopify/TaxonomyAttribute/7728  : Kutte- eller tilberedningsstil
gid://shopify/TaxonomyAttribute/7342  : Kuttmotstandsklassifisering
gid://shopify/TaxonomyAttribute/9346  : Kuttetype
gid://shopify/TaxonomyAttribute/3367  : Kutteralternativer
gid://shopify/TaxonomyAttribute/9347  : Bruksområde for skjæring
gid://shopify/TaxonomyAttribute/5833  : Skjæreskive-funksjon
gid://shopify/TaxonomyAttribute/5834  : Skjærehodetype
gid://shopify/TaxonomyAttribute/9348  : Skjærematteramme
gid://shopify/TaxonomyAttribute/9349  : Tiltenkt bruk av skjærematte
gid://shopify/TaxonomyAttribute/5835  : Type skjæremekanisme
gid://shopify/TaxonomyAttribute/1422  : Kuttemetode
gid://shopify/TaxonomyAttribute/7343  : Sykkelklær passform
gid://shopify/TaxonomyAttribute/1278  : Syklestil
gid://shopify/TaxonomyAttribute/5836  : Sylinderkoblingstype
gid://shopify/TaxonomyAttribute/8248  : Sylinderhodeenhet
gid://shopify/TaxonomyAttribute/8249  : Materialkvalitet for sylinderhode
gid://shopify/TaxonomyAttribute/8250  : Sylinderhodeposisjon
gid://shopify/TaxonomyAttribute/5083  : Sylinderstørrelsesbetegnelse
gid://shopify/TaxonomyAttribute/9355  : Cymbal- og trommehjulkonfigurasjon
gid://shopify/TaxonomyAttribute/9350  : Cymballegering
gid://shopify/TaxonomyAttribute/9351  : Cymbal-app
gid://shopify/TaxonomyAttribute/9352  : Monteringsgrensesnitt for cymbalarm
gid://shopify/TaxonomyAttribute/9353  : Funksjoner for rotasjon/posisjonering av cymbalarmen
gid://shopify/TaxonomyAttribute/9354  : Cymbalarmstil
gid://shopify/TaxonomyAttribute/9356  : Cymbal hamring stil
gid://shopify/TaxonomyAttribute/9357  : Inkluderte komponenter i symbalsett
gid://shopify/TaxonomyAttribute/9358  : Inkluderte elementer i symbalsett
gid://shopify/TaxonomyAttribute/9359  : Cymbaldreiebenk
gid://shopify/TaxonomyAttribute/9360  : Cymbalspillestil/sjanger
gid://shopify/TaxonomyAttribute/9361  : Konfigurasjon av cymbalsett
gid://shopify/TaxonomyAttribute/9362  : Lydkarakter for symbal
gid://shopify/TaxonomyAttribute/9363  : Cymbal-sustain
gid://shopify/TaxonomyAttribute/9364  : Cymbaltype
gid://shopify/TaxonomyAttribute/9365  : Cymbalvolumnivå
gid://shopify/TaxonomyAttribute/9366  : Cymbal vektklasse
gid://shopify/TaxonomyAttribute/5347  : DIN-størrelse
gid://shopify/TaxonomyAttribute/3069  : DJ-utstyrsfunksjoner
gid://shopify/TaxonomyAttribute/3310  : DJ-programvarekompatibilitet
gid://shopify/TaxonomyAttribute/9392  : DMX-utgang koblingstype
gid://shopify/TaxonomyAttribute/5362  : DOCSIS-standard
gid://shopify/TaxonomyAttribute/5006  : DSL-standardkompatibilitet
gid://shopify/TaxonomyAttribute/5588  : DVI-tilkoblingstype
gid://shopify/TaxonomyAttribute/7729  : Varmebehandling av meieriprodukter.
gid://shopify/TaxonomyAttribute/5517  : Kjedekoblingsevne
gid://shopify/TaxonomyAttribute/8251  : Skadetype
gid://shopify/TaxonomyAttribute/9367  : Demperpedalstil
gid://shopify/TaxonomyAttribute/8252  : Justerbar dempning
gid://shopify/TaxonomyAttribute/9368  : Dempingsnivå
gid://shopify/TaxonomyAttribute/6668  : Dansearrangement
gid://shopify/TaxonomyAttribute/3418  : Dansestil
gid://shopify/TaxonomyAttribute/9369  : Inkludert darbuka-tilbehør
gid://shopify/TaxonomyAttribute/9370  : Darbuka karosseritype
gid://shopify/TaxonomyAttribute/9371  : Darbuka-hodemateriale
gid://shopify/TaxonomyAttribute/7344  : Materiale for dartløp
gid://shopify/TaxonomyAttribute/7345  : Dartskaftdesign
gid://shopify/TaxonomyAttribute/7346  : Dartskaft trådtype
gid://shopify/TaxonomyAttribute/7347  : Gjengestørrelse for pil
gid://shopify/TaxonomyAttribute/7348  : Kompatibilitet med dartspisser
gid://shopify/TaxonomyAttribute/7349  : Dartspiss forbindelsestype
gid://shopify/TaxonomyAttribute/7350  : Dartboard turnering godkjenning
gid://shopify/TaxonomyAttribute/7351  : Dartskivetype
gid://shopify/TaxonomyAttribute/8253  : Konstruksjonstype for dashbord-deksel
gid://shopify/TaxonomyAttribute/8254  : Konfigurasjon av utskjæring for dashborddeksel
gid://shopify/TaxonomyAttribute/8255  : Instrumentbord tilbehør posisjon
gid://shopify/TaxonomyAttribute/1858  : Datanettverk
gid://shopify/TaxonomyAttribute/5004  : Policy for dataoverføring
gid://shopify/TaxonomyAttribute/7730  : Daddelvariant
gid://shopify/TaxonomyAttribute/9372  : Materiale i dayan-hode
gid://shopify/TaxonomyAttribute/9373  : Materiale i dayan-stropp
gid://shopify/TaxonomyAttribute/9374  : Dayan syahi-type
gid://shopify/TaxonomyAttribute/7731  : Dekaffineringsmetode
gid://shopify/TaxonomyAttribute/8256  : Metode for montering av dekal
gid://shopify/TaxonomyAttribute/8257  : Dekalretning
gid://shopify/TaxonomyAttribute/8258  : Type plassering av klistremerke
gid://shopify/TaxonomyAttribute/8259  : Egenskap for klistremerkets synlighet
gid://shopify/TaxonomyAttribute/7352  : Dekks konkavnivå
gid://shopify/TaxonomyAttribute/7353  : Dekkfleksvurdering
gid://shopify/TaxonomyAttribute/7354  : Dekkmateriale
gid://shopify/TaxonomyAttribute/9375  : Dekodergrensesnitt/stikkontakttype
gid://shopify/TaxonomyAttribute/5482  : Dekoder/Koder funksjon
gid://shopify/TaxonomyAttribute/5837  : Funksjoner ved pyntepose
gid://shopify/TaxonomyAttribute/2782  : Dekorasjonsmateriale
gid://shopify/TaxonomyAttribute/6669  : Dekorasjonsteknikk
gid://shopify/TaxonomyAttribute/2348  : Dekorativt stempeldesign
gid://shopify/TaxonomyAttribute/9376  : Dekorativt stempelformfaktor
gid://shopify/TaxonomyAttribute/9377  : Dekorativ tape-app
gid://shopify/TaxonomyAttribute/9378  : Dekorativt tapeformat
gid://shopify/TaxonomyAttribute/7355  : Oppdrift av lokkefugler
gid://shopify/TaxonomyAttribute/7356  : Type lokkeledd
gid://shopify/TaxonomyAttribute/7357  : Mekanisme for bevegelse
gid://shopify/TaxonomyAttribute/7358  : Lokkeholdning
gid://shopify/TaxonomyAttribute/7359  : Lokkefugl størrelsesklasse
gid://shopify/TaxonomyAttribute/7360  : Lokkefuglstil
gid://shopify/TaxonomyAttribute/5838  : Påfyllingsform for avfukter
gid://shopify/TaxonomyAttribute/7732  : Utvalg av delikatesseforretninger
gid://shopify/TaxonomyAttribute/8260  : Leveringsformat
gid://shopify/TaxonomyAttribute/9379  : Denim-komposisjon
gid://shopify/TaxonomyAttribute/9380  : Denim-finish
gid://shopify/TaxonomyAttribute/9381  : Tiltenkt bruk av denim
gid://shopify/TaxonomyAttribute/9382  : Denim stretchtype
gid://shopify/TaxonomyAttribute/6670  : Denimvask
gid://shopify/TaxonomyAttribute/2365  : Benevnelse
gid://shopify/TaxonomyAttribute/5177  : Tannhjelpemiddelkompatibilitet
gid://shopify/TaxonomyAttribute/5189  : Tanntrådformat
gid://shopify/TaxonomyAttribute/3349  : Tanntrådform
gid://shopify/TaxonomyAttribute/1664  : Tykkelsenivå for tanntråd
gid://shopify/TaxonomyAttribute/3350  : Tanntrådtype
gid://shopify/TaxonomyAttribute/3351  : Bittskinne anbefalt bruk
gid://shopify/TaxonomyAttribute/5190  : Tannbittvern buedekning
gid://shopify/TaxonomyAttribute/1665  : Sertifiseringer for tannvern
gid://shopify/TaxonomyAttribute/2563  : Tannpastasmak
gid://shopify/TaxonomyAttribute/2561  : Tannpleieartikler medfølger
