# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-brilledesign
gid://shopify/TaxonomyAttribute/2412  : Kompatibel forstærker
gid://shopify/TaxonomyAttribute/9234  : Kompatibel monteringsmetode for forstærker
gid://shopify/TaxonomyAttribute/7233  : Kompatibelt apparat
gid://shopify/TaxonomyAttribute/1705  : Kompatibelt akvarium
gid://shopify/TaxonomyAttribute/7234  : Kompatibelt bueskydningsværktøj
gid://shopify/TaxonomyAttribute/5782  : Kompatibel markiseskinne
gid://shopify/TaxonomyAttribute/7235  : Kompatibel akselstørrelse
gid://shopify/TaxonomyAttribute/7236  : Kompatibel akseltype
gid://shopify/TaxonomyAttribute/8155  : Kompatibel akselvægtklassificering
gid://shopify/TaxonomyAttribute/1764  : Kompatibelt sutteflaskedesign
gid://shopify/TaxonomyAttribute/1749  : Kompatibel bæreseletype
gid://shopify/TaxonomyAttribute/1752  : Kompatibel babystoltype
gid://shopify/TaxonomyAttribute/1751  : Kompatibel babytransporttype
gid://shopify/TaxonomyAttribute/7237  : Kompatibel lokkemadstype
gid://shopify/TaxonomyAttribute/1212  : Kompatibel kugletype
gid://shopify/TaxonomyAttribute/9235  : Kompatibel basskalalængde
gid://shopify/TaxonomyAttribute/1924  : Kompatibel batteriteknologi
gid://shopify/TaxonomyAttribute/6386  : Kompatibelt system til konkurrencesnurretop
gid://shopify/TaxonomyAttribute/6891  : Kompatibel sengerammetype
gid://shopify/TaxonomyAttribute/1231  : Kompatible bænkpositioner
gid://shopify/TaxonomyAttribute/5783  : Kompatibel drikkevaretype
gid://shopify/TaxonomyAttribute/7239  : Kompatibel cykeldæktype
gid://shopify/TaxonomyAttribute/7240  : Kompatibel cykelkomponent
gid://shopify/TaxonomyAttribute/1270  : Kompatibel cykeltype
gid://shopify/TaxonomyAttribute/7241  : Kompatibelt billardspil
gid://shopify/TaxonomyAttribute/7242  : Kompatibelt billardbords størrelse
gid://shopify/TaxonomyAttribute/7243  : Kompatibel bittype
gid://shopify/TaxonomyAttribute/7244  : Kompatibel hosel til enden
gid://shopify/TaxonomyAttribute/9236  : Kompatibelt klingesystem
gid://shopify/TaxonomyAttribute/9237  : Kompatibel skyttelvæv med bådformet skyttel
gid://shopify/TaxonomyAttribute/9238  : Kompatibel spoletype
gid://shopify/TaxonomyAttribute/7245  : Kompatibel flaskemunding
gid://shopify/TaxonomyAttribute/7246  : Kompatibelt buefæste-system
gid://shopify/TaxonomyAttribute/7247  : Kompatibel bue-/armbrøsttype
gid://shopify/TaxonomyAttribute/8156  : Kompatibel bremsevæske
gid://shopify/TaxonomyAttribute/7248  : Kompatibel bremseklods
gid://shopify/TaxonomyAttribute/8157  : Kompatibelt bremseservicesystem
gid://shopify/TaxonomyAttribute/8158  : Kompatibelt bremsesystem
gid://shopify/TaxonomyAttribute/7249  : Kompatibel bremsetype
gid://shopify/TaxonomyAttribute/2396  : Kompatibel messinginstrument
gid://shopify/TaxonomyAttribute/9239  : Kompatibel finish til messingblæsere
gid://shopify/TaxonomyAttribute/6387  : Kompatibelt byggesystem for legetøj
gid://shopify/TaxonomyAttribute/5596  : Kompatibelt kabelstripsmateriale
gid://shopify/TaxonomyAttribute/5784  : Kompatibel dåsestørrelse
gid://shopify/TaxonomyAttribute/9240  : Den kompatible kapodaster-gribeplades radius
gid://shopify/TaxonomyAttribute/9241  : Kompatibelt antal strenge for capoen
gid://shopify/TaxonomyAttribute/7250  : Kompatibel kardiomaskinetype
gid://shopify/TaxonomyAttribute/7251  : Kompatibel kædeledstype
gid://shopify/TaxonomyAttribute/7252  : Kompatibel kædestørrelse
gid://shopify/TaxonomyAttribute/7253  : Kompatibel kædebredde
gid://shopify/TaxonomyAttribute/5167  : Kompatibelt kemisk behandlingsstyrkeniveau
gid://shopify/TaxonomyAttribute/6388  : Kompatibel chipvalør
gid://shopify/TaxonomyAttribute/5785  : Kompatibel cigaretstørrelse
gid://shopify/TaxonomyAttribute/9242  : Kompatibel mundstykkeligatur til klarinet
gid://shopify/TaxonomyAttribute/2452  : Kompatibel klarinettype
gid://shopify/TaxonomyAttribute/9243  : Kompatibel strengemensur til klassisk guitar
gid://shopify/TaxonomyAttribute/7254  : Kompatibel lerduestørrelse
gid://shopify/TaxonomyAttribute/7255  : Kompatibelt klampesystem
gid://shopify/TaxonomyAttribute/7256  : Kompatibelt klemmeløst pedalsystem
gid://shopify/TaxonomyAttribute/8159  : Kompatibel koblingstype
gid://shopify/TaxonomyAttribute/5786  : Kompatibelt kaffekapselsystem
gid://shopify/TaxonomyAttribute/5787  : Kompatibel kaffemaskine
gid://shopify/TaxonomyAttribute/7704  : Kompatibelt kaffekapselsystem
gid://shopify/TaxonomyAttribute/6389  : Kompatibelt byggesætsystem
gid://shopify/TaxonomyAttribute/5218  : Kompatibel kontaktlinsetype
gid://shopify/TaxonomyAttribute/5220  : Kompatible kontaktlinser
gid://shopify/TaxonomyAttribute/9244  : Kompatibel holder til kontrabasklarinet
gid://shopify/TaxonomyAttribute/5788  : Kompatibelt madlavningstermometer
gid://shopify/TaxonomyAttribute/8160  : Kompatibel kølemiddelkemi
gid://shopify/TaxonomyAttribute/8161  : Kompatibelt kølesystemmateriale
gid://shopify/TaxonomyAttribute/1600  : Kompatible kosmetiske værktøjer
gid://shopify/TaxonomyAttribute/6287  : Kompatibel koblingsstørrelse
gid://shopify/TaxonomyAttribute/6892  : Kompatibel krybbeformat
gid://shopify/TaxonomyAttribute/9245  : Kompatibel trådtæthed til korssting
gid://shopify/TaxonomyAttribute/9246  : Kompatibel korsstingsramme
gid://shopify/TaxonomyAttribute/8162  : Kompatibel tværstang
gid://shopify/TaxonomyAttribute/7257  : Kompatibel cykelklampe
gid://shopify/TaxonomyAttribute/9247  : Kompatibel bækkenstørrelse
gid://shopify/TaxonomyAttribute/5789  : Kompatibel affugterteknologi
gid://shopify/TaxonomyAttribute/1930  : Kompatibel enhed
gid://shopify/TaxonomyAttribute/8163  : Kompatibel enhedstype
gid://shopify/TaxonomyAttribute/8164  : Kompatibel dock-strukturtype
gid://shopify/TaxonomyAttribute/6390  : Kompatibel dejtype
gid://shopify/TaxonomyAttribute/9248  : Kompatibel tegneblækoverflade
gid://shopify/TaxonomyAttribute/7258  : Kompatibelt drivlinjebrand
gid://shopify/TaxonomyAttribute/7259  : Kompatible gearantal i drivlinjen
gid://shopify/TaxonomyAttribute/2426  : Kompatibel trommekonfiguration
gid://shopify/TaxonomyAttribute/2416  : Kompatibel elektrisk/akustisk instrument
gid://shopify/TaxonomyAttribute/1905  : Kompatibel elektronisk korttype
gid://shopify/TaxonomyAttribute/7260  : Kompatibelt udstyr
gid://shopify/TaxonomyAttribute/5502  : Kompatibel udstyrstype
gid://shopify/TaxonomyAttribute/7261  : Kompatibel motionscykeltype
gid://shopify/TaxonomyAttribute/5499  : Kompatibel træningsmaskinetype
gid://shopify/TaxonomyAttribute/1232  : Kompatible øvelser
gid://shopify/TaxonomyAttribute/5229  : Kompatibel brilletype
gid://shopify/TaxonomyAttribute/5790  : Kompatibel foderautomat
gid://shopify/TaxonomyAttribute/7262  : Kompatibelt fægtevåben
gid://shopify/TaxonomyAttribute/9249  : Kompatibel fibertype
gid://shopify/TaxonomyAttribute/1944  : Kompatibel filament
gid://shopify/TaxonomyAttribute/2042  : Kompatibel filmtype
gid://shopify/TaxonomyAttribute/7263  : Kompatibelt finneæskesystem
gid://shopify/TaxonomyAttribute/9250  : Kompatibel fingerbrætradius
gid://shopify/TaxonomyAttribute/9251  : Kompatibel finishtype
gid://shopify/TaxonomyAttribute/7264  : Kompatibel fiskehjulstype
gid://shopify/TaxonomyAttribute/2456  : Kompatibel fløjtetype
gid://shopify/TaxonomyAttribute/7265  : Kompatibelt fluelinelod
gid://shopify/TaxonomyAttribute/8166  : Kompatibel svinghjulstype
gid://shopify/TaxonomyAttribute/7266  : Kompatibel fodboldsparktype
gid://shopify/TaxonomyAttribute/5791  : Kompatibelt fodtøjsmateriale
gid://shopify/TaxonomyAttribute/8167  : Kompatibel brændstofssystemtype
gid://shopify/TaxonomyAttribute/6288  : Kompatibel brændstoftype
gid://shopify/TaxonomyAttribute/1967  : Kompatibelt spilformat
gid://shopify/TaxonomyAttribute/1420  : Kompatibelt haveværktøj
gid://shopify/TaxonomyAttribute/5792  : Kompatibelt design af tøjdamper
gid://shopify/TaxonomyAttribute/7267  : Kompatibel benzintype
gid://shopify/TaxonomyAttribute/9252  : Tilsætningsstoffer kompatible med gelvoks
gid://shopify/TaxonomyAttribute/9253  : Kompatibel glasurlagdeling
gid://shopify/TaxonomyAttribute/7268  : Kompatibel golftasketype
gid://shopify/TaxonomyAttribute/5793  : Kompatibel grilltype
gid://shopify/TaxonomyAttribute/8168  : Kompatibel jordreference
gid://shopify/TaxonomyAttribute/9254  : Kompatibel guitar-kropsform
gid://shopify/TaxonomyAttribute/9255  : Kompatibelt guitarkasse
gid://shopify/TaxonomyAttribute/9256  : Kompatibel længde på guitarskala
gid://shopify/TaxonomyAttribute/7269  : Kompatibel skydevåbenplatform
gid://shopify/TaxonomyAttribute/6662  : Kompatibel hårlængde
gid://shopify/TaxonomyAttribute/1430  : Kompatibelt hængekøjedesign
gid://shopify/TaxonomyAttribute/2457  : Kompatibel harmonikatype
gid://shopify/TaxonomyAttribute/5794  : Kompatibel farlig affaldstype
gid://shopify/TaxonomyAttribute/8169  : Kompatibelt hoved- og nakkestøttesystem
gid://shopify/TaxonomyAttribute/8170  : Standard for kompatibel hjelmcertificering
gid://shopify/TaxonomyAttribute/8171  : Kompatibel hjelmskalstørrelse
gid://shopify/TaxonomyAttribute/7270  : Kompatibel hjelmstørrelse
gid://shopify/TaxonomyAttribute/8172  : Kompatibel hjelmtype
gid://shopify/TaxonomyAttribute/8173  : Kompatibel størrelse på anhængertræk-modtager
gid://shopify/TaxonomyAttribute/9257  : Kompatibel krogstørrelse
gid://shopify/TaxonomyAttribute/7271  : Kompatibel hestepelstype
gid://shopify/TaxonomyAttribute/9258  : Kompatibel hostet platform
gid://shopify/TaxonomyAttribute/9259  : Kompatibel gas til oppustning
gid://shopify/TaxonomyAttribute/8174  : Kompatibel indsprøjtningstype
gid://shopify/TaxonomyAttribute/2409  : Kompatibelt instrument
gid://shopify/TaxonomyAttribute/9260  : Kompatible instrumentoverflader/materialer
gid://shopify/TaxonomyAttribute/8175  : Kompatibelt intercom-system
gid://shopify/TaxonomyAttribute/8176  : Kompatibelt indvendigt materiale
gid://shopify/TaxonomyAttribute/5795  : Kompatibel strygebrættype
gid://shopify/TaxonomyAttribute/7272  : Kompatibel kayaktype
gid://shopify/TaxonomyAttribute/2421  : Kompatibel keyboardkonfiguration
gid://shopify/TaxonomyAttribute/5796  : Kompatibel plæneklippertype
gid://shopify/TaxonomyAttribute/5797  : Kompatibel bladblæsertype
gid://shopify/TaxonomyAttribute/8177  : Kompatibelt nummerplade-hulmønster
gid://shopify/TaxonomyAttribute/8178  : Kompatibel nummerpladestørrelse
gid://shopify/TaxonomyAttribute/9261  : Kompatibelt væv
gid://shopify/TaxonomyAttribute/9262  : Kompatibel vævstype
gid://shopify/TaxonomyAttribute/9263  : Kompatibel maskintype
gid://shopify/TaxonomyAttribute/5798  : Kompatibel postkassestørrelse
gid://shopify/TaxonomyAttribute/5799  : Kompatibel postkassetype
gid://shopify/TaxonomyAttribute/1605  : Kompatibel makeup
gid://shopify/TaxonomyAttribute/7273  : Kompatibel mastetype
gid://shopify/TaxonomyAttribute/2019  : Kompatible hukommelseskort
gid://shopify/TaxonomyAttribute/1794  : Kompatibel mikrofontråd
gid://shopify/TaxonomyAttribute/9264  : Kompatibelt modelsystem (togskala)
gid://shopify/TaxonomyAttribute/1898  : Kompatibel bundkortformfaktor
gid://shopify/TaxonomyAttribute/9265  : Kompatibel monteringsoverflade
gid://shopify/TaxonomyAttribute/9266  : Kompatibelt mundstykkeplaster
gid://shopify/TaxonomyAttribute/9267  : Kompatibel mundstykketype
gid://shopify/TaxonomyAttribute/5800  : Kompatibel servietstørrelse
gid://shopify/TaxonomyAttribute/9268  : Kompatibel halsprofil/bredde
gid://shopify/TaxonomyAttribute/9269  : Kompatibel nålestørrelse
gid://shopify/TaxonomyAttribute/9270  : Kompatibelt nålesystem
gid://shopify/TaxonomyAttribute/2458  : Kompatibel obotype
gid://shopify/TaxonomyAttribute/2443  : Kompatibelt orkesterstrengeinstrument
gid://shopify/TaxonomyAttribute/5801  : Kompatibel udendørs grillstil
gid://shopify/TaxonomyAttribute/8179  : Kompatibel parkeringsbremsemekanisme
gid://shopify/TaxonomyAttribute/2590  : Kompatibel patientprofil
gid://shopify/TaxonomyAttribute/9271  : Kompatibel pedalinstrumenttype
gid://shopify/TaxonomyAttribute/7274  : Kompatibel pedaltype
gid://shopify/TaxonomyAttribute/2423  : Kompatibelt percussioninstrument
gid://shopify/TaxonomyAttribute/9272  : Kompatibel nåletype
gid://shopify/TaxonomyAttribute/5330  : Kompatibel flippermaskineudgave
gid://shopify/TaxonomyAttribute/7705  : Kompatibel rørfilterstørrelse
gid://shopify/TaxonomyAttribute/7275  : Kompatibel pladestørrelse
gid://shopify/TaxonomyAttribute/6391  : Kompatibel skala for legekøretøj
gid://shopify/TaxonomyAttribute/2774  : Kompatibel legevognstype
gid://shopify/TaxonomyAttribute/2692  : Kompatibel afspiller
gid://shopify/TaxonomyAttribute/7276  : Kompatibel spilleoverflade
gid://shopify/TaxonomyAttribute/7277  : Kompatible stangdimensioner
gid://shopify/TaxonomyAttribute/7278  : Kompatibel stangform
gid://shopify/TaxonomyAttribute/5276  : Kompatibel lakfortyndertype
gid://shopify/TaxonomyAttribute/8180  : Kompatibelt servostyringssystem
gid://shopify/TaxonomyAttribute/5584  : Kompatibel strømforsyningsformfaktor
gid://shopify/TaxonomyAttribute/7279  : Kompatibel strømkildetype
gid://shopify/TaxonomyAttribute/9273  : Kompatibel trykfod
gid://shopify/TaxonomyAttribute/2338  : Kompatibel printer
gid://shopify/TaxonomyAttribute/1837  : Kompatibel processorserie
gid://shopify/TaxonomyAttribute/2642  : Kompatible programmeringssprog
gid://shopify/TaxonomyAttribute/8181  : Kompatibelt beskyttelsesudstyr
gid://shopify/TaxonomyAttribute/8182  : Kompatibel integration med beskyttelsesudstyr
gid://shopify/TaxonomyAttribute/7280  : Kompatibel bokseboldtype
gid://shopify/TaxonomyAttribute/8183  : Kompatibel racerkategori
gid://shopify/TaxonomyAttribute/6289  : Kompatibel radiatorstil
gid://shopify/TaxonomyAttribute/1402  : Kompatible opskrifter
gid://shopify/TaxonomyAttribute/9274  : Kompatibel fløjtestørrelse
gid://shopify/TaxonomyAttribute/9275  : Kompatibel fløjtetype
gid://shopify/TaxonomyAttribute/9276  : Kompatibel bladskæring
gid://shopify/TaxonomyAttribute/9277  : Kompatibel bladtype
gid://shopify/TaxonomyAttribute/7281  : Kompatibel hjultype
gid://shopify/TaxonomyAttribute/8184  : Kompatibel kølemiddeltype
gid://shopify/TaxonomyAttribute/5802  : Kompatibelt køleskabsrum
gid://shopify/TaxonomyAttribute/5372  : Kompatibel harpikstype
gid://shopify/TaxonomyAttribute/1968  : Kompatibel opløsning
gid://shopify/TaxonomyAttribute/7282  : Kompatibel rideudstyr
gid://shopify/TaxonomyAttribute/8185  : Kompatibel taghøjde
gid://shopify/TaxonomyAttribute/8186  : Kompatibel tagrælingstype
gid://shopify/TaxonomyAttribute/7283  : Kompatibelt tovantal
gid://shopify/TaxonomyAttribute/7284  : Kompatibel rebtype
gid://shopify/TaxonomyAttribute/7285  : Kompatibel saddeltype
gid://shopify/TaxonomyAttribute/5470  : Kompatibel satellitradiotjeneste
gid://shopify/TaxonomyAttribute/9278  : Kompatibel saxofonstørrelse
gid://shopify/TaxonomyAttribute/9279  : Kompatibel saxofontype
gid://shopify/TaxonomyAttribute/9280  : Kompatibel skalalængde
gid://shopify/TaxonomyAttribute/8187  : Kompatibel sædeairbag
gid://shopify/TaxonomyAttribute/1748  : Kompatibel sædetype
gid://shopify/TaxonomyAttribute/6893  : Kompatibelt antal pladser
gid://shopify/TaxonomyAttribute/8188  : Kompatibel sensortilslutningstype
gid://shopify/TaxonomyAttribute/8189  : Kompatibel skiftetype
gid://shopify/TaxonomyAttribute/7287  : Kompatibel skøjtedisciplin
gid://shopify/TaxonomyAttribute/7288  : Kompatibel sneskobinding
gid://shopify/TaxonomyAttribute/2667  : Kompatibel softwareplatform
gid://shopify/TaxonomyAttribute/2524  : Kompatibel specialeffektenhed
gid://shopify/TaxonomyAttribute/9281  : Kompatible specialeffekt-lysfunktioner
gid://shopify/TaxonomyAttribute/9282  : Kompatibelt drivsystem til spinderok
gid://shopify/TaxonomyAttribute/7289  : Kompatibel egermåler
gid://shopify/TaxonomyAttribute/8190  : Kompatibel airbag i rattet
gid://shopify/TaxonomyAttribute/8191  : Kompatibel ratbetjeningsknap
gid://shopify/TaxonomyAttribute/9283  : Kompatibelt skalbelonsmateriale
gid://shopify/TaxonomyAttribute/9284  : Kompatibelt stencilmedieformat
gid://shopify/TaxonomyAttribute/5803  : Kompatibel brændstoftype til komfur
gid://shopify/TaxonomyAttribute/3148  : Type af kompatibel komfurtop
gid://shopify/TaxonomyAttribute/5804  : Kompatibel komfurtype
gid://shopify/TaxonomyAttribute/8192  : Kompatibel remoptrækker
gid://shopify/TaxonomyAttribute/2433  : Kompatibelt strengeinstrument
gid://shopify/TaxonomyAttribute/9285  : Kompatibel finish til strengeinstrumenter
gid://shopify/TaxonomyAttribute/1750  : Kompatibel klapvognstype
gid://shopify/TaxonomyAttribute/8193  : Kompatibelt substratmateriale
gid://shopify/TaxonomyAttribute/9286  : Kompatibel overflade
gid://shopify/TaxonomyAttribute/8194  : Kompatibelt overflademateriale
gid://shopify/TaxonomyAttribute/8195  : Kompatibelt afrivningssystem
gid://shopify/TaxonomyAttribute/8196  : Kompatibel termostattype
gid://shopify/TaxonomyAttribute/9287  : Kompatibel tråd
gid://shopify/TaxonomyAttribute/9289  : Kompatibelt tråd- og garnværktøj
gid://shopify/TaxonomyAttribute/9288  : Kompatibelt tråd-/spoleformat
gid://shopify/TaxonomyAttribute/8197  : Kompatibel dækanvendelse
gid://shopify/TaxonomyAttribute/6290  : Kompatibel lommetørklædeæske
gid://shopify/TaxonomyAttribute/9290  : Kompatibel montering af trommepude
gid://shopify/TaxonomyAttribute/6393  : Kompatibel skala for legekøretøj
gid://shopify/TaxonomyAttribute/5805  : Kompatibel traktortype
gid://shopify/TaxonomyAttribute/7290  : Kompatibelt træningsudstyr
gid://shopify/TaxonomyAttribute/7291  : Kompatibelt løbebåndsdesign
gid://shopify/TaxonomyAttribute/7292  : Kompatibel slange
gid://shopify/TaxonomyAttribute/5806  : Kompatibel paraplytype
gid://shopify/TaxonomyAttribute/1369  : Kompatibel vakuumtype
gid://shopify/TaxonomyAttribute/6394  : Kompatibel ventiltype
gid://shopify/TaxonomyAttribute/7706  : Kompatibelt fordampningsmateriale
gid://shopify/TaxonomyAttribute/1714  : Kompatibelt køretøj
gid://shopify/TaxonomyAttribute/8199  : Kompatibel sprinklervæske til køretøjer
gid://shopify/TaxonomyAttribute/8200  : Kompatibelt visirsystem
gid://shopify/TaxonomyAttribute/5439  : Kompatibel stemmeassistent
gid://shopify/TaxonomyAttribute/1588  : Kompatibelt ganghjælpeudstyr
gid://shopify/TaxonomyAttribute/5807  : Kompatibel vaskemaskinetype
gid://shopify/TaxonomyAttribute/5808  : Kompatibel affaldsbeholdertype
gid://shopify/TaxonomyAttribute/8201  : Kompatibel vandbrætstype
gid://shopify/TaxonomyAttribute/5809  : Kompatibel vandkølertype
gid://shopify/TaxonomyAttribute/6291  : Kompatibel vandvarmertype
gid://shopify/TaxonomyAttribute/7293  : Kompatibel type vandsportsbræt
gid://shopify/TaxonomyAttribute/8202  : Kompatibel kommunikationsstandard for vandfartøjer
gid://shopify/TaxonomyAttribute/8203  : Kompatibel vandfartøjsmotortype
gid://shopify/TaxonomyAttribute/5201  : Kompatibel voksbeholderstørrelse
gid://shopify/TaxonomyAttribute/5202  : Kompatibel voksform
gid://shopify/TaxonomyAttribute/1235  : Kompatibelt vægtløftningstilbehør
gid://shopify/TaxonomyAttribute/7294  : Kompatibel vægtskivediameter
gid://shopify/TaxonomyAttribute/8204  : Kompatibel fælgfinish
gid://shopify/TaxonomyAttribute/9291  : Kompatibel drivremtype til spindehjul
gid://shopify/TaxonomyAttribute/9292  : Kompatibel vægeserie
gid://shopify/TaxonomyAttribute/9293  : Kompatibel type opviklingshoved/bit
gid://shopify/TaxonomyAttribute/8205  : Kompatibel ankerspil-ankerlænke
gid://shopify/TaxonomyAttribute/8206  : Kompatibel forrudetype
gid://shopify/TaxonomyAttribute/9294  : Kompatibelt træ
gid://shopify/TaxonomyAttribute/5810  : Kompatibelt indpakningsmateriale
gid://shopify/TaxonomyAttribute/9295  : Kompatibel skriveoverflade
gid://shopify/TaxonomyAttribute/9296  : Kompatibel lynlåsstørrelse
gid://shopify/TaxonomyAttribute/8207  : Overholdelsescertificeringer
gid://shopify/TaxonomyAttribute/2643  : Overholdelsescertificeringer
gid://shopify/TaxonomyAttribute/5479  : Komponent-monteringstype
gid://shopify/TaxonomyAttribute/1831  : Komponentudgangstype
gid://shopify/TaxonomyAttribute/1829  : Komponentpakketype
gid://shopify/TaxonomyAttribute/8208  : Komponentplacering
gid://shopify/TaxonomyAttribute/5491  : Komponentstørrelseskode
gid://shopify/TaxonomyAttribute/5488  : Komponenttolerance
gid://shopify/TaxonomyAttribute/5670  : Komponenter inkluderet
gid://shopify/TaxonomyAttribute/5811  : Kompostlufters design
gid://shopify/TaxonomyAttribute/5812  : Kompostform
gid://shopify/TaxonomyAttribute/5813  : Kompostråmateriale
gid://shopify/TaxonomyAttribute/5458  : Kompressionskredsløbstype
gid://shopify/TaxonomyAttribute/1966  : Kompressionsformat
gid://shopify/TaxonomyAttribute/1595  : Kompressionsniveau
gid://shopify/TaxonomyAttribute/5814  : Komprimeringsmetode
gid://shopify/TaxonomyAttribute/1897  : Computertilbehør medfølger
gid://shopify/TaxonomyAttribute/1871  : Computerform
gid://shopify/TaxonomyAttribute/3078  : Computerserverfunktioner
gid://shopify/TaxonomyAttribute/3077  : Specialiserede funktioner for computer
gid://shopify/TaxonomyAttribute/7707  : Koncentrationsniveau
gid://shopify/TaxonomyAttribute/8209  : Koncentrationstype
gid://shopify/TaxonomyAttribute/9297  : Type stativ til montering af koncertbasstromme
gid://shopify/TaxonomyAttribute/9298  : Standard for koncerttonehøjde
gid://shopify/TaxonomyAttribute/2463  : Konfiguration af concertinaknap
gid://shopify/TaxonomyAttribute/7708  : Krydderiform
gid://shopify/TaxonomyAttribute/7709  : Krydderiets tekstur
gid://shopify/TaxonomyAttribute/2360  : Tilstand
gid://shopify/TaxonomyAttribute/1652  : Balsameffekt
gid://shopify/TaxonomyAttribute/5194  : Kondomkompatibilitet
gid://shopify/TaxonomyAttribute/5113  : Kondom-pasformstype
gid://shopify/TaxonomyAttribute/1557  : Kondomtype
gid://shopify/TaxonomyAttribute/5114  : Anvendelse af ledningsevne-gel
gid://shopify/TaxonomyAttribute/5481  : Lederkernetype
gid://shopify/TaxonomyAttribute/9299  : Konfetti-format
gid://shopify/TaxonomyAttribute/9300  : System til spænding af conga-skind
gid://shopify/TaxonomyAttribute/9301  : Conga-sættets inkluderede trommetyper
gid://shopify/TaxonomyAttribute/2144  : Tilslutningstråd
gid://shopify/TaxonomyAttribute/2028  : Forbindelsesmetode
gid://shopify/TaxonomyAttribute/1811  : Tilslutningstype
gid://shopify/TaxonomyAttribute/1272  : Forbindelsesteknologi
gid://shopify/TaxonomyAttribute/5485  : Forbindelsestype
gid://shopify/TaxonomyAttribute/5561  : Stik 1-type
gid://shopify/TaxonomyAttribute/5560  : Stik 2-type
gid://shopify/TaxonomyAttribute/8210  : Stikhusets type
gid://shopify/TaxonomyAttribute/5550  : Stikkontaktbelægning
gid://shopify/TaxonomyAttribute/2129  : Konnektordesign
gid://shopify/TaxonomyAttribute/1830  : Stikkøn
gid://shopify/TaxonomyAttribute/5549  : Stikmonteringstype
gid://shopify/TaxonomyAttribute/5551  : Stikorientering
gid://shopify/TaxonomyAttribute/5650  : Stikposition
gid://shopify/TaxonomyAttribute/5480  : Stiktype
gid://shopify/TaxonomyAttribute/5421  : Konsoltilbehør inkluderet
gid://shopify/TaxonomyAttribute/8211  : Installationsmetode for konsolcover
gid://shopify/TaxonomyAttribute/7295  : Konsolskærmtype
gid://shopify/TaxonomyAttribute/1969  : Konsolsystem
gid://shopify/TaxonomyAttribute/5422  : Konsoltype
gid://shopify/TaxonomyAttribute/1629  : Konstitutive ingredienser
gid://shopify/TaxonomyAttribute/5678  : Byggeri
gid://shopify/TaxonomyAttribute/7296  : Konstruktionsdesign
gid://shopify/TaxonomyAttribute/2770  : Byggesættema
gid://shopify/TaxonomyAttribute/7297  : Kontaktvinkel
gid://shopify/TaxonomyAttribute/9302  : Type fyld i kontaktjongleringskugle
gid://shopify/TaxonomyAttribute/9303  : Gennemsigtighed for kontaktjongleringskugle
gid://shopify/TaxonomyAttribute/5216  : Kontaktlinseetuiets inkluderede tilbehør
gid://shopify/TaxonomyAttribute/5217  : Kontaktlinseetuies funktioner
gid://shopify/TaxonomyAttribute/5221  : Kontaktlinsemateriale
gid://shopify/TaxonomyAttribute/5578  : Kontaktmateriale
gid://shopify/TaxonomyAttribute/9304  : Kontaktoverflademateriale
gid://shopify/TaxonomyAttribute/7710  : Beholdermateriale
gid://shopify/TaxonomyAttribute/7298  : Fjernelse af forurenende stoffer
gid://shopify/TaxonomyAttribute/9305  : Konstruktion/udformning af kontra-altsaxofonens korpus
gid://shopify/TaxonomyAttribute/9306  : Laveste toneudvidelse for kontra-altsaxofon
gid://shopify/TaxonomyAttribute/9307  : Type klokke på kontrabasklarinet
gid://shopify/TaxonomyAttribute/9308  : Type boring på kontrabasklarinet
gid://shopify/TaxonomyAttribute/9309  : Kontrabasklarinets laveste skrevne tone
gid://shopify/TaxonomyAttribute/1990  : Kontrast
gid://shopify/TaxonomyAttribute/1955  : Kontrastforhold (typisk)
gid://shopify/TaxonomyAttribute/8212  : Bøsningsmateriale til styrearm
gid://shopify/TaxonomyAttribute/8213  : Bøsninger til styrearm, der medfølger
gid://shopify/TaxonomyAttribute/8214  : Overfladebehandling af styrearm
gid://shopify/TaxonomyAttribute/8215  : Type smørenippel til styrearm
gid://shopify/TaxonomyAttribute/8216  : Materiale til styrearmen
gid://shopify/TaxonomyAttribute/8217  : Styrearmens position
gid://shopify/TaxonomyAttribute/8218  : Styrearmens stil
gid://shopify/TaxonomyAttribute/8219  : Type af stik til styrekabel
gid://shopify/TaxonomyAttribute/2413  : Kontrolfunktioner
gid://shopify/TaxonomyAttribute/5456  : Kontrolgrænseflade
gid://shopify/TaxonomyAttribute/2558  : Kontrolmetode
gid://shopify/TaxonomyAttribute/5101  : Kontrolløsningsniveau
gid://shopify/TaxonomyAttribute/1359  : Kontrolteknologi
gid://shopify/TaxonomyAttribute/1331  : Kontroltype
gid://shopify/TaxonomyAttribute/9310  : Styrespænding eller gate-tilslutning
gid://shopify/TaxonomyAttribute/2556  : Controllerdesign
gid://shopify/TaxonomyAttribute/2559  : Controllerdrevtype
gid://shopify/TaxonomyAttribute/7299  : Controllerfunction
gid://shopify/TaxonomyAttribute/8220  : Controllertype
gid://shopify/TaxonomyAttribute/5539  : Konverteringsretning
gid://shopify/TaxonomyAttribute/8221  : Kølemetode til ombygningssæt
gid://shopify/TaxonomyAttribute/8222  : Monteringssværhedsgraden for ombygningssættet
gid://shopify/TaxonomyAttribute/6894  : Ombygget sengs størrelse
