# Shopify Undefined Food Beverages Tobacco Product Taxonomy: 2024-01-29 
1685: Food, Beverages & Tobacco
1984: Food, Beverages & Tobacco > Food Items > Grains, Rice & Cereal > Oats, Grits & Hot Cereal
1985: Food, Beverages & Tobacco > Food Items > Grains, Rice & Cereal > Quinoa
1986: Food, Beverages & Tobacco > Food Items > Grains, Rice & Cereal > Rice
1987: Food, Beverages & Tobacco > Food Items > Grains, Rice & Cereal > Rye
1988: Food, Beverages & Tobacco > Food Items > Grains, Rice & Cereal > Wheat
1989: Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs
1990: Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Eggs
1991: Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Eggs > Egg Whites
1992: Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Eggs > Liquid & Frozen Eggs
1993: Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Eggs > Prepared Eggs
1994: Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Eggs > Whole Eggs
1995: Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat
1996: Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Canned Meats
1997: Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Fresh & Frozen Meats
1998: Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat > Lunch & Deli Meats
1999: Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Seafood
2000: Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Seafood > Canned Seafood
2001: Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Seafood > Fresh & Frozen Seafood
2002: Food, Beverages & Tobacco > Food Items > Nuts & Seeds
2003: Food, Beverages & Tobacco > Food Items > Pasta & Noodles
2004: Food, Beverages & Tobacco > Food Items > Prepared Foods
2005: Food, Beverages & Tobacco > Food Items > Prepared Foods > Prepared Appetizers & Side Dishes
2006: Food, Beverages & Tobacco > Food Items > Prepared Foods > Prepared Meals & Entrées
2007: Food, Beverages & Tobacco > Food Items > Seasonings & Spices
2008: Food, Beverages & Tobacco > Food Items > Seasonings & Spices > Herbs & Spices
2009: Food, Beverages & Tobacco > Food Items > Seasonings & Spices > MSG
2010: Food, Beverages & Tobacco > Food Items > Seasonings & Spices > Pepper
2011: Food, Beverages & Tobacco > Food Items > Seasonings & Spices > Salt
2012: Food, Beverages & Tobacco > Food Items > Snack Foods
2013: Food, Beverages & Tobacco > Food Items > Snack Foods > Breadsticks
2014: Food, Beverages & Tobacco > Food Items > Snack Foods > Cereal & Granola Bars
2015: Food, Beverages & Tobacco > Food Items > Snack Foods > Cereal & Granola Bars > Cereal Bars
2016: Food, Beverages & Tobacco > Food Items > Snack Foods > Cereal & Granola Bars > Granola Bars
2017: Food, Beverages & Tobacco > Food Items > Snack Foods > Cheese Puffs
2018: Food, Beverages & Tobacco > Food Items > Snack Foods > Chips
2019: Food, Beverages & Tobacco > Food Items > Snack Foods > Crackers
2020: Food, Beverages & Tobacco > Food Items > Snack Foods > Croutons
2021: Food, Beverages & Tobacco > Food Items > Snack Foods > Fruit Snacks
2022: Food, Beverages & Tobacco > Food Items > Snack Foods > Jerky
2023: Food, Beverages & Tobacco > Food Items > Snack Foods > Popcorn
2024: Food, Beverages & Tobacco > Food Items > Snack Foods > Pork Rinds
2025: Food, Beverages & Tobacco > Food Items > Snack Foods > Pretzels
2026: Food, Beverages & Tobacco > Food Items > Snack Foods > Pudding & Gelatin Snacks
2027: Food, Beverages & Tobacco > Food Items > Snack Foods > Puffed Rice Cakes
2028: Food, Beverages & Tobacco > Food Items > Snack Foods > Salad Toppings
2029: Food, Beverages & Tobacco > Food Items > Snack Foods > Sesame Sticks
2030: Food, Beverages & Tobacco > Food Items > Snack Foods > Snack Cakes
2031: Food, Beverages & Tobacco > Food Items > Snack Foods > Sticky Rice Cakes
2032: Food, Beverages & Tobacco > Food Items > Snack Foods > Trail & Snack Mixes
2033: Food, Beverages & Tobacco > Food Items > Soups & Broths
2034: Food, Beverages & Tobacco > Food Items > Tofu, Soy & Vegetarian Products
2035: Food, Beverages & Tobacco > Food Items > Tofu, Soy & Vegetarian Products > Cheese Alternatives
2036: Food, Beverages & Tobacco > Food Items > Tofu, Soy & Vegetarian Products > Meat Alternatives
2037: Food, Beverages & Tobacco > Food Items > Tofu, Soy & Vegetarian Products > Seitan
2038: Food, Beverages & Tobacco > Food Items > Tofu, Soy & Vegetarian Products > Tempeh
2039: Food, Beverages & Tobacco > Food Items > Tofu, Soy & Vegetarian Products > Tofu
2040: Food, Beverages & Tobacco > Tobacco Products
2041: Food, Beverages & Tobacco > Tobacco Products > Chewing Tobacco
2042: Food, Beverages & Tobacco > Tobacco Products > Cigarettes
2043: Food, Beverages & Tobacco > Tobacco Products > Cigars
2044: Food, Beverages & Tobacco > Tobacco Products > Loose Tobacco
2045: Food, Beverages & Tobacco > Tobacco Products > Smoking Pipes
2046: Food, Beverages & Tobacco > Tobacco Products > Vaporizers & Electronic Cigarettes
2047: Food, Beverages & Tobacco > Tobacco Products > Vaporizers & Electronic Cigarettes > Electronic Cigarettes
2048: Food, Beverages & Tobacco > Tobacco Products > Vaporizers & Electronic Cigarettes > Vaporizers
