# Shopify Product Taxonomy - Categories: 2025-12
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Hewan & Perlengkapan Hewan Piaraan
gid://shopify/TaxonomyCategory/bt-10-9           : Bayi & Balita > Perawatan & Pemberian Makan > Pompa ASI
gid://shopify/TaxonomyCategory/bt-10-9-1         : Bayi & Balita > Perawatan & Pemberian Makan > Pompa ASI > Pompa ASI Elektrik Ganda
gid://shopify/TaxonomyCategory/bt-10-9-2         : Bayi & Balita > Perawatan & Pemberian Makan > Pompa ASI > Pompa ASI Elektrik
gid://shopify/TaxonomyCategory/bt-10-9-3         : Bayi & Balita > Perawatan & Pemberian Makan > Pompa ASI > Pompa ASI Manual
gid://shopify/TaxonomyCategory/bt-10-10          : Bayi & Balita > Perawatan & Pemberian Makan > Kain Sendawa
gid://shopify/TaxonomyCategory/bt-10-16          : Bayi & Balita > Perawatan & Pemberian Makan > Kebutuhan Pokok Pemberian Makan
gid://shopify/TaxonomyCategory/bt-10-16-5        : Bayi & Balita > Perawatan & Pemberian Makan > Kebutuhan Pokok Pemberian Makan > Dot & Pelapis Botol Bayi
gid://shopify/TaxonomyCategory/bt-10-16-5-1      : Bayi & Balita > Perawatan & Pemberian Makan > Kebutuhan Pokok Pemberian Makan > Dot & Pelapis Botol Bayi > Pelapis Botol Bayi
gid://shopify/TaxonomyCategory/bt-10-16-5-2      : Bayi & Balita > Perawatan & Pemberian Makan > Kebutuhan Pokok Pemberian Makan > Dot & Pelapis Botol Bayi > Dot Botol Bayi
gid://shopify/TaxonomyCategory/bt-10-16-5-2-1    : Bayi & Balita > Perawatan & Pemberian Makan > Kebutuhan Pokok Pemberian Makan > Dot & Pelapis Botol Bayi > Dot Botol Bayi > Dot Ortodontik
gid://shopify/TaxonomyCategory/bt-10-16-5-2-2    : Bayi & Balita > Perawatan & Pemberian Makan > Kebutuhan Pokok Pemberian Makan > Dot & Pelapis Botol Bayi > Dot Botol Bayi > Dot Standar
gid://shopify/TaxonomyCategory/bt-10-16-5-2-3    : Bayi & Balita > Perawatan & Pemberian Makan > Kebutuhan Pokok Pemberian Makan > Dot & Pelapis Botol Bayi > Dot Botol Bayi > Dot Leher Lebar
gid://shopify/TaxonomyCategory/bt-10-16-6        : Bayi & Balita > Perawatan & Pemberian Makan > Kebutuhan Pokok Pemberian Makan > Botol Bayi
gid://shopify/TaxonomyCategory/bt-10-16-6-1      : Bayi & Balita > Perawatan & Pemberian Makan > Kebutuhan Pokok Pemberian Makan > Botol Bayi > Botol Anti Kolik
gid://shopify/TaxonomyCategory/bt-10-16-6-2      : Bayi & Balita > Perawatan & Pemberian Makan > Kebutuhan Pokok Pemberian Makan > Botol Bayi > Botol Standar
gid://shopify/TaxonomyCategory/bt-10-16-6-3      : Bayi & Balita > Perawatan & Pemberian Makan > Kebutuhan Pokok Pemberian Makan > Botol Bayi > Botol Leher Lebar
gid://shopify/TaxonomyCategory/bt-10-16-7        : Bayi & Balita > Perawatan & Pemberian Makan > Kebutuhan Pokok Pemberian Makan > Celemek
gid://shopify/TaxonomyCategory/bt-10-16-1        : Bayi & Balita > Perawatan & Pemberian Makan > Kebutuhan Pokok Pemberian Makan > Mangkuk Makan
gid://shopify/TaxonomyCategory/bt-10-16-3        : Bayi & Balita > Perawatan & Pemberian Makan > Kebutuhan Pokok Pemberian Makan > Piring Makan
gid://shopify/TaxonomyCategory/bt-10-16-2        : Bayi & Balita > Perawatan & Pemberian Makan > Kebutuhan Pokok Pemberian Makan > Sendok Makan
gid://shopify/TaxonomyCategory/bt-10-16-4        : Bayi & Balita > Perawatan & Pemberian Makan > Kebutuhan Pokok Pemberian Makan > Set Peralatan Makan
gid://shopify/TaxonomyCategory/bt-10-16-8        : Bayi & Balita > Perawatan & Pemberian Makan > Kebutuhan Pokok Pemberian Makan > Gelas Sippy
gid://shopify/TaxonomyCategory/bt-10-11          : Bayi & Balita > Perawatan & Pemberian Makan > Penutup Menyusui
gid://shopify/TaxonomyCategory/bt-10-12          : Bayi & Balita > Perawatan & Pemberian Makan > Bantalan & Pelindung Menyusui
gid://shopify/TaxonomyCategory/bt-10-12-3        : Bayi & Balita > Perawatan & Pemberian Makan > Bantalan & Pelindung Menyusui > Pelindung Payudara
gid://shopify/TaxonomyCategory/bt-10-12-1        : Bayi & Balita > Perawatan & Pemberian Makan > Bantalan & Pelindung Menyusui > Bantalan Menyusui Sekali Pakai
gid://shopify/TaxonomyCategory/bt-10-12-2        : Bayi & Balita > Perawatan & Pemberian Makan > Bantalan & Pelindung Menyusui > Bantalan Menyusui yang Dapat Digunakan Kembali
gid://shopify/TaxonomyCategory/bt-10-13          : Bayi & Balita > Perawatan & Pemberian Makan > Sarung Bantal Menyusui
gid://shopify/TaxonomyCategory/bt-10-14          : Bayi & Balita > Perawatan & Pemberian Makan > Bantal Menyusui
gid://shopify/TaxonomyCategory/bt-11             : Bayi & Balita > Pelatihan Toilet
gid://shopify/TaxonomyCategory/bt-11-1           : Bayi & Balita > Pelatihan Toilet > Pispot
gid://shopify/TaxonomyCategory/bt-11-2           : Bayi & Balita > Pelatihan Toilet > Kit Pelatihan Toilet
gid://shopify/TaxonomyCategory/bt-11-3           : Bayi & Balita > Pelatihan Toilet > Dudukan Toilet & Bangku Pijakan
gid://shopify/TaxonomyCategory/bt-12             : Bayi & Balita > Selimut Bedong & Bebat
gid://shopify/TaxonomyCategory/bt-12-1           : Bayi & Balita > Selimut Bedong & Bebat > Selimut Bebat
gid://shopify/TaxonomyCategory/bt-12-2           : Bayi & Balita > Selimut Bedong & Bebat > Selimut Bedong
gid://shopify/TaxonomyCategory/bu                : Bundel
gid://shopify/TaxonomyCategory/bi                : Bisnis & Industri
gid://shopify/TaxonomyCategory/bi-1              : Bisnis & Industri > Periklanan & Pemasaran
gid://shopify/TaxonomyCategory/bi-1-1            : Bisnis & Industri > Periklanan & Pemasaran > Brosur
gid://shopify/TaxonomyCategory/bi-1-2            : Bisnis & Industri > Periklanan & Pemasaran > Konter Pameran Perdagangan
gid://shopify/TaxonomyCategory/bi-1-2-1          : Bisnis & Industri > Periklanan & Pemasaran > Konter Pameran Perdagangan > Konter yang Dapat Dikunci
gid://shopify/TaxonomyCategory/bi-1-2-2          : Bisnis & Industri > Periklanan & Pemasaran > Konter Pameran Perdagangan > Konter Modular
gid://shopify/TaxonomyCategory/bi-1-2-3          : Bisnis & Industri > Periklanan & Pemasaran > Konter Pameran Perdagangan > Konter Pop-Up
gid://shopify/TaxonomyCategory/bi-1-2-4          : Bisnis & Industri > Periklanan & Pemasaran > Konter Pameran Perdagangan > Konter Portabel
gid://shopify/TaxonomyCategory/bi-1-3            : Bisnis & Industri > Periklanan & Pemasaran > Pajangan Pameran Dagang
gid://shopify/TaxonomyCategory/bi-1-3-1          : Bisnis & Industri > Periklanan & Pemasaran > Pajangan Pameran Dagang > Pajangan Lampu Latar
gid://shopify/TaxonomyCategory/bi-1-3-2          : Bisnis & Industri > Periklanan & Pemasaran > Pajangan Pameran Dagang > Stand Spanduk
gid://shopify/TaxonomyCategory/bi-1-3-3          : Bisnis & Industri > Periklanan & Pemasaran > Pajangan Pameran Dagang > Papan-A Digital
gid://shopify/TaxonomyCategory/bi-1-3-4          : Bisnis & Industri > Periklanan & Pemasaran > Pajangan Pameran Dagang > Panel Datar Papan Tanda Digital
gid://shopify/TaxonomyCategory/bi-1-3-6          : Bisnis & Industri > Periklanan & Pemasaran > Pajangan Pameran Dagang > Panel Datar Interaktif
gid://shopify/TaxonomyCategory/bi-1-3-7          : Bisnis & Industri > Periklanan & Pemasaran > Pajangan Pameran Dagang > Meja Anak Interaktif
gid://shopify/TaxonomyCategory/bi-1-3-8          : Bisnis & Industri > Periklanan & Pemasaran > Pajangan Pameran Dagang > Kios
gid://shopify/TaxonomyCategory/bi-1-3-9          : Bisnis & Industri > Periklanan & Pemasaran > Pajangan Pameran Dagang > Pajangan Modular
gid://shopify/TaxonomyCategory/bi-1-3-10         : Bisnis & Industri > Periklanan & Pemasaran > Pajangan Pameran Dagang > Panorama
gid://shopify/TaxonomyCategory/bi-1-3-11         : Bisnis & Industri > Periklanan & Pemasaran > Pajangan Pameran Dagang > Pajangan Pop-Up
gid://shopify/TaxonomyCategory/bi-1-3-12         : Bisnis & Industri > Periklanan & Pemasaran > Pajangan Pameran Dagang > Pajangan Meja
gid://shopify/TaxonomyCategory/bi-1-3-13         : Bisnis & Industri > Periklanan & Pemasaran > Pajangan Pameran Dagang > Totem
gid://shopify/TaxonomyCategory/bi-1-3-14         : Bisnis & Industri > Periklanan & Pemasaran > Pajangan Pameran Dagang > Pajangan Boks Transparan
gid://shopify/TaxonomyCategory/bi-2              : Bisnis & Industri > Pertanian
gid://shopify/TaxonomyCategory/bi-2-2            : Bisnis & Industri > Pertanian > Mesin Pertanian
gid://shopify/TaxonomyCategory/bi-2-2-1          : Bisnis & Industri > Pertanian > Mesin Pertanian > Olah Tanah
gid://shopify/TaxonomyCategory/bi-2-2-1-3        : Bisnis & Industri > Pertanian > Mesin Pertanian > Olah Tanah > Bajak Pahat
gid://shopify/TaxonomyCategory/bi-2-2-1-1        : Bisnis & Industri > Pertanian > Mesin Pertanian > Olah Tanah > Garu Cakram
gid://shopify/TaxonomyCategory/bi-2-2-1-4        : Bisnis & Industri > Pertanian > Mesin Pertanian > Olah Tanah > Bajak Singkal
gid://shopify/TaxonomyCategory/bi-2-2-1-2        : Bisnis & Industri > Pertanian > Mesin Pertanian > Olah Tanah > Bajak Rotari
gid://shopify/TaxonomyCategory/bi-2-2-1-5        : Bisnis & Industri > Pertanian > Mesin Pertanian > Olah Tanah > Garu Sisir
gid://shopify/TaxonomyCategory/bi-2-2-1-6        : Bisnis & Industri > Pertanian > Mesin Pertanian > Olah Tanah > Bajak Tanah Dalam
gid://shopify/TaxonomyCategory/bi-2-2-1-7        : Bisnis & Industri > Pertanian > Mesin Pertanian > Olah Tanah > Pengolahan Tanah Vertikal
gid://shopify/TaxonomyCategory/bi-2-1            : Bisnis & Industri > Pertanian > Peternakan
gid://shopify/TaxonomyCategory/bi-2-1-5          : Bisnis & Industri > Pertanian > Peternakan > Peternakan Lebah
gid://shopify/TaxonomyCategory/bi-2-1-5-2        : Bisnis & Industri > Pertanian > Peternakan > Peternakan Lebah > Pakan Lebah
gid://shopify/TaxonomyCategory/bi-2-1-5-1        : Bisnis & Industri > Pertanian > Peternakan > Peternakan Lebah > Sarang Lebah
gid://shopify/TaxonomyCategory/bi-2-1-5-3        : Bisnis & Industri > Pertanian > Peternakan > Peternakan Lebah > Peralatan Peternakan Lebah
gid://shopify/TaxonomyCategory/bi-2-1-5-3-1      : Bisnis & Industri > Pertanian > Peternakan > Peternakan Lebah > Peralatan Peternakan Lebah > Perlengkapan Pelindung untuk Peternakan Lebah
gid://shopify/TaxonomyCategory/bi-2-1-5-3-2      : Bisnis & Industri > Pertanian > Peternakan > Peternakan Lebah > Peralatan Peternakan Lebah > Peralatan Ekstraksi Madu
gid://shopify/TaxonomyCategory/bi-2-1-1          : Bisnis & Industri > Pertanian > Peternakan > Inkubator Telur
gid://shopify/TaxonomyCategory/bi-2-1-6          : Bisnis & Industri > Pertanian > Peternakan > Perlengkapan Kesehatan & Hewan
gid://shopify/TaxonomyCategory/bi-2-1-6-3        : Bisnis & Industri > Pertanian > Peternakan > Perlengkapan Kesehatan & Hewan > Peralatan Diagnostik
gid://shopify/TaxonomyCategory/bi-2-1-6-2        : Bisnis & Industri > Pertanian > Peternakan > Perlengkapan Kesehatan & Hewan > Perlengkapan Bedah
gid://shopify/TaxonomyCategory/bi-2-1-6-1        : Bisnis & Industri > Pertanian > Peternakan > Perlengkapan Kesehatan & Hewan > Vaksin & Obat-obatan
gid://shopify/TaxonomyCategory/bi-2-1-2          : Bisnis & Industri > Pertanian > Peternakan > Pakan Ternak
gid://shopify/TaxonomyCategory/bi-2-1-2-1        : Bisnis & Industri > Pertanian > Peternakan > Pakan Ternak > Pakan Sapi
gid://shopify/TaxonomyCategory/bi-2-1-2-2        : Bisnis & Industri > Pertanian > Peternakan > Pakan Ternak > Pakan Ayam
gid://shopify/TaxonomyCategory/bi-2-1-2-3        : Bisnis & Industri > Pertanian > Peternakan > Pakan Ternak > Pakan Kambing & Domba
gid://shopify/TaxonomyCategory/bi-2-1-2-4        : Bisnis & Industri > Pertanian > Peternakan > Pakan Ternak > Pakan Kawanan Campuran
gid://shopify/TaxonomyCategory/bi-2-1-2-5        : Bisnis & Industri > Pertanian > Peternakan > Pakan Ternak > Pakan Babi
gid://shopify/TaxonomyCategory/bi-2-1-3          : Bisnis & Industri > Pertanian > Peternakan > Pemberi Makan & Minum Ternak
gid://shopify/TaxonomyCategory/bi-2-1-3-1        : Bisnis & Industri > Pertanian > Peternakan > Pemberi Makan & Minum Ternak > Pemberi Makan Ternak
gid://shopify/TaxonomyCategory/bi-2-1-3-2        : Bisnis & Industri > Pertanian > Peternakan > Pemberi Makan & Minum Ternak > Alat Pemberi Minum Ternak
gid://shopify/TaxonomyCategory/bi-2-1-4          : Bisnis & Industri > Pertanian > Peternakan > Halter Ternak
gid://shopify/TaxonomyCategory/bi-2-1-7          : Bisnis & Industri > Pertanian > Peternakan > Sistem Pertanian Cerdas
gid://shopify/TaxonomyCategory/bi-2-1-7-2        : Bisnis & Industri > Pertanian > Peternakan > Sistem Pertanian Cerdas > Pemberi Pakan Otomatis
gid://shopify/TaxonomyCategory/bi-2-1-7-3        : Bisnis & Industri > Pertanian > Peternakan > Sistem Pertanian Cerdas > Sistem Manajemen Air Digital
gid://shopify/TaxonomyCategory/bi-2-1-7-1        : Bisnis & Industri > Pertanian > Peternakan > Sistem Pertanian Cerdas > Sistem Pemantauan Ternak
gid://shopify/TaxonomyCategory/bi-3              : Bisnis & Industri > Komponen Kontrol Automasi
gid://shopify/TaxonomyCategory/bi-3-1            : Bisnis & Industri > Komponen Kontrol Automasi > Pengontrol Logika yang Dapat Diprogram
gid://shopify/TaxonomyCategory/bi-3-1-2          : Bisnis & Industri > Komponen Kontrol Automasi > Pengontrol Logika yang Dapat Diprogram > Modul Kontrol Automasi
gid://shopify/TaxonomyCategory/bi-3-1-4          : Bisnis & Industri > Komponen Kontrol Automasi > Pengontrol Logika yang Dapat Diprogram > Pengontrol Building Management System (BMS)
gid://shopify/TaxonomyCategory/bi-3-1-5          : Bisnis & Industri > Komponen Kontrol Automasi > Pengontrol Logika yang Dapat Diprogram > Pengontrol Digital Addressable Lighting Interface (DALI)
gid://shopify/TaxonomyCategory/bi-3-1-9          : Bisnis & Industri > Komponen Kontrol Automasi > Pengontrol Logika yang Dapat Diprogram > Pengontrol Motor
gid://shopify/TaxonomyCategory/bi-3-1-7          : Bisnis & Industri > Komponen Kontrol Automasi > Pengontrol Logika yang Dapat Diprogram > Starter Motor
gid://shopify/TaxonomyCategory/bi-3-2            : Bisnis & Industri > Komponen Kontrol Automasi > Penggerak Kecepatan yang Dapat Disesuaikan & Frekuensi Variabel
gid://shopify/TaxonomyCategory/bi-4              : Bisnis & Industri > Konstruksi
gid://shopify/TaxonomyCategory/bi-4-3            : Bisnis & Industri > Konstruksi > Komponen Struktural Mentah
gid://shopify/TaxonomyCategory/bi-4-1            : Bisnis & Industri > Konstruksi > Survei
gid://shopify/TaxonomyCategory/bi-4-1-1          : Bisnis & Industri > Konstruksi > Survei > Kerataan Otomatis
gid://shopify/TaxonomyCategory/bi-4-1-2          : Bisnis & Industri > Konstruksi > Survei > Sistem GPS & GNSS
gid://shopify/TaxonomyCategory/bi-4-1-4          : Bisnis & Industri > Konstruksi > Survei > Stasiun Total
gid://shopify/TaxonomyCategory/bi-4-2            : Bisnis & Industri > Konstruksi > Kerucut & Barel Lalu Lintas
gid://shopify/TaxonomyCategory/bi-4-2-1          : Bisnis & Industri > Konstruksi > Kerucut & Barel Lalu Lintas > Barel Lalu Lintas
gid://shopify/TaxonomyCategory/bi-4-2-2          : Bisnis & Industri > Konstruksi > Kerucut & Barel Lalu Lintas > Kerucut Lalu Lintas
gid://shopify/TaxonomyCategory/bi-5              : Bisnis & Industri > Kedokteran Gigi
gid://shopify/TaxonomyCategory/bi-5-1            : Bisnis & Industri > Kedokteran Gigi > Semen Gigi
gid://shopify/TaxonomyCategory/bi-5-1-1          : Bisnis & Industri > Kedokteran Gigi > Semen Gigi > Semen Gigi Pengisi
gid://shopify/TaxonomyCategory/bi-5-1-2          : Bisnis & Industri > Kedokteran Gigi > Semen Gigi > Semen Gigi Lining
gid://shopify/TaxonomyCategory/bi-5-1-3          : Bisnis & Industri > Kedokteran Gigi > Semen Gigi > Semen Gigi Luting
gid://shopify/TaxonomyCategory/bi-5-1-5          : Bisnis & Industri > Kedokteran Gigi > Semen Gigi > Semen Gigi Sementara
gid://shopify/TaxonomyCategory/bi-5-2            : Bisnis & Industri > Kedokteran Gigi > Peralatan Kedokteran Gigi
gid://shopify/TaxonomyCategory/bi-5-2-1          : Bisnis & Industri > Kedokteran Gigi > Peralatan Kedokteran Gigi > Piring Dappen
gid://shopify/TaxonomyCategory/bi-5-2-2          : Bisnis & Industri > Kedokteran Gigi > Peralatan Kedokteran Gigi > Cermin Gigi
gid://shopify/TaxonomyCategory/bi-5-2-3          : Bisnis & Industri > Kedokteran Gigi > Peralatan Kedokteran Gigi > Set Peralatan Gigi
gid://shopify/TaxonomyCategory/bi-5-2-4          : Bisnis & Industri > Kedokteran Gigi > Peralatan Kedokteran Gigi > Cangkir Prophy
gid://shopify/TaxonomyCategory/bi-5-2-5          : Bisnis & Industri > Kedokteran Gigi > Peralatan Kedokteran Gigi > Kepala Prophy
gid://shopify/TaxonomyCategory/bi-5-3            : Bisnis & Industri > Kedokteran Gigi > Pasta Prophy
gid://shopify/TaxonomyCategory/bi-6              : Bisnis & Industri > Film & Televisi
gid://shopify/TaxonomyCategory/bi-6-1            : Bisnis & Industri > Film & Televisi > Kostum Film & Televisi
gid://shopify/TaxonomyCategory/bi-6-2            : Bisnis & Industri > Film & Televisi > Prop Film & Televisi
gid://shopify/TaxonomyCategory/bi-6-3            : Bisnis & Industri > Film & Televisi > Item Set Film & Televisi
gid://shopify/TaxonomyCategory/bi-6-3-1          : Bisnis & Industri > Film & Televisi > Item Set Film & Televisi > Item Set Latar Belakang
gid://shopify/TaxonomyCategory/bi-6-3-2          : Bisnis & Industri > Film & Televisi > Item Set Film & Televisi > Item Set Furnitur
gid://shopify/TaxonomyCategory/bi-6-3-3          : Bisnis & Industri > Film & Televisi > Item Set Film & Televisi > Dekorasi Set
gid://shopify/TaxonomyCategory/bi-7              : Bisnis & Industri > Keuangan & Asuransi
gid://shopify/TaxonomyCategory/bi-7-1            : Bisnis & Industri > Keuangan & Asuransi > Bullion
gid://shopify/TaxonomyCategory/bi-8              : Bisnis & Industri > Layanan Makanan
gid://shopify/TaxonomyCategory/bi-8-1            : Bisnis & Industri > Layanan Makanan > Kotak Bakeri
gid://shopify/TaxonomyCategory/bi-8-2            : Bisnis & Industri > Layanan Makanan > Bus Tub
gid://shopify/TaxonomyCategory/bi-8-3            : Bisnis & Industri > Layanan Makanan > Penyaji Tagihan
gid://shopify/TaxonomyCategory/bi-8-4            : Bisnis & Industri > Layanan Makanan > Wadah Makanan Konsesi
gid://shopify/TaxonomyCategory/bi-8-5            : Bisnis & Industri > Layanan Makanan > Tutup Sekali Pakai
gid://shopify/TaxonomyCategory/bi-8-6            : Bisnis & Industri > Layanan Makanan > Peralatan Saji Sekali Pakai
gid://shopify/TaxonomyCategory/bi-8-6-1          : Bisnis & Industri > Layanan Makanan > Peralatan Saji Sekali Pakai > Baki Saji Sekali Pakai
gid://shopify/TaxonomyCategory/bi-8-7            : Bisnis & Industri > Layanan Makanan > Peralatan Makan Sekali Pakai
gid://shopify/TaxonomyCategory/bi-8-7-1          : Bisnis & Industri > Layanan Makanan > Peralatan Makan Sekali Pakai > Mangkuk Sekali Pakai
gid://shopify/TaxonomyCategory/bi-8-7-2          : Bisnis & Industri > Layanan Makanan > Peralatan Makan Sekali Pakai > Cangkir Sekali Pakai
gid://shopify/TaxonomyCategory/bi-8-7-3          : Bisnis & Industri > Layanan Makanan > Peralatan Makan Sekali Pakai > Alat Makan Sekali Pakai
gid://shopify/TaxonomyCategory/bi-8-7-3-1        : Bisnis & Industri > Layanan Makanan > Peralatan Makan Sekali Pakai > Alat Makan Sekali Pakai > Garpu Sekali Pakai
gid://shopify/TaxonomyCategory/bi-8-7-3-2        : Bisnis & Industri > Layanan Makanan > Peralatan Makan Sekali Pakai > Alat Makan Sekali Pakai > Pisau Sekali Pakai
gid://shopify/TaxonomyCategory/bi-8-7-3-3        : Bisnis & Industri > Layanan Makanan > Peralatan Makan Sekali Pakai > Alat Makan Sekali Pakai > Sendok Sekali Pakai
gid://shopify/TaxonomyCategory/bi-8-7-4          : Bisnis & Industri > Layanan Makanan > Peralatan Makan Sekali Pakai > Piring Sekali Pakai
gid://shopify/TaxonomyCategory/bi-8-8            : Bisnis & Industri > Layanan Makanan > Keranjang Layanan Makanan
gid://shopify/TaxonomyCategory/bi-8-9            : Bisnis & Industri > Layanan Makanan > Troli Layanan Makanan
gid://shopify/TaxonomyCategory/bi-8-10           : Bisnis & Industri > Layanan Makanan > Mesin Pencuci & Pengering Makanan
gid://shopify/TaxonomyCategory/bi-8-11           : Bisnis & Industri > Layanan Makanan > Penggulung Hot Dog
gid://shopify/TaxonomyCategory/bi-8-12           : Bisnis & Industri > Layanan Makanan > Tempat Es
gid://shopify/TaxonomyCategory/bi-8-13           : Bisnis & Industri > Layanan Makanan > Pemanas Piring & Alas Makan
gid://shopify/TaxonomyCategory/bi-8-14           : Bisnis & Industri > Layanan Makanan > Pelindung Bersin
gid://shopify/TaxonomyCategory/bi-8-15           : Bisnis & Industri > Layanan Makanan > Wadah Makanan Bawa Pulang
gid://shopify/TaxonomyCategory/bi-8-16           : Bisnis & Industri > Layanan Makanan > Tilt Skillet
gid://shopify/TaxonomyCategory/bi-8-17           : Bisnis & Industri > Layanan Makanan > Mesin Jual Otomatis
gid://shopify/TaxonomyCategory/bi-8-17-1         : Bisnis & Industri > Layanan Makanan > Mesin Jual Otomatis > Mesin Jual Kombo
gid://shopify/TaxonomyCategory/bi-8-17-2         : Bisnis & Industri > Layanan Makanan > Mesin Jual Otomatis > Mesin Jual Minum
gid://shopify/TaxonomyCategory/bi-8-17-3         : Bisnis & Industri > Layanan Makanan > Mesin Jual Otomatis > Mesin Jual Makanan Ringan
gid://shopify/TaxonomyCategory/bi-9              : Bisnis & Industri > Kehutanan & Pembalakan
gid://shopify/TaxonomyCategory/bi-9-1            : Bisnis & Industri > Kehutanan & Pembalakan > Aksesori Arboris
gid://shopify/TaxonomyCategory/bi-9-1-1          : Bisnis & Industri > Kehutanan & Pembalakan > Aksesori Arboris > Throw Weight
gid://shopify/TaxonomyCategory/bi-9-2            : Bisnis & Industri > Kehutanan & Pembalakan > Peralatan Pelindung Kehutanan & Pembalakan
gid://shopify/TaxonomyCategory/bi-9-2-1          : Bisnis & Industri > Kehutanan & Pembalakan > Peralatan Pelindung Kehutanan & Pembalakan > Sepatu Bot Kehutanan & Pembalakan
gid://shopify/TaxonomyCategory/bi-9-2-2          : Bisnis & Industri > Kehutanan & Pembalakan > Peralatan Pelindung Kehutanan & Pembalakan > Chap Kehutanan & Pembalakan
gid://shopify/TaxonomyCategory/bi-9-2-3          : Bisnis & Industri > Kehutanan & Pembalakan > Peralatan Pelindung Kehutanan & Pembalakan > Kacamata Kehutanan & Pembalakan
gid://shopify/TaxonomyCategory/bi-9-2-4          : Bisnis & Industri > Kehutanan & Pembalakan > Peralatan Pelindung Kehutanan & Pembalakan > Sarung Tangan Kehutanan & Pembalakan
gid://shopify/TaxonomyCategory/bi-9-2-5          : Bisnis & Industri > Kehutanan & Pembalakan > Peralatan Pelindung Kehutanan & Pembalakan > Helm Kehutanan & Pembalakan
gid://shopify/TaxonomyCategory/bi-9-3            : Bisnis & Industri > Kehutanan & Pembalakan > Alat Kehutanan & Pembalakan
gid://shopify/TaxonomyCategory/bi-9-3-1          : Bisnis & Industri > Kehutanan & Pembalakan > Alat Kehutanan & Pembalakan > Kait Kayu
gid://shopify/TaxonomyCategory/bi-9-3-2          : Bisnis & Industri > Kehutanan & Pembalakan > Alat Kehutanan & Pembalakan > Penjepit Kayu
gid://shopify/TaxonomyCategory/bi-9-3-3          : Bisnis & Industri > Kehutanan & Pembalakan > Alat Kehutanan & Pembalakan > Kaliper Pohon
gid://shopify/TaxonomyCategory/bi-10             : Bisnis & Industri > Tata Rambut & Kosmetologi
gid://shopify/TaxonomyCategory/bi-10-1           : Bisnis & Industri > Tata Rambut & Kosmetologi > Jubah Tata Rambut & Penutup Leher
gid://shopify/TaxonomyCategory/bi-10-2           : Bisnis & Industri > Tata Rambut & Kosmetologi > Kursi Pedikur
gid://shopify/TaxonomyCategory/bi-10-3           : Bisnis & Industri > Tata Rambut & Kosmetologi > Kursi Salon
gid://shopify/TaxonomyCategory/bi-10-3-1         : Bisnis & Industri > Tata Rambut & Kosmetologi > Kursi Salon > Kursi Serbaguna
gid://shopify/TaxonomyCategory/bi-10-3-2         : Bisnis & Industri > Tata Rambut & Kosmetologi > Kursi Salon > Kursi Pangkas Rambut
gid://shopify/TaxonomyCategory/bi-10-3-3         : Bisnis & Industri > Tata Rambut & Kosmetologi > Kursi Salon > Kursi Sampo
gid://shopify/TaxonomyCategory/bi-10-3-4         : Bisnis & Industri > Tata Rambut & Kosmetologi > Kursi Salon > Kursi Penataan
gid://shopify/TaxonomyCategory/bi-11             : Bisnis & Industri > Mesin Berat
gid://shopify/TaxonomyCategory/bi-11-1           : Bisnis & Industri > Mesin Berat > Backhoe
gid://shopify/TaxonomyCategory/bi-11-2           : Bisnis & Industri > Mesin Berat > Buldoser
gid://shopify/TaxonomyCategory/bi-11-3           : Bisnis & Industri > Mesin Berat > Chipper
gid://shopify/TaxonomyCategory/bi-11-20          : Bisnis & Industri > Mesin Berat > Pencampur Beton
gid://shopify/TaxonomyCategory/bi-11-18          : Bisnis & Industri > Mesin Berat > Crane
gid://shopify/TaxonomyCategory/bi-11-18-6        : Bisnis & Industri > Mesin Berat > Crane > Crane Semua Medan
gid://shopify/TaxonomyCategory/bi-11-18-3        : Bisnis & Industri > Mesin Berat > Crane > Crane Crawler
gid://shopify/TaxonomyCategory/bi-11-18-4        : Bisnis & Industri > Mesin Berat > Crane > Crane Medan Kasar
gid://shopify/TaxonomyCategory/bi-11-18-5        : Bisnis & Industri > Mesin Berat > Crane > Crane Teleskopik
gid://shopify/TaxonomyCategory/bi-11-18-1        : Bisnis & Industri > Mesin Berat > Crane > Crane Tower
gid://shopify/TaxonomyCategory/bi-11-18-2        : Bisnis & Industri > Mesin Berat > Crane > Crane Truk
gid://shopify/TaxonomyCategory/bi-11-4           : Bisnis & Industri > Mesin Berat > Crawler Loader
gid://shopify/TaxonomyCategory/bi-11-5           : Bisnis & Industri > Mesin Berat > Truk Jungkit
gid://shopify/TaxonomyCategory/bi-11-19          : Bisnis & Industri > Mesin Berat > Mesin Listrik & Hybrid
gid://shopify/TaxonomyCategory/bi-11-6           : Bisnis & Industri > Mesin Berat > Ekskavator
gid://shopify/TaxonomyCategory/bi-11-6-1         : Bisnis & Industri > Mesin Berat > Ekskavator > Ekskavator Kompak
gid://shopify/TaxonomyCategory/bi-11-6-2         : Bisnis & Industri > Mesin Berat > Ekskavator > Ekskavator Dragline
gid://shopify/TaxonomyCategory/bi-11-6-3         : Bisnis & Industri > Mesin Berat > Ekskavator > Ekskavator Jangkauan Jauh
gid://shopify/TaxonomyCategory/bi-11-6-4         : Bisnis & Industri > Mesin Berat > Ekskavator > Ekskavator Beroda
