# Shopify Product Taxonomy - Categories: 2025-05-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Articoli per animali
gid://shopify/TaxonomyCategory/ae-2-1-4-17-2     : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Ditali e protezioni per cucito > Ditali
gid://shopify/TaxonomyCategory/ae-2-1-4-18       : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati
gid://shopify/TaxonomyCategory/ae-2-1-4-18-1     : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Cardalana
gid://shopify/TaxonomyCategory/ae-2-1-4-18-1-1   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Cardalana > Spazzole per cardare
gid://shopify/TaxonomyCategory/ae-2-1-4-18-1-2   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Cardalana > Cardatrici a tamburo
gid://shopify/TaxonomyCategory/ae-2-1-4-18-1-3   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Cardalana > Cardatrici
gid://shopify/TaxonomyCategory/ae-2-1-4-18-1-4   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Cardalana > Cardatrici manuali
gid://shopify/TaxonomyCategory/ae-2-1-4-18-1-5   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Cardalana > Attrezzi per marcatura
gid://shopify/TaxonomyCategory/ae-2-1-4-18-2     : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Fusi manuali
gid://shopify/TaxonomyCategory/ae-2-1-4-18-2-1   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Fusi manuali > Fusi a mano libera
gid://shopify/TaxonomyCategory/ae-2-1-4-18-2-2   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Fusi manuali > Fusi manuali di supporto
gid://shopify/TaxonomyCategory/ae-2-1-4-18-2-3   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Fusi manuali > Fusi manuali turchi
gid://shopify/TaxonomyCategory/ae-2-1-4-18-3     : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Infilatori
gid://shopify/TaxonomyCategory/ae-2-1-4-18-3-1   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Infilatori > Infilatori automatici
gid://shopify/TaxonomyCategory/ae-2-1-4-18-3-2   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Infilatori > Infilatori portatili
gid://shopify/TaxonomyCategory/ae-2-1-4-18-4     : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Guide per filati
gid://shopify/TaxonomyCategory/ae-2-1-4-18-4-1   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Guide per filati > Guide per dita
gid://shopify/TaxonomyCategory/ae-2-1-4-18-4-2   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Guide per filati > Guide per ditali
gid://shopify/TaxonomyCategory/ae-2-1-4-18-4-3   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Guide per filati > Guide per fili
gid://shopify/TaxonomyCategory/ae-2-1-4-18-4-4   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Guide per filati > Guide per filati
gid://shopify/TaxonomyCategory/ae-2-1-4-18-5     : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Rocchetti per filati
gid://shopify/TaxonomyCategory/ae-2-1-4-18-6     : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Arcolai e dipanatori per filati
gid://shopify/TaxonomyCategory/ae-2-1-4-18-6-1   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Arcolai e dipanatori per filati > Avvolgitori elettrici
gid://shopify/TaxonomyCategory/ae-2-1-4-18-6-2   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Arcolai e dipanatori per filati > Avvolgitori portatili
gid://shopify/TaxonomyCategory/ae-2-1-4-18-7     : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Pettini per telaio
gid://shopify/TaxonomyCategory/ae-2-1-4-18-7-1   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Pettini per telaio > Pettini per telaio piatti
gid://shopify/TaxonomyCategory/ae-2-1-4-18-7-2   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Pettini per telaio > Pettini per telaio flessibili
gid://shopify/TaxonomyCategory/ae-2-1-4-18-7-3   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Pettini per telaio > Pettini per telaio
gid://shopify/TaxonomyCategory/ae-2-1-4-18-7-4   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Pettini per telaio > Pettini per telaio rigidi
gid://shopify/TaxonomyCategory/ae-2-1-4-18-8     : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Navette per telaio
gid://shopify/TaxonomyCategory/ae-2-1-4-18-8-1   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Navette per telaio > Navette per telaio
gid://shopify/TaxonomyCategory/ae-2-1-4-18-8-2   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Navette per telaio > Navette per tessitura a fine alimentazione
gid://shopify/TaxonomyCategory/ae-2-1-4-18-8-3   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Navette per telaio > Navette per tessitura di stracci
gid://shopify/TaxonomyCategory/ae-2-1-4-18-8-4   : Arte e svago > Hobby e arti creative > Artigianato e hobby > Strumenti per hobby e artigianato > Strumenti per filati > Navette per telaio > Navette per tessitura a bastoncino
gid://shopify/TaxonomyCategory/ae-2-1-7          : Arte e svago > Hobby e arti creative > Artigianato e hobby > Materiali per cucire
gid://shopify/TaxonomyCategory/ae-2-1-5          : Arte e svago > Hobby e arti creative > Artigianato e hobby > Organizzazione delle attività creative
gid://shopify/TaxonomyCategory/ae-2-1-5-1        : Arte e svago > Hobby e arti creative > Artigianato e hobby > Organizzazione delle attività creative > Organizer per aghi, spilli e uncinetti
gid://shopify/TaxonomyCategory/ae-2-1-5-1-1      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Organizzazione delle attività creative > Organizer per aghi, spilli e uncinetti > Organizer per uncinetti
gid://shopify/TaxonomyCategory/ae-2-1-5-1-2      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Organizzazione delle attività creative > Organizer per aghi, spilli e uncinetti > Scatole per aghi
gid://shopify/TaxonomyCategory/ae-2-1-5-1-3      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Organizzazione delle attività creative > Organizer per aghi, spilli e uncinetti > Porta aghi
gid://shopify/TaxonomyCategory/ae-2-1-5-1-4      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Organizzazione delle attività creative > Organizer per aghi, spilli e uncinetti > Puntaspilli
gid://shopify/TaxonomyCategory/ae-2-1-5-2        : Arte e svago > Hobby e arti creative > Artigianato e hobby > Organizzazione delle attività creative > Kit per cucito e arti tessili
gid://shopify/TaxonomyCategory/ae-2-1-5-2-1      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Organizzazione delle attività creative > Kit per cucito e arti tessili > Kit per cucito
gid://shopify/TaxonomyCategory/ae-2-1-5-2-2      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Organizzazione delle attività creative > Kit per cucito e arti tessili > Scatole da cucito
gid://shopify/TaxonomyCategory/ae-2-1-5-2-3      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Organizzazione delle attività creative > Kit per cucito e arti tessili > Kit da cucito
gid://shopify/TaxonomyCategory/ae-2-1-5-3        : Arte e svago > Hobby e arti creative > Artigianato e hobby > Organizzazione delle attività creative > Organizer per filati
gid://shopify/TaxonomyCategory/ae-2-1-5-3-1      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Organizzazione delle attività creative > Organizer per filati > Scatole per filati
gid://shopify/TaxonomyCategory/ae-2-1-5-3-2      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Organizzazione delle attività creative > Organizer per filati > Supporti per filati
gid://shopify/TaxonomyCategory/ae-2-1-5-3-3      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Organizzazione delle attività creative > Organizer per filati > Borse per filati
gid://shopify/TaxonomyCategory/ae-2-1-5-3-4      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Organizzazione delle attività creative > Organizer per filati > Contenitori per filati
gid://shopify/TaxonomyCategory/ae-2-1-5-3-5      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Organizzazione delle attività creative > Organizer per filati > Organizer per filati
gid://shopify/TaxonomyCategory/ae-2-1-6          : Arte e svago > Hobby e arti creative > Artigianato e hobby > Stampi e modelli per artigianato
gid://shopify/TaxonomyCategory/ae-2-1-6-1        : Arte e svago > Hobby e arti creative > Artigianato e hobby > Stampi e modelli per artigianato > Modelli per decorazioni con perline
gid://shopify/TaxonomyCategory/ae-2-1-6-1-1      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Stampi e modelli per artigianato > Modelli per decorazioni con perline > Modelli per accessori con perline
gid://shopify/TaxonomyCategory/ae-2-1-6-1-2      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Stampi e modelli per artigianato > Modelli per decorazioni con perline > Modelli per perline gioiello
gid://shopify/TaxonomyCategory/ae-2-1-6-2        : Arte e svago > Hobby e arti creative > Artigianato e hobby > Stampi e modelli per artigianato > Stampi per artigianato
gid://shopify/TaxonomyCategory/ae-2-1-6-3        : Arte e svago > Hobby e arti creative > Artigianato e hobby > Stampi e modelli per artigianato > Stampi per feltratura
gid://shopify/TaxonomyCategory/ae-2-1-6-3-1      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Stampi e modelli per artigianato > Stampi per feltratura > Stampi per feltratura ad ago
gid://shopify/TaxonomyCategory/ae-2-1-6-3-2      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Stampi e modelli per artigianato > Stampi per feltratura > Stampi per feltratura umida
gid://shopify/TaxonomyCategory/ae-2-1-6-4        : Arte e svago > Hobby e arti creative > Artigianato e hobby > Stampi e modelli per artigianato > Modelli per cucito
gid://shopify/TaxonomyCategory/ae-2-1-6-4-1      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Stampi e modelli per artigianato > Modelli per cucito > Modelli per punto croce
gid://shopify/TaxonomyCategory/ae-2-1-6-4-2      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Stampi e modelli per artigianato > Modelli per cucito > Modelli per ricamo
gid://shopify/TaxonomyCategory/ae-2-1-6-4-3      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Stampi e modelli per artigianato > Modelli per cucito > Modelli di ricamo
gid://shopify/TaxonomyCategory/ae-2-1-6-5        : Arte e svago > Hobby e arti creative > Artigianato e hobby > Stampi e modelli per artigianato > Modelli da cucire
gid://shopify/TaxonomyCategory/ae-2-1-6-5-1      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Stampi e modelli per artigianato > Modelli da cucire > Modelli da cucire accessori
gid://shopify/TaxonomyCategory/ae-2-1-6-5-2      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Stampi e modelli per artigianato > Modelli da cucire > Modelli da cucire abbigliamento
gid://shopify/TaxonomyCategory/ae-2-1-6-5-3      : Arte e svago > Hobby e arti creative > Artigianato e hobby > Stampi e modelli per artigianato > Modelli da cucire > Modelli da cucire per decorazioni per la casa
gid://shopify/TaxonomyCategory/ae-2-2            : Arte e svago > Hobby e arti creative > Collezionismo
gid://shopify/TaxonomyCategory/ae-2-2-1          : Arte e svago > Hobby e arti creative > Collezionismo > Autografi
gid://shopify/TaxonomyCategory/ae-2-2-2          : Arte e svago > Hobby e arti creative > Collezionismo > Monete e banconote
gid://shopify/TaxonomyCategory/ae-2-2-2-1        : Arte e svago > Hobby e arti creative > Collezionismo > Monete e banconote > Banconote da collezione
gid://shopify/TaxonomyCategory/ae-2-2-2-2        : Arte e svago > Hobby e arti creative > Collezionismo > Monete e banconote > Monete da collezione
gid://shopify/TaxonomyCategory/ae-2-2-2-2-1      : Arte e svago > Hobby e arti creative > Collezionismo > Monete e banconote > Monete da collezione > Lingotti
gid://shopify/TaxonomyCategory/ae-2-2-2-2-2      : Arte e svago > Hobby e arti creative > Collezionismo > Monete e banconote > Monete da collezione > Monete commemorative
gid://shopify/TaxonomyCategory/ae-2-2-2-2-3      : Arte e svago > Hobby e arti creative > Collezionismo > Monete e banconote > Monete da collezione > Monete rare
gid://shopify/TaxonomyCategory/ae-2-2-3          : Arte e svago > Hobby e arti creative > Collezionismo > Carte collezionabili
gid://shopify/TaxonomyCategory/ae-2-2-3-1        : Arte e svago > Hobby e arti creative > Collezionismo > Carte collezionabili > Carte di intrattenimento
gid://shopify/TaxonomyCategory/ae-2-2-3-2        : Arte e svago > Hobby e arti creative > Collezionismo > Carte collezionabili > Carte da gioco
gid://shopify/TaxonomyCategory/ae-2-2-3-3        : Arte e svago > Hobby e arti creative > Collezionismo > Carte collezionabili > Carte collezionabili non sportive
gid://shopify/TaxonomyCategory/ae-2-2-3-4        : Arte e svago > Hobby e arti creative > Collezionismo > Carte collezionabili > Carte collezionabili sportive
gid://shopify/TaxonomyCategory/ae-2-2-4          : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione
gid://shopify/TaxonomyCategory/ae-2-2-4-1        : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Pistole da collezione
gid://shopify/TaxonomyCategory/ae-2-2-4-1-1      : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Pistole da collezione > Pistole antiche
gid://shopify/TaxonomyCategory/ae-2-2-4-1-2      : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Pistole da collezione > Pistole
gid://shopify/TaxonomyCategory/ae-2-2-4-1-3      : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Pistole da collezione > Repliche di pistole
gid://shopify/TaxonomyCategory/ae-2-2-4-1-4      : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Pistole da collezione > Fucili
gid://shopify/TaxonomyCategory/ae-2-2-4-1-5      : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Pistole da collezione > Schioppi
gid://shopify/TaxonomyCategory/ae-2-2-4-2        : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Coltelli da collezione
gid://shopify/TaxonomyCategory/ae-2-2-4-2-1      : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Coltelli da collezione > Coltelli da collezione personalizzati
gid://shopify/TaxonomyCategory/ae-2-2-4-2-2      : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Coltelli da collezione > Coltelli da collezione a lama fissa
gid://shopify/TaxonomyCategory/ae-2-2-4-2-3      : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Coltelli da collezione > Coltelli da collezione a lama pieghevole
gid://shopify/TaxonomyCategory/ae-2-2-4-2-4      : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Coltelli da collezione > Coltelli da caccia da collezione
gid://shopify/TaxonomyCategory/ae-2-2-4-2-5      : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Coltelli da collezione > Coltelli tascabili da collezione
gid://shopify/TaxonomyCategory/ae-2-2-4-2-6      : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Coltelli da collezione > Coltelli tattici da collezione
gid://shopify/TaxonomyCategory/ae-2-2-4-3        : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Spade da collezione
gid://shopify/TaxonomyCategory/ae-2-2-4-3-1      : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Spade da collezione > Spade da collezione europee
gid://shopify/TaxonomyCategory/ae-2-2-4-3-2      : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Spade da collezione > Spade da collezione fantasy
gid://shopify/TaxonomyCategory/ae-2-2-4-3-3      : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Spade da collezione > Spade storiche da collezione
gid://shopify/TaxonomyCategory/ae-2-2-4-3-4      : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Spade da collezione > Spade da collezione repliche di film
gid://shopify/TaxonomyCategory/ae-2-2-4-3-5      : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Spade da collezione > Spade da collezione Samurai
gid://shopify/TaxonomyCategory/ae-2-2-4-4        : Arte e svago > Hobby e arti creative > Collezionismo > Armi da collezione > Supporti e vetrine per spade
gid://shopify/TaxonomyCategory/ae-2-2-12         : Arte e svago > Hobby e arti creative > Collezionismo > Fumetti
gid://shopify/TaxonomyCategory/ae-2-2-5          : Arte e svago > Hobby e arti creative > Collezionismo > Francobolli
gid://shopify/TaxonomyCategory/ae-2-2-5-1        : Arte e svago > Hobby e arti creative > Collezionismo > Francobolli > Francobolli commemorativi
gid://shopify/TaxonomyCategory/ae-2-2-5-2        : Arte e svago > Hobby e arti creative > Collezionismo > Francobolli > Francobolli definitivi
gid://shopify/TaxonomyCategory/ae-2-2-5-3        : Arte e svago > Hobby e arti creative > Collezionismo > Francobolli > Buste primo giorno
gid://shopify/TaxonomyCategory/ae-2-2-5-4        : Arte e svago > Hobby e arti creative > Collezionismo > Francobolli > Francobolli singoli
gid://shopify/TaxonomyCategory/ae-2-2-5-6        : Arte e svago > Hobby e arti creative > Collezionismo > Francobolli > Fogli di francobolli
gid://shopify/TaxonomyCategory/ae-2-2-6          : Arte e svago > Hobby e arti creative > Collezionismo > Rocce e fossili
gid://shopify/TaxonomyCategory/ae-2-2-6-1        : Arte e svago > Hobby e arti creative > Collezionismo > Rocce e fossili > Fossili
gid://shopify/TaxonomyCategory/ae-2-2-6-2        : Arte e svago > Hobby e arti creative > Collezionismo > Rocce e fossili > Pietre preziose
gid://shopify/TaxonomyCategory/ae-2-2-6-3        : Arte e svago > Hobby e arti creative > Collezionismo > Rocce e fossili > Minerali
gid://shopify/TaxonomyCategory/ae-2-2-6-4        : Arte e svago > Hobby e arti creative > Collezionismo > Rocce e fossili > Rocce
gid://shopify/TaxonomyCategory/ae-2-2-7          : Arte e svago > Hobby e arti creative > Collezionismo > Accessori per modellini
gid://shopify/TaxonomyCategory/ae-2-2-8          : Arte e svago > Hobby e arti creative > Collezionismo > Modelli in scala
gid://shopify/TaxonomyCategory/ae-2-2-8-1        : Arte e svago > Hobby e arti creative > Collezionismo > Modelli in scala > Aerei
gid://shopify/TaxonomyCategory/ae-2-2-8-2        : Arte e svago > Hobby e arti creative > Collezionismo > Modelli in scala > Autobus
gid://shopify/TaxonomyCategory/ae-2-2-8-3        : Arte e svago > Hobby e arti creative > Collezionismo > Modelli in scala > Automobili
gid://shopify/TaxonomyCategory/ae-2-2-8-4        : Arte e svago > Hobby e arti creative > Collezionismo > Modelli in scala > Dinosauri
gid://shopify/TaxonomyCategory/ae-2-2-8-5        : Arte e svago > Hobby e arti creative > Collezionismo > Modelli in scala > Locomotive di treni espresso
gid://shopify/TaxonomyCategory/ae-2-2-8-6        : Arte e svago > Hobby e arti creative > Collezionismo > Modelli in scala > Elicotteri
gid://shopify/TaxonomyCategory/ae-2-2-8-7        : Arte e svago > Hobby e arti creative > Collezionismo > Modelli in scala > Cavalli
gid://shopify/TaxonomyCategory/ae-2-2-8-8        : Arte e svago > Hobby e arti creative > Collezionismo > Modelli in scala > Moto
gid://shopify/TaxonomyCategory/ae-2-2-8-9        : Arte e svago > Hobby e arti creative > Collezionismo > Modelli in scala > Carro merci ferroviario
gid://shopify/TaxonomyCategory/ae-2-2-8-10       : Arte e svago > Hobby e arti creative > Collezionismo > Modelli in scala > Navi
gid://shopify/TaxonomyCategory/ae-2-2-8-11       : Arte e svago > Hobby e arti creative > Collezionismo > Modelli in scala > Navicella spaziale
gid://shopify/TaxonomyCategory/ae-2-2-8-12       : Arte e svago > Hobby e arti creative > Collezionismo > Modelli in scala > Carri armati
gid://shopify/TaxonomyCategory/ae-2-2-8-13       : Arte e svago > Hobby e arti creative > Collezionismo > Modelli in scala > Treni
gid://shopify/TaxonomyCategory/ae-2-2-8-14       : Arte e svago > Hobby e arti creative > Collezionismo > Modelli in scala > Camion
gid://shopify/TaxonomyCategory/ae-2-2-9          : Arte e svago > Hobby e arti creative > Collezionismo > Sigilli
gid://shopify/TaxonomyCategory/ae-2-2-10         : Arte e svago > Hobby e arti creative > Collezionismo > Collezionismo - Sport
gid://shopify/TaxonomyCategory/ae-2-2-10-1       : Arte e svago > Hobby e arti creative > Collezionismo > Collezionismo - Sport > Accessori tifosi di sport
gid://shopify/TaxonomyCategory/ae-2-2-10-1-1     : Arte e svago > Hobby e arti creative > Collezionismo > Collezionismo - Sport > Accessori tifosi di sport > Striscioni
gid://shopify/TaxonomyCategory/ae-2-2-10-1-2     : Arte e svago > Hobby e arti creative > Collezionismo > Collezionismo - Sport > Accessori tifosi di sport > Cappelli
gid://shopify/TaxonomyCategory/ae-2-2-10-1-3     : Arte e svago > Hobby e arti creative > Collezionismo > Collezionismo - Sport > Accessori tifosi di sport > Figurine
gid://shopify/TaxonomyCategory/ae-2-2-10-1-4     : Arte e svago > Hobby e arti creative > Collezionismo > Collezionismo - Sport > Accessori tifosi di sport > Bandiere
gid://shopify/TaxonomyCategory/ae-2-2-10-1-5     : Arte e svago > Hobby e arti creative > Collezionismo > Collezionismo - Sport > Accessori tifosi di sport > Guanti
gid://shopify/TaxonomyCategory/ae-2-2-10-1-6     : Arte e svago > Hobby e arti creative > Collezionismo > Collezionismo - Sport > Accessori tifosi di sport > Cappelli
gid://shopify/TaxonomyCategory/ae-2-2-10-1-7     : Arte e svago > Hobby e arti creative > Collezionismo > Collezionismo - Sport > Accessori tifosi di sport > Felpe con cappuccio
gid://shopify/TaxonomyCategory/ae-2-2-10-1-8     : Arte e svago > Hobby e arti creative > Collezionismo > Collezionismo - Sport > Accessori tifosi di sport > Maglie
gid://shopify/TaxonomyCategory/ae-2-2-10-1-9     : Arte e svago > Hobby e arti creative > Collezionismo > Collezionismo - Sport > Accessori tifosi di sport > Portachiavi
gid://shopify/TaxonomyCategory/ae-2-2-10-1-10    : Arte e svago > Hobby e arti creative > Collezionismo > Collezionismo - Sport > Accessori tifosi di sport > Spille
gid://shopify/TaxonomyCategory/ae-2-2-10-1-11    : Arte e svago > Hobby e arti creative > Collezionismo > Collezionismo - Sport > Accessori tifosi di sport > Poster
gid://shopify/TaxonomyCategory/ae-2-2-10-1-12    : Arte e svago > Hobby e arti creative > Collezionismo > Collezionismo - Sport > Accessori tifosi di sport > Sciarpe
gid://shopify/TaxonomyCategory/ae-2-2-10-1-14    : Arte e svago > Hobby e arti creative > Collezionismo > Collezionismo - Sport > Accessori tifosi di sport > Calzini
gid://shopify/TaxonomyCategory/ae-2-2-10-1-15    : Arte e svago > Hobby e arti creative > Collezionismo > Collezionismo - Sport > Accessori tifosi di sport > T-Shirt
gid://shopify/TaxonomyCategory/ae-2-2-10-1-16    : Arte e svago > Hobby e arti creative > Collezionismo > Collezionismo - Sport > Accessori tifosi di sport > Decalcomanie da parete
gid://shopify/TaxonomyCategory/ae-2-2-11         : Arte e svago > Hobby e arti creative > Collezionismo > Pubblicità vintage
gid://shopify/TaxonomyCategory/ae-2-3            : Arte e svago > Hobby e arti creative > Produzione casalinga di birra e vino
gid://shopify/TaxonomyCategory/ae-2-3-1          : Arte e svago > Hobby e arti creative > Produzione casalinga di birra e vino > Grano e malto per birra
gid://shopify/TaxonomyCategory/ae-2-3-1-1        : Arte e svago > Hobby e arti creative > Produzione casalinga di birra e vino > Grano e malto per birra > Grano aggiunto
gid://shopify/TaxonomyCategory/ae-2-3-1-2        : Arte e svago > Hobby e arti creative > Produzione casalinga di birra e vino > Grano e malto per birra > Malto base
gid://shopify/TaxonomyCategory/ae-2-3-1-3        : Arte e svago > Hobby e arti creative > Produzione casalinga di birra e vino > Grano e malto per birra > Malto tostato
gid://shopify/TaxonomyCategory/ae-2-3-1-4        : Arte e svago > Hobby e arti creative > Produzione casalinga di birra e vino > Grano e malto per birra > Malto speciale
gid://shopify/TaxonomyCategory/ae-2-3-2          : Arte e svago > Hobby e arti creative > Produzione casalinga di birra e vino > Bottiglie per imbottigliare
gid://shopify/TaxonomyCategory/ae-2-3-3          : Arte e svago > Hobby e arti creative > Produzione casalinga di birra e vino > Kit per la produzione casalinga di birra e vino
gid://shopify/TaxonomyCategory/ae-2-3-3-1        : Arte e svago > Hobby e arti creative > Produzione casalinga di birra e vino > Kit per la produzione casalinga di birra e vino > Kit per la produzione della birra
gid://shopify/TaxonomyCategory/ae-2-3-3-2        : Arte e svago > Hobby e arti creative > Produzione casalinga di birra e vino > Kit per la produzione casalinga di birra e vino > Kit per la preparazione dell'idromele
gid://shopify/TaxonomyCategory/ae-2-3-3-3        : Arte e svago > Hobby e arti creative > Produzione casalinga di birra e vino > Kit per la produzione casalinga di birra e vino > Kit per la vinificazione
gid://shopify/TaxonomyCategory/ae-2-3-4          : Arte e svago > Hobby e arti creative > Produzione casalinga di birra e vino > Produzione di vino
gid://shopify/TaxonomyCategory/ae-2-3-4-1        : Arte e svago > Hobby e arti creative > Produzione casalinga di birra e vino > Produzione di vino > Forniture per la produzione di vino di frutta
gid://shopify/TaxonomyCategory/ae-2-3-4-2        : Arte e svago > Hobby e arti creative > Produzione casalinga di birra e vino > Produzione di vino > Forniture per la produzione di vino rosso
gid://shopify/TaxonomyCategory/ae-2-3-4-3        : Arte e svago > Hobby e arti creative > Produzione casalinga di birra e vino > Produzione di vino > Forniture per la produzione di vino rosé
gid://shopify/TaxonomyCategory/ae-2-3-4-4        : Arte e svago > Hobby e arti creative > Produzione casalinga di birra e vino > Produzione di vino > Forniture per la produzione di vino bianco
gid://shopify/TaxonomyCategory/ae-2-4            : Arte e svago > Hobby e arti creative > Giocoleria
gid://shopify/TaxonomyCategory/ae-2-4-1          : Arte e svago > Hobby e arti creative > Giocoleria > Palle da giocoleria
gid://shopify/TaxonomyCategory/ae-2-4-2          : Arte e svago > Hobby e arti creative > Giocoleria > Devil Stick
gid://shopify/TaxonomyCategory/ae-2-4-3          : Arte e svago > Hobby e arti creative > Giocoleria > Diabolos
gid://shopify/TaxonomyCategory/ae-2-4-4          : Arte e svago > Hobby e arti creative > Giocoleria > Palle da giocoliere
gid://shopify/TaxonomyCategory/ae-2-4-5          : Arte e svago > Hobby e arti creative > Giocoleria > Club di giocoleria
gid://shopify/TaxonomyCategory/ae-2-4-6          : Arte e svago > Hobby e arti creative > Giocoleria > Anelli da giocoleria
