# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : การออกแบบการสวมใส่แว่น 3D
gid://shopify/TaxonomyAttribute/3078  : คุณลักษณะเซิร์ฟเวอร์คอมพิวเตอร์
gid://shopify/TaxonomyAttribute/3077  : คุณลักษณะพิเศษของคอมพิวเตอร์
gid://shopify/TaxonomyAttribute/7707  : ระดับความเข้มข้น
gid://shopify/TaxonomyAttribute/8209  : ประเภทความเข้มข้น
gid://shopify/TaxonomyAttribute/9297  : ขาตั้งกลองเบสคอนเสิร์ต
gid://shopify/TaxonomyAttribute/9298  : มาตรฐานระดับเสียงคอนเสิร์ต
gid://shopify/TaxonomyAttribute/2463  : รูปร่างภายนอกของปุ่มคอนเซอร์ตินา
gid://shopify/TaxonomyAttribute/7708  : รูปแบบเครื่องปรุงรส
gid://shopify/TaxonomyAttribute/7709  : เนื้อสัมผัสของเครื่องปรุง
gid://shopify/TaxonomyAttribute/2360  : สภาพสินค้า
gid://shopify/TaxonomyAttribute/1652  : ผลครีมนวดผม
gid://shopify/TaxonomyAttribute/5194  : ความเข้ากันได้ของถุงยางอนามัย
gid://shopify/TaxonomyAttribute/5113  : ประเภทความพอดีของถุงยางอนามัย
gid://shopify/TaxonomyAttribute/1557  : ประเภทถุงยางอนามัย
gid://shopify/TaxonomyAttribute/5114  : การใช้งานเจลนำไฟฟ้า
gid://shopify/TaxonomyAttribute/5481  : ประเภทแกนตัวนำ
gid://shopify/TaxonomyAttribute/9299  : รูปแบบคอนเฟตติ
gid://shopify/TaxonomyAttribute/9300  : ระบบปรับความตึงหัวคองก้า
gid://shopify/TaxonomyAttribute/9301  : ประเภทของกลองที่รวมอยู่ในชุดกลองคองกา
gid://shopify/TaxonomyAttribute/2144  : เธรดการเชื่อมต่อ
gid://shopify/TaxonomyAttribute/2028  : วิธีเชื่อมต่อ
gid://shopify/TaxonomyAttribute/1811  : ประเภทการเชื่อมต่อ
gid://shopify/TaxonomyAttribute/1272  : เทคโนโลยีการเชื่อมต่อ
gid://shopify/TaxonomyAttribute/5485  : ประเภทการเชื่อมต่อ
gid://shopify/TaxonomyAttribute/5561  : ประเภทขั้วต่อ 1
gid://shopify/TaxonomyAttribute/5560  : ประเภทขั้วต่อ 2
gid://shopify/TaxonomyAttribute/8210  : รูปแบบเคสตัวเชื่อมต่อ
gid://shopify/TaxonomyAttribute/5550  : การชุบหน้าสัมผัสขั้วต่อ
gid://shopify/TaxonomyAttribute/2129  : การออกแบบตัวเชื่อมต่อ
gid://shopify/TaxonomyAttribute/1830  : เพศของตัวเชื่อมต่อ
gid://shopify/TaxonomyAttribute/5549  : รูปแบบการติดตั้งขั้วต่อ
gid://shopify/TaxonomyAttribute/5551  : ทิศทางขั้วต่อ
gid://shopify/TaxonomyAttribute/5650  : ตำแหน่งขั้วต่อ
gid://shopify/TaxonomyAttribute/5480  : ประเภทขั้วต่อ
gid://shopify/TaxonomyAttribute/5421  : อุปกรณ์เสริมคอนโซลที่รวมอยู่
gid://shopify/TaxonomyAttribute/8211  : วิธีการติดตั้งฝาครอบคอนโซล
gid://shopify/TaxonomyAttribute/7295  : ประเภทจอแสดงผลคอนโซล
gid://shopify/TaxonomyAttribute/1969  : ระบบคอนโซล
gid://shopify/TaxonomyAttribute/5422  : ประเภทคอนโซล
gid://shopify/TaxonomyAttribute/1629  : ส่วนผสมที่เป็นส่วนประกอบ
gid://shopify/TaxonomyAttribute/5678  : การจัดทำ
gid://shopify/TaxonomyAttribute/7296  : การออกแบบโครงสร้าง
gid://shopify/TaxonomyAttribute/2770  : ธีมชุดก่อสร้าง
gid://shopify/TaxonomyAttribute/7297  : มุมสัมผัส
gid://shopify/TaxonomyAttribute/9302  : ประเภทของวัสดุที่ใช้เติมในลูกบอลคอนแทคจั๊กกลิ้ง
gid://shopify/TaxonomyAttribute/9303  : ระดับความโปร่งแสงของลูกบอลคอนแทคจั๊กกลิ้ง
gid://shopify/TaxonomyAttribute/5216  : อุปกรณ์เสริมตลับคอนแทคเลนส์ที่รวมมาให้
gid://shopify/TaxonomyAttribute/5217  : คุณสมบัติตลับคอนแทคเลนส์
gid://shopify/TaxonomyAttribute/5221  : วัสดุคอนแทคเลนส์
gid://shopify/TaxonomyAttribute/5578  : วัสดุหน้าสัมผัส
gid://shopify/TaxonomyAttribute/9304  : วัสดุพื้นผิวจุดสัมผัส
gid://shopify/TaxonomyAttribute/7710  : วัสดุที่ใช้ทำบรรจุภัณฑ์
gid://shopify/TaxonomyAttribute/7298  : การกำจัดสารปนเปื้อน
gid://shopify/TaxonomyAttribute/9305  : รูปทรงตัวคลาริเน็ตคอนทราอัลโต
gid://shopify/TaxonomyAttribute/9306  : การขยายเสียงต่ำสุดของคลาริเน็ตคอนทราอัลโต
gid://shopify/TaxonomyAttribute/9307  : คลาริเน็ตคอนทราเบสแบบปากลำโพง
gid://shopify/TaxonomyAttribute/9308  : ประเภทรูภายในของคลาริเน็ตคอนทราเบส
gid://shopify/TaxonomyAttribute/9309  : โน้ตที่เขียนต่ำที่สุดของคลาริเน็ตคอนทราเบส
gid://shopify/TaxonomyAttribute/1990  : ตัดกัน
gid://shopify/TaxonomyAttribute/1955  : อัตราความคมชัด (ทั่วไป)
gid://shopify/TaxonomyAttribute/8212  : วัสดุของบูชปีกนก
gid://shopify/TaxonomyAttribute/8213  : รวมบูชปีกนก
gid://shopify/TaxonomyAttribute/8214  : พื้นผิวเคลือบของปีกนก
gid://shopify/TaxonomyAttribute/8215  : ประเภทของหัวอัดจาระบีของปีกนก
gid://shopify/TaxonomyAttribute/8216  : วัสดุแขนควบคุม
gid://shopify/TaxonomyAttribute/8217  : ตำแหน่งการติดตั้งของปีกนก
gid://shopify/TaxonomyAttribute/8218  : สไตล์แขนควบคุม
gid://shopify/TaxonomyAttribute/8219  : ประเภทขั้วต่อสายควบคุม
gid://shopify/TaxonomyAttribute/2413  : ฟังก์ชันการควบคุม
gid://shopify/TaxonomyAttribute/5456  : อินเทอร์เฟซควบคุม
gid://shopify/TaxonomyAttribute/2558  : วิธีการควบคุม
gid://shopify/TaxonomyAttribute/5101  : ระดับสารละลายควบคุม
gid://shopify/TaxonomyAttribute/1359  : เทคโนโลยีการควบคุม
gid://shopify/TaxonomyAttribute/1331  : ประเภทการควบคุม
gid://shopify/TaxonomyAttribute/9310  : การเชื่อมต่อระบบแรงดันไฟควบคุมหรือเกต
gid://shopify/TaxonomyAttribute/2556  : การออกแบบตัวควบคุม
gid://shopify/TaxonomyAttribute/2559  : ประเภทไดรฟ์ตัวควบคุม
gid://shopify/TaxonomyAttribute/7299  : ฟังก์ชันของตัวควบคุม
gid://shopify/TaxonomyAttribute/8220  : ประเภทตัวควบคุม
gid://shopify/TaxonomyAttribute/5539  : ทิศทางการแปลง
gid://shopify/TaxonomyAttribute/8221  : ระบบระบายความร้อนของชุดอุปกรณ์ดัดแปลง
gid://shopify/TaxonomyAttribute/8222  : ระดับความซับซ้อนในการติดตั้งชุดแปลง
gid://shopify/TaxonomyAttribute/6894  : ขนาดเตียงที่ปรับเปลี่ยนแล้ว
gid://shopify/TaxonomyAttribute/1986  : การทำงานของตัวแปลง
gid://shopify/TaxonomyAttribute/6895  : การกำหนดค่าแบบปรับเปลี่ยนได้
gid://shopify/TaxonomyAttribute/6896  : โหมดเก้าอี้ทานอาหารเด็กแบบปรับเปลี่ยนได้
gid://shopify/TaxonomyAttribute/2584  : การทำงานของสายพานลำเลียง
gid://shopify/TaxonomyAttribute/7711  : รวมการตกแต่งคุกกี้ในรายการด้วย
gid://shopify/TaxonomyAttribute/7712  : คุกกี้หลากหลายชนิด
gid://shopify/TaxonomyAttribute/4049  : ช่องประกอบอาหาร
gid://shopify/TaxonomyAttribute/5815  : ส่วนประกอบหลักของเชื้อเพลิงเจลสำหรับทำอาหาร
gid://shopify/TaxonomyAttribute/1493  : วิธีทำอาหาร
gid://shopify/TaxonomyAttribute/7713  : สถานะการปรุงอาหาร
gid://shopify/TaxonomyAttribute/5816  : พื้นผิวของเตาปรุงอาหาร
gid://shopify/TaxonomyAttribute/5817  : การออกแบบเทอร์โมมิเตอร์วัดอุณหภูมิอาหาร
gid://shopify/TaxonomyAttribute/1487  : ลักษณะไวน์สำหรับปรุงอาหาร
gid://shopify/TaxonomyAttribute/5818  : วัสดุเคลือบผิวเครื่องครัว
gid://shopify/TaxonomyAttribute/5819  : ประเภทของการเคลือบเครื่องครัว
gid://shopify/TaxonomyAttribute/3361  : รวมอุปกรณ์เครื่องครัว
gid://shopify/TaxonomyAttribute/5820  : รูปแบบฝาปิดเครื่องครัว
gid://shopify/TaxonomyAttribute/3147  : คุณลักษณะเครื่องครัว/อุปกรณ์ทำเบเกอรี่
gid://shopify/TaxonomyAttribute/2811  : วัสดุที่ใช้ทำเครื่องครัว/อุปกรณ์ทำเบเกอรี่
gid://shopify/TaxonomyAttribute/8223  : วัตถุประสงค์ของสารเติมแต่งน้ำหล่อเย็น
gid://shopify/TaxonomyAttribute/8224  : น้ำยาหล่อเย็นพื้นฐาน
gid://shopify/TaxonomyAttribute/8225  : รูปแบบการเชื่อมต่อช่องระบายความร้อน
gid://shopify/TaxonomyAttribute/8226  : องศาของคอห่อน้ำยาหล่อเย็น
gid://shopify/TaxonomyAttribute/8227  : เทคโนโลยีน้ำยาหล่อเย็น
gid://shopify/TaxonomyAttribute/8228  : ช่องต่อเซ็นเซอร์อุณหภูมิน้ำหล่อเย็น
gid://shopify/TaxonomyAttribute/8229  : ประเภทซีลเซ็นเซอร์อุณหภูมิน้ำหล่อเย็น
gid://shopify/TaxonomyAttribute/5821  : รูปแบบของกล่องเก็บความเย็น
gid://shopify/TaxonomyAttribute/8230  : ส่วนประกอบระบบหล่อเย็นที่รวมอยู่ในสินค้า
gid://shopify/TaxonomyAttribute/8231  : ขั้นตอนการล้างทำความสะอาดระบบหล่อเย็น
gid://shopify/TaxonomyAttribute/8232  : ประเภทระบบระบายความร้อน
gid://shopify/TaxonomyAttribute/1872  : เทคโนโลยีระบายความร้อน
gid://shopify/TaxonomyAttribute/2118  : ระบบยึดสายไฟ
gid://shopify/TaxonomyAttribute/9311  : วัสดุที่ใช้ทำเชือก
gid://shopify/TaxonomyAttribute/5003  : ย่านความถี่โทรศัพท์ไร้สาย
gid://shopify/TaxonomyAttribute/9312  : ประเภทของแกนสาย (สำหรับสายเบส)
gid://shopify/TaxonomyAttribute/9313  : วัสดุฐานของจาระบีทาไม้ก๊อก
gid://shopify/TaxonomyAttribute/9314  : รูปแบบจาระบีไม้ก๊อก
gid://shopify/TaxonomyAttribute/5822  : อุปกรณ์เสริมสำหรับที่เปิดขวดไวน์ที่รวมอยู่ในชุด
gid://shopify/TaxonomyAttribute/5823  : ประเภทบานพับของที่เปิดขวดไวน์
gid://shopify/TaxonomyAttribute/5824  : อุปกรณ์ที่มาพร้อมกับที่เปิดขวดไวน์
gid://shopify/TaxonomyAttribute/7714  : การนำเสนอข้าวโพด
gid://shopify/TaxonomyAttribute/7715  : น้ำเชื่อมข้าวโพดชนิดต่างๆ
gid://shopify/TaxonomyAttribute/7716  : พันธุ์ข้าวโพด
gid://shopify/TaxonomyAttribute/7300  : ความเข้ากันได้กับมุม
gid://shopify/TaxonomyAttribute/7301  : คุณสมบัติเฉพาะของธงมุมสนาม
gid://shopify/TaxonomyAttribute/9315  : ปากเป่าคอร์เน็ตแบบก้าน
gid://shopify/TaxonomyAttribute/7302  : การรับรองโดยลีกคอร์นโฮล
gid://shopify/TaxonomyAttribute/3155  : คุณลักษณะของคอเรคเตอร์
gid://shopify/TaxonomyAttribute/8233  : ความทนทานต่อการกัดกร่อน
gid://shopify/TaxonomyAttribute/8234  : ระดับความต้านทานการกัดกร่อน
gid://shopify/TaxonomyAttribute/2494  : ช่อดอกไม้ขนาดเล็กติดชุดเจ้าสาว/เจ้าบ่าว
gid://shopify/TaxonomyAttribute/1857  : สภาพเครื่องสำอาง
gid://shopify/TaxonomyAttribute/1614  : ฟุนิชลุคเครื่องสำอาง
gid://shopify/TaxonomyAttribute/1630  : ฟังก์ชันเครื่องสำอาง
gid://shopify/TaxonomyAttribute/5242  : ประเภทชุดเครื่องสำอาง
gid://shopify/TaxonomyAttribute/6663  : ส่วนประกอบของเครื่องแต่งกาย ได้แก่
gid://shopify/TaxonomyAttribute/2564  : ธีมเครื่องแต่งกาย
gid://shopify/TaxonomyAttribute/5303  : ขนาดสำลีก้อน
gid://shopify/TaxonomyAttribute/9316  : ประเภทการทอผ้าฝ้าย
gid://shopify/TaxonomyAttribute/2577  : รูปร่างเคาน์เตอร์
gid://shopify/TaxonomyAttribute/7303  : ประเภทตัวนับ
gid://shopify/TaxonomyAttribute/7304  : วัสดุสำหรับบรรจุตุ้มถ่วง
gid://shopify/TaxonomyAttribute/7305  : ประเภทตุ้มถ่วง
gid://shopify/TaxonomyAttribute/2364  : ประเทศ
gid://shopify/TaxonomyAttribute/9317  : ระบบข้อต่อ
gid://shopify/TaxonomyAttribute/7306  : ความเหมาะสมของพื้นสนาม
gid://shopify/TaxonomyAttribute/1784  : การออกแบบฝาปิด
gid://shopify/TaxonomyAttribute/3012  : คุณลักษณะของที่ครอบ
gid://shopify/TaxonomyAttribute/7307  : รูปแบบการคลุมของผ้าคลุม
gid://shopify/TaxonomyAttribute/8235  : ประเภทการหุ้ม
gid://shopify/TaxonomyAttribute/1341  : วัสดุหุ้ม
gid://shopify/TaxonomyAttribute/2707  : ประเภทปก
gid://shopify/TaxonomyAttribute/5261  : ระดับการปกปิด
gid://shopify/TaxonomyAttribute/2659  : ภูมิภาคที่ครอบคลุม
gid://shopify/TaxonomyAttribute/9318  : ประเภทของไม้ตีคาวเบลล์
gid://shopify/TaxonomyAttribute/9319  : วิธีการติดตั้งคาวเบลล์
gid://shopify/TaxonomyAttribute/9320  : ลักษณะเสียงกระดิ่งวัว
gid://shopify/TaxonomyAttribute/6897  : ความจุของเปล
gid://shopify/TaxonomyAttribute/9321  : การใช้งานเครื่อง Craft /ปั๊มลายนูนงานฝีมือ
gid://shopify/TaxonomyAttribute/3277  : ประเภทคัตเตอร์/เครื่องปั๊มลายนูนสำหรับงานฝีมือ
gid://shopify/TaxonomyAttribute/9322  : อุปกรณ์เสริมที่มีมาให้ในชุดของเครื่องทำของตกแต่งงานฝีมือ
gid://shopify/TaxonomyAttribute/3278  : ประเภทเครื่องตกแต่งงานฝีมือ
gid://shopify/TaxonomyAttribute/9323  : วิธี Craft คราฟฟอยล์
gid://shopify/TaxonomyAttribute/9324  : รูปแบบของแผ่นฟอยล์งานฝีมือ
gid://shopify/TaxonomyAttribute/9325  : ตกแต่งด้วยกาว Craft
gid://shopify/TaxonomyAttribute/2345  : การออกแบบมีดงานฝีมือ
gid://shopify/TaxonomyAttribute/9326  : การใช้งานแม่เหล็กงานฝีมือ
gid://shopify/TaxonomyAttribute/9327  : ระดับความแรงในการยึดเกาะของแม่เหล็กงานฝีมือ
gid://shopify/TaxonomyAttribute/9328  : คุณสมบัติการจัดเก็บอุปกรณ์ Craft
gid://shopify/TaxonomyAttribute/3273  : การออกแบบลวดล้างไปป์สำหรับงานฝีมือ
gid://shopify/TaxonomyAttribute/2321  : ประเภทโครงการหัตถกรรม
gid://shopify/TaxonomyAttribute/9329  : กระดานให้คะแนน Craft พร้อมอุปกรณ์เสริม
gid://shopify/TaxonomyAttribute/9330  : ระบบวัดคะแนน Craft
gid://shopify/TaxonomyAttribute/9331  : Craft /เคลือบผิวลวดงานฝีมือ
gid://shopify/TaxonomyAttribute/9332  : การเตรียมพื้นผิวไม้ Craft
gid://shopify/TaxonomyAttribute/2329  : ประเภทโครงการงานฝีมือ/การปั้นโมเดล
gid://shopify/TaxonomyAttribute/3015  : คุณลักษณะกรอบใส่/ขึงงานฝีมือ
gid://shopify/TaxonomyAttribute/3013  : คุณลักษณะเบาะ/แผ่นรองงานฝีมือ
gid://shopify/TaxonomyAttribute/2873  : ประเภทอุปกรณ์ยึดแครมปอน
gid://shopify/TaxonomyAttribute/7308  : ส่วนต่อประสานแกนข้อเหวี่ยง
gid://shopify/TaxonomyAttribute/8236  : เพลาข้อเหวี่ยงยังคงมีเหลือแบบ
gid://shopify/TaxonomyAttribute/8237  : รูปแบบรูยึดเพลาข้อเหวี่ยง
gid://shopify/TaxonomyAttribute/8238  : ประเภทล้อเฟืองสำหรับเซ็นเซอร์เพลาข้อเหวี่ยง
gid://shopify/TaxonomyAttribute/6395  : อุปกรณ์เสริมสำหรับเกมแครปส์ที่รวมมาในชุด
gid://shopify/TaxonomyAttribute/9333  : รูปทรงส่วนโค้งและความนูนของฉาบแครช
gid://shopify/TaxonomyAttribute/9334  : ลักษณะเสียงฉาบ
gid://shopify/TaxonomyAttribute/7309  : ระดับขนาดของเบาะรองกันตก
gid://shopify/TaxonomyAttribute/8239  : ระดับความสมบูรณ์ในการประกอบของเครื่องยนต์สำเร็จรูป
gid://shopify/TaxonomyAttribute/7717  : ส่วนผสมหลักของครีม
gid://shopify/TaxonomyAttribute/7718  : ส่วนผสมหลักของครีมชีส
gid://shopify/TaxonomyAttribute/7719  : รูปแบบของครีมชีส
gid://shopify/TaxonomyAttribute/7720  : ครีมหลากหลายชนิด
gid://shopify/TaxonomyAttribute/5131  : ประเภทครีเอทีน
gid://shopify/TaxonomyAttribute/2293  : ประเภทโครงการงานศิลปะสร้างสรรค์
gid://shopify/TaxonomyAttribute/6898  : คุณสมบัติของอุปกรณ์เสริมสำหรับเปลเด็ก
gid://shopify/TaxonomyAttribute/6899  : คุณสมบัติเฉพาะของนวมกันกระแทกเตียงเด็กอ่อน
gid://shopify/TaxonomyAttribute/6900  : ส่วนประกอบของชุดแปลงเตียงเด็ก
gid://shopify/TaxonomyAttribute/3104  : คุณลักษณะเตียงเด็กเล็ก
gid://shopify/TaxonomyAttribute/7310  : ระดับเกรดของลูกคริกเก็ต
gid://shopify/TaxonomyAttribute/7311  : รูปแบบโครงสร้างจำนวนชิ้นส่วนของลูกคริกเก็ต
gid://shopify/TaxonomyAttribute/7312  : ประเภทลูกคริกเก็ต
gid://shopify/TaxonomyAttribute/7313  : ประเภทอุปกรณ์เสริมไม้คริกเก็ต
gid://shopify/TaxonomyAttribute/7314  : ขนาดไม้คริกเก็ต
gid://shopify/TaxonomyAttribute/7315  : ความเข้ากันได้ของขนาดไม้คริกเก็ต
gid://shopify/TaxonomyAttribute/2849  : รวมอุปกรณ์คริกเก็ต
gid://shopify/TaxonomyAttribute/7316  : บทบาทของหมวกกันน็อคคริกเก็ต
gid://shopify/TaxonomyAttribute/7317  : อุปกรณ์ป้องกันขาสำหรับกีฬาคริกเก็ต
gid://shopify/TaxonomyAttribute/7318  : บทบาทของสนับขาคริกเก็ต
gid://shopify/TaxonomyAttribute/7319  : ระดับการป้องกันคริกเก็ต
gid://shopify/TaxonomyAttribute/7320  : ประเภทฐานเสาคริกเก็ต
gid://shopify/TaxonomyAttribute/7321  : คุณสมบัติเฉพาะของเป้าซ้อมหลักคริกเก็ต
gid://shopify/TaxonomyAttribute/7322  : ประเภทของหลักคริกเก็ต
gid://shopify/TaxonomyAttribute/7323  : จุดเน้นการฝึกคริกเก็ต
gid://shopify/TaxonomyAttribute/7324  : ส่วนประกอบของชุดคร็อกเก้ที่รวมอยู่ในชุด
gid://shopify/TaxonomyAttribute/9335  : สัญลักษณ์แผนผังปักครอสติช
gid://shopify/TaxonomyAttribute/9336  : ประเภทการตกแต่งแบบปักครอสติช
gid://shopify/TaxonomyAttribute/9340  : เทคนิคการปักครอสติช
gid://shopify/TaxonomyAttribute/7325  : ระบบผูกมัดข้ามประเทศ
gid://shopify/TaxonomyAttribute/9337  : กลไกยึดผ้าบนกรอบปักครอสติช
gid://shopify/TaxonomyAttribute/9338  : ส่วนประกอบที่มีมาให้ในชุดของเฟรมปักครอสติส
gid://shopify/TaxonomyAttribute/9339  : ประเภทกรอบปักครอสติช
gid://shopify/TaxonomyAttribute/8240  : Shapesคานขวาง / โปรไฟล์
gid://shopify/TaxonomyAttribute/7326  : สไตล์คานขวาง
gid://shopify/TaxonomyAttribute/7327  : ประเภทหน้าไม้
gid://shopify/TaxonomyAttribute/8241  : ส่วนประกอบครอสโอเวอร์
gid://shopify/TaxonomyAttribute/8242  : การกำหนดค่าครอสโอเวอร์
gid://shopify/TaxonomyAttribute/8243  : ประเภทครอสโอเวอร์
gid://shopify/TaxonomyAttribute/6664  : รูปทรงส่วนยอดของชิ้นส่วน
gid://shopify/TaxonomyAttribute/6665  : สไตล์มงกุฎ
gid://shopify/TaxonomyAttribute/5825  : วิธีการบีบอัด
gid://shopify/TaxonomyAttribute/5826  : ระดับความเหลืองกรอบของเปลือกขนมปัง
gid://shopify/TaxonomyAttribute/7721  : ลักษณะเด่นของรสชาติแป้งพาย
gid://shopify/TaxonomyAttribute/5072  : ประเภทการพับไม้ค้ำ
gid://shopify/TaxonomyAttribute/1589  : ประเภทไม้ค้ำยัน
gid://shopify/TaxonomyAttribute/9341  : ผิวเคลือบคริสตัล
gid://shopify/TaxonomyAttribute/6666  : วัสดุคริสตัล
gid://shopify/TaxonomyAttribute/2375  : ระบบคริสตัล
gid://shopify/TaxonomyAttribute/9342  : สไตล์ผิวเคลือบคริสตัล
gid://shopify/TaxonomyAttribute/7722  : แตงกวาพันธุ์ต่างๆ
gid://shopify/TaxonomyAttribute/7328  : ความเข้ากันได้ของไม้คิว
gid://shopify/TaxonomyAttribute/7329  : โครงสร้างของไม้คิว
gid://shopify/TaxonomyAttribute/7330  : วัสดุที่ทำหัวไม้คิว
gid://shopify/TaxonomyAttribute/7331  : ความเข้ากันได้กับประเภทกีฬาที่ใช้ไม้คิว
gid://shopify/TaxonomyAttribute/1239  : สไตล์ไม้คิว
gid://shopify/TaxonomyAttribute/7332  : ขนาดเกลียวของไม้คิว
gid://shopify/TaxonomyAttribute/7333  : ความแข็งของหัวคิว
gid://shopify/TaxonomyAttribute/1240  : ประเภทไม้คิว
gid://shopify/TaxonomyAttribute/1241  : หนังหุ้มไม้คิว
gid://shopify/TaxonomyAttribute/5105  : ประเภทขั้วต่อผ้าพันแขน
gid://shopify/TaxonomyAttribute/7334  : ความสูงของขอบข้อมือ
gid://shopify/TaxonomyAttribute/7335  : ตำแหน่งของข้อมือ
gid://shopify/TaxonomyAttribute/5104  : หมวดหมู่ขนาดผ้าพันแขน
gid://shopify/TaxonomyAttribute/5071  : สไตล์ข้อพับ
gid://shopify/TaxonomyAttribute/1495  : มื้ออาหาร
gid://shopify/TaxonomyAttribute/1447  : ชื่อชื่อพืชสำหรับทำอาหาร
gid://shopify/TaxonomyAttribute/5827  : ประเภทพันธุ์
gid://shopify/TaxonomyAttribute/7723  : วิธีการเพาะปลูก
gid://shopify/TaxonomyAttribute/5828  : ประเภทของเครื่องพรวนดิน
gid://shopify/TaxonomyAttribute/17    : ขนาดถ้วย
gid://shopify/TaxonomyAttribute/9343  : ประเภทถ้วย
gid://shopify/TaxonomyAttribute/5829  : คุณสมบัติของเครื่องอุ่นถ้วย
gid://shopify/TaxonomyAttribute/7724  : ขนาดคัพเค้ก
gid://shopify/TaxonomyAttribute/7725  : ขนาดลิ่มน้ำนม
gid://shopify/TaxonomyAttribute/7336  : วิธีการบ่ม
gid://shopify/TaxonomyAttribute/5278  : วิธีการบ่ม
gid://shopify/TaxonomyAttribute/7726  : วิธีการบ่มหรือการเตรียม
gid://shopify/TaxonomyAttribute/5246  : วัสดุแผ่นรองที่ดัดขนตา
gid://shopify/TaxonomyAttribute/5244  : ความเข้ากันได้กับขนาดที่ดัดขนตา
gid://shopify/TaxonomyAttribute/1650  : ประเภทที่ดัดผม
gid://shopify/TaxonomyAttribute/7337  : วัสดุของหัวไม้กวาดเคอร์ลิง
gid://shopify/TaxonomyAttribute/7338  : ประเภทของหัวไม้กวาดเคอร์ลิง
gid://shopify/TaxonomyAttribute/7339  : วัสดุของแผ่นสไลด์รองเท้าเคอร์ลิง
gid://shopify/TaxonomyAttribute/7340  : อุปกรณ์ช่วยฝึกซ้อมกีฬาเคอร์ลิง
gid://shopify/TaxonomyAttribute/1791  : สกุลเงิน
gid://shopify/TaxonomyAttribute/2610  : ประเภทสกุลเงิน
gid://shopify/TaxonomyAttribute/7727  : ประเภทของแกงกะหรี่
gid://shopify/TaxonomyAttribute/5830  : สไตล์หัวผ้าม่าน
gid://shopify/TaxonomyAttribute/5831  : ประเภทของซับในผ้าม่าน
gid://shopify/TaxonomyAttribute/5832  : ประเภทของราวผ้าม่าน
gid://shopify/TaxonomyAttribute/5328  : การออกแบบเบาะ
gid://shopify/TaxonomyAttribute/7341  : โปรไฟล์ยางกันกระแทก
gid://shopify/TaxonomyAttribute/6667  : ระดับของระบบรองรับแรงกระแทก
gid://shopify/TaxonomyAttribute/9344  : ประเภทเนื้อหาฉลากแบบกำหนดเอง
gid://shopify/TaxonomyAttribute/2654  : ช่องทางการช่วยเหลือลูกค้า
gid://shopify/TaxonomyAttribute/9345  : ประเภทการปรับแต่ง
gid://shopify/TaxonomyAttribute/7728  : รูปแบบการหั่นหรือการเตรียมวัตถุดิบ
gid://shopify/TaxonomyAttribute/7342  : ระดับความต้านทานการตัด
gid://shopify/TaxonomyAttribute/9346  : ประเภทการตัด
gid://shopify/TaxonomyAttribute/3367  : ตัวเลือกเครื่องตัด
gid://shopify/TaxonomyAttribute/9347  : การใช้งานสำหรับการตัด
gid://shopify/TaxonomyAttribute/5833  : หน้าที่ของแผ่นตัด
gid://shopify/TaxonomyAttribute/5834  : ประเภทหัวตัด
gid://shopify/TaxonomyAttribute/9348  : แผ่นรองตัดแบบ Grid
gid://shopify/TaxonomyAttribute/9349  : แผ่นรองตัดมีวัตถุประสงค์การใช้งานอย่างไร
gid://shopify/TaxonomyAttribute/5835  : ประเภทกลไกการตัด
gid://shopify/TaxonomyAttribute/1422  : วิธีการตัด
gid://shopify/TaxonomyAttribute/7343  : ความกระชับของชุดปั่นจักรยาน
gid://shopify/TaxonomyAttribute/1278  : สไตล์การขี่จักรยาน
gid://shopify/TaxonomyAttribute/5836  : ประเภทตัวเชื่อมต่อถัง
gid://shopify/TaxonomyAttribute/8248  : ชุดฝาสูบ
gid://shopify/TaxonomyAttribute/8249  : เกรดวัสดุของฝาสูบ
gid://shopify/TaxonomyAttribute/8250  : ตำแหน่งของฝาสูบ
gid://shopify/TaxonomyAttribute/5083  : การกำหนดขนาดถัง
gid://shopify/TaxonomyAttribute/9355  : รูปแบบและการจัดวางล้อของกระเป๋าใส่ฉาบและกลอง
gid://shopify/TaxonomyAttribute/9350  : โลหะผสมฉาบ
gid://shopify/TaxonomyAttribute/9351  : การใช้งานฉาบ
gid://shopify/TaxonomyAttribute/9352  : รูปแบบข้อต่อสำหรับการติดตั้งแขนจับฉาบ
gid://shopify/TaxonomyAttribute/9353  : คุณลักษณะด้านการหมุนและการจัดวางตำแหน่งของขาจับฉาบ
gid://shopify/TaxonomyAttribute/9354  : รูปแบบของแขนจับฉาบ
gid://shopify/TaxonomyAttribute/9356  : สไตล์การตีฉาบ
gid://shopify/TaxonomyAttribute/9357  : ส่วนประกอบของชุดฉาบที่รวมมาด้วย
gid://shopify/TaxonomyAttribute/9358  : รายการฉาบที่รวมอยู่อยู่ในชุด
gid://shopify/TaxonomyAttribute/9359  : การกลึงฉาบ
gid://shopify/TaxonomyAttribute/9360  : สไตล์/แนวเพลงการเล่นฉาบ
gid://shopify/TaxonomyAttribute/9361  : การกำหนดค่าชุดฉาบ
gid://shopify/TaxonomyAttribute/9362  : ลักษณะเสียงฉาบ
gid://shopify/TaxonomyAttribute/9363  : ความกังวานของเสียงฉาบ
gid://shopify/TaxonomyAttribute/9364  : ประเภทฉาบ
