# Shopify Product Taxonomy - Categories: 2025-09
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Potreby pre zvieratá a domácich miláčikov
gid://shopify/TaxonomyCategory/bi-23-6-3-4       : Obchod a priemysel > Vedecké laboratórium > Laboratórne potreby > Laboratórne banky > Odmerné laboratórne banky
gid://shopify/TaxonomyCategory/bi-23-6-4         : Obchod a priemysel > Vedecké laboratórium > Laboratórne potreby > Petriho misky
gid://shopify/TaxonomyCategory/bi-23-6-5         : Obchod a priemysel > Vedecké laboratórium > Laboratórne potreby > Pipety
gid://shopify/TaxonomyCategory/bi-23-6-5-1       : Obchod a priemysel > Vedecké laboratórium > Laboratórne potreby > Pipety > Odmerné pipety
gid://shopify/TaxonomyCategory/bi-23-6-5-2       : Obchod a priemysel > Vedecké laboratórium > Laboratórne potreby > Pipety > Mikropipety
gid://shopify/TaxonomyCategory/bi-23-6-5-3       : Obchod a priemysel > Vedecké laboratórium > Laboratórne potreby > Pipety > Odmerné pipety
gid://shopify/TaxonomyCategory/bi-23-6-6         : Obchod a priemysel > Vedecké laboratórium > Laboratórne potreby > Stojany na skúmavky
gid://shopify/TaxonomyCategory/bi-23-6-7         : Obchod a priemysel > Vedecké laboratórium > Laboratórne potreby > Skúmavky
gid://shopify/TaxonomyCategory/bi-23-6-8         : Obchod a priemysel > Vedecké laboratórium > Laboratórne potreby > Umyte fľaše
gid://shopify/TaxonomyCategory/bi-24             : Obchod a priemysel > Označenia
gid://shopify/TaxonomyCategory/bi-24-1           : Obchod a priemysel > Označenia > Označenie úradných hodín
gid://shopify/TaxonomyCategory/bi-24-2           : Obchod a priemysel > Označenia > Digitálne nápisy
gid://shopify/TaxonomyCategory/bi-24-3           : Obchod a priemysel > Označenia > Elektrické nápisy
gid://shopify/TaxonomyCategory/bi-24-3-1         : Obchod a priemysel > Označenia > Elektrické nápisy > LED nápisy
gid://shopify/TaxonomyCategory/bi-24-3-2         : Obchod a priemysel > Označenia > Elektrické nápisy > Neónové nápisy
gid://shopify/TaxonomyCategory/bi-24-4           : Obchod a priemysel > Označenia > Označenie núdzového východu
gid://shopify/TaxonomyCategory/bi-24-5           : Obchod a priemysel > Označenia > Identifikačné znaky zariadenia
gid://shopify/TaxonomyCategory/bi-24-6           : Obchod a priemysel > Označenia > Tabuľka Otvorené/zatvorené
gid://shopify/TaxonomyCategory/bi-24-7           : Obchod a priemysel > Označenia > Parkovacie označenia a povolenia
gid://shopify/TaxonomyCategory/bi-24-8           : Obchod a priemysel > Označenia > Bezpečnostné upozornenia
gid://shopify/TaxonomyCategory/bi-24-9           : Obchod a priemysel > Označenia > Maloobchodné pútače
gid://shopify/TaxonomyCategory/bi-24-10          : Obchod a priemysel > Označenia > Cestné a dopravné značky
gid://shopify/TaxonomyCategory/bi-24-11          : Obchod a priemysel > Označenia > Bezpečnostné a výstražné značky
gid://shopify/TaxonomyCategory/bi-24-12          : Obchod a priemysel > Označenia > Bezpečnostné značky
gid://shopify/TaxonomyCategory/bi-24-13          : Obchod a priemysel > Označenia > Značky na chodníkoch
gid://shopify/TaxonomyCategory/bi-25             : Obchod a priemysel > Pracovné ochranné prostriedky
gid://shopify/TaxonomyCategory/bi-25-1           : Obchod a priemysel > Pracovné ochranné prostriedky > Nepriestrelné vesty
gid://shopify/TaxonomyCategory/bi-25-2           : Obchod a priemysel > Pracovné ochranné prostriedky > Príslušenstvo k plynovým maskám a respirátorom
gid://shopify/TaxonomyCategory/bi-25-2-1         : Obchod a priemysel > Pracovné ochranné prostriedky > Príslušenstvo k plynovým maskám a respirátorom > Kombinované náplne
gid://shopify/TaxonomyCategory/bi-25-2-2         : Obchod a priemysel > Pracovné ochranné prostriedky > Príslušenstvo k plynovým maskám a respirátorom > Filtre pevných častíc
gid://shopify/TaxonomyCategory/bi-25-2-3         : Obchod a priemysel > Pracovné ochranné prostriedky > Príslušenstvo k plynovým maskám a respirátorom > Parné náplne
gid://shopify/TaxonomyCategory/bi-25-3           : Obchod a priemysel > Pracovné ochranné prostriedky > Prilby
gid://shopify/TaxonomyCategory/bi-25-4           : Obchod a priemysel > Pracovné ochranné prostriedky > Obleky pri práci s nebezpečným materiálom
gid://shopify/TaxonomyCategory/bi-25-5           : Obchod a priemysel > Pracovné ochranné prostriedky > Ochranné zástery
gid://shopify/TaxonomyCategory/bi-25-5-1         : Obchod a priemysel > Pracovné ochranné prostriedky > Ochranné zástery > Ochranné zástery s náprsníkom
gid://shopify/TaxonomyCategory/bi-25-5-2         : Obchod a priemysel > Pracovné ochranné prostriedky > Ochranné zástery > Ochranné zástery so zadnou časťou
gid://shopify/TaxonomyCategory/bi-25-5-3         : Obchod a priemysel > Pracovné ochranné prostriedky > Ochranné zástery > Ochranné zástery do pása
gid://shopify/TaxonomyCategory/bi-25-6           : Obchod a priemysel > Pracovné ochranné prostriedky > Ochranné okuliare
gid://shopify/TaxonomyCategory/bi-25-6-1         : Obchod a priemysel > Pracovné ochranné prostriedky > Ochranné okuliare > Tvárové štíty
gid://shopify/TaxonomyCategory/bi-25-6-2         : Obchod a priemysel > Pracovné ochranné prostriedky > Ochranné okuliare > Ochranné okuliare
gid://shopify/TaxonomyCategory/bi-25-6-3         : Obchod a priemysel > Pracovné ochranné prostriedky > Ochranné okuliare > Bezpečnostné okuliare
gid://shopify/TaxonomyCategory/bi-25-7           : Obchod a priemysel > Pracovné ochranné prostriedky > Ochranné masky
gid://shopify/TaxonomyCategory/bi-25-7-1         : Obchod a priemysel > Pracovné ochranné prostriedky > Ochranné masky > Protiprachové masky
gid://shopify/TaxonomyCategory/bi-25-7-2         : Obchod a priemysel > Pracovné ochranné prostriedky > Ochranné masky > Hasičské masky
gid://shopify/TaxonomyCategory/bi-25-7-3         : Obchod a priemysel > Pracovné ochranné prostriedky > Ochranné masky > Plynové masky a respirátory
gid://shopify/TaxonomyCategory/bi-25-7-4         : Obchod a priemysel > Pracovné ochranné prostriedky > Ochranné masky > Lekárske masky
gid://shopify/TaxonomyCategory/bi-25-13          : Obchod a priemysel > Pracovné ochranné prostriedky > Ochranná obuv
gid://shopify/TaxonomyCategory/bi-25-8           : Obchod a priemysel > Pracovné ochranné prostriedky > Bezpečnostné rukavice
gid://shopify/TaxonomyCategory/bi-25-8-1         : Obchod a priemysel > Pracovné ochranné prostriedky > Bezpečnostné rukavice > Chemicky odolné bezpečnostné rukavice
gid://shopify/TaxonomyCategory/bi-25-8-2         : Obchod a priemysel > Pracovné ochranné prostriedky > Bezpečnostné rukavice > Bezpečnostné rukavice odolné proti prerezaniu
gid://shopify/TaxonomyCategory/bi-25-8-3         : Obchod a priemysel > Pracovné ochranné prostriedky > Bezpečnostné rukavice > Bezpečnostné rukavice odolné proti zásahu elektrickým prúdom
gid://shopify/TaxonomyCategory/bi-25-8-4         : Obchod a priemysel > Pracovné ochranné prostriedky > Bezpečnostné rukavice > Bezpečnostné rukavice odolné proti teplu
gid://shopify/TaxonomyCategory/bi-25-9           : Obchod a priemysel > Pracovné ochranné prostriedky > Bezpečnostné chrániče kolien
gid://shopify/TaxonomyCategory/bi-25-10          : Obchod a priemysel > Pracovné ochranné prostriedky > Zváračské prilby
gid://shopify/TaxonomyCategory/bi-25-11          : Obchod a priemysel > Pracovné ochranné prostriedky > Pracovné bezpečnostné postroje
gid://shopify/TaxonomyCategory/bi-25-11-1        : Obchod a priemysel > Pracovné ochranné prostriedky > Pracovné bezpečnostné postroje > Pracovné bezpečnostné postroje s prekrížením na hrudníku
gid://shopify/TaxonomyCategory/bi-25-11-2        : Obchod a priemysel > Pracovné ochranné prostriedky > Pracovné bezpečnostné postroje > Celotelové pracovné bezpečnostné postroje
gid://shopify/TaxonomyCategory/bi-25-11-3        : Obchod a priemysel > Pracovné ochranné prostriedky > Pracovné bezpečnostné postroje > Pracovné bezpečnostné postroje v tvare vesty
gid://shopify/TaxonomyCategory/bi-25-12          : Obchod a priemysel > Pracovné ochranné prostriedky > Pracovné bezpečnostné popruhy
gid://shopify/TaxonomyCategory/bi-25-12-1        : Obchod a priemysel > Pracovné ochranné prostriedky > Pracovné bezpečnostné popruhy > Pracovné bezpečnostné popruhy s kotevným závesom
gid://shopify/TaxonomyCategory/bi-25-12-2        : Obchod a priemysel > Pracovné ochranné prostriedky > Pracovné bezpečnostné popruhy > Pracovné bezpečnostné popruhy s opaskom na náradie
gid://shopify/TaxonomyCategory/bi-25-12-3        : Obchod a priemysel > Pracovné ochranné prostriedky > Pracovné bezpečnostné popruhy > Pracovné bezpečnostné popruhy na zápästie
gid://shopify/TaxonomyCategory/co                : Fotoaparáty a optické zariadenia
gid://shopify/TaxonomyCategory/co-1              : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia
gid://shopify/TaxonomyCategory/co-1-1            : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Náhradné káble pre fotoaparáty a optické zariadenia
gid://shopify/TaxonomyCategory/co-1-1-1          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Náhradné káble pre fotoaparáty a optické zariadenia > Komponentné video káble
gid://shopify/TaxonomyCategory/co-1-1-2          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Náhradné káble pre fotoaparáty a optické zariadenia > Kompozitné video káble
gid://shopify/TaxonomyCategory/co-1-1-3          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Náhradné káble pre fotoaparáty a optické zariadenia > Optické audio káble
gid://shopify/TaxonomyCategory/co-1-2            : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Objektívy pre fotoaparáty a videokamery
gid://shopify/TaxonomyCategory/co-1-2-1          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Objektívy pre fotoaparáty a videokamery > Objektív fotoaparátu
gid://shopify/TaxonomyCategory/co-1-2-2          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Objektívy pre fotoaparáty a videokamery > Objektívy skrytých kamier
gid://shopify/TaxonomyCategory/co-1-2-3          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Objektívy pre fotoaparáty a videokamery > Objektívy pre videokamery
gid://shopify/TaxonomyCategory/co-1-3            : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Príslušenstvo k objektívu fotoaparátu
gid://shopify/TaxonomyCategory/co-1-3-1          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Príslušenstvo k objektívu fotoaparátu > Krúžky adaptéra objektívu a filtra
gid://shopify/TaxonomyCategory/co-1-3-2          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Príslušenstvo k objektívu fotoaparátu > Tašky na objektívy
gid://shopify/TaxonomyCategory/co-1-3-3          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Príslušenstvo k objektívu fotoaparátu > Krytky objektívu
gid://shopify/TaxonomyCategory/co-1-3-4          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Príslušenstvo k objektívu fotoaparátu > Konvertory objektívu
gid://shopify/TaxonomyCategory/co-1-3-5          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Príslušenstvo k objektívu fotoaparátu > Filtre objektívu
gid://shopify/TaxonomyCategory/co-1-3-6          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Príslušenstvo k objektívu fotoaparátu > Slnečné clony
gid://shopify/TaxonomyCategory/co-1-4            : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty
gid://shopify/TaxonomyCategory/co-1-4-1          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Súpravy príslušenstva pre fotoaparáty
gid://shopify/TaxonomyCategory/co-1-4-2          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Tašky a puzdrá na fotoaparáty
gid://shopify/TaxonomyCategory/co-1-4-2-1        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Tašky a puzdrá na fotoaparáty > Batohy na fotoaparáty
gid://shopify/TaxonomyCategory/co-1-4-2-2        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Tašky a puzdrá na fotoaparáty > Pevné puzdrá na fotoaparáty
gid://shopify/TaxonomyCategory/co-1-4-2-3        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Tašky a puzdrá na fotoaparáty > Puzdrové tašky na fotoaparáty
gid://shopify/TaxonomyCategory/co-1-4-2-4        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Tašky a puzdrá na fotoaparáty > Puzdrá na fotoaparáty na kolieskach
gid://shopify/TaxonomyCategory/co-1-4-2-5        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Tašky a puzdrá na fotoaparáty > Tašky na fotoaparáty cez rameno
gid://shopify/TaxonomyCategory/co-1-4-2-6        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Tašky a puzdrá na fotoaparáty > Tašky na fotoaparáty cez plece
gid://shopify/TaxonomyCategory/co-1-4-2-7        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Tašky a puzdrá na fotoaparáty > Nevystužené vrecká na fotoaparát
gid://shopify/TaxonomyCategory/co-1-4-2-8        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Tašky a puzdrá na fotoaparáty > Tašky tote na fotoaparáty
gid://shopify/TaxonomyCategory/co-1-4-2-9        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Tašky a puzdrá na fotoaparáty > Podvodné puzdrá na fotoaparáty
gid://shopify/TaxonomyCategory/co-1-4-3          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Náhradné panely a dvierka fotoaparátu
gid://shopify/TaxonomyCategory/co-1-4-4          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Digitálne zadné časti fotoaparátu
gid://shopify/TaxonomyCategory/co-1-4-5          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Film do fotoaparátu
gid://shopify/TaxonomyCategory/co-1-4-5-1        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Film do fotoaparátu > Čiernobiely film
gid://shopify/TaxonomyCategory/co-1-4-5-2        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Film do fotoaparátu > Farebný negatívny film
gid://shopify/TaxonomyCategory/co-1-4-5-3        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Film do fotoaparátu > Infračervený film
gid://shopify/TaxonomyCategory/co-1-4-5-4        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Film do fotoaparátu > Okamžitý film
gid://shopify/TaxonomyCategory/co-1-4-5-5        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Film do fotoaparátu > Diapozitívny film
gid://shopify/TaxonomyCategory/co-1-4-5-6        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Film do fotoaparátu > Film so špeciálnymi efektmi
gid://shopify/TaxonomyCategory/co-1-4-6          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Príslušenstvo pre blesk fotoaparátu
gid://shopify/TaxonomyCategory/co-1-4-7          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Blesk fotoaparátu
gid://shopify/TaxonomyCategory/co-1-4-8          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Zariadenia na zaostrenie fotoaparátu
gid://shopify/TaxonomyCategory/co-1-4-9          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Zariadenia fotoaparátu
gid://shopify/TaxonomyCategory/co-1-4-10         : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Úchyty fotoaparátu
gid://shopify/TaxonomyCategory/co-1-4-10-1       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Úchyty fotoaparátu > Úchyty batérie
gid://shopify/TaxonomyCategory/co-1-4-10-2       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Úchyty fotoaparátu > Úchyty na prsty
gid://shopify/TaxonomyCategory/co-1-4-10-3       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Úchyty fotoaparátu > Úchyty na ruky
gid://shopify/TaxonomyCategory/co-1-4-10-4       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Úchyty fotoaparátu > Ramenné úchyty
gid://shopify/TaxonomyCategory/co-1-4-10-5       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Úchyty fotoaparátu > Úchyty na popruhy
gid://shopify/TaxonomyCategory/co-1-4-10-6       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Úchyty fotoaparátu > Podvodné úchyty
gid://shopify/TaxonomyCategory/co-1-4-10-7       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Úchyty fotoaparátu > Úchyty na zápästie
gid://shopify/TaxonomyCategory/co-1-4-11         : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Obrazové snímače fotoaparátu
gid://shopify/TaxonomyCategory/co-1-4-12         : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Jednotky zoomu objektívu fotoaparátu
gid://shopify/TaxonomyCategory/co-1-4-12-1       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Jednotky zoomu objektívu fotoaparátu > Jednotky digitálneho zoomu
gid://shopify/TaxonomyCategory/co-1-4-12-2       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Jednotky zoomu objektívu fotoaparátu > Jednotky manuálneho zoomu
gid://shopify/TaxonomyCategory/co-1-4-12-3       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Jednotky zoomu objektívu fotoaparátu > Motorizované jednotky zoomu
gid://shopify/TaxonomyCategory/co-1-4-12-4       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Jednotky zoomu objektívu fotoaparátu > Jednotky optického zoomu
gid://shopify/TaxonomyCategory/co-1-4-12-5       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Jednotky zoomu objektívu fotoaparátu > Jednotky servo zoomu
gid://shopify/TaxonomyCategory/co-1-4-13         : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Diaľkové ovládače fotoaparátu
gid://shopify/TaxonomyCategory/co-1-4-14         : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Náhradné tlačidlá a gombíky fotoaparátu
gid://shopify/TaxonomyCategory/co-1-4-15         : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Náhradné obrazovky a displeje fotoaparátu
gid://shopify/TaxonomyCategory/co-1-4-16         : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Tlmiče zvuku fotoaparátu
gid://shopify/TaxonomyCategory/co-1-4-17         : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Stabilizátory a nosiče fotoaparátu
gid://shopify/TaxonomyCategory/co-1-4-18         : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Popruhy na fotoaparát
gid://shopify/TaxonomyCategory/co-1-4-18-1       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Popruhy na fotoaparát > Pásové popruhy
gid://shopify/TaxonomyCategory/co-1-4-18-2       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Popruhy na fotoaparát > Hrudné popruhy
gid://shopify/TaxonomyCategory/co-1-4-18-3       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Popruhy na fotoaparát > Popruhy na ruky
gid://shopify/TaxonomyCategory/co-1-4-18-4       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Popruhy na fotoaparát > Popruhy s postrojom
gid://shopify/TaxonomyCategory/co-1-4-18-5       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Popruhy na fotoaparát > Popruhy na krk
gid://shopify/TaxonomyCategory/co-1-4-18-6       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Popruhy na fotoaparát > Rýchlouvoľňovacie popruhy
gid://shopify/TaxonomyCategory/co-1-4-18-7       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Popruhy na fotoaparát > Ramenné popruhy
gid://shopify/TaxonomyCategory/co-1-4-18-8       : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Popruhy na fotoaparát > Popruhy na zápästie
gid://shopify/TaxonomyCategory/co-1-4-19         : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Slnečné clony a hľadáčiky na fotoaparáty
gid://shopify/TaxonomyCategory/co-1-4-20         : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Držiaky blesku
gid://shopify/TaxonomyCategory/co-1-4-21         : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Monitory na kamere
gid://shopify/TaxonomyCategory/co-1-4-22         : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Príslušenstvo pre skryté kamery
gid://shopify/TaxonomyCategory/co-1-4-23         : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Príslušenstvo pre kryty podvodných fotoaparátov
gid://shopify/TaxonomyCategory/co-1-4-24         : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Kryty podvodných fotoaparátov
gid://shopify/TaxonomyCategory/co-1-4-25         : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Diely a príslušenstvo pre fotoaparáty > Svetlá pre videokamery
gid://shopify/TaxonomyCategory/co-1-5            : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Príslušenstvo pre optické zariadenia
gid://shopify/TaxonomyCategory/co-1-5-1          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Príslušenstvo pre optické zariadenia > Príslušenstvo pre ďalekohľady/teleskopy
gid://shopify/TaxonomyCategory/co-1-5-2          : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Príslušenstvo pre optické zariadenia > Tašky a puzdrá pre optické zariadenia
gid://shopify/TaxonomyCategory/co-1-5-2-1        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Príslušenstvo pre optické zariadenia > Tašky a puzdrá pre optické zariadenia > Puzdrá na príslušenstvo
gid://shopify/TaxonomyCategory/co-1-5-2-2        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Príslušenstvo pre optické zariadenia > Tašky a puzdrá pre optické zariadenia > Puzdrá na ďalekohľady
gid://shopify/TaxonomyCategory/co-1-5-2-4        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Príslušenstvo pre optické zariadenia > Tašky a puzdrá pre optické zariadenia > Puzdrá na drony
gid://shopify/TaxonomyCategory/co-1-5-2-5        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Príslušenstvo pre optické zariadenia > Tašky a puzdrá pre optické zariadenia > Tašky na objektívy
gid://shopify/TaxonomyCategory/co-1-5-2-6        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Príslušenstvo pre optické zariadenia > Tašky a puzdrá pre optické zariadenia > Puzdrá na mikroskopy
gid://shopify/TaxonomyCategory/co-1-5-2-7        : Fotoaparáty a optické zariadenia > Príslušenstvo pre fotoaparáty a optické zariadenia > Príslušenstvo pre optické zariadenia > Tašky a puzdrá pre optické zariadenia > Puzdrá na teleskopy
